Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-01-06,D,Monarch Networth Capital Ord Shs,73.925,78.775,68.125,78.775,267408,0
2022-01-07,D,Monarch Networth Capital Ord Shs,86.4,86.65,81.0,86.425,645416,0
2022-01-10,D,Monarch Networth Capital Ord Shs,89.15,90.0,83.125,88.975,474068,0
2022-01-11,D,Monarch Networth Capital Ord Shs,89.0,89.0,84.55,86.65,118372,0
2022-01-12,D,Monarch Networth Capital Ord Shs,85.05,90.45,85.0,86.825,155968,0
2022-01-13,D,Monarch Networth Capital Ord Shs,87.5,88.25,85.025,86.275,43480,0
2022-01-14,D,Monarch Networth Capital Ord Shs,83.15,87.95,83.15,86.2,41632,0
2022-01-17,D,Monarch Networth Capital Ord Shs,87.45,87.45,83.175,83.875,25350,0
2022-01-18,D,Monarch Networth Capital Ord Shs,84.925,85.85,82.5,83.55,48262,0
2022-01-19,D,Monarch Networth Capital Ord Shs,85.0,85.0,81.625,83.3,106240,0
2022-01-20,D,Monarch Networth Capital Ord Shs,82.275,84.8,81.525,83.35,18640,0
2022-01-21,D,Monarch Networth Capital Ord Shs,83.525,83.675,80.275,80.625,14488,0
2022-01-24,D,Monarch Networth Capital Ord Shs,81.75,81.75,76.6,76.6,67638,0
2022-01-25,D,Monarch Networth Capital Ord Shs,77.5,77.5,73.675,76.8,21712,0
2022-01-27,D,Monarch Networth Capital Ord Shs,73.325,77.125,72.975,73.875,30930,0
2022-01-28,D,Monarch Networth Capital Ord Shs,74.7,77.55,74.525,77.55,53548,0
2022-01-31,D,Monarch Networth Capital Ord Shs,79.5,79.5,75.65,77.65,14972,0
2022-02-01,D,Monarch Networth Capital Ord Shs,79.75,79.75,75.525,76.925,10790,0
2022-02-02,D,Monarch Networth Capital Ord Shs,76.525,78.75,76.525,77.875,11276,0
2022-02-03,D,Monarch Networth Capital Ord Shs,79.475,79.475,75.925,76.875,23084,0
2022-02-04,D,Monarch Networth Capital Ord Shs,76.025,77.875,75.6,76.1,13944,0
2022-02-07,D,Monarch Networth Capital Ord Shs,75.0,77.075,73.025,73.85,15862,0
2022-02-08,D,Monarch Networth Capital Ord Shs,76.575,76.9,70.15,71.275,20298,0
2022-02-09,D,Monarch Networth Capital Ord Shs,75.4,77.5,71.65,76.225,51550,0
2022-02-10,D,Monarch Networth Capital Ord Shs,77.025,77.4,74.95,75.475,15252,0
2022-02-11,D,Monarch Networth Capital Ord Shs,74.525,76.475,72.9,73.85,8054,0
2022-02-14,D,Monarch Networth Capital Ord Shs,72.5,77.225,71.0,75.975,23734,0
2022-02-15,D,Monarch Networth Capital Ord Shs,77.5,81.55,74.55,80.0,220548,0
2022-02-16,D,Monarch Networth Capital Ord Shs,81.5,88.0,79.0,88.0,199874,0
2022-02-17,D,Monarch Networth Capital Ord Shs,88.075,92.375,83.475,86.175,235678,0
2022-02-18,D,Monarch Networth Capital Ord Shs,89.35,94.775,83.0,90.225,767686,0
2022-02-21,D,Monarch Networth Capital Ord Shs,90.25,90.5,83.05,84.625,141376,0
2022-02-22,D,Monarch Networth Capital Ord Shs,84.0,88.0,76.3,86.625,157074,0
2022-02-23,D,Monarch Networth Capital Ord Shs,88.85,90.5,85.5,86.25,96190,0
2022-02-24,D,Monarch Networth Capital Ord Shs,80.7,83.95,78.0,78.475,54154,0
2022-02-25,D,Monarch Networth Capital Ord Shs,81.175,86.3,81.175,86.05,257416,0
2022-02-28,D,Monarch Networth Capital Ord Shs,82.6,89.85,82.6,87.35,62022,0
2022-03-02,D,Monarch Networth Capital Ord Shs,86.725,87.225,84.025,85.025,28044,0
2022-03-03,D,Monarch Networth Capital Ord Shs,85.65,88.85,85.1,85.925,31466,0
2022-03-04,D,Monarch Networth Capital Ord Shs,85.475,85.95,82.75,84.075,40506,0
2022-03-07,D,Monarch Networth Capital Ord Shs,82.025,84.825,80.325,82.8,106388,0
2022-03-08,D,Monarch Networth Capital Ord Shs,83.55,86.5,83.275,85.1,19778,0
2022-03-09,D,Monarch Networth Capital Ord Shs,86.775,93.6,84.15,89.55,186002,0
2022-03-10,D,Monarch Networth Capital Ord Shs,92.0,92.0,87.775,88.375,159092,0
2022-03-11,D,Monarch Networth Capital Ord Shs,88.275,96.85,88.25,95.775,304680,0
2022-03-14,D,Monarch Networth Capital Ord Shs,103.85,103.85,96.0,99.875,515994,0
2022-03-15,D,Monarch Networth Capital Ord Shs,102.0,103.725,95.5,98.85,556064,0
2022-03-16,D,Monarch Networth Capital Ord Shs,99.025,102.25,97.35,99.15,81484,0
2022-03-17,D,Monarch Networth Capital Ord Shs,101.025,106.0,100.225,102.1,248950,0
