Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-30,D,Motor And General Finance Ord Shs,29.875,29.875,29.875,29.875,200,1
1995-01-31,D,Motor And General Finance Ord Shs,30.5,30.5,30.5,30.5,200,1
1995-02-09,D,Motor And General Finance Ord Shs,32.0,32.0,32.0,32.0,1000,1
1995-02-10,D,Motor And General Finance Ord Shs,30.875,30.875,30.875,30.875,400,1
1995-02-13,D,Motor And General Finance Ord Shs,31.0,31.0,31.0,31.0,800,1
1995-02-14,D,Motor And General Finance Ord Shs,30.0,30.0,30.0,30.0,200,1
1995-02-16,D,Motor And General Finance Ord Shs,29.0,29.0,29.0,29.0,400,1
1995-02-20,D,Motor And General Finance Ord Shs,29.0,29.0,29.0,29.0,600,1
1995-03-02,D,Motor And General Finance Ord Shs,28.5,28.5,28.5,28.5,400,1
1996-03-22,D,Motor And General Finance Ord Shs,25.725,25.725,25.725,25.725,200,1
1996-03-25,D,Motor And General Finance Ord Shs,23.25,23.25,23.25,23.25,200,1
1996-03-26,D,Motor And General Finance Ord Shs,21.0,21.0,21.0,21.0,200,1
1996-03-27,D,Motor And General Finance Ord Shs,19.0,20.5,19.0,20.5,3800,0
1996-03-28,D,Motor And General Finance Ord Shs,20.5,20.5,20.5,20.5,200,1
1996-03-29,D,Motor And General Finance Ord Shs,19.95,20.25,19.0,19.0,1800,0
1996-04-01,D,Motor And General Finance Ord Shs,20.65,20.65,20.65,20.65,400,1
1996-04-02,D,Motor And General Finance Ord Shs,19.0,19.0,19.0,19.0,200,1
1996-04-04,D,Motor And General Finance Ord Shs,17.475,17.475,17.475,17.475,200,1
1996-04-16,D,Motor And General Finance Ord Shs,16.3,17.5,16.3,17.5,1200,0
1996-04-17,D,Motor And General Finance Ord Shs,19.0,19.0,19.0,19.0,400,1
1996-04-18,D,Motor And General Finance Ord Shs,19.5,19.5,19.25,19.25,400,0
1996-04-19,D,Motor And General Finance Ord Shs,19.125,19.125,18.625,18.625,400,0
1996-04-22,D,Motor And General Finance Ord Shs,18.5,18.5,18.5,18.5,200,1
1996-04-23,D,Motor And General Finance Ord Shs,20.0,20.0,19.0,19.0,800,0
1996-04-25,D,Motor And General Finance Ord Shs,19.75,19.75,19.25,19.25,400,0
1996-04-26,D,Motor And General Finance Ord Shs,17.5,17.5,17.5,17.5,200,1
1996-04-30,D,Motor And General Finance Ord Shs,19.25,19.25,19.25,19.25,200,1
1996-05-07,D,Motor And General Finance Ord Shs,18.725,18.725,18.725,18.725,200,1
1996-05-08,D,Motor And General Finance Ord Shs,17.25,17.25,17.25,17.25,200,1
1996-05-09,D,Motor And General Finance Ord Shs,17.0,17.0,17.0,17.0,400,1
1996-05-16,D,Motor And General Finance Ord Shs,16.5,16.5,16.5,16.5,200,1
1996-05-20,D,Motor And General Finance Ord Shs,15.5,15.5,15.5,15.5,400,1
1996-05-29,D,Motor And General Finance Ord Shs,15.5,15.5,15.5,15.5,200,1
1996-05-30,D,Motor And General Finance Ord Shs,15.375,15.375,15.375,15.375,600,1
1996-05-31,D,Motor And General Finance Ord Shs,15.4,15.4,15.4,15.4,200,1
1996-06-04,D,Motor And General Finance Ord Shs,15.5,15.5,15.5,15.5,1600,1
1996-06-05,D,Motor And General Finance Ord Shs,15.5,15.5,15.5,15.5,400,1
1996-06-06,D,Motor And General Finance Ord Shs,15.5,15.75,15.5,15.75,1200,0
1996-06-10,D,Motor And General Finance Ord Shs,15.5,15.5,15.5,15.5,400,1
1996-06-12,D,Motor And General Finance Ord Shs,15.5,15.65,15.5,15.65,1200,0
1996-06-13,D,Motor And General Finance Ord Shs,15.75,15.75,15.75,15.75,400,1
1996-06-14,D,Motor And General Finance Ord Shs,15.75,15.75,15.75,15.75,1000,1
1996-06-17,D,Motor And General Finance Ord Shs,15.8,15.875,15.8,15.875,3200,0
1996-06-18,D,Motor And General Finance Ord Shs,15.975,16.0,15.975,16.0,600,0
1996-06-19,D,Motor And General Finance Ord Shs,16.5,17.0,16.05,16.05,2600,0
1996-06-20,D,Motor And General Finance Ord Shs,15.775,16.0,15.775,16.0,400,0
1996-06-24,D,Motor And General Finance Ord Shs,16.0,16.25,16.0,16.25,1200,0
1996-06-25,D,Motor And General Finance Ord Shs,16.5,16.75,16.0,16.75,2000,0
1996-06-26,D,Motor And General Finance Ord Shs,16.5,16.5,16.5,16.5,1200,1
1996-06-27,D,Motor And General Finance Ord Shs,16.0,16.0,16.0,16.0,200,1
1996-06-28,D,Motor And General Finance Ord Shs,17.0,17.0,17.0,17.0,1400,1
1996-07-01,D,Motor And General Finance Ord Shs,16.5,17.0,16.5,16.8,2000,0
1996-07-02,D,Motor And General Finance Ord Shs,16.0,16.0,16.0,16.0,1000,1
1996-07-03,D,Motor And General Finance Ord Shs,16.5,16.5,16.5,16.5,200,1
1996-07-04,D,Motor And General Finance Ord Shs,17.0,17.375,16.0,17.35,3000,0
1996-07-05,D,Motor And General Finance Ord Shs,17.25,17.25,17.25,17.25,1000,1
1996-07-08,D,Motor And General Finance Ord Shs,15.75,15.75,15.75,15.75,200,1
1996-07-09,D,Motor And General Finance Ord Shs,16.5,17.0,16.125,16.15,3800,0
1996-07-10,D,Motor And General Finance Ord Shs,16.95,17.25,16.95,17.0,2000,0
1996-07-11,D,Motor And General Finance Ord Shs,17.25,17.25,17.25,17.25,1000,1
1996-07-17,D,Motor And General Finance Ord Shs,16.55,17.25,16.55,17.25,1400,0
1996-07-18,D,Motor And General Finance Ord Shs,16.5,16.75,16.5,16.75,600,0
1996-07-19,D,Motor And General Finance Ord Shs,17.0,17.0,17.0,17.0,600,1
