Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-09-13,D,Mphasis Ord Shs,6.812994,6.812994,6.812994,6.812994,800,1
1996-09-16,D,Mphasis Ord Shs,6.261761,6.472345,6.199825,6.317504,12000,0
1996-09-17,D,Mphasis Ord Shs,6.37944,6.37944,6.37944,6.37944,38400,1
1996-09-18,D,Mphasis Ord Shs,6.348472,6.441376,6.348472,6.441376,2400,0
1996-09-19,D,Mphasis Ord Shs,6.441376,6.441376,6.286536,6.286536,14400,0
1996-09-20,D,Mphasis Ord Shs,6.286536,6.874931,6.199825,6.441376,53600,0
1996-09-23,D,Mphasis Ord Shs,6.37944,6.37944,6.317504,6.317504,1600,0
1996-09-24,D,Mphasis Ord Shs,6.559055,6.559055,5.760077,5.95208,41600,0
1996-09-25,D,Mphasis Ord Shs,6.193631,6.193631,5.636204,5.636204,6400,0
1996-09-26,D,Mphasis Ord Shs,5.326523,5.574268,5.146907,5.20265,23200,0
1996-09-27,D,Mphasis Ord Shs,5.097358,5.140714,4.837226,4.837226,15200,0
1996-09-30,D,Mphasis Ord Shs,4.954905,4.954905,4.769096,4.942518,33600,0
1996-10-01,D,Mphasis Ord Shs,4.954905,4.954905,4.831032,4.936324,20000,0
1996-10-03,D,Mphasis Ord Shs,4.756709,4.756709,4.583287,4.589481,13600,0
1996-10-04,D,Mphasis Ord Shs,4.490383,4.490383,4.149733,4.149733,61600,0
1996-10-07,D,Mphasis Ord Shs,3.963924,4.019667,3.840051,3.976311,28000,0
1996-10-08,D,Mphasis Ord Shs,3.778115,4.087797,3.778115,3.951537,27200,0
1996-10-09,D,Mphasis Ord Shs,4.205476,4.273605,4.149733,4.273605,58400,0
1996-10-10,D,Mphasis Ord Shs,4.428446,4.700966,4.403672,4.601868,40000,0
1996-10-11,D,Mphasis Ord Shs,4.824839,4.892969,4.558513,4.874388,44000,0
1996-10-14,D,Mphasis Ord Shs,4.886775,4.892969,4.70716,4.769096,40800,0
1996-10-15,D,Mphasis Ord Shs,4.886775,4.886775,4.70716,4.719547,41600,0
1996-10-16,D,Mphasis Ord Shs,4.917743,5.016841,4.84342,4.979679,326400,0
1996-10-17,D,Mphasis Ord Shs,4.954905,4.961099,4.862,4.862,40000,0
1996-10-18,D,Mphasis Ord Shs,4.862,4.862,4.756709,4.862,7200,1
1996-10-22,D,Mphasis Ord Shs,4.93013,4.954905,4.738128,4.762902,38400,0
