Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-11-06,D,Mufin Green Finance Ord Shs,133.0,135.65,128.0,134.5,209080,0
2023-11-07,D,Mufin Green Finance Ord Shs,135.65,135.65,127.8,127.8,210215,0
2023-11-08,D,Mufin Green Finance Ord Shs,124.0,130.0,121.45,125.0,370078,0
2023-11-09,D,Mufin Green Finance Ord Shs,127.65,127.7,119.05,122.0,84168,0
2023-11-10,D,Mufin Green Finance Ord Shs,125.9,125.9,119.75,120.85,109387,0
2023-11-12,D,Mufin Green Finance Ord Shs,125.0,126.35,122.15,124.5,69260,0
2023-11-13,D,Mufin Green Finance Ord Shs,125.0,126.0,121.15,123.25,51344,0
2023-11-15,D,Mufin Green Finance Ord Shs,123.0,126.95,123.0,124.85,82807,0
2023-11-16,D,Mufin Green Finance Ord Shs,126.0,126.0,121.6,122.2,84406,0
2023-11-17,D,Mufin Green Finance Ord Shs,124.65,124.65,116.1,116.7,218952,0
2023-11-20,D,Mufin Green Finance Ord Shs,116.7,118.2,110.9,114.75,170065,0
2023-11-21,D,Mufin Green Finance Ord Shs,116.95,117.0,112.5,114.2,55951,0
2023-11-22,D,Mufin Green Finance Ord Shs,114.15,117.0,112.55,113.7,53617,0
2023-11-23,D,Mufin Green Finance Ord Shs,113.5,114.85,110.85,111.6,85959,0
2023-11-24,D,Mufin Green Finance Ord Shs,112.95,113.8,109.35,112.25,92071,0
2023-11-28,D,Mufin Green Finance Ord Shs,114.0,114.05,110.0,110.95,119849,0
2023-11-29,D,Mufin Green Finance Ord Shs,111.1,115.65,110.55,111.25,92418,0
2023-11-30,D,Mufin Green Finance Ord Shs,115.45,115.45,112.0,114.3,57610,0
2023-12-01,D,Mufin Green Finance Ord Shs,114.3,119.95,114.3,116.45,73276,0
2023-12-04,D,Mufin Green Finance Ord Shs,120.0,121.5,117.0,117.3,65803,0
2023-12-05,D,Mufin Green Finance Ord Shs,119.95,119.95,114.7,115.1,52612,0
2023-12-06,D,Mufin Green Finance Ord Shs,119.75,119.75,111.3,112.2,112821,0
2023-12-07,D,Mufin Green Finance Ord Shs,114.5,114.95,108.05,109.35,168192,0
2023-12-08,D,Mufin Green Finance Ord Shs,109.0,114.8,109.0,114.8,47419,0
2023-12-11,D,Mufin Green Finance Ord Shs,120.5,120.5,120.5,120.5,38346,1
2023-12-12,D,Mufin Green Finance Ord Shs,126.5,126.5,126.5,126.5,55170,1
2023-12-13,D,Mufin Green Finance Ord Shs,132.8,132.8,132.8,132.8,28192,1
2023-12-14,D,Mufin Green Finance Ord Shs,139.4,139.4,139.4,139.4,39199,1
2023-12-15,D,Mufin Green Finance Ord Shs,146.35,146.35,139.9,146.35,881952,1
2023-12-18,D,Mufin Green Finance Ord Shs,148.75,153.65,140.3,153.65,382884,0
2023-12-19,D,Mufin Green Finance Ord Shs,161.3,161.3,161.3,161.3,29062,1
2023-12-20,D,Mufin Green Finance Ord Shs,161.3,169.35,155.0,168.55,681941,0
2023-12-21,D,Mufin Green Finance Ord Shs,169.55,175.0,160.15,163.8,686165,0
2023-12-22,D,Mufin Green Finance Ord Shs,166.95,171.95,166.9,171.8,479940,0
2023-12-26,D,Mufin Green Finance Ord Shs,178.85,180.35,175.25,180.35,521180,0
2023-12-27,D,Mufin Green Finance Ord Shs,184.0,185.5,171.35,173.15,689023,0
2023-12-28,D,Mufin Green Finance Ord Shs,172.8,179.95,168.0,170.55,277028,0
2023-12-29,D,Mufin Green Finance Ord Shs,169.05,175.6,162.05,163.8,378497,0
2024-01-01,D,Mufin Green Finance Ord Shs,163.95,168.4,163.95,167.65,85105,0
2024-01-02,D,Mufin Green Finance Ord Shs,169.55,169.55,163.2,167.2,116074,0
2024-01-03,D,Mufin Green Finance Ord Shs,169.1,175.55,164.0,175.55,171571,0
