Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-12-27,D,Credo Brands Marketing Ord Shs,282.35,324.8,261.6,312.2,31205569,0
2023-12-28,D,Credo Brands Marketing Ord Shs,309.0,323.45,295.25,297.4,4623675,0
2023-12-29,D,Credo Brands Marketing Ord Shs,297.7,299.0,289.0,291.5,1549391,0
2024-01-01,D,Credo Brands Marketing Ord Shs,292.0,292.65,281.0,282.25,1380728,0
2024-01-02,D,Credo Brands Marketing Ord Shs,282.85,290.25,276.8,284.45,1310040,0
2024-01-03,D,Credo Brands Marketing Ord Shs,285.0,293.45,280.1,280.8,1550455,0
2024-01-04,D,Credo Brands Marketing Ord Shs,282.25,285.65,279.5,280.65,920248,0
2024-01-05,D,Credo Brands Marketing Ord Shs,283.0,283.35,276.65,278.25,486918,0
2024-01-08,D,Credo Brands Marketing Ord Shs,279.0,279.75,267.5,271.3,871199,0
2024-01-09,D,Credo Brands Marketing Ord Shs,272.0,274.95,266.0,267.35,652018,0
2024-01-10,D,Credo Brands Marketing Ord Shs,267.55,269.7,264.15,266.15,626230,0
2024-01-11,D,Credo Brands Marketing Ord Shs,266.3,275.75,266.3,270.1,581651,0
2024-01-12,D,Credo Brands Marketing Ord Shs,271.95,274.0,271.1,272.65,193907,0
2024-01-15,D,Credo Brands Marketing Ord Shs,274.3,275.85,269.0,272.75,627231,0
2024-01-16,D,Credo Brands Marketing Ord Shs,273.7,273.7,266.0,269.35,322062,0
2024-01-17,D,Credo Brands Marketing Ord Shs,272.4,289.0,270.1,273.95,2567758,0
2024-01-18,D,Credo Brands Marketing Ord Shs,273.7,275.5,262.6,268.25,609081,0
2024-01-19,D,Credo Brands Marketing Ord Shs,270.0,273.95,265.0,266.15,321118,0
2024-01-20,D,Credo Brands Marketing Ord Shs,267.0,269.5,265.3,266.2,143887,0
2024-01-23,D,Credo Brands Marketing Ord Shs,267.05,267.7,251.85,252.85,444380,0
2024-01-24,D,Credo Brands Marketing Ord Shs,254.8,258.8,251.25,252.1,222893,0
2024-01-25,D,Credo Brands Marketing Ord Shs,252.25,255.45,250.0,252.25,145875,1
2024-01-29,D,Credo Brands Marketing Ord Shs,252.8,262.0,252.8,259.45,243923,0
2024-01-30,D,Credo Brands Marketing Ord Shs,260.9,263.0,258.25,259.55,247797,0
2024-01-31,D,Credo Brands Marketing Ord Shs,259.05,266.7,259.05,265.15,229559,0
2024-02-01,D,Credo Brands Marketing Ord Shs,267.2,275.3,260.35,272.4,476825,0
2024-02-02,D,Credo Brands Marketing Ord Shs,273.45,278.4,268.2,272.55,401474,0
2024-02-05,D,Credo Brands Marketing Ord Shs,273.95,273.95,259.05,260.5,330280,0
2024-02-06,D,Credo Brands Marketing Ord Shs,261.25,262.4,253.2,253.9,300596,0
2024-02-07,D,Credo Brands Marketing Ord Shs,255.4,263.95,253.45,261.0,293109,0
2024-02-08,D,Credo Brands Marketing Ord Shs,261.0,264.0,252.4,253.5,314432,0
2024-02-09,D,Credo Brands Marketing Ord Shs,254.4,256.35,246.1,248.95,283655,0
2024-02-12,D,Credo Brands Marketing Ord Shs,248.0,250.15,241.1,244.75,220309,0
2024-02-13,D,Credo Brands Marketing Ord Shs,245.8,245.8,237.35,238.45,292709,0
2024-02-14,D,Credo Brands Marketing Ord Shs,230.6,247.0,230.6,244.9,241872,0
2024-02-15,D,Credo Brands Marketing Ord Shs,235.0,250.4,230.95,246.1,552037,0
2024-02-16,D,Credo Brands Marketing Ord Shs,249.1,253.2,239.25,240.05,320450,0
2024-02-19,D,Credo Brands Marketing Ord Shs,242.2,242.2,233.6,234.85,272895,0
2024-02-20,D,Credo Brands Marketing Ord Shs,236.9,237.0,233.8,234.25,216600,0
2024-02-21,D,Credo Brands Marketing Ord Shs,236.15,237.05,226.15,227.2,536773,0
2024-02-22,D,Credo Brands Marketing Ord Shs,228.7,234.5,227.0,233.45,251927,0
2024-02-23,D,Credo Brands Marketing Ord Shs,234.95,235.3,231.05,233.35,173402,0
2024-02-26,D,Credo Brands Marketing Ord Shs,234.75,235.4,231.15,232.1,116643,0
2024-02-27,D,Credo Brands Marketing Ord Shs,232.5,239.9,231.05,237.25,233758,0
2024-02-28,D,Credo Brands Marketing Ord Shs,236.2,239.1,224.9,228.45,256217,0
2024-02-29,D,Credo Brands Marketing Ord Shs,229.9,230.95,222.8,225.0,162292,0
2024-03-01,D,Credo Brands Marketing Ord Shs,225.2,229.05,221.15,223.1,177490,0
2024-03-02,D,Credo Brands Marketing Ord Shs,224.0,234.25,223.95,233.8,207620,0
2024-03-04,D,Credo Brands Marketing Ord Shs,234.9,236.1,225.2,226.5,233394,0
2024-03-05,D,Credo Brands Marketing Ord Shs,226.35,226.35,219.05,219.55,221590,0
2024-03-06,D,Credo Brands Marketing Ord Shs,219.55,221.45,198.05,205.2,1114977,0
2024-03-07,D,Credo Brands Marketing Ord Shs,208.85,209.7,197.05,198.55,754297,0
2024-03-11,D,Credo Brands Marketing Ord Shs,199.2,203.0,188.75,191.0,610675,0
2024-03-12,D,Credo Brands Marketing Ord Shs,191.95,192.65,182.55,185.95,517845,0
2024-03-13,D,Credo Brands Marketing Ord Shs,185.95,189.2,177.0,183.6,718552,0
2024-03-14,D,Credo Brands Marketing Ord Shs,185.05,191.45,180.05,180.85,612810,0
2024-03-15,D,Credo Brands Marketing Ord Shs,180.8,183.95,174.8,177.55,418591,0
2024-03-18,D,Credo Brands Marketing Ord Shs,178.1,197.65,178.1,195.35,1021699,0
2024-03-19,D,Credo Brands Marketing Ord Shs,194.9,196.45,185.85,186.6,303485,0
2024-03-20,D,Credo Brands Marketing Ord Shs,186.5,188.45,176.0,177.05,467085,0
2024-03-21,D,Credo Brands Marketing Ord Shs,182.0,188.0,177.5,179.5,797445,0
2024-03-22,D,Credo Brands Marketing Ord Shs,179.0,183.35,174.7,179.65,729510,0
2024-03-26,D,Credo Brands Marketing Ord Shs,177.7,181.0,174.0,175.3,467377,0
2024-03-27,D,Credo Brands Marketing Ord Shs,175.3,178.85,167.85,169.05,846609,0
2024-03-28,D,Credo Brands Marketing Ord Shs,170.3,174.9,165.4,166.95,995430,0
2024-04-01,D,Credo Brands Marketing Ord Shs,169.0,180.4,168.5,179.65,719567,0
2024-04-02,D,Credo Brands Marketing Ord Shs,175.7,188.0,175.7,186.0,785422,0
2024-04-03,D,Credo Brands Marketing Ord Shs,184.5,202.0,179.95,197.95,1217405,0
2024-04-04,D,Credo Brands Marketing Ord Shs,201.4,211.55,201.4,203.9,1195013,0
2024-04-05,D,Credo Brands Marketing Ord Shs,208.9,208.9,200.5,202.5,254898,0
2024-04-08,D,Credo Brands Marketing Ord Shs,204.45,205.7,197.0,197.45,263588,0
2024-04-09,D,Credo Brands Marketing Ord Shs,199.8,201.25,191.4,193.65,220638,0
2024-04-10,D,Credo Brands Marketing Ord Shs,194.95,194.95,188.9,190.6,181889,0
2024-04-12,D,Credo Brands Marketing Ord Shs,193.45,195.5,188.8,191.45,169289,0
2024-04-15,D,Credo Brands Marketing Ord Shs,186.45,188.0,179.4,184.75,214872,0
2024-04-16,D,Credo Brands Marketing Ord Shs,183.4,187.75,182.8,183.7,180599,0
2024-04-18,D,Credo Brands Marketing Ord Shs,185.05,192.95,183.15,184.65,219470,0
2024-04-19,D,Credo Brands Marketing Ord Shs,181.95,185.45,180.55,184.05,108548,0
2024-04-22,D,Credo Brands Marketing Ord Shs,187.4,188.75,184.6,185.05,113470,0
2024-04-23,D,Credo Brands Marketing Ord Shs,185.95,190.1,185.1,188.7,144644,0
2024-04-24,D,Credo Brands Marketing Ord Shs,191.0,192.4,189.25,190.95,126539,0
2024-04-25,D,Credo Brands Marketing Ord Shs,191.8,193.45,187.35,188.65,159943,0
2024-04-26,D,Credo Brands Marketing Ord Shs,188.65,189.35,185.35,186.5,117022,0
2024-04-29,D,Credo Brands Marketing Ord Shs,187.75,188.3,183.5,184.15,112408,0
2024-04-30,D,Credo Brands Marketing Ord Shs,185.15,186.95,181.05,182.75,192694,0
2024-05-02,D,Credo Brands Marketing Ord Shs,185.0,188.45,181.3,186.6,289481,0
2024-05-03,D,Credo Brands Marketing Ord Shs,187.9,188.0,182.25,186.4,279207,0
2024-05-06,D,Credo Brands Marketing Ord Shs,186.3,187.45,179.0,181.55,165186,0
2024-05-07,D,Credo Brands Marketing Ord Shs,182.5,183.9,177.1,178.7,218184,0
2024-05-08,D,Credo Brands Marketing Ord Shs,179.45,182.3,177.0,180.05,82940,0
2024-05-09,D,Credo Brands Marketing Ord Shs,181.45,181.45,173.15,173.9,111404,0
2024-05-10,D,Credo Brands Marketing Ord Shs,175.95,176.0,170.55,171.75,203659,0
2024-05-13,D,Credo Brands Marketing Ord Shs,172.05,173.0,169.45,170.6,111848,0
2024-05-14,D,Credo Brands Marketing Ord Shs,172.25,173.5,170.5,170.95,109911,0
2024-05-15,D,Credo Brands Marketing Ord Shs,171.8,174.3,168.9,170.15,123010,0
2024-05-16,D,Credo Brands Marketing Ord Shs,171.45,173.0,169.9,171.75,96524,0
2024-05-17,D,Credo Brands Marketing Ord Shs,172.3,177.65,172.1,175.25,164411,0
2024-05-18,D,Credo Brands Marketing Ord Shs,176.4,177.85,175.0,177.3,28810,0
2024-05-21,D,Credo Brands Marketing Ord Shs,179.95,180.0,175.3,176.2,123806,0
2024-05-22,D,Credo Brands Marketing Ord Shs,178.4,178.4,174.05,174.95,68904,0
2024-05-23,D,Credo Brands Marketing Ord Shs,174.0,176.3,170.9,171.4,160179,0
2024-05-24,D,Credo Brands Marketing Ord Shs,172.25,173.25,168.9,169.1,194574,0
2024-05-27,D,Credo Brands Marketing Ord Shs,170.95,172.5,167.05,167.7,223823,0
2024-05-28,D,Credo Brands Marketing Ord Shs,167.95,173.2,167.7,169.6,281039,0
2024-05-29,D,Credo Brands Marketing Ord Shs,169.85,170.45,168.5,168.95,89547,0
2024-05-30,D,Credo Brands Marketing Ord Shs,169.8,173.25,167.5,168.2,212849,0
2024-05-31,D,Credo Brands Marketing Ord Shs,165.0,166.15,161.75,162.2,464358,0
2024-06-03,D,Credo Brands Marketing Ord Shs,165.75,168.0,158.55,159.95,273804,0
2024-06-04,D,Credo Brands Marketing Ord Shs,160.1,160.55,145.2,150.85,316607,0
2024-06-05,D,Credo Brands Marketing Ord Shs,152.45,160.0,147.25,154.55,379933,0
2024-06-06,D,Credo Brands Marketing Ord Shs,158.1,162.0,157.55,160.3,192714,0
2024-06-07,D,Credo Brands Marketing Ord Shs,161.2,162.4,159.55,161.4,111322,0
2024-06-10,D,Credo Brands Marketing Ord Shs,161.4,166.52,159.71,165.81,196980,0
2024-06-11,D,Credo Brands Marketing Ord Shs,166.25,166.98,162.12,163.37,128577,0
2024-06-12,D,Credo Brands Marketing Ord Shs,163.9,164.75,162.35,162.92,125338,0
2024-06-13,D,Credo Brands Marketing Ord Shs,163.95,172.5,163.57,167.97,431441,0
2024-06-14,D,Credo Brands Marketing Ord Shs,169.0,176.61,168.15,174.05,426399,0
2024-06-18,D,Credo Brands Marketing Ord Shs,175.9,175.9,170.27,171.68,198449,0
2024-06-19,D,Credo Brands Marketing Ord Shs,174.25,174.25,168.96,170.3,133686,0
2024-06-20,D,Credo Brands Marketing Ord Shs,170.3,171.5,168.1,168.92,197227,0
2024-06-21,D,Credo Brands Marketing Ord Shs,169.99,171.45,167.5,169.58,181672,0
2024-06-24,D,Credo Brands Marketing Ord Shs,169.0,169.61,165.94,167.58,158447,0
2024-06-25,D,Credo Brands Marketing Ord Shs,169.6,169.6,166.0,166.4,80043,0
2024-06-26,D,Credo Brands Marketing Ord Shs,166.7,166.7,164.3,164.73,97877,0
2024-06-27,D,Credo Brands Marketing Ord Shs,165.0,165.15,161.0,162.99,89602,0
2024-06-28,D,Credo Brands Marketing Ord Shs,164.52,164.52,161.59,163.5,115898,0
2024-07-01,D,Credo Brands Marketing Ord Shs,165.0,170.5,164.0,169.88,209174,0
2024-07-02,D,Credo Brands Marketing Ord Shs,170.5,171.9,166.0,166.78,137824,0
2024-07-03,D,Credo Brands Marketing Ord Shs,167.8,174.24,167.8,172.93,299966,0
2024-07-04,D,Credo Brands Marketing Ord Shs,173.4,174.4,168.99,169.74,193059,0
2024-07-05,D,Credo Brands Marketing Ord Shs,172.0,172.4,168.05,168.52,146371,0
2024-07-08,D,Credo Brands Marketing Ord Shs,168.0,172.7,167.11,169.17,174105,0
2024-07-09,D,Credo Brands Marketing Ord Shs,169.5,170.7,167.2,167.89,92052,0
2024-07-10,D,Credo Brands Marketing Ord Shs,168.35,172.0,164.83,170.61,135391,0
2024-07-11,D,Credo Brands Marketing Ord Shs,171.6,178.5,169.69,175.59,453199,0
2024-07-12,D,Credo Brands Marketing Ord Shs,176.4,178.4,171.5,172.18,175292,0
2024-07-15,D,Credo Brands Marketing Ord Shs,172.8,175.8,169.01,172.43,132981,0
2024-07-16,D,Credo Brands Marketing Ord Shs,172.43,174.35,169.03,170.14,105769,0
2024-07-18,D,Credo Brands Marketing Ord Shs,171.6,171.6,165.25,167.18,114201,0
2024-07-19,D,Credo Brands Marketing Ord Shs,168.4,168.47,162.8,163.34,101131,0
2024-07-22,D,Credo Brands Marketing Ord Shs,163.34,164.92,160.3,160.61,149035,0
2024-07-23,D,Credo Brands Marketing Ord Shs,161.41,161.41,156.41,158.39,191800,0
2024-07-24,D,Credo Brands Marketing Ord Shs,159.0,162.19,159.0,160.13,162818,0
2024-07-25,D,Credo Brands Marketing Ord Shs,161.0,161.0,158.94,159.77,106483,0
2024-07-26,D,Credo Brands Marketing Ord Shs,161.99,163.49,159.55,160.34,147721,0
2024-07-29,D,Credo Brands Marketing Ord Shs,161.9,162.54,159.51,159.91,230129,0
2024-07-30,D,Credo Brands Marketing Ord Shs,161.6,161.6,159.7,159.83,152613,0
2024-07-31,D,Credo Brands Marketing Ord Shs,160.0,162.0,159.95,160.33,323315,0
