Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-10-03,D,Manoj Vaibhav Gems n Jewellers Ord Shs,215.0,222.0,210.1,215.5,5193776,0
2023-10-04,D,Manoj Vaibhav Gems n Jewellers Ord Shs,215.0,215.0,202.0,203.4,688861,0
2023-10-05,D,Manoj Vaibhav Gems n Jewellers Ord Shs,203.95,219.5,203.5,218.25,994953,0
2023-10-06,D,Manoj Vaibhav Gems n Jewellers Ord Shs,218.9,226.8,217.3,222.7,1632019,0
2023-10-09,D,Manoj Vaibhav Gems n Jewellers Ord Shs,222.25,244.35,213.1,237.65,2173174,0
2023-10-10,D,Manoj Vaibhav Gems n Jewellers Ord Shs,239.5,251.95,237.2,244.2,1400997,0
2023-10-11,D,Manoj Vaibhav Gems n Jewellers Ord Shs,246.7,251.3,244.0,247.75,758840,0
2023-10-12,D,Manoj Vaibhav Gems n Jewellers Ord Shs,249.4,280.8,246.5,274.2,2249388,0
2023-10-13,D,Manoj Vaibhav Gems n Jewellers Ord Shs,272.55,288.75,270.85,278.65,1816607,0
2023-10-16,D,Manoj Vaibhav Gems n Jewellers Ord Shs,280.0,286.6,280.0,284.0,379219,0
2023-10-17,D,Manoj Vaibhav Gems n Jewellers Ord Shs,289.3,293.0,278.2,282.5,418769,0
2023-10-18,D,Manoj Vaibhav Gems n Jewellers Ord Shs,282.4,282.4,267.5,272.0,481542,0
2023-10-19,D,Manoj Vaibhav Gems n Jewellers Ord Shs,270.5,276.4,269.45,271.45,167583,0
2023-10-20,D,Manoj Vaibhav Gems n Jewellers Ord Shs,272.0,280.0,270.1,272.5,175424,0
2023-10-23,D,Manoj Vaibhav Gems n Jewellers Ord Shs,274.7,277.0,251.6,258.9,270632,0
2023-10-25,D,Manoj Vaibhav Gems n Jewellers Ord Shs,258.9,265.0,245.05,250.0,237926,0
2023-10-26,D,Manoj Vaibhav Gems n Jewellers Ord Shs,247.0,253.25,231.0,245.5,449045,0
2023-10-27,D,Manoj Vaibhav Gems n Jewellers Ord Shs,249.45,262.0,249.15,259.0,261736,0
2023-10-30,D,Manoj Vaibhav Gems n Jewellers Ord Shs,261.8,263.4,255.0,256.65,167375,0
2023-10-31,D,Manoj Vaibhav Gems n Jewellers Ord Shs,256.8,263.9,256.4,259.7,173359,0
2023-11-01,D,Manoj Vaibhav Gems n Jewellers Ord Shs,260.0,268.0,255.6,260.05,502393,0
2023-11-02,D,Manoj Vaibhav Gems n Jewellers Ord Shs,263.2,267.75,259.1,261.3,240929,0
2023-11-03,D,Manoj Vaibhav Gems n Jewellers Ord Shs,263.65,265.0,259.45,261.35,133840,0
2023-11-06,D,Manoj Vaibhav Gems n Jewellers Ord Shs,264.05,278.0,264.05,272.5,418125,0
2023-11-07,D,Manoj Vaibhav Gems n Jewellers Ord Shs,272.55,277.0,268.05,275.1,319646,0
2023-11-08,D,Manoj Vaibhav Gems n Jewellers Ord Shs,277.4,308.5,276.1,298.3,926996,0
2023-11-09,D,Manoj Vaibhav Gems n Jewellers Ord Shs,305.0,322.4,302.0,309.9,943409,0
