Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-04-08,D,Nava Ord Shs,4.8,4.8,4.8,4.8,4999.999925,1
1996-04-18,D,Nava Ord Shs,5.275,5.275,5.275,5.275,999.999985,1
1996-05-02,D,Nava Ord Shs,4.775,4.775,4.775,4.775,9999.999851,1
1996-05-06,D,Nava Ord Shs,4.4,4.4,4.4,4.4,999.999985,1
1996-05-07,D,Nava Ord Shs,4.8,4.8,4.8,4.8,4999.999925,1
1996-05-13,D,Nava Ord Shs,4.9,4.9,4.9,4.9,4999.999925,1
1996-05-14,D,Nava Ord Shs,4.4,4.4,4.4,4.4,999.999985,1
1996-05-17,D,Nava Ord Shs,4.825,4.84,4.825,4.84,999.999985,0
1996-05-22,D,Nava Ord Shs,4.6,4.6,4.6,4.6,9999.999851,1
1996-05-23,D,Nava Ord Shs,4.4,4.4,4.4,4.4,2999.999955,1
1996-05-24,D,Nava Ord Shs,4.6,4.6,4.6,4.6,2999.999955,1
1996-05-27,D,Nava Ord Shs,4.6,4.9,4.6,4.9,2499.999963,0
1996-05-28,D,Nava Ord Shs,4.9,5.2,4.45,4.455,3499.999948,0
1996-05-29,D,Nava Ord Shs,4.455,4.925,4.305,4.48,39499.999411,0
1996-05-30,D,Nava Ord Shs,4.6,4.6,4.6,4.6,1499.999978,1
1996-05-31,D,Nava Ord Shs,4.45,4.45,4.45,4.45,4999.999925,1
1996-06-03,D,Nava Ord Shs,4.5,4.505,4.45,4.5,15999.999762,1
1996-06-04,D,Nava Ord Shs,4.2,4.475,4.2,4.475,3499.999948,0
1996-06-05,D,Nava Ord Shs,4.325,4.325,4.3,4.3,1499.999978,0
1996-06-06,D,Nava Ord Shs,4.0,4.0,4.0,4.0,999.999985,1
1996-06-07,D,Nava Ord Shs,4.195,4.195,4.15,4.19,6999.999896,0
1996-06-10,D,Nava Ord Shs,4.08,4.1,4.08,4.1,4999.999925,0
1996-06-11,D,Nava Ord Shs,4.4,4.4,3.9,4.11,24499.999635,0
