Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-12-29,D,Nandan Denim Ord Shs,1.524329,1.566283,1.433429,1.482375,2633412.387996,0
2005-12-30,D,Nandan Denim Ord Shs,1.517337,1.524329,1.482375,1.489367,808320.896266,0
2006-01-02,D,Nandan Denim Ord Shs,1.524329,1.566283,1.49636,1.552298,3845832.951548,0
2006-01-03,D,Nandan Denim Ord Shs,1.566283,1.692145,1.559291,1.67816,3819654.283621,0
2006-01-04,D,Nandan Denim Ord Shs,1.67816,1.70613,1.629214,1.671168,1717945.586177,0
2006-01-05,D,Nandan Denim Ord Shs,1.580268,1.664176,1.580268,1.601245,192839.747795,0
2006-01-06,D,Nandan Denim Ord Shs,1.573275,1.608237,1.538314,1.545306,510423.243747,0
2006-01-09,D,Nandan Denim Ord Shs,1.643199,1.643199,1.594252,1.615229,443943.299544,0
2006-01-10,D,Nandan Denim Ord Shs,1.643199,1.643199,1.566283,1.594252,249187.167427,0
2006-01-12,D,Nandan Denim Ord Shs,1.594252,1.594252,1.538314,1.552298,202450.272159,0
2006-01-13,D,Nandan Denim Ord Shs,1.608237,1.713122,1.524329,1.685153,1888553.845693,0
2006-01-16,D,Nandan Denim Ord Shs,1.748084,1.769061,1.650191,1.755076,2347792.466378,0
2006-01-17,D,Nandan Denim Ord Shs,1.657183,1.845976,1.657183,1.824999,3620815.108786,0
2006-01-18,D,Nandan Denim Ord Shs,1.859961,2.013792,1.783045,1.957854,8380598.916346,0
2006-01-19,D,Nandan Denim Ord Shs,2.027777,2.041762,1.901915,1.936877,3199153.352335,0
2006-01-20,D,Nandan Denim Ord Shs,1.922892,1.985823,1.88793,1.957854,2247139.385321,0
2006-01-23,D,Nandan Denim Ord Shs,1.978831,2.027777,1.9159,1.929884,1258049.102216,0
2006-01-24,D,Nandan Denim Ord Shs,1.957854,1.992815,1.894923,1.901915,308123.136031,0
2006-01-25,D,Nandan Denim Ord Shs,1.971838,1.971838,1.831992,1.859961,396047.992857,0
2006-01-27,D,Nandan Denim Ord Shs,1.838984,1.866953,1.776053,1.79703,695697.56388,0
2006-01-30,D,Nandan Denim Ord Shs,1.804022,1.811015,1.748084,1.769061,371077.791163,0
2006-01-31,D,Nandan Denim Ord Shs,1.790038,1.859961,1.769061,1.859961,153260.690985,0
2006-02-01,D,Nandan Denim Ord Shs,1.950861,1.957854,1.9159,1.943869,456878.893721,0
2006-02-02,D,Nandan Denim Ord Shs,1.950861,1.971838,1.845976,1.859961,317526.290449,0
2006-02-03,D,Nandan Denim Ord Shs,1.88793,1.88793,1.783045,1.811015,171487.794112,0
2006-02-06,D,Nandan Denim Ord Shs,1.824999,1.845976,1.790038,1.824999,290389.43036,1
2006-02-07,D,Nandan Denim Ord Shs,1.845976,1.845976,1.790038,1.818007,635145.53984,0
2006-02-08,D,Nandan Denim Ord Shs,1.818007,1.824999,1.783045,1.790038,117628.813825,0
2006-02-10,D,Nandan Denim Ord Shs,1.783045,1.818007,1.762068,1.776053,134447.231461,0
2006-02-13,D,Nandan Denim Ord Shs,1.776053,1.804022,1.67816,1.783045,289595.704018,0
2006-02-14,D,Nandan Denim Ord Shs,1.727107,1.769061,1.67816,1.70613,541535.886236,0
2006-02-15,D,Nandan Denim Ord Shs,1.699137,1.783045,1.685153,1.70613,398550.733577,0
2006-02-16,D,Nandan Denim Ord Shs,1.741091,1.762068,1.67816,1.685153,116556.210659,0
2006-02-17,D,Nandan Denim Ord Shs,1.685153,1.685153,1.636206,1.650191,368196.063991,0
2006-02-20,D,Nandan Denim Ord Shs,1.650191,1.685153,1.622222,1.636206,184494.895167,0
2006-02-21,D,Nandan Denim Ord Shs,1.643199,1.664176,1.629214,1.643199,79737.319329,1
2006-02-22,D,Nandan Denim Ord Shs,1.629214,1.657183,1.608237,1.636206,168162.724299,0
2006-02-23,D,Nandan Denim Ord Shs,1.713122,1.713122,1.608237,1.657183,781434.310249,0
2006-02-24,D,Nandan Denim Ord Shs,1.643199,1.664176,1.629214,1.636206,306049.436578,0
2006-02-27,D,Nandan Denim Ord Shs,1.643199,1.664176,1.622222,1.636206,172989.438544,0
2006-02-28,D,Nandan Denim Ord Shs,1.622222,1.636206,1.573275,1.580268,462899.772824,0
2006-03-01,D,Nandan Denim Ord Shs,1.58726,1.601245,1.538314,1.559291,240727.903794,0
2006-03-02,D,Nandan Denim Ord Shs,1.538314,1.580268,1.482375,1.531321,736749.662371,0
2006-03-03,D,Nandan Denim Ord Shs,1.566283,1.58726,1.482375,1.566283,139216.740204,1
2006-03-06,D,Nandan Denim Ord Shs,1.489367,1.650191,1.482375,1.608237,281994.522918,0
2006-03-07,D,Nandan Denim Ord Shs,1.643199,1.769061,1.643199,1.769061,398872.514527,0
2006-03-08,D,Nandan Denim Ord Shs,1.88793,1.950861,1.790038,1.831992,2216620.249916,0
2006-03-09,D,Nandan Denim Ord Shs,1.818007,1.818007,1.762068,1.79703,318241.359226,0
2006-03-10,D,Nandan Denim Ord Shs,1.790038,1.852969,1.776053,1.776053,333036.132224,0
2006-03-13,D,Nandan Denim Ord Shs,1.950861,1.950861,1.783045,1.838984,589216.67229,0
2006-03-14,D,Nandan Denim Ord Shs,1.859961,1.880938,1.79703,1.831992,164394.311844,0
2006-03-16,D,Nandan Denim Ord Shs,1.790038,1.873946,1.790038,1.852969,771416.196682,0
2006-03-17,D,Nandan Denim Ord Shs,1.831992,1.873946,1.790038,1.818007,183493.798879,0
2006-03-20,D,Nandan Denim Ord Shs,1.831992,1.88793,1.783045,1.804022,512446.888386,0
2006-03-21,D,Nandan Denim Ord Shs,1.818007,1.818007,1.776053,1.811015,225067.897577,0
2006-03-22,D,Nandan Denim Ord Shs,1.804022,1.804022,1.67816,1.70613,208228.027877,0
2006-03-23,D,Nandan Denim Ord Shs,1.685153,1.741091,1.664176,1.70613,248686.619283,0
2006-03-24,D,Nandan Denim Ord Shs,1.664176,1.755076,1.664176,1.692145,95347.270732,0
2006-03-27,D,Nandan Denim Ord Shs,1.741091,1.748084,1.699137,1.70613,134783.313786,0
2006-03-28,D,Nandan Denim Ord Shs,1.741091,1.748084,1.657183,1.671168,151809.101368,0
2006-03-29,D,Nandan Denim Ord Shs,1.727107,1.734099,1.67816,1.685153,43190.154134,0
2006-03-30,D,Nandan Denim Ord Shs,1.692145,1.734099,1.67816,1.713122,87560.17175,0
2006-03-31,D,Nandan Denim Ord Shs,1.713122,1.762068,1.685153,1.748084,270803.696557,0
2006-04-03,D,Nandan Denim Ord Shs,1.755076,1.811015,1.748084,1.783045,232719.133491,0
2006-04-04,D,Nandan Denim Ord Shs,1.79703,1.852969,1.748084,1.824999,241543.0822,0
2006-04-05,D,Nandan Denim Ord Shs,1.845976,1.866953,1.804022,1.838984,435412.529034,0
2006-04-07,D,Nandan Denim Ord Shs,1.824999,1.866953,1.748084,1.818007,261572.158645,0
2006-04-10,D,Nandan Denim Ord Shs,1.748084,1.873946,1.720114,1.79703,128033.064531,0
2006-04-12,D,Nandan Denim Ord Shs,1.818007,1.838984,1.734099,1.748084,141004.412147,0
2006-04-13,D,Nandan Denim Ord Shs,1.734099,1.734099,1.692145,1.692145,58993.174107,0
2006-04-17,D,Nandan Denim Ord Shs,1.748084,1.790038,1.67816,1.713122,74939.207835,0
2006-04-18,D,Nandan Denim Ord Shs,1.727107,1.831992,1.727107,1.762068,202578.984538,0
2006-04-19,D,Nandan Denim Ord Shs,1.811015,1.838984,1.776053,1.783045,220505.758779,0
2006-04-20,D,Nandan Denim Ord Shs,1.762068,1.845976,1.762068,1.831992,119995.691477,0
2006-04-21,D,Nandan Denim Ord Shs,1.811015,1.845976,1.762068,1.776053,177480.070464,0
2006-04-24,D,Nandan Denim Ord Shs,1.880938,1.880938,1.79703,1.818007,144479.646403,0
2006-04-25,D,Nandan Denim Ord Shs,1.79703,1.999808,1.79703,1.999808,2170984.560565,0
2006-04-26,D,Nandan Denim Ord Shs,2.132662,2.146647,2.034769,2.076723,1751639.626951,0
2006-04-27,D,Nandan Denim Ord Shs,2.153639,2.181608,2.048754,2.167624,2496169.237616,0
2006-04-28,D,Nandan Denim Ord Shs,1.957854,2.167624,1.957854,2.118677,552426.383711,0
2006-04-29,D,Nandan Denim Ord Shs,2.21657,2.21657,2.0977,2.181608,442563.216804,0
2006-05-02,D,Nandan Denim Ord Shs,2.265516,2.279501,2.202585,2.244539,3899413.055013,0
2006-05-03,D,Nandan Denim Ord Shs,2.356417,2.356417,2.202585,2.223562,3256795.046453,0
