Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-06-27,D,Nelcast Ord Shs,50.400001,54.800001,40.850001,41.470001,33555709.499981,0
2007-06-28,D,Nelcast Ord Shs,41.400001,42.400001,38.550001,38.890001,9587554.857134,0
2007-06-29,D,Nelcast Ord Shs,39.540001,39.870001,37.260001,37.740001,6809409.898532,0
2007-07-02,D,Nelcast Ord Shs,37.610001,40.790001,36.820001,38.870001,10213104.847813,0
2007-07-03,D,Nelcast Ord Shs,39.180001,40.300001,38.240001,38.450001,3253704.951516,0
2007-07-04,D,Nelcast Ord Shs,38.600001,38.990001,37.040001,37.410001,1869759.972138,0
2007-07-05,D,Nelcast Ord Shs,37.600001,37.720001,35.740001,35.940001,1174039.982505,0
2007-07-06,D,Nelcast Ord Shs,36.000001,37.200001,35.120001,35.380001,2722594.95943,0
2007-07-09,D,Nelcast Ord Shs,35.690001,37.380001,35.400001,36.340001,3686559.945066,0
2007-07-10,D,Nelcast Ord Shs,36.400001,36.710001,35.430001,35.630001,1057124.984248,0
2007-07-11,D,Nelcast Ord Shs,35.600001,36.100001,35.200001,35.470001,987139.98529,0
2007-07-12,D,Nelcast Ord Shs,35.630001,36.480001,35.630001,36.040001,980459.98539,0
2007-07-13,D,Nelcast Ord Shs,36.400001,36.740001,34.700001,34.940001,1097529.983646,0
2007-07-16,D,Nelcast Ord Shs,35.120001,36.100001,34.800001,35.260001,988794.985266,0
2007-07-17,D,Nelcast Ord Shs,35.300001,36.120001,34.400001,34.720001,665979.990076,0
2007-07-18,D,Nelcast Ord Shs,34.920001,35.060001,34.400001,34.490001,482649.992808,0
2007-07-19,D,Nelcast Ord Shs,35.600001,35.600001,33.800001,34.000001,292459.995642,0
2007-07-20,D,Nelcast Ord Shs,34.480001,34.480001,33.05,33.24,460364.99314,0
2007-07-23,D,Nelcast Ord Shs,33.800001,34.000001,32.4,32.91,514379.992335,0
2007-07-24,D,Nelcast Ord Shs,32.91,33.600001,31.41,31.58,443594.99339,0
2007-07-25,D,Nelcast Ord Shs,31.2,31.4,29.22,29.39,588484.991231,0
2007-07-26,D,Nelcast Ord Shs,29.6,35.270001,29.2,34.090001,4355879.935092,0
2007-07-27,D,Nelcast Ord Shs,32.64,33.780001,31.3,31.88,1578909.976472,0
2007-07-30,D,Nelcast Ord Shs,32.17,34.600001,31.0,31.67,3062494.954365,0
2007-07-31,D,Nelcast Ord Shs,32.02,32.73,31.45,31.76,763199.988627,0
2007-08-01,D,Nelcast Ord Shs,31.8,33.18,31.01,31.15,971414.985525,0
2007-08-02,D,Nelcast Ord Shs,31.4,32.4,30.62,30.95,540424.991947,0
2007-08-03,D,Nelcast Ord Shs,31.3,32.29,30.65,30.84,458534.993167,0
2007-08-06,D,Nelcast Ord Shs,30.0,30.78,29.7,30.27,262334.996091,0
2007-08-07,D,Nelcast Ord Shs,31.0,31.56,30.45,30.63,282319.995793,0
2007-08-08,D,Nelcast Ord Shs,31.34,33.4,30.65,31.95,2590679.961396,0
2007-08-09,D,Nelcast Ord Shs,32.62,32.95,31.0,31.12,557709.991689,0
2007-08-10,D,Nelcast Ord Shs,30.42,30.64,29.12,30.48,487354.992738,0
2007-08-13,D,Nelcast Ord Shs,31.2,32.18,30.9,31.5,387944.994219,0
2007-08-14,D,Nelcast Ord Shs,31.6,31.96,31.2,31.3,206574.996922,0
2007-08-16,D,Nelcast Ord Shs,30.4,30.67,29.72,30.1,166014.997526,0
2007-08-17,D,Nelcast Ord Shs,29.6,30.95,28.27,29.23,271819.99595,0
2007-08-20,D,Nelcast Ord Shs,30.18,30.8,29.03,29.2,195469.997087,0
2007-08-21,D,Nelcast Ord Shs,29.41,29.56,28.21,28.32,160869.997603,0
2007-08-22,D,Nelcast Ord Shs,29.0,29.0,27.04,27.55,157759.997649,0
2007-08-23,D,Nelcast Ord Shs,28.0,28.8,27.0,27.15,240464.996417,0
2007-08-24,D,Nelcast Ord Shs,27.31,27.8,27.0,27.11,133129.998016,0
2007-08-27,D,Nelcast Ord Shs,27.99,28.0,27.0,27.85,184139.997256,0
2007-08-28,D,Nelcast Ord Shs,27.96,30.5,27.6,30.0,475094.992921,0
2007-08-29,D,Nelcast Ord Shs,29.22,30.96,29.2,29.56,418089.99377,0
2007-08-30,D,Nelcast Ord Shs,30.4,30.78,29.6,29.8,242769.996382,0
2007-08-31,D,Nelcast Ord Shs,30.2,30.4,29.21,29.42,139044.997928,0
2007-09-03,D,Nelcast Ord Shs,29.8,30.3,29.45,29.54,106964.998406,0
2007-09-04,D,Nelcast Ord Shs,29.96,30.38,29.6,29.92,172269.997433,0
2007-09-05,D,Nelcast Ord Shs,29.93,30.96,29.82,30.56,289214.99569,0
2007-09-06,D,Nelcast Ord Shs,30.4,31.98,30.4,31.21,396979.994085,0
2007-09-07,D,Nelcast Ord Shs,31.4,32.6,31.08,31.32,586054.991267,0
2007-09-10,D,Nelcast Ord Shs,31.54,31.8,30.44,31.45,280929.995814,0
2007-09-11,D,Nelcast Ord Shs,31.8,31.8,30.06,30.87,159419.997624,0
2007-09-12,D,Nelcast Ord Shs,31.56,31.56,30.3,30.6,146559.997816,0
2007-09-13,D,Nelcast Ord Shs,31.18,31.34,30.41,30.56,88494.998681,0
2007-09-14,D,Nelcast Ord Shs,31.1,31.2,29.0,29.53,248209.996301,0
2007-09-17,D,Nelcast Ord Shs,29.96,30.2,29.06,29.25,139059.997928,0
2007-09-18,D,Nelcast Ord Shs,29.02,29.8,29.02,29.61,151294.997746,0
2007-09-19,D,Nelcast Ord Shs,30.5,31.0,30.1,30.28,213379.99682,0
2007-09-20,D,Nelcast Ord Shs,30.41,32.58,30.41,31.08,1075154.983979,0
2007-09-21,D,Nelcast Ord Shs,31.42,34.200001,31.4,33.590001,2115099.968483,0
2007-09-24,D,Nelcast Ord Shs,35.800001,35.800001,33.2,33.46,629629.990618,0
2007-09-25,D,Nelcast Ord Shs,34.000001,34.000001,32.0,32.5,289859.995681,0
2007-09-26,D,Nelcast Ord Shs,32.5,33.44,31.9,32.35,364989.994561,0
2007-09-27,D,Nelcast Ord Shs,33.4,33.4,31.6,31.87,211824.996844,0
2007-09-28,D,Nelcast Ord Shs,31.62,32.39,31.0,31.08,176784.997366,0
2007-10-01,D,Nelcast Ord Shs,31.2,32.94,31.2,32.32,691584.989695,0
