Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-02-21,D,Nintec Systems Ord Shs,167.222356,167.222356,147.527896,156.250125,6528.594786,0
2023-02-22,D,Nintec Systems Ord Shs,166.6668,171.861248,162.361241,171.861248,17659.785895,0
2023-02-23,D,Nintec Systems Ord Shs,180.527922,189.027929,177.027919,189.027929,37049.370409,0
2023-02-24,D,Nintec Systems Ord Shs,198.472381,198.472381,197.555713,198.472381,16293.586986,1
2023-02-27,D,Nintec Systems Ord Shs,207.777944,208.389055,207.416832,208.389055,5621.39551,0
2023-02-28,D,Nintec Systems Ord Shs,218.80573,218.80573,197.97238,197.97238,11725.190635,0
2023-03-01,D,Nintec Systems Ord Shs,188.083484,188.083484,188.083484,188.083484,1101.59912,1
2023-03-02,D,Nintec Systems Ord Shs,178.694587,178.694587,178.694587,178.694587,1295.998965,1
2023-03-03,D,Nintec Systems Ord Shs,169.777913,169.777913,169.777913,169.777913,1771.198585,1
2023-03-06,D,Nintec Systems Ord Shs,161.389018,161.389018,161.305684,161.305684,3448.797245,0
2023-03-08,D,Nintec Systems Ord Shs,153.250122,153.250122,153.250122,153.250122,1666.798669,1
2023-03-09,D,Nintec Systems Ord Shs,145.58345,160.889017,145.58345,160.889017,11467.790841,0
2023-03-10,D,Nintec Systems Ord Shs,168.889024,168.916802,168.889024,168.916802,2950.197644,0
2023-03-13,D,Nintec Systems Ord Shs,177.361253,177.361253,177.361253,177.361253,500.3996,1
2023-03-14,D,Nintec Systems Ord Shs,182.777924,186.11126,168.500135,168.500135,4660.196278,0
2023-03-15,D,Nintec Systems Ord Shs,160.083461,160.083461,160.083461,160.083461,3830.396941,1
2023-03-16,D,Nintec Systems Ord Shs,152.083455,160.527906,152.083455,152.083455,7732.793824,1
2023-03-17,D,Nintec Systems Ord Shs,152.083455,152.083455,144.500115,146.639006,13654.789094,0
2023-03-20,D,Nintec Systems Ord Shs,153.805678,153.861234,141.694558,148.194563,9629.992309,0
2023-03-21,D,Nintec Systems Ord Shs,152.444566,155.583458,150.139009,155.583458,7595.993933,0
2023-03-22,D,Nintec Systems Ord Shs,163.333464,163.361242,152.222344,163.361242,10569.591558,0
