Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2008-03-03,D,NMDC Ord Shs,260.441089,260.441089,249.318183,259.600315,52800.054288,0
2008-03-04,D,NMDC Ord Shs,263.403199,263.403199,246.620652,246.620652,18840.019371,0
2008-03-05,D,NMDC Ord Shs,239.861538,244.471094,234.29009,242.714289,16590.017058,0
2008-03-07,D,NMDC Ord Shs,246.940499,246.940499,230.578927,230.809405,22530.023165,0
2008-03-10,D,NMDC Ord Shs,208.159082,239.814502,208.159082,234.489994,38580.039667,0
2008-03-11,D,NMDC Ord Shs,240.825782,257.939934,235.769381,257.939934,32580.033498,0
2008-03-12,D,NMDC Ord Shs,283.733457,283.734633,283.733457,283.734633,11670.011999,0
2008-03-13,D,NMDC Ord Shs,303.369931,303.369931,255.36117,255.36117,105720.108699,0
2008-03-14,D,NMDC Ord Shs,256.347756,280.898345,235.299018,277.567,97380.100124,0
2008-03-17,D,NMDC Ord Shs,256.112575,266.907402,249.810888,249.855573,42420.043615,0
2008-03-18,D,NMDC Ord Shs,258.676052,263.403199,234.946246,242.896554,50730.05216,0
2008-03-19,D,NMDC Ord Shs,258.229207,263.63838,220.600179,223.980912,35190.036182,0
2008-03-24,D,NMDC Ord Shs,234.946246,235.063837,202.020846,208.903431,42630.043831,0
2008-03-25,D,NMDC Ord Shs,190.499308,225.77417,190.499308,222.127682,43500.044726,0
2008-03-26,D,NMDC Ord Shs,230.454281,230.454281,214.485462,219.347838,24900.025602,0
2008-03-27,D,NMDC Ord Shs,213.544736,226.950078,211.663285,223.618733,22890.023535,0
2008-03-28,D,NMDC Ord Shs,223.892719,245.980959,211.663285,241.931135,27900.028686,0
2008-03-31,D,NMDC Ord Shs,245.980959,266.124248,242.23687,243.762022,90990.093554,0
2008-04-01,D,NMDC Ord Shs,252.702444,268.083309,244.353503,257.321407,61590.063326,0
2008-04-02,D,NMDC Ord Shs,270.458642,279.865899,251.902827,254.341658,32820.033745,0
2008-04-03,D,NMDC Ord Shs,254.113533,254.113533,239.885056,243.509202,23430.02409,0
2008-04-04,D,NMDC Ord Shs,251.408946,265.755013,237.533242,239.602838,56970.058575,0
2008-04-07,D,NMDC Ord Shs,249.057132,263.563122,245.764592,263.563122,150300.154536,0
2008-04-08,D,NMDC Ord Shs,284.334346,289.919905,275.138752,289.919905,57090.058699,0
2008-04-09,D,NMDC Ord Shs,318.911895,318.911895,318.911895,318.911895,53940.05546,1
2008-04-10,D,NMDC Ord Shs,334.863071,334.863071,334.863071,334.863071,22053.023003,1
2008-04-11,D,NMDC Ord Shs,351.607988,351.607988,351.607988,351.607988,15408.016072,1
