Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-07-11,D,Oriental Aromatics Ord Shs,207.75,207.75,192.75,194.7,316,0
2019-07-12,D,Oriental Aromatics Ord Shs,205.95,205.95,196.05,200.5,156,0
2019-07-15,D,Oriental Aromatics Ord Shs,179.0,208.0,179.0,208.0,211,0
2019-07-16,D,Oriental Aromatics Ord Shs,195.0,207.8,195.0,201.0,189,0
2019-07-17,D,Oriental Aromatics Ord Shs,180.0,201.0,180.0,201.0,664,0
2019-07-18,D,Oriental Aromatics Ord Shs,185.55,201.2,185.55,198.85,845,0
2019-07-19,D,Oriental Aromatics Ord Shs,195.0,198.85,184.15,185.3,3216,0
2019-07-22,D,Oriental Aromatics Ord Shs,166.05,186.95,166.05,186.95,1297,0
2019-07-23,D,Oriental Aromatics Ord Shs,182.0,189.9,181.45,185.15,232,0
2019-07-24,D,Oriental Aromatics Ord Shs,173.3,194.6,173.3,188.4,760,0
2019-07-25,D,Oriental Aromatics Ord Shs,171.25,195.0,171.25,194.8,1907,0
2019-07-26,D,Oriental Aromatics Ord Shs,182.0,197.0,182.0,196.25,1056,0
2019-07-29,D,Oriental Aromatics Ord Shs,181.25,196.9,181.25,196.0,2903,0
2019-07-30,D,Oriental Aromatics Ord Shs,182.0,213.6,175.0,177.85,3172,0
2019-07-31,D,Oriental Aromatics Ord Shs,161.0,181.95,161.0,181.95,1044,0
2019-08-01,D,Oriental Aromatics Ord Shs,171.05,183.9,171.05,175.5,950,0
2019-08-02,D,Oriental Aromatics Ord Shs,165.55,179.9,165.55,177.6,697,0
2019-08-05,D,Oriental Aromatics Ord Shs,163.0,179.85,163.0,177.05,633,0
2019-08-06,D,Oriental Aromatics Ord Shs,171.8,175.0,167.0,172.1,498,0
2019-08-07,D,Oriental Aromatics Ord Shs,170.1,178.3,170.1,172.25,818,0
2019-08-08,D,Oriental Aromatics Ord Shs,168.1,176.75,165.0,170.75,1351,0
2019-08-09,D,Oriental Aromatics Ord Shs,180.1,196.0,166.5,190.0,6710,0
2019-08-13,D,Oriental Aromatics Ord Shs,185.3,195.0,175.05,189.4,4224,0
2019-08-14,D,Oriental Aromatics Ord Shs,183.75,195.0,183.75,193.35,1533,0
2019-08-16,D,Oriental Aromatics Ord Shs,188.15,197.0,188.1,196.15,1747,0
2019-08-19,D,Oriental Aromatics Ord Shs,197.0,197.0,179.0,192.25,1243,0
2019-08-20,D,Oriental Aromatics Ord Shs,187.35,196.75,187.35,193.3,817,0
2019-08-21,D,Oriental Aromatics Ord Shs,189.15,196.25,182.6,189.15,2659,1
2019-08-22,D,Oriental Aromatics Ord Shs,178.55,195.0,178.55,186.45,1439,0
2019-08-23,D,Oriental Aromatics Ord Shs,181.25,193.0,181.2,185.05,451,0
2019-08-26,D,Oriental Aromatics Ord Shs,194.15,194.2,181.4,183.95,2117,0
2019-08-27,D,Oriental Aromatics Ord Shs,182.55,192.95,177.0,180.1,4780,0
2019-08-28,D,Oriental Aromatics Ord Shs,185.4,187.0,180.3,186.15,937,0
2019-08-29,D,Oriental Aromatics Ord Shs,180.65,189.95,180.65,181.55,1327,0
2019-08-30,D,Oriental Aromatics Ord Shs,181.1,189.65,181.05,187.05,1015,0
2019-09-03,D,Oriental Aromatics Ord Shs,181.4,189.5,177.4,178.2,2738,0
2019-09-04,D,Oriental Aromatics Ord Shs,177.15,183.4,177.15,180.0,428,0
2019-09-05,D,Oriental Aromatics Ord Shs,177.05,187.9,177.05,183.3,510,0
2019-09-06,D,Oriental Aromatics Ord Shs,180.25,191.0,180.25,189.05,1531,0
2019-09-09,D,Oriental Aromatics Ord Shs,190.0,193.0,183.45,192.0,1583,0
2019-09-11,D,Oriental Aromatics Ord Shs,192.05,201.0,192.05,199.55,4598,0
2019-09-12,D,Oriental Aromatics Ord Shs,206.05,206.8,194.15,195.05,2795,0
2019-09-13,D,Oriental Aromatics Ord Shs,199.75,199.75,196.5,199.25,995,0
2019-09-16,D,Oriental Aromatics Ord Shs,197.55,198.0,185.35,195.15,2090,0
2019-09-17,D,Oriental Aromatics Ord Shs,190.05,201.8,190.05,195.95,1207,0
2019-09-18,D,Oriental Aromatics Ord Shs,194.05,198.95,193.5,193.55,858,0
2019-09-19,D,Oriental Aromatics Ord Shs,196.0,196.0,187.75,191.6,396,0
2019-09-20,D,Oriental Aromatics Ord Shs,192.6,200.0,182.6,197.55,3787,0
2019-09-23,D,Oriental Aromatics Ord Shs,200.0,200.0,184.2,192.05,10087,0
2019-09-24,D,Oriental Aromatics Ord Shs,190.15,196.75,186.0,189.45,4109,0
2019-09-25,D,Oriental Aromatics Ord Shs,187.5,227.3,187.5,221.1,33104,0
2019-09-26,D,Oriental Aromatics Ord Shs,233.4,233.4,215.6,221.5,16257,0
2019-09-27,D,Oriental Aromatics Ord Shs,232.0,232.0,201.05,208.05,4858,0
2019-09-30,D,Oriental Aromatics Ord Shs,204.0,211.2,202.0,209.75,1788,0
2019-10-01,D,Oriental Aromatics Ord Shs,204.6,209.2,193.25,195.1,13623,0
2019-10-03,D,Oriental Aromatics Ord Shs,191.55,196.0,184.0,187.55,4610,0
2019-10-04,D,Oriental Aromatics Ord Shs,193.0,194.95,186.0,187.1,3634,0
2019-10-07,D,Oriental Aromatics Ord Shs,187.65,192.5,186.05,186.2,2563,0
2019-10-09,D,Oriental Aromatics Ord Shs,187.0,193.35,186.6,187.25,2650,0
2019-10-10,D,Oriental Aromatics Ord Shs,187.25,195.0,187.0,187.75,1548,0
2019-10-11,D,Oriental Aromatics Ord Shs,188.0,200.75,185.65,198.85,2259,0
2019-10-14,D,Oriental Aromatics Ord Shs,202.95,202.95,191.0,197.45,2214,0
2019-10-15,D,Oriental Aromatics Ord Shs,196.0,200.0,190.15,195.65,1042,0
2019-10-16,D,Oriental Aromatics Ord Shs,189.0,200.0,189.0,195.0,763,0
2019-10-17,D,Oriental Aromatics Ord Shs,191.0,202.0,191.0,200.05,2418,0
2019-10-18,D,Oriental Aromatics Ord Shs,194.15,203.1,193.05,198.5,3392,0
2019-10-22,D,Oriental Aromatics Ord Shs,197.5,200.0,195.0,196.1,2504,0
2019-10-23,D,Oriental Aromatics Ord Shs,193.5,202.0,190.8,200.25,4204,0
2019-10-24,D,Oriental Aromatics Ord Shs,204.4,205.0,195.6,197.4,1872,0
2019-10-25,D,Oriental Aromatics Ord Shs,195.3,202.7,195.3,196.55,794,0
2019-10-27,D,Oriental Aromatics Ord Shs,201.8,205.0,199.1,200.55,536,0
2019-10-29,D,Oriental Aromatics Ord Shs,205.0,211.8,198.0,199.05,2422,0
2019-10-30,D,Oriental Aromatics Ord Shs,199.0,217.35,195.0,206.25,5994,0
2019-10-31,D,Oriental Aromatics Ord Shs,211.0,211.0,201.0,203.25,990,0
2019-11-01,D,Oriental Aromatics Ord Shs,202.05,203.7,199.45,202.3,1688,0
2019-11-04,D,Oriental Aromatics Ord Shs,202.55,204.95,200.2,202.9,1103,0
2019-11-05,D,Oriental Aromatics Ord Shs,200.4,205.0,191.5,194.95,3108,0
2019-11-06,D,Oriental Aromatics Ord Shs,192.0,199.95,192.0,196.4,477,0
2019-11-07,D,Oriental Aromatics Ord Shs,197.05,210.0,196.0,199.95,5238,0
2019-11-08,D,Oriental Aromatics Ord Shs,204.0,204.0,199.0,200.1,3442,0
2019-11-11,D,Oriental Aromatics Ord Shs,201.0,205.0,195.1,198.65,4391,0
2019-11-13,D,Oriental Aromatics Ord Shs,199.0,200.0,191.5,191.8,6745,0
2019-11-14,D,Oriental Aromatics Ord Shs,190.4,193.0,181.4,188.1,3774,0
2019-11-15,D,Oriental Aromatics Ord Shs,187.05,189.9,185.0,185.8,3126,0
2019-11-18,D,Oriental Aromatics Ord Shs,189.95,200.0,188.5,196.35,7748,0
2019-11-19,D,Oriental Aromatics Ord Shs,194.05,199.35,185.1,193.25,6599,0
2019-11-20,D,Oriental Aromatics Ord Shs,196.0,198.0,190.0,196.2,9765,0
2019-11-21,D,Oriental Aromatics Ord Shs,196.2,197.9,194.0,195.0,1835,0
2019-11-22,D,Oriental Aromatics Ord Shs,192.5,198.95,190.0,193.9,2527,0
2019-11-25,D,Oriental Aromatics Ord Shs,195.1,195.1,187.1,193.9,4097,0
2019-11-26,D,Oriental Aromatics Ord Shs,190.8,193.85,186.5,186.9,1740,0
2019-11-27,D,Oriental Aromatics Ord Shs,186.15,189.35,182.0,184.4,3081,0
2019-11-28,D,Oriental Aromatics Ord Shs,185.0,185.0,182.4,184.05,523,0
2019-11-29,D,Oriental Aromatics Ord Shs,183.7,184.0,180.0,180.75,1726,0
2019-12-02,D,Oriental Aromatics Ord Shs,192.8,192.8,176.0,180.2,1609,0
2019-12-03,D,Oriental Aromatics Ord Shs,181.0,189.0,177.05,183.7,1360,0
2019-12-04,D,Oriental Aromatics Ord Shs,185.0,195.0,179.95,190.2,5208,0
