Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-12-15,D,Orient Ceratech Ord Shs,6.515803,6.515803,5.657131,5.749733,112560,0
2005-12-16,D,Orient Ceratech Ord Shs,5.850753,5.977028,5.640294,5.665549,22836,0
2005-12-19,D,Orient Ceratech Ord Shs,5.682386,5.76657,5.598203,5.623458,21706,0
2005-12-20,D,Orient Ceratech Ord Shs,5.556111,5.598203,5.438254,5.488764,18074,0
2005-12-21,D,Orient Ceratech Ord Shs,5.673968,6.027539,5.421417,5.471927,78728,0
2005-12-22,D,Orient Ceratech Ord Shs,5.471927,5.480346,5.328816,5.362489,24722,0
2005-12-23,D,Orient Ceratech Ord Shs,5.30356,5.463509,5.30356,5.337234,42114,0
2005-12-26,D,Orient Ceratech Ord Shs,5.261469,5.488764,5.084683,5.25305,69936,0
2005-12-27,D,Orient Ceratech Ord Shs,5.286724,5.328816,5.084683,5.177285,24436,0
2005-12-28,D,Orient Ceratech Ord Shs,5.286724,5.379326,5.15203,5.295142,20736,0
2005-12-29,D,Orient Ceratech Ord Shs,5.446672,5.446672,5.227795,5.286724,9404,0
2005-12-30,D,Orient Ceratech Ord Shs,5.261469,5.556111,5.261469,5.438254,19580,0
2006-01-02,D,Orient Ceratech Ord Shs,5.556111,5.808661,5.556111,5.657131,74788,0
2006-01-03,D,Orient Ceratech Ord Shs,5.724478,5.724478,5.615039,5.673968,35484,0
2006-01-04,D,Orient Ceratech Ord Shs,5.76657,5.76657,5.572948,5.615039,36540,0
2006-01-05,D,Orient Ceratech Ord Shs,5.640294,5.640294,5.471927,5.514019,23332,0
2006-01-06,D,Orient Ceratech Ord Shs,5.556111,5.589784,5.30356,5.480346,51474,0
2006-01-09,D,Orient Ceratech Ord Shs,5.522438,5.522438,5.387744,5.455091,40972,0
2006-01-10,D,Orient Ceratech Ord Shs,5.421417,5.707641,5.421417,5.505601,60464,0
2006-01-12,D,Orient Ceratech Ord Shs,5.505601,5.598203,5.480346,5.522438,28530,0
2006-01-13,D,Orient Ceratech Ord Shs,5.556111,5.640294,5.421417,5.463509,26554,0
2006-01-16,D,Orient Ceratech Ord Shs,5.488764,5.556111,5.328816,5.362489,28720,0
2006-01-17,D,Orient Ceratech Ord Shs,5.337234,5.379326,5.135193,5.194122,75536,0
2006-01-18,D,Orient Ceratech Ord Shs,5.362489,5.362489,5.185704,5.210959,11108,0
2006-01-19,D,Orient Ceratech Ord Shs,5.446672,5.446672,5.236214,5.269887,16180,0
2006-01-20,D,Orient Ceratech Ord Shs,5.438254,5.446672,5.219377,5.286724,35174,0
2006-01-23,D,Orient Ceratech Ord Shs,5.387744,5.598203,5.387744,5.463509,27880,0
2006-01-24,D,Orient Ceratech Ord Shs,5.522438,5.522438,5.337234,5.362489,19306,0
2006-01-25,D,Orient Ceratech Ord Shs,5.387744,5.455091,5.362489,5.379326,22930,0
2006-01-27,D,Orient Ceratech Ord Shs,5.328816,5.387744,5.236214,5.311979,28370,0
2006-01-30,D,Orient Ceratech Ord Shs,5.25305,5.30356,5.05101,5.177285,34530,0
2006-01-31,D,Orient Ceratech Ord Shs,5.219377,5.219377,5.143612,5.177285,14960,0
2006-02-01,D,Orient Ceratech Ord Shs,5.219377,5.219377,4.933153,5.05101,28268,0
2006-02-02,D,Orient Ceratech Ord Shs,5.067847,5.227795,4.882643,5.05101,50836,0
2006-02-03,D,Orient Ceratech Ord Shs,4.806878,5.10152,4.806878,4.94999,39700,0
2006-02-06,D,Orient Ceratech Ord Shs,4.966826,4.966826,4.882643,4.89948,34748,0
2006-02-07,D,Orient Ceratech Ord Shs,5.514019,5.514019,4.891061,4.983663,25468,0
2006-02-08,D,Orient Ceratech Ord Shs,5.05101,5.05101,4.89948,4.907898,30342,0
2006-02-10,D,Orient Ceratech Ord Shs,4.924735,5.0005,4.89948,4.907898,17012,0
2006-02-13,D,Orient Ceratech Ord Shs,4.891061,4.933153,4.865806,4.874225,60640,0
2006-02-14,D,Orient Ceratech Ord Shs,4.874225,5.05101,4.857388,4.882643,26648,0
2006-02-15,D,Orient Ceratech Ord Shs,4.84897,5.05101,4.84897,4.874225,15486,0
2006-02-16,D,Orient Ceratech Ord Shs,5.05101,5.05101,4.865806,4.933153,17542,0
2006-02-17,D,Orient Ceratech Ord Shs,4.882643,4.933153,4.781623,4.798459,25902,0
2006-02-20,D,Orient Ceratech Ord Shs,4.966826,4.966826,4.663766,4.731113,42842,0
2006-02-21,D,Orient Ceratech Ord Shs,4.798459,4.806878,4.638511,4.672184,26716,0
2006-02-22,D,Orient Ceratech Ord Shs,4.630092,4.714276,4.293358,4.588001,204590,0
2006-02-23,D,Orient Ceratech Ord Shs,4.545909,4.613256,4.428052,4.512236,52412,0
2006-02-24,D,Orient Ceratech Ord Shs,4.537491,4.545909,4.478562,4.537491,20060,1
2006-02-27,D,Orient Ceratech Ord Shs,4.545909,4.604837,4.470144,4.503817,54780,0
2006-02-28,D,Orient Ceratech Ord Shs,4.545909,4.545909,4.444889,4.453307,46650,0
2006-03-01,D,Orient Ceratech Ord Shs,4.545909,4.545909,4.360705,4.369124,104322,0
2006-03-02,D,Orient Ceratech Ord Shs,4.495399,4.495399,4.293358,4.293358,39080,0
2006-03-03,D,Orient Ceratech Ord Shs,4.419634,4.419634,3.872441,3.98188,128164,0
2006-03-06,D,Orient Ceratech Ord Shs,4.057645,4.781623,4.007135,4.739531,270416,0
2006-03-07,D,Orient Ceratech Ord Shs,4.84897,4.84897,4.377542,4.411215,172594,0
2006-03-08,D,Orient Ceratech Ord Shs,4.453307,4.689021,4.377542,4.428052,82426,0
2006-03-09,D,Orient Ceratech Ord Shs,4.360705,4.461725,4.310195,4.327032,82468,0
2006-03-10,D,Orient Ceratech Ord Shs,4.495399,5.194122,4.394379,5.194122,347326,0
2006-03-13,D,Orient Ceratech Ord Shs,5.387744,5.539274,4.840551,4.933153,368452,0
