Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-03-19,D,Ortel Communications Ord Shs,160.05,168.05,160.05,162.25,26520,0
2015-03-20,D,Ortel Communications Ord Shs,160.0,169.85,154.15,155.1,33398,0
2015-03-23,D,Ortel Communications Ord Shs,150.0,160.0,147.35,149.65,14516,0
2015-03-24,D,Ortel Communications Ord Shs,142.2,153.0,142.2,146.0,24200,0
2015-03-25,D,Ortel Communications Ord Shs,139.0,148.85,139.0,146.65,3494,0
2015-03-26,D,Ortel Communications Ord Shs,148.95,153.95,142.0,144.45,18081,0
2015-03-27,D,Ortel Communications Ord Shs,140.55,146.0,137.25,142.75,4711,0
2015-03-30,D,Ortel Communications Ord Shs,136.0,149.8,135.65,147.5,14960,0
2015-03-31,D,Ortel Communications Ord Shs,150.0,154.7,147.0,152.3,3373,0
2015-04-01,D,Ortel Communications Ord Shs,159.0,159.0,146.05,157.05,1117,0
2015-04-06,D,Ortel Communications Ord Shs,166.9,166.9,151.5,154.55,46653,0
2015-04-07,D,Ortel Communications Ord Shs,160.0,160.0,152.0,156.0,72267,0
2015-04-08,D,Ortel Communications Ord Shs,157.95,157.95,153.55,156.55,339,0
2015-04-09,D,Ortel Communications Ord Shs,156.0,159.95,151.5,156.35,47660,0
2015-04-10,D,Ortel Communications Ord Shs,160.0,160.0,153.0,157.2,1501,0
2015-04-13,D,Ortel Communications Ord Shs,160.0,166.0,157.0,164.0,13980,0
2015-04-15,D,Ortel Communications Ord Shs,170.0,170.0,159.25,166.05,14126,0
2015-04-16,D,Ortel Communications Ord Shs,163.0,168.0,159.0,165.7,11508,0
2015-04-17,D,Ortel Communications Ord Shs,165.0,175.95,165.0,174.35,12334,0
2015-04-20,D,Ortel Communications Ord Shs,146.0,190.5,146.0,178.35,334411,0
2015-04-21,D,Ortel Communications Ord Shs,180.0,188.8,180.0,183.2,73657,0
2015-04-22,D,Ortel Communications Ord Shs,183.0,183.0,176.35,179.9,10657,0
2015-04-23,D,Ortel Communications Ord Shs,178.7,181.95,175.15,179.6,12323,0
2015-04-24,D,Ortel Communications Ord Shs,176.0,186.0,170.0,176.0,29203,1
2015-04-27,D,Ortel Communications Ord Shs,170.1,173.0,161.0,165.3,3547,0
2015-04-28,D,Ortel Communications Ord Shs,162.05,175.7,161.05,166.8,1132,0
2015-04-29,D,Ortel Communications Ord Shs,160.05,172.0,160.05,171.1,1049,0
2015-04-30,D,Ortel Communications Ord Shs,165.0,172.9,165.0,170.8,1066,0
2015-05-04,D,Ortel Communications Ord Shs,165.0,180.0,161.0,172.25,2887,0
2015-05-05,D,Ortel Communications Ord Shs,165.0,172.95,164.0,171.3,634,0
2015-05-06,D,Ortel Communications Ord Shs,164.0,172.4,161.0,167.5,5369,0
2015-05-07,D,Ortel Communications Ord Shs,161.05,171.3,161.05,168.05,1761,0
2015-05-08,D,Ortel Communications Ord Shs,161.05,169.8,161.05,167.15,597,0
2015-05-11,D,Ortel Communications Ord Shs,169.55,172.0,160.4,170.7,631,0
2015-05-12,D,Ortel Communications Ord Shs,163.05,173.6,163.05,165.45,1320,0
2015-05-13,D,Ortel Communications Ord Shs,164.6,166.0,164.6,165.4,723,0
2015-05-14,D,Ortel Communications Ord Shs,166.0,169.0,166.0,168.8,1321,0
2015-05-15,D,Ortel Communications Ord Shs,163.2,171.0,163.1,170.85,1243,0
2015-05-18,D,Ortel Communications Ord Shs,172.95,173.9,159.0,171.2,5785,0
