Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-04-25,D,Panache Digilife Ord Shs,42.0,43.4,42.0,42.875,1446400,0
2017-04-26,D,Panache Digilife Ord Shs,43.425,46.875,43.3,45.775,310400,0
2017-04-27,D,Panache Digilife Ord Shs,47.25,48.0,46.775,47.925,115200,0
2017-04-28,D,Panache Digilife Ord Shs,49.0,57.0,49.0,56.2,179200,0
2017-05-02,D,Panache Digilife Ord Shs,56.0,61.375,53.25,53.4,284800,0
2017-05-03,D,Panache Digilife Ord Shs,55.0,55.0,51.475,51.875,220800,0
2017-05-04,D,Panache Digilife Ord Shs,52.775,54.25,52.5,53.075,89600,0
2017-05-05,D,Panache Digilife Ord Shs,54.1,54.475,53.5,53.55,134400,0
2017-05-08,D,Panache Digilife Ord Shs,55.0,55.05,54.2,54.375,32000,0
2017-05-09,D,Panache Digilife Ord Shs,58.5,58.5,54.5,54.75,60800,0
2017-05-10,D,Panache Digilife Ord Shs,57.25,57.325,53.0,53.15,51200,0
2017-05-11,D,Panache Digilife Ord Shs,54.25,54.25,51.5,51.525,70400,0
2017-05-12,D,Panache Digilife Ord Shs,51.1,51.5,50.75,50.825,38400,0
2017-05-15,D,Panache Digilife Ord Shs,51.25,51.5,50.8,50.95,41600,0
2017-05-16,D,Panache Digilife Ord Shs,50.6,50.65,48.75,48.75,38400,0
2017-05-17,D,Panache Digilife Ord Shs,52.0,52.0,46.25,46.4,38400,0
2017-05-18,D,Panache Digilife Ord Shs,48.0,48.0,44.425,44.95,60800,0
2017-05-19,D,Panache Digilife Ord Shs,45.5,47.0,45.25,45.25,25600,0
2017-05-22,D,Panache Digilife Ord Shs,49.5,49.5,47.15,47.25,16000,0
2017-05-23,D,Panache Digilife Ord Shs,50.5,50.6,46.75,46.875,54400,0
2017-05-24,D,Panache Digilife Ord Shs,48.75,48.75,46.25,46.25,25600,0
2017-05-25,D,Panache Digilife Ord Shs,47.25,47.25,45.525,45.525,19200,0
2017-05-26,D,Panache Digilife Ord Shs,47.25,47.25,45.0,45.0,16000,0
2017-05-29,D,Panache Digilife Ord Shs,47.95,47.95,46.4,46.4,12800,0
2017-05-30,D,Panache Digilife Ord Shs,47.35,47.35,45.0,45.0,12800,0
2017-05-31,D,Panache Digilife Ord Shs,46.75,46.75,44.95,45.25,22400,0
2017-06-01,D,Panache Digilife Ord Shs,46.9,46.9,44.975,44.975,16000,0
2017-06-02,D,Panache Digilife Ord Shs,46.25,46.5,45.5,45.75,22400,0
2017-06-05,D,Panache Digilife Ord Shs,48.75,48.75,46.55,46.55,19200,0
2017-06-06,D,Panache Digilife Ord Shs,45.7,48.0,45.7,47.5,19200,0
2017-06-07,D,Panache Digilife Ord Shs,47.5,51.75,47.5,49.5,131200,0
2017-06-08,D,Panache Digilife Ord Shs,51.0,55.4,51.0,54.5,80000,0
2017-06-09,D,Panache Digilife Ord Shs,56.5,56.625,53.45,53.9,35200,0
2017-06-12,D,Panache Digilife Ord Shs,55.25,55.25,53.05,53.05,22400,0
2017-06-13,D,Panache Digilife Ord Shs,57.5,57.95,57.5,57.95,9600,0
2017-06-14,D,Panache Digilife Ord Shs,56.75,56.8,56.75,56.775,9600,0
2017-06-15,D,Panache Digilife Ord Shs,60.25,60.3,60.25,60.275,9600,0
2017-06-16,D,Panache Digilife Ord Shs,58.0,58.0,54.4,54.45,22400,0
2017-06-19,D,Panache Digilife Ord Shs,53.7,54.425,53.7,54.35,12800,0
2017-06-20,D,Panache Digilife Ord Shs,58.25,58.25,55.0,55.0,16000,0
2017-06-21,D,Panache Digilife Ord Shs,55.4,55.45,52.0,52.325,25600,0
2017-06-22,D,Panache Digilife Ord Shs,55.05,55.125,54.25,54.25,19200,0
2017-06-23,D,Panache Digilife Ord Shs,53.875,54.25,53.65,54.25,19200,0
2017-06-27,D,Panache Digilife Ord Shs,55.0,55.0,53.0,53.0,19200,0
2017-06-28,D,Panache Digilife Ord Shs,54.5,54.675,51.95,51.975,19200,0
2017-06-29,D,Panache Digilife Ord Shs,54.625,54.65,54.625,54.625,9600,1
2017-06-30,D,Panache Digilife Ord Shs,57.0,57.0,52.0,52.125,140800,0
2017-07-03,D,Panache Digilife Ord Shs,53.5,53.6,52.0,52.0,22400,0
2017-07-04,D,Panache Digilife Ord Shs,53.5,53.55,51.9,51.9,92800,0
2017-07-05,D,Panache Digilife Ord Shs,54.75,54.75,52.0,52.0,16000,0
2017-07-06,D,Panache Digilife Ord Shs,53.75,53.75,51.9,51.9,28800,0
2017-07-07,D,Panache Digilife Ord Shs,55.0,55.0,53.0,53.0,9600,0
2017-07-10,D,Panache Digilife Ord Shs,54.125,54.125,53.925,53.925,9600,0
2017-07-11,D,Panache Digilife Ord Shs,53.5,53.6,51.85,51.85,32000,0
2017-07-12,D,Panache Digilife Ord Shs,52.5,52.5,51.5,51.5,16000,0
2017-07-13,D,Panache Digilife Ord Shs,53.1,53.1,52.875,52.875,9600,0
2017-07-14,D,Panache Digilife Ord Shs,53.5,53.5,51.5,52.5,16000,0
2017-07-17,D,Panache Digilife Ord Shs,55.0,55.0,51.4,51.45,44800,0
2017-07-18,D,Panache Digilife Ord Shs,53.125,53.825,51.525,51.575,83200,0
2017-07-19,D,Panache Digilife Ord Shs,52.25,52.45,51.1,51.25,96000,0
2017-07-20,D,Panache Digilife Ord Shs,54.25,54.25,51.4,51.5,51200,0
2017-07-21,D,Panache Digilife Ord Shs,52.25,52.35,51.5,51.5,12800,0
2017-07-24,D,Panache Digilife Ord Shs,53.0,53.15,51.35,51.35,22400,0
2017-07-25,D,Panache Digilife Ord Shs,53.5,53.5,51.5,51.5,12800,0
2017-07-26,D,Panache Digilife Ord Shs,52.25,52.5,51.45,51.45,16000,0
2017-07-27,D,Panache Digilife Ord Shs,52.0,52.0,51.3,51.3,25600,0
