Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2024-02-12,D,Apeejay Surrendra Park Hotels Ord Shs,186.0,223.2,171.25,203.55,58011794,0
2024-02-13,D,Apeejay Surrendra Park Hotels Ord Shs,212.0,217.0,196.65,201.05,9740129,0
2024-02-14,D,Apeejay Surrendra Park Hotels Ord Shs,196.0,204.65,196.0,202.65,3815789,0
2024-02-15,D,Apeejay Surrendra Park Hotels Ord Shs,205.0,209.9,202.05,203.0,2625319,0
2024-02-16,D,Apeejay Surrendra Park Hotels Ord Shs,205.95,205.95,190.05,193.95,2131052,0
2024-02-19,D,Apeejay Surrendra Park Hotels Ord Shs,194.05,202.4,187.25,197.35,2508012,0
2024-02-20,D,Apeejay Surrendra Park Hotels Ord Shs,198.7,217.9,196.55,210.35,5155495,0
2024-02-21,D,Apeejay Surrendra Park Hotels Ord Shs,211.5,223.9,210.05,213.4,3514851,0
2024-02-22,D,Apeejay Surrendra Park Hotels Ord Shs,215.0,229.75,207.4,227.0,5246846,0
2024-02-23,D,Apeejay Surrendra Park Hotels Ord Shs,229.3,235.0,220.1,222.6,3280720,0
2024-02-26,D,Apeejay Surrendra Park Hotels Ord Shs,224.4,224.8,213.75,215.7,2417579,0
2024-02-27,D,Apeejay Surrendra Park Hotels Ord Shs,216.6,222.8,214.15,220.7,2754826,0
2024-02-28,D,Apeejay Surrendra Park Hotels Ord Shs,221.3,229.7,212.4,213.9,2111505,0
2024-02-29,D,Apeejay Surrendra Park Hotels Ord Shs,214.95,217.25,208.25,210.75,822739,0
2024-03-01,D,Apeejay Surrendra Park Hotels Ord Shs,212.8,219.0,211.6,217.95,855383,0
2024-03-02,D,Apeejay Surrendra Park Hotels Ord Shs,219.0,220.85,217.0,219.85,145660,0
2024-03-04,D,Apeejay Surrendra Park Hotels Ord Shs,221.1,222.05,210.1,211.55,770899,0
2024-03-05,D,Apeejay Surrendra Park Hotels Ord Shs,218.2,225.9,206.0,210.3,3378132,0
2024-03-06,D,Apeejay Surrendra Park Hotels Ord Shs,211.0,211.25,196.0,204.2,1702364,0
2024-03-07,D,Apeejay Surrendra Park Hotels Ord Shs,204.9,206.6,199.9,201.9,1337458,0
2024-03-11,D,Apeejay Surrendra Park Hotels Ord Shs,201.9,202.4,181.75,184.05,1821251,0
2024-03-12,D,Apeejay Surrendra Park Hotels Ord Shs,185.5,191.0,180.7,181.95,1624196,0
2024-03-13,D,Apeejay Surrendra Park Hotels Ord Shs,184.0,184.6,169.0,172.9,2221768,0
2024-03-14,D,Apeejay Surrendra Park Hotels Ord Shs,172.25,184.2,167.8,180.5,1676901,0
2024-03-15,D,Apeejay Surrendra Park Hotels Ord Shs,181.7,193.45,181.0,190.65,1043050,0
2024-03-18,D,Apeejay Surrendra Park Hotels Ord Shs,190.9,191.0,184.0,187.2,478575,0
2024-03-19,D,Apeejay Surrendra Park Hotels Ord Shs,187.0,188.8,181.15,183.75,258171,0
2024-03-20,D,Apeejay Surrendra Park Hotels Ord Shs,184.0,188.45,182.35,185.7,396794,0
2024-03-21,D,Apeejay Surrendra Park Hotels Ord Shs,188.5,192.0,186.45,188.75,340869,0
2024-03-22,D,Apeejay Surrendra Park Hotels Ord Shs,186.2,203.7,186.2,198.25,1182390,0
2024-03-26,D,Apeejay Surrendra Park Hotels Ord Shs,198.9,199.85,191.8,196.1,343324,0
2024-03-27,D,Apeejay Surrendra Park Hotels Ord Shs,197.9,198.4,188.5,190.2,433708,0
2024-03-28,D,Apeejay Surrendra Park Hotels Ord Shs,193.7,194.4,188.5,190.3,699165,0
2024-04-01,D,Apeejay Surrendra Park Hotels Ord Shs,192.4,202.05,191.0,200.05,748022,0
2024-04-02,D,Apeejay Surrendra Park Hotels Ord Shs,199.9,204.9,197.25,203.85,1134297,0
2024-04-03,D,Apeejay Surrendra Park Hotels Ord Shs,203.85,209.5,201.5,206.9,754426,0
2024-04-04,D,Apeejay Surrendra Park Hotels Ord Shs,207.0,208.85,202.0,202.9,471205,0
2024-04-05,D,Apeejay Surrendra Park Hotels Ord Shs,203.85,205.5,202.05,202.95,315021,0
2024-04-08,D,Apeejay Surrendra Park Hotels Ord Shs,204.0,211.65,201.95,207.8,1163204,0
2024-04-09,D,Apeejay Surrendra Park Hotels Ord Shs,209.0,211.75,204.5,207.6,357439,0
2024-04-10,D,Apeejay Surrendra Park Hotels Ord Shs,207.6,210.9,205.05,206.0,294874,0
2024-04-12,D,Apeejay Surrendra Park Hotels Ord Shs,206.0,208.05,200.0,201.85,266702,0
2024-04-15,D,Apeejay Surrendra Park Hotels Ord Shs,197.85,200.45,193.55,198.35,403485,0
2024-04-16,D,Apeejay Surrendra Park Hotels Ord Shs,196.8,205.55,195.8,203.55,1513977,0
2024-04-18,D,Apeejay Surrendra Park Hotels Ord Shs,204.95,205.9,200.8,203.0,343998,0
2024-04-19,D,Apeejay Surrendra Park Hotels Ord Shs,199.95,201.8,196.35,199.6,261916,0
2024-04-22,D,Apeejay Surrendra Park Hotels Ord Shs,202.6,203.95,196.1,197.95,207268,0
2024-04-23,D,Apeejay Surrendra Park Hotels Ord Shs,200.9,209.4,199.35,201.2,633299,0
2024-04-24,D,Apeejay Surrendra Park Hotels Ord Shs,201.95,203.45,198.65,199.25,185793,0
2024-04-25,D,Apeejay Surrendra Park Hotels Ord Shs,199.3,200.9,197.0,197.4,267193,0
2024-04-26,D,Apeejay Surrendra Park Hotels Ord Shs,198.0,201.9,194.5,196.5,427234,0
2024-04-29,D,Apeejay Surrendra Park Hotels Ord Shs,200.7,200.7,195.1,199.05,364698,0
2024-04-30,D,Apeejay Surrendra Park Hotels Ord Shs,200.0,201.0,195.0,196.2,176362,0
2024-05-02,D,Apeejay Surrendra Park Hotels Ord Shs,199.15,199.15,194.7,195.1,449770,0
2024-05-03,D,Apeejay Surrendra Park Hotels Ord Shs,197.45,197.45,191.1,192.1,279561,0
2024-05-06,D,Apeejay Surrendra Park Hotels Ord Shs,192.9,195.0,187.85,188.1,169798,0
2024-05-07,D,Apeejay Surrendra Park Hotels Ord Shs,190.9,190.9,183.2,185.6,174509,0
2024-05-08,D,Apeejay Surrendra Park Hotels Ord Shs,182.8,187.4,178.25,185.65,1059538,0
2024-05-09,D,Apeejay Surrendra Park Hotels Ord Shs,184.95,187.85,180.2,181.15,1018380,0
2024-05-10,D,Apeejay Surrendra Park Hotels Ord Shs,183.85,184.4,178.1,182.2,146914,0
2024-05-13,D,Apeejay Surrendra Park Hotels Ord Shs,184.4,184.4,178.6,179.8,501994,0
2024-05-14,D,Apeejay Surrendra Park Hotels Ord Shs,181.95,182.65,178.75,179.85,294745,0
2024-05-15,D,Apeejay Surrendra Park Hotels Ord Shs,180.1,180.1,175.9,177.75,885424,0
2024-05-16,D,Apeejay Surrendra Park Hotels Ord Shs,179.55,179.55,175.0,175.85,673761,0
2024-05-17,D,Apeejay Surrendra Park Hotels Ord Shs,177.6,186.75,176.15,184.1,1180606,0
2024-05-18,D,Apeejay Surrendra Park Hotels Ord Shs,185.5,190.0,185.25,189.3,94668,0
2024-05-21,D,Apeejay Surrendra Park Hotels Ord Shs,191.3,191.7,185.65,189.1,287481,0
2024-05-22,D,Apeejay Surrendra Park Hotels Ord Shs,189.85,192.4,186.85,188.3,231024,0
2024-05-23,D,Apeejay Surrendra Park Hotels Ord Shs,187.0,191.6,183.6,185.9,475219,0
2024-05-24,D,Apeejay Surrendra Park Hotels Ord Shs,184.0,184.4,179.0,180.05,867594,0
2024-05-27,D,Apeejay Surrendra Park Hotels Ord Shs,180.9,184.9,180.1,181.25,365899,0
2024-05-28,D,Apeejay Surrendra Park Hotels Ord Shs,182.7,182.7,179.9,181.1,113634,0
2024-05-29,D,Apeejay Surrendra Park Hotels Ord Shs,172.0,182.55,168.0,180.35,1100984,0
2024-05-30,D,Apeejay Surrendra Park Hotels Ord Shs,180.35,180.9,174.25,174.9,173175,0
2024-05-31,D,Apeejay Surrendra Park Hotels Ord Shs,176.5,176.5,167.1,167.8,496576,0
2024-06-03,D,Apeejay Surrendra Park Hotels Ord Shs,175.55,176.0,164.6,166.25,549098,0
2024-06-04,D,Apeejay Surrendra Park Hotels Ord Shs,165.0,165.0,146.5,151.35,577923,0
2024-06-05,D,Apeejay Surrendra Park Hotels Ord Shs,153.6,163.85,150.4,162.9,531460,0
2024-06-06,D,Apeejay Surrendra Park Hotels Ord Shs,163.55,168.65,163.55,165.45,232439,0
2024-06-07,D,Apeejay Surrendra Park Hotels Ord Shs,165.5,171.7,165.5,170.55,337347,0
2024-06-10,D,Apeejay Surrendra Park Hotels Ord Shs,176.7,180.0,168.99,172.24,452871,0
2024-06-11,D,Apeejay Surrendra Park Hotels Ord Shs,172.2,173.7,170.06,171.74,832304,0
2024-06-12,D,Apeejay Surrendra Park Hotels Ord Shs,171.95,175.25,171.17,172.36,206408,0
2024-06-13,D,Apeejay Surrendra Park Hotels Ord Shs,174.0,174.84,170.7,171.59,160667,0
2024-06-14,D,Apeejay Surrendra Park Hotels Ord Shs,172.0,175.9,169.72,172.59,746663,0
2024-06-18,D,Apeejay Surrendra Park Hotels Ord Shs,174.0,178.9,173.05,177.89,358361,0
2024-06-19,D,Apeejay Surrendra Park Hotels Ord Shs,179.0,190.4,175.5,188.16,1580116,0
2024-06-20,D,Apeejay Surrendra Park Hotels Ord Shs,187.41,192.65,184.5,191.81,643255,0
2024-06-21,D,Apeejay Surrendra Park Hotels Ord Shs,193.0,195.0,188.39,189.72,462610,0
2024-06-24,D,Apeejay Surrendra Park Hotels Ord Shs,190.96,193.07,187.81,190.29,409294,0
2024-06-25,D,Apeejay Surrendra Park Hotels Ord Shs,191.93,191.93,187.03,189.52,198289,0
2024-06-26,D,Apeejay Surrendra Park Hotels Ord Shs,192.0,194.02,183.1,184.28,181665,0
2024-06-27,D,Apeejay Surrendra Park Hotels Ord Shs,184.9,187.33,179.32,181.2,129380,0
2024-06-28,D,Apeejay Surrendra Park Hotels Ord Shs,181.25,184.88,176.01,180.05,294609,0
2024-07-01,D,Apeejay Surrendra Park Hotels Ord Shs,182.75,182.99,178.0,179.31,268325,0
2024-07-02,D,Apeejay Surrendra Park Hotels Ord Shs,183.65,183.65,178.0,178.93,214461,0
2024-07-03,D,Apeejay Surrendra Park Hotels Ord Shs,179.5,182.8,176.35,179.46,706072,0
2024-07-04,D,Apeejay Surrendra Park Hotels Ord Shs,184.65,197.12,183.49,191.87,1755320,0
2024-07-05,D,Apeejay Surrendra Park Hotels Ord Shs,191.0,197.85,189.0,195.14,1282347,0
2024-07-08,D,Apeejay Surrendra Park Hotels Ord Shs,194.8,204.3,190.55,198.52,2814360,0
2024-07-09,D,Apeejay Surrendra Park Hotels Ord Shs,200.0,204.0,197.62,200.1,2140272,0
2024-07-10,D,Apeejay Surrendra Park Hotels Ord Shs,200.1,202.99,187.15,195.24,626713,0
2024-07-11,D,Apeejay Surrendra Park Hotels Ord Shs,197.0,197.99,191.34,194.91,276710,0
2024-07-12,D,Apeejay Surrendra Park Hotels Ord Shs,194.91,196.99,190.87,193.31,1296256,0
2024-07-15,D,Apeejay Surrendra Park Hotels Ord Shs,193.98,193.98,188.16,190.49,347880,0
2024-07-16,D,Apeejay Surrendra Park Hotels Ord Shs,187.7,192.5,186.1,187.06,232288,0
2024-07-18,D,Apeejay Surrendra Park Hotels Ord Shs,187.0,191.72,182.85,183.89,311963,0
2024-07-19,D,Apeejay Surrendra Park Hotels Ord Shs,191.97,191.97,177.57,178.54,372249,0
2024-07-22,D,Apeejay Surrendra Park Hotels Ord Shs,178.54,188.17,178.0,185.8,224195,0
2024-07-23,D,Apeejay Surrendra Park Hotels Ord Shs,185.0,187.22,178.0,185.93,243177,0
2024-07-24,D,Apeejay Surrendra Park Hotels Ord Shs,184.11,190.41,184.11,187.95,234650,0
2024-07-25,D,Apeejay Surrendra Park Hotels Ord Shs,188.0,191.68,185.16,188.04,137031,0
2024-07-26,D,Apeejay Surrendra Park Hotels Ord Shs,190.95,194.95,188.34,189.8,699015,0
2024-07-29,D,Apeejay Surrendra Park Hotels Ord Shs,190.05,192.59,187.54,191.72,439042,0
2024-07-30,D,Apeejay Surrendra Park Hotels Ord Shs,192.95,194.5,189.01,189.87,1278872,0
2024-07-31,D,Apeejay Surrendra Park Hotels Ord Shs,188.1,190.77,186.45,187.53,171650,0
2024-08-01,D,Apeejay Surrendra Park Hotels Ord Shs,186.45,189.63,183.51,187.41,354143,0
2024-08-02,D,Apeejay Surrendra Park Hotels Ord Shs,186.5,189.95,183.0,187.19,160105,0
2024-08-05,D,Apeejay Surrendra Park Hotels Ord Shs,182.2,183.59,177.84,180.71,275742,0
2024-08-06,D,Apeejay Surrendra Park Hotels Ord Shs,184.0,184.9,179.1,181.09,558852,0
