Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-02-24,D,Patel Engineering Ord Shs,94.327696,94.327696,89.507273,90.270218,4097.545239,0
2005-02-25,D,Patel Engineering Ord Shs,90.16618,92.767127,87.045043,88.15478,10478.873608,0
2005-02-28,D,Patel Engineering Ord Shs,91.518672,91.553352,89.16048,90.374255,931.391353,0
2005-03-01,D,Patel Engineering Ord Shs,93.564751,93.59943,89.299197,89.888745,3085.414078,0
2005-03-02,D,Patel Engineering Ord Shs,90.339576,90.65169,88.432215,89.819387,2386.149673,0
2005-03-03,D,Patel Engineering Ord Shs,92.524372,94.327696,90.859766,94.327696,10412.551624,0
2005-03-04,D,Patel Engineering Ord Shs,95.714868,99.04408,95.714868,99.04408,10862.387695,0
2005-03-07,D,Patel Engineering Ord Shs,104.00322,104.00322,103.344314,104.00322,18757.587458,1
2005-03-08,D,Patel Engineering Ord Shs,109.205115,109.205115,109.170436,109.205115,12422.396121,1
2005-03-09,D,Patel Engineering Ord Shs,114.684445,114.684445,114.684445,114.684445,4267.675548,1
2005-03-10,D,Patel Engineering Ord Shs,120.441208,120.441208,120.441208,120.441208,7580.891226,1
2005-03-11,D,Patel Engineering Ord Shs,126.475407,126.475407,126.475407,126.475407,11173.812667,1
2005-03-14,D,Patel Engineering Ord Shs,132.821718,132.821718,132.821718,132.821718,6870.092562,1
2005-03-15,D,Patel Engineering Ord Shs,139.480144,139.480144,133.931456,139.480144,183015.51723,1
2005-03-16,D,Patel Engineering Ord Shs,145.653059,146.485363,144.959473,146.485363,47248.647086,0
2005-03-17,D,Patel Engineering Ord Shs,151.825975,153.837374,151.825975,153.837374,71391.291358,0
2005-03-18,D,Patel Engineering Ord Shs,159.386062,161.536179,146.346645,151.028351,191599.888923,0
2005-03-21,D,Patel Engineering Ord Shs,158.588438,158.588438,143.711019,146.5894,57672.732968,0
2005-03-22,D,Patel Engineering Ord Shs,145.653059,146.381325,139.341427,139.410785,41850.614231,0
2005-03-23,D,Patel Engineering Ord Shs,135.942855,138.717199,132.440246,132.578963,28372.833481,0
2005-03-24,D,Patel Engineering Ord Shs,131.087753,134.521004,125.955217,130.949036,24269.521113,0
2005-03-28,D,Patel Engineering Ord Shs,131.816019,137.503424,131.781339,137.399386,31965.754922,0
2005-03-29,D,Patel Engineering Ord Shs,139.410785,140.035013,130.567564,131.711981,23920.609801,0
2005-03-30,D,Patel Engineering Ord Shs,131.781339,138.301048,130.428847,138.301048,46514.779906,0
2005-03-31,D,Patel Engineering Ord Shs,144.751398,145.236908,143.572301,145.236908,18747.494982,0
2005-04-01,D,Patel Engineering Ord Shs,151.756616,152.519561,149.120989,152.519561,64880.202584,0
2005-04-04,D,Patel Engineering Ord Shs,158.137607,160.149007,153.282505,155.987491,127505.457682,0
2005-04-05,D,Patel Engineering Ord Shs,159.386062,159.386062,149.814575,150.993672,38861.799565,0
2005-04-06,D,Patel Engineering Ord Shs,153.976091,158.068249,150.785596,152.06873,35261.669213,0
2005-04-07,D,Patel Engineering Ord Shs,155.952811,158.761835,150.508161,151.58322,43396.204835,0
2005-04-08,D,Patel Engineering Ord Shs,155.675377,155.675377,146.381325,148.566121,22078.012048,0
2005-04-11,D,Patel Engineering Ord Shs,147.733817,147.733817,141.14475,142.67064,15546.738321,0
2005-04-12,D,Patel Engineering Ord Shs,144.231208,144.265887,137.434065,138.855917,26021.286583,0
2005-04-13,D,Patel Engineering Ord Shs,142.115771,145.826456,139.514823,145.826456,15023.371354,0
2005-04-15,D,Patel Engineering Ord Shs,144.959473,146.13857,138.543803,138.890596,39228.012264,0
2005-04-18,D,Patel Engineering Ord Shs,133.307229,141.422185,132.474925,134.070173,22285.628696,0
2005-04-19,D,Patel Engineering Ord Shs,137.260669,140.797957,127.377068,129.735261,71072.657475,0
2005-04-20,D,Patel Engineering Ord Shs,132.474925,134.555683,126.926237,127.966616,36609.735645,0
2005-04-21,D,Patel Engineering Ord Shs,130.394167,130.394167,125.573745,126.579444,48468.394895,0
2005-04-22,D,Patel Engineering Ord Shs,129.700581,130.463526,126.926237,128.556165,29128.327395,0
2005-04-25,D,Patel Engineering Ord Shs,130.324809,130.324809,124.151893,125.226952,18626.385271,0
2005-04-26,D,Patel Engineering Ord Shs,127.550465,127.550465,122.487287,124.741442,10351.996768,0
2005-04-27,D,Patel Engineering Ord Shs,126.232651,126.232651,122.764721,124.672083,9919.462084,0
2005-04-28,D,Patel Engineering Ord Shs,123.8051,124.741442,118.603206,119.955698,9807.003066,0
2005-04-29,D,Patel Engineering Ord Shs,120.683963,123.284911,114.44169,115.204634,30056.835184,0
2005-05-02,D,Patel Engineering Ord Shs,120.510567,120.510567,109.794663,110.592287,13610.42472,0
2005-05-03,D,Patel Engineering Ord Shs,112.707725,116.140975,110.557608,111.389911,59036.659004,0
2005-05-04,D,Patel Engineering Ord Shs,112.43029,114.684445,111.667346,112.777083,25447.457236,0
2005-05-05,D,Patel Engineering Ord Shs,112.638366,117.181354,108.893002,110.210815,32992.303905,0
2005-05-06,D,Patel Engineering Ord Shs,112.256894,112.256894,108.511529,110.176136,21804.073415,0
2005-05-09,D,Patel Engineering Ord Shs,110.97376,115.690144,110.97376,115.690144,25962.173509,0
2005-05-10,D,Patel Engineering Ord Shs,121.481587,121.481587,121.481587,121.481587,5203.392247,1
2005-05-11,D,Patel Engineering Ord Shs,127.585144,127.585144,127.585144,127.585144,6208.314496,1
2005-05-12,D,Patel Engineering Ord Shs,133.966135,133.966135,123.458307,128.035975,118681.750131,0
2005-05-13,D,Patel Engineering Ord Shs,129.561864,133.966135,126.232651,130.116733,77779.82864,0
2005-05-16,D,Patel Engineering Ord Shs,130.879678,136.636441,130.810319,136.636441,118944.154505,0
2005-05-17,D,Patel Engineering Ord Shs,139.68822,141.734299,135.249269,136.775159,115123.431464,0
2005-05-18,D,Patel Engineering Ord Shs,136.289648,137.330027,131.781339,134.312928,33243.174022,0
2005-05-19,D,Patel Engineering Ord Shs,137.330027,138.717199,135.249269,136.671121,31256.39804,0
2005-05-20,D,Patel Engineering Ord Shs,136.983234,137.295348,134.555683,135.283949,23772.106227,0
2005-05-23,D,Patel Engineering Ord Shs,135.942855,137.295348,135.249269,135.353307,17756.990556,0
2005-05-24,D,Patel Engineering Ord Shs,136.012214,137.988934,131.920057,132.544284,9416.280068,0
2005-05-25,D,Patel Engineering Ord Shs,134.20889,135.21459,132.162812,132.683001,15964.855182,0
2005-05-26,D,Patel Engineering Ord Shs,134.555683,134.555683,129.700581,130.74096,11274.737427,0
2005-05-27,D,Patel Engineering Ord Shs,131.087753,131.157112,124.914838,127.203672,18245.754749,0
2005-05-30,D,Patel Engineering Ord Shs,126.995596,126.995596,124.151893,125.088235,17984.792156,0
2005-05-31,D,Patel Engineering Ord Shs,123.597025,126.926237,123.458307,124.498686,14993.093926,0
2005-06-01,D,Patel Engineering Ord Shs,128.244051,128.244051,124.533366,126.267331,11110.374247,0
2005-06-02,D,Patel Engineering Ord Shs,126.926237,127.619823,121.377549,126.336689,16227.259557,0
2005-06-03,D,Patel Engineering Ord Shs,125.608424,132.683001,125.573745,132.683001,22419.714448,0
2005-06-04,D,Patel Engineering Ord Shs,133.168511,139.341427,133.168511,139.341427,35414.498135,0
2005-06-06,D,Patel Engineering Ord Shs,139.341427,144.196529,133.099153,134.521004,39023.279181,0
2005-06-07,D,Patel Engineering Ord Shs,134.555683,135.318628,130.394167,131.122433,13379.739555,0
2005-06-08,D,Patel Engineering Ord Shs,135.145232,135.249269,131.087753,133.792739,43603.821483,0
2005-06-09,D,Patel Engineering Ord Shs,132.474925,134.521004,131.087753,132.162812,12939.99596,0
2005-06-10,D,Patel Engineering Ord Shs,131.850698,133.168511,129.735261,130.498205,8623.299815,0
2005-06-13,D,Patel Engineering Ord Shs,131.850698,132.058774,127.619823,128.348089,19360.252451,0
2005-06-14,D,Patel Engineering Ord Shs,127.966616,130.879678,126.232651,127.064955,12283.985023,0
2005-06-15,D,Patel Engineering Ord Shs,128.313409,128.313409,126.406048,126.614124,17340.315477,0
2005-06-16,D,Patel Engineering Ord Shs,127.862579,127.897258,124.845479,124.914838,8686.738235,0
2005-06-17,D,Patel Engineering Ord Shs,125.539065,128.313409,120.683963,122.071135,11044.052262,0
2005-06-20,D,Patel Engineering Ord Shs,121.412229,123.8051,114.44169,116.730523,10943.127502,0
2005-06-21,D,Patel Engineering Ord Shs,117.978978,118.949998,115.828862,117.38943,15807.700914,0
2005-06-22,D,Patel Engineering Ord Shs,119.192754,124.498686,117.90962,118.429809,8340.710488,0
2005-06-23,D,Patel Engineering Ord Shs,119.955698,119.955698,118.603206,118.984678,4235.956338,0
2005-06-24,D,Patel Engineering Ord Shs,117.90962,124.151893,117.90962,120.475888,14704.73747,0
2005-06-27,D,Patel Engineering Ord Shs,119.331471,123.458307,119.296791,121.169474,9409.071157,0
2005-06-28,D,Patel Engineering Ord Shs,120.683963,121.377549,118.603206,119.678264,5856.51962,0
2005-06-29,D,Patel Engineering Ord Shs,118.603206,131.677302,117.944299,131.677302,74176.814723,0
2005-06-30,D,Patel Engineering Ord Shs,138.023613,144.265887,131.850698,133.480625,239980.335099,0
2005-07-01,D,Patel Engineering Ord Shs,134.971835,138.19701,129.28443,135.422666,46380.694154,0
2005-07-04,D,Patel Engineering Ord Shs,138.370406,148.982272,137.67682,148.878234,307475.930738,0
2005-07-05,D,Patel Engineering Ord Shs,149.814575,156.334284,144.265887,148.08061,341846.578502,0
2005-07-06,D,Patel Engineering Ord Shs,149.225027,155.501981,148.427403,149.987972,202675.660395,0
2005-07-07,D,Patel Engineering Ord Shs,151.54854,151.54854,143.225508,144.369925,114575.554198,0
2005-07-08,D,Patel Engineering Ord Shs,144.820756,151.58322,144.820756,149.537141,53511.749309,0
2005-07-11,D,Patel Engineering Ord Shs,150.161368,156.056849,150.161368,153.55994,77441.009804,0
2005-07-12,D,Patel Engineering Ord Shs,154.669677,155.363263,147.040231,150.473482,46152.892553,0
2005-07-13,D,Patel Engineering Ord Shs,151.895333,151.895333,146.346645,147.144269,12116.738278,0
2005-07-14,D,Patel Engineering Ord Shs,147.733817,149.120989,143.572301,144.508642,16855.876631,0
2005-07-15,D,Patel Engineering Ord Shs,145.930494,147.733817,142.878715,143.988453,20434.380249,0
2005-07-18,D,Patel Engineering Ord Shs,146.346645,146.346645,140.797957,143.572301,12234.964425,0
2005-07-19,D,Patel Engineering Ord Shs,141.699619,144.682039,140.797957,141.422185,13944.918209,0
2005-07-20,D,Patel Engineering Ord Shs,138.717199,144.924794,138.717199,141.560902,11945.166187,0
2005-07-21,D,Patel Engineering Ord Shs,141.560902,144.196529,137.330027,139.480144,12863.581499,0
2005-07-22,D,Patel Engineering Ord Shs,142.185129,142.185129,138.023613,138.821237,11175.254449,0
2005-07-25,D,Patel Engineering Ord Shs,141.977054,142.878715,136.671121,137.884896,9942.5306,0
2005-07-26,D,Patel Engineering Ord Shs,138.717199,138.717199,135.283949,137.087272,16029.735385,0
2005-07-27,D,Patel Engineering Ord Shs,135.838818,138.717199,135.249269,138.19701,9427.814327,0
2005-07-29,D,Patel Engineering Ord Shs,138.647841,138.717199,131.295829,134.000815,26254.855312,0
2005-08-01,D,Patel Engineering Ord Shs,129.700581,132.474925,127.481106,131.642622,18042.463447,0
2005-08-02,D,Patel Engineering Ord Shs,131.781339,136.636441,131.781339,134.694401,11018.100181,0
2005-08-03,D,Patel Engineering Ord Shs,138.647841,140.555202,134.555683,136.463045,32333.409403,0
2005-08-04,D,Patel Engineering Ord Shs,138.717199,143.294867,137.330027,141.630261,40815.414554,0
2005-08-05,D,Patel Engineering Ord Shs,144.959473,145.653059,140.936675,142.462564,33616.595632,0
2005-08-08,D,Patel Engineering Ord Shs,144.959473,145.549021,138.717199,139.133351,18105.901868,0
2005-08-09,D,Patel Engineering Ord Shs,140.763278,140.763278,135.630742,136.393686,9554.691167,0
2005-08-10,D,Patel Engineering Ord Shs,141.14475,141.14475,135.249269,139.098672,8456.05307,0
2005-08-11,D,Patel Engineering Ord Shs,140.485844,141.14475,137.468745,138.578482,23372.732535,0
2005-08-12,D,Patel Engineering Ord Shs,138.717199,141.318147,138.023613,139.029313,7925.477191,0
2005-08-16,D,Patel Engineering Ord Shs,135.318628,143.433584,135.318628,141.560902,10956.103543,0
2005-08-17,D,Patel Engineering Ord Shs,140.104371,150.09201,140.104371,146.5894,80369.269614,0
2005-08-18,D,Patel Engineering Ord Shs,147.040231,149.814575,144.820756,145.895814,50785.339018,0
2005-08-19,D,Patel Engineering Ord Shs,145.653059,145.653059,139.410785,139.930975,39868.163597,0
2005-08-22,D,Patel Engineering Ord Shs,138.717199,141.491543,132.474925,134.000815,51203.455879,0
2005-08-23,D,Patel Engineering Ord Shs,132.474925,147.421704,127.168993,136.393686,433135.907101,0
2005-08-24,D,Patel Engineering Ord Shs,140.104371,145.583701,137.330027,139.20271,397474.864197,0
2005-08-25,D,Patel Engineering Ord Shs,140.797957,153.143788,140.104371,153.143788,320897.481979,0
2005-08-26,D,Patel Engineering Ord Shs,162.819313,168.472039,160.218365,168.472039,537920.317839,0
2005-08-29,D,Patel Engineering Ord Shs,173.396499,173.396499,160.218365,161.778934,378604.817721,0
2005-08-30,D,Patel Engineering Ord Shs,162.576558,164.171806,154.392243,156.473001,205804.327942,0
2005-08-31,D,Patel Engineering Ord Shs,158.137607,164.310523,157.097228,160.426441,198524.769212,0
2005-09-01,D,Patel Engineering Ord Shs,162.95803,162.95803,156.056849,157.825494,72521.648666,0
2005-09-02,D,Patel Engineering Ord Shs,160.911951,164.379881,156.160887,157.409342,149440.733284,0
2005-09-05,D,Patel Engineering Ord Shs,159.524779,165.281543,159.386062,164.93475,202061.461144,0
2005-09-06,D,Patel Engineering Ord Shs,167.154225,169.234983,161.605537,163.894371,198171.532554,0
2005-09-08,D,Patel Engineering Ord Shs,166.113846,166.113846,160.98131,161.813613,113100.610926,0
2005-09-09,D,Patel Engineering Ord Shs,164.171806,164.241164,156.99319,157.99889,104932.914312,0
2005-09-12,D,Patel Engineering Ord Shs,160.01029,165.767053,160.01029,162.541878,212951.242702,0
2005-09-13,D,Patel Engineering Ord Shs,164.726674,165.073467,159.871572,161.362782,75224.99044,0
2005-09-14,D,Patel Engineering Ord Shs,161.46682,162.299123,154.704357,156.160887,77169.954735,0
2005-09-15,D,Patel Engineering Ord Shs,151.895333,160.149007,151.895333,157.02787,34927.175724,0
2005-09-16,D,Patel Engineering Ord Shs,159.802214,159.802214,155.363263,156.02217,50566.188111,0
2005-09-19,D,Patel Engineering Ord Shs,162.992709,163.825013,158.311004,163.825013,80191.930393,0
2005-09-20,D,Patel Engineering Ord Shs,172.044007,172.044007,159.524779,161.258744,231974.1181,0
2005-09-21,D,Patel Engineering Ord Shs,161.605537,161.605537,153.282505,156.230246,73323.279613,0
2005-09-22,D,Patel Engineering Ord Shs,156.230246,156.230246,148.08061,148.08061,36213.245518,0
2005-09-23,D,Patel Engineering Ord Shs,149.120989,154.981791,140.797957,150.993672,96117.857454,0
2005-09-26,D,Patel Engineering Ord Shs,154.04545,157.097228,148.774196,152.276806,83340.782892,0
2005-09-27,D,Patel Engineering Ord Shs,156.056849,158.137607,152.172768,156.99319,72517.323319,0
2005-09-28,D,Patel Engineering Ord Shs,158.137607,164.865392,154.114809,164.865392,77771.177946,0
2005-09-29,D,Patel Engineering Ord Shs,162.299123,164.379881,158.172287,158.4844,82924.107813,0
2005-09-30,D,Patel Engineering Ord Shs,158.137607,158.137607,150.57752,154.773715,40467.945025,0
2005-10-03,D,Patel Engineering Ord Shs,152.588919,161.605537,152.588919,160.114327,50716.133468,0
2005-10-04,D,Patel Engineering Ord Shs,163.686295,168.125246,160.218365,165.94045,493018.892304,0
2005-10-05,D,Patel Engineering Ord Shs,167.466339,172.564196,159.524779,160.98131,104673.393502,0
2005-10-06,D,Patel Engineering Ord Shs,160.842593,160.911951,155.363263,157.652097,32386.755347,0
2005-10-07,D,Patel Engineering Ord Shs,159.039269,162.95803,156.750435,162.229765,47211.160747,0
2005-10-10,D,Patel Engineering Ord Shs,158.831193,162.819313,158.831193,160.773234,34552.312331,0
2005-10-11,D,Patel Engineering Ord Shs,159.524779,160.911951,156.577039,160.253045,11733.224192,0
2005-10-13,D,Patel Engineering Ord Shs,156.958511,159.871572,156.923832,158.206966,9613.804241,0
2005-10-14,D,Patel Engineering Ord Shs,158.137607,158.137607,150.57752,151.409823,20479.0755,0
2005-10-17,D,Patel Engineering Ord Shs,149.155669,150.404123,138.717199,149.6065,20737.154528,0
2005-10-18,D,Patel Engineering Ord Shs,149.120989,153.976091,149.051631,152.623599,26378.848588,0
2005-10-19,D,Patel Engineering Ord Shs,152.588919,152.588919,142.185129,147.629779,28051.316033,0
2005-10-20,D,Patel Engineering Ord Shs,147.040231,149.6065,139.826937,140.520523,17291.29488,0
2005-10-21,D,Patel Engineering Ord Shs,142.185129,147.040231,140.867316,146.311966,16625.191466,0
2005-10-24,D,Patel Engineering Ord Shs,148.392724,151.201747,144.61268,145.583701,24906.788881,0
2005-10-25,D,Patel Engineering Ord Shs,150.438803,150.508161,146.346645,148.912914,19440.992259,0
2005-10-26,D,Patel Engineering Ord Shs,147.387024,150.508161,147.387024,148.774196,6379.886587,0
2005-10-27,D,Patel Engineering Ord Shs,148.427403,149.814575,146.693438,148.878234,7915.384715,0
2005-10-28,D,Patel Engineering Ord Shs,147.213628,149.08631,141.491543,142.427885,11469.378035,0
2005-10-31,D,Patel Engineering Ord Shs,142.185129,151.860654,142.185129,149.155669,17320.130525,0
2005-11-01,D,Patel Engineering Ord Shs,152.519561,152.588919,150.508161,151.409823,2686.040387,0
2005-11-02,D,Patel Engineering Ord Shs,149.190348,150.785596,146.520042,149.849255,5252.412845,0
2005-11-07,D,Patel Engineering Ord Shs,152.588919,153.976091,149.814575,152.623599,16868.852672,0
2005-11-08,D,Patel Engineering Ord Shs,151.964692,154.669677,148.739517,150.05733,31719.210152,0
2005-11-09,D,Patel Engineering Ord Shs,153.03975,154.565639,150.57752,153.490581,49529.546652,0
2005-11-10,D,Patel Engineering Ord Shs,152.588919,153.629298,151.375144,152.831674,4543.055963,0
2005-11-11,D,Patel Engineering Ord Shs,151.930013,153.906733,151.895333,153.52526,11067.120778,0
