Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-03-30,D,Pudumjee Paper Products Ord Shs,16.617535,16.617535,15.821486,15.821486,15566,0
2016-03-31,D,Pudumjee Paper Products Ord Shs,15.075189,15.075189,15.075189,15.075189,2176,1
2016-04-01,D,Pudumjee Paper Products Ord Shs,14.328893,14.328893,14.328893,14.328893,1860,1
2016-04-04,D,Pudumjee Paper Products Ord Shs,13.632349,15.025436,13.632349,13.632349,61064,1
2016-04-05,D,Pudumjee Paper Products Ord Shs,13.134818,14.179633,12.985559,13.682102,25190,0
2016-04-06,D,Pudumjee Paper Products Ord Shs,13.781609,14.328893,13.035312,14.179633,32421,0
2016-04-07,D,Pudumjee Paper Products Ord Shs,13.781609,14.527905,13.682102,13.980621,22703,0
2016-04-08,D,Pudumjee Paper Products Ord Shs,13.532843,14.677164,13.284078,14.677164,134544,0
2016-04-11,D,Pudumjee Paper Products Ord Shs,15.323955,15.373708,15.323955,15.373708,15140,0
2016-04-12,D,Pudumjee Paper Products Ord Shs,16.120004,16.120004,15.373708,15.821486,77896,0
2016-04-13,D,Pudumjee Paper Products Ord Shs,16.319017,16.567782,15.672226,16.169757,44702,0
2016-04-18,D,Pudumjee Paper Products Ord Shs,16.866301,16.866301,15.373708,15.721979,13163,0
2016-04-20,D,Pudumjee Paper Products Ord Shs,15.821486,15.920992,15.373708,15.771733,10508,0
2016-04-21,D,Pudumjee Paper Products Ord Shs,16.518029,16.518029,15.025436,15.025436,38885,0
2016-04-22,D,Pudumjee Paper Products Ord Shs,15.025436,15.771733,14.428399,15.721979,30212,0
2016-04-25,D,Pudumjee Paper Products Ord Shs,15.124942,15.721979,15.124942,15.721979,8410,0
2016-04-26,D,Pudumjee Paper Products Ord Shs,14.975683,15.920992,14.975683,15.721979,28987,0
2016-04-27,D,Pudumjee Paper Products Ord Shs,14.975683,15.920992,14.975683,15.423461,23605,0
2016-04-28,D,Pudumjee Paper Products Ord Shs,14.776671,15.821486,14.776671,15.373708,3007,0
2016-04-29,D,Pudumjee Paper Products Ord Shs,15.920992,15.920992,14.826424,15.075189,5518,0
2016-05-02,D,Pudumjee Paper Products Ord Shs,14.826424,15.373708,14.627411,14.776671,13119,0
2016-05-03,D,Pudumjee Paper Products Ord Shs,15.373708,15.373708,14.229387,14.229387,22069,0
2016-05-04,D,Pudumjee Paper Products Ord Shs,13.930868,14.776671,13.930868,13.980621,8663,0
2016-05-05,D,Pudumjee Paper Products Ord Shs,14.677164,14.677164,14.030374,14.080127,11503,0
