Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-06-20,D,Prime Focus Ord Shs,32.2,36.350001,28.0,32.615,32495989.515772,0
2006-06-21,D,Prime Focus Ord Shs,32.515,34.590001,31.51,33.18,7707969.885142,0
2006-06-22,D,Prime Focus Ord Shs,33.2,34.800001,32.54,32.93,2812769.958086,0
2006-06-23,D,Prime Focus Ord Shs,32.76,32.895,31.56,31.9,1032289.984618,0
2006-06-25,D,Prime Focus Ord Shs,32.665,32.665,31.6,31.8,169269.997478,0
2006-06-26,D,Prime Focus Ord Shs,31.5,31.9,28.565,29.105,1007609.984985,0
2006-06-27,D,Prime Focus Ord Shs,28.8,30.285,27.5,29.385,839109.987496,0
2006-06-28,D,Prime Focus Ord Shs,28.6,29.6,27.5,29.155,550469.991797,0
2006-06-29,D,Prime Focus Ord Shs,28.43,30.0,28.005,28.375,224409.996656,0
2006-06-30,D,Prime Focus Ord Shs,29.0,29.2,28.46,28.785,248399.996299,0
2006-07-03,D,Prime Focus Ord Shs,25.1,33.19,25.1,31.935,7145809.893519,0
2006-07-04,D,Prime Focus Ord Shs,32.2,32.5,30.7,31.47,3719109.944581,0
2006-07-05,D,Prime Focus Ord Shs,30.11,32.9,30.11,32.375,1431549.978668,0
2006-07-06,D,Prime Focus Ord Shs,31.9,34.185001,31.81,32.745,2098899.968724,0
2006-07-07,D,Prime Focus Ord Shs,32.5,33.465,32.11,32.47,663529.990113,0
2006-07-10,D,Prime Focus Ord Shs,31.8,32.88,31.8,32.33,685709.989782,0
2006-07-11,D,Prime Focus Ord Shs,32.77,33.880001,31.7,33.590001,1598359.976183,0
2006-07-12,D,Prime Focus Ord Shs,32.005,34.785001,30.515,34.455001,1505809.977562,0
2006-07-13,D,Prime Focus Ord Shs,34.100001,39.090001,34.100001,36.295001,4769309.928932,0
2006-07-14,D,Prime Focus Ord Shs,35.555001,37.400001,35.200001,36.710001,1203639.982064,0
2006-07-17,D,Prime Focus Ord Shs,36.970001,38.100001,35.855001,36.715001,1056589.984256,0
2006-07-18,D,Prime Focus Ord Shs,36.600001,38.200001,36.300001,37.220001,785449.988296,0
2006-07-19,D,Prime Focus Ord Shs,38.000001,38.990001,35.000001,37.530001,2189759.96737,0
2006-07-20,D,Prime Focus Ord Shs,37.205001,38.000001,35.055001,35.595001,548489.991827,0
2006-07-21,D,Prime Focus Ord Shs,35.000001,35.000001,32.2,32.73,339369.994943,0
2006-07-24,D,Prime Focus Ord Shs,33.2,33.2,30.51,32.085,395499.994107,0
2006-07-25,D,Prime Focus Ord Shs,32.7,33.3,32.02,32.655,165089.99754,0
2006-07-26,D,Prime Focus Ord Shs,32.41,33.870001,31.8,33.25,239759.996427,0
2006-07-27,D,Prime Focus Ord Shs,33.39,33.700001,32.505,32.93,124699.998142,0
2006-07-28,D,Prime Focus Ord Shs,30.1,33.4,30.1,32.89,64299.999042,0
2006-07-31,D,Prime Focus Ord Shs,32.5,33.600001,32.5,32.54,76649.998858,0
2006-08-01,D,Prime Focus Ord Shs,30.9,33.3,30.9,32.595,64849.999034,0
2006-08-02,D,Prime Focus Ord Shs,32.25,32.675,32.2,32.235,25759.999616,0
2006-08-03,D,Prime Focus Ord Shs,32.5,34.900001,32.33,33.385,147019.997809,0
2006-08-04,D,Prime Focus Ord Shs,33.600001,34.000001,33.235,33.415,51289.999236,0
2006-08-07,D,Prime Focus Ord Shs,32.805,32.945,31.3,32.235,51649.99923,0
2006-08-08,D,Prime Focus Ord Shs,34.600001,34.600001,32.5,32.69,37039.999448,0
2006-08-09,D,Prime Focus Ord Shs,33.08,33.650001,33.08,33.37,44789.999333,0
2006-08-10,D,Prime Focus Ord Shs,33.305,33.880001,33.0,33.165,23039.999657,0
2006-08-11,D,Prime Focus Ord Shs,33.590001,37.200001,33.165,35.685001,525659.992167,0
2006-08-14,D,Prime Focus Ord Shs,35.705001,36.500001,35.000001,35.050001,66689.999006,0
2006-08-16,D,Prime Focus Ord Shs,33.750001,36.500001,32.64,34.880001,58869.999123,0
2006-08-17,D,Prime Focus Ord Shs,33.005,35.800001,32.04,34.070001,32149.999521,0
2006-08-18,D,Prime Focus Ord Shs,34.700001,35.890001,33.105,34.360001,93179.998612,0
2006-08-21,D,Prime Focus Ord Shs,34.890001,35.200001,34.125001,34.410001,21689.999677,0
2006-08-22,D,Prime Focus Ord Shs,34.795001,36.700001,34.500001,35.230001,134529.997995,0
2006-08-23,D,Prime Focus Ord Shs,34.550001,35.390001,34.025001,34.200001,23779.999646,0
2006-08-24,D,Prime Focus Ord Shs,34.100001,34.800001,33.51,34.390001,20599.999693,0
2006-08-25,D,Prime Focus Ord Shs,34.400001,35.090001,34.000001,34.280001,48089.999283,0
2006-08-28,D,Prime Focus Ord Shs,34.200001,35.100001,33.0,33.630001,22259.999668,0
2006-08-29,D,Prime Focus Ord Shs,34.000001,34.000001,32.9,33.075,16979.999747,0
2006-08-30,D,Prime Focus Ord Shs,33.2,33.800001,32.8,32.85,11429.99983,0
2006-08-31,D,Prime Focus Ord Shs,32.5,33.1,31.81,31.905,15449.99977,0
2006-09-01,D,Prime Focus Ord Shs,31.62,32.88,31.62,32.05,14969.999777,0
2006-09-04,D,Prime Focus Ord Shs,32.0,32.95,32.0,32.5,15299.999772,0
2006-09-05,D,Prime Focus Ord Shs,32.2,33.0,32.1,32.215,17139.999745,0
2006-09-06,D,Prime Focus Ord Shs,32.795,32.8,31.9,32.075,21629.999678,0
2006-09-07,D,Prime Focus Ord Shs,32.5,33.28,32.5,32.62,27819.999585,0
2006-09-08,D,Prime Focus Ord Shs,32.9,32.9,32.125,32.37,8409.999875,0
2006-09-11,D,Prime Focus Ord Shs,32.5,34.300001,32.31,32.955,73929.998898,0
2006-09-12,D,Prime Focus Ord Shs,32.77,32.8,31.65,32.06,6219.999907,0
2006-09-13,D,Prime Focus Ord Shs,32.1,32.79,32.015,32.11,17659.999737,0
2006-09-14,D,Prime Focus Ord Shs,32.7,34.375001,32.1,32.9,63199.999058,0
2006-09-15,D,Prime Focus Ord Shs,32.2,32.9,32.2,32.23,13339.999801,0
2006-09-18,D,Prime Focus Ord Shs,32.41,32.86,32.32,32.43,20479.999695,0
2006-09-19,D,Prime Focus Ord Shs,32.365,33.3,32.365,32.475,44029.999344,0
2006-09-20,D,Prime Focus Ord Shs,32.665,34.490001,32.1,33.495,1400989.979124,0
2006-09-21,D,Prime Focus Ord Shs,34.900001,34.900001,32.725,33.01,77699.998842,0
2006-09-22,D,Prime Focus Ord Shs,32.7,33.395,32.53,32.625,13909.999793,0
2006-09-25,D,Prime Focus Ord Shs,32.405,32.9,32.3,32.445,8679.999871,0
2006-09-26,D,Prime Focus Ord Shs,32.6,34.550001,32.1,33.135,1280699.980916,0
2006-09-27,D,Prime Focus Ord Shs,32.9,33.870001,32.215,32.515,48679.999275,0
2006-09-28,D,Prime Focus Ord Shs,32.65,33.2,32.005,32.2,7809.999884,0
2006-09-29,D,Prime Focus Ord Shs,32.6,32.78,32.2,32.255,15919.999763,0
2006-10-03,D,Prime Focus Ord Shs,32.38,32.7,32.28,32.33,15419.99977,0
2006-10-04,D,Prime Focus Ord Shs,32.2,32.65,31.895,32.105,14159.999789,0
2006-10-05,D,Prime Focus Ord Shs,31.8,34.500001,31.8,34.175001,729969.989123,0
2006-10-06,D,Prime Focus Ord Shs,34.475001,34.800001,33.055,33.505,769089.98854,0
2006-10-09,D,Prime Focus Ord Shs,32.605,33.5,32.605,32.83,24649.999633,0
2006-10-10,D,Prime Focus Ord Shs,33.5,33.5,32.505,32.63,30559.999545,0
2006-10-11,D,Prime Focus Ord Shs,33.0,33.0,32.2,32.325,38009.999434,0
2006-10-12,D,Prime Focus Ord Shs,31.8,32.9,31.8,32.43,8499.999873,0
2006-10-13,D,Prime Focus Ord Shs,32.99,32.99,31.8,32.265,620529.990753,0
2006-10-16,D,Prime Focus Ord Shs,31.5,32.85,31.5,32.76,51189.999237,0
2006-10-17,D,Prime Focus Ord Shs,32.31,33.1,32.1,32.62,24209.999639,0
2006-10-18,D,Prime Focus Ord Shs,32.99,34.875001,32.6,33.735001,761379.988655,0
2006-10-19,D,Prime Focus Ord Shs,34.100001,34.100001,33.0,33.22,34909.99948,0
2006-10-20,D,Prime Focus Ord Shs,33.0,33.49,32.6,32.805,21489.99968,0
2006-10-21,D,Prime Focus Ord Shs,33.4,33.47,32.5,32.615,2229.999967,0
2006-10-23,D,Prime Focus Ord Shs,32.5,33.0,32.0,32.135,30849.99954,0
2006-10-26,D,Prime Focus Ord Shs,32.2,33.195,31.805,32.125,652129.990283,0
2006-10-27,D,Prime Focus Ord Shs,32.99,34.400001,32.3,33.075,66909.999003,0
2006-10-30,D,Prime Focus Ord Shs,33.1,33.2,32.25,32.865,32359.999518,0
2006-10-31,D,Prime Focus Ord Shs,32.505,34.300001,32.505,33.28,686349.989773,0
2006-11-01,D,Prime Focus Ord Shs,33.2,33.590001,32.415,32.52,17699.999736,0
2006-11-02,D,Prime Focus Ord Shs,32.315,32.815,32.1,32.21,20619.999693,0
2006-11-03,D,Prime Focus Ord Shs,32.6,32.735,31.715,31.91,26849.9996,0
2006-11-06,D,Prime Focus Ord Shs,32.0,32.7,31.925,32.5,45459.999323,0
2006-11-07,D,Prime Focus Ord Shs,32.2,32.8,31.8,32.045,15799.999765,0
2006-11-08,D,Prime Focus Ord Shs,32.0,32.5,31.5,31.7,15739.999765,0
2006-11-09,D,Prime Focus Ord Shs,32.01,32.195,31.6,31.685,6779.999899,0
2006-11-10,D,Prime Focus Ord Shs,31.43,32.17,31.43,31.855,8359.999875,0
2006-11-13,D,Prime Focus Ord Shs,32.1,32.5,31.805,32.075,619679.990766,0
2006-11-14,D,Prime Focus Ord Shs,32.665,34.490001,31.815,32.115,411799.993864,0
2006-11-15,D,Prime Focus Ord Shs,33.155,34.195001,31.925,32.145,402019.994009,0
2006-11-16,D,Prime Focus Ord Shs,32.6,33.0,32.03,32.205,54629.999186,0
2006-11-17,D,Prime Focus Ord Shs,32.47,32.47,31.21,31.365,36989.999449,0
2006-11-20,D,Prime Focus Ord Shs,31.3,31.3,29.52,30.46,44739.999333,0
2006-11-21,D,Prime Focus Ord Shs,30.43,31.0,30.425,30.775,13649.999797,0
2006-11-22,D,Prime Focus Ord Shs,32.2,32.39,30.5,30.84,10409.999845,0
2006-11-23,D,Prime Focus Ord Shs,30.4,31.39,30.4,30.765,17609.999738,0
2006-11-24,D,Prime Focus Ord Shs,30.89,31.005,30.15,30.33,8019.99988,0
2006-11-27,D,Prime Focus Ord Shs,29.7,30.69,29.7,30.34,35749.999467,0
2006-11-28,D,Prime Focus Ord Shs,30.11,30.7,30.0,30.05,19919.999703,0
2006-11-29,D,Prime Focus Ord Shs,30.6,32.7,30.28,32.035,51399.999234,0
2006-11-30,D,Prime Focus Ord Shs,33.19,33.990001,32.3,32.725,165819.997529,0
2006-12-01,D,Prime Focus Ord Shs,31.96,32.7,31.5,32.51,57349.999145,0
2006-12-04,D,Prime Focus Ord Shs,31.91,32.5,31.8,31.845,22309.999668,0
2006-12-05,D,Prime Focus Ord Shs,31.9,32.7,31.71,32.315,25689.999617,0
2006-12-06,D,Prime Focus Ord Shs,31.9,32.4,31.0,31.115,34779.999482,0
2006-12-07,D,Prime Focus Ord Shs,31.2,31.595,31.105,31.23,10339.999846,0
2006-12-08,D,Prime Focus Ord Shs,31.145,31.16,30.7,30.875,31099.999537,0
2006-12-11,D,Prime Focus Ord Shs,30.485,30.8,29.8,29.985,58349.999131,0
2006-12-12,D,Prime Focus Ord Shs,28.6,30.5,28.05,28.78,17649.999737,0
2006-12-13,D,Prime Focus Ord Shs,29.0,29.89,28.0,29.225,21429.999681,0
2006-12-14,D,Prime Focus Ord Shs,29.0,29.6,29.0,29.255,16049.999761,0
2006-12-15,D,Prime Focus Ord Shs,29.02,31.5,29.02,31.035,81369.998787,0
2006-12-18,D,Prime Focus Ord Shs,31.1,31.4,30.305,30.775,30799.999541,0
2006-12-19,D,Prime Focus Ord Shs,30.0,30.54,29.2,29.935,43149.999357,0
2006-12-20,D,Prime Focus Ord Shs,29.505,31.1,29.5,30.98,38919.99942,0
2006-12-21,D,Prime Focus Ord Shs,30.11,33.690001,30.11,33.39,289889.99568,0
2006-12-22,D,Prime Focus Ord Shs,33.36,34.800001,32.71,33.0,126549.998114,0
2006-12-26,D,Prime Focus Ord Shs,33.0,33.890001,32.8,33.08,45449.999323,0
