Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2000-09-21,D,PNB Gilts Ord Shs,30.0,30.0,13.95,14.025,34793.333333,0
2000-09-22,D,PNB Gilts Ord Shs,13.2375,14.8875,11.85,11.85,11674.666667,0
2000-09-25,D,PNB Gilts Ord Shs,13.3125,13.3125,11.625,12.0,14420.0,0
2000-09-26,D,PNB Gilts Ord Shs,11.925,11.925,10.5,11.1,13100.0,0
2000-09-27,D,PNB Gilts Ord Shs,10.875,11.25,10.6875,11.2125,6000.0,0
2000-09-28,D,PNB Gilts Ord Shs,11.4375,11.4375,11.025,11.2125,14301.333333,0
2000-09-29,D,PNB Gilts Ord Shs,11.0625,11.25,9.4125,10.7625,13129.333333,0
2000-10-03,D,PNB Gilts Ord Shs,9.75,10.5,9.75,10.05,4645.333333,0
2000-10-04,D,PNB Gilts Ord Shs,9.0,9.9375,9.0,9.7875,20000.0,0
2000-10-05,D,PNB Gilts Ord Shs,10.0875,10.125,9.5625,9.75,31933.333333,0
2000-10-06,D,PNB Gilts Ord Shs,9.75,9.75,9.5625,9.675,27333.333333,0
2000-10-09,D,PNB Gilts Ord Shs,9.75,10.125,9.4125,9.9,50913.333333,0
2000-10-10,D,PNB Gilts Ord Shs,9.825,10.05,9.7875,9.825,19200.0,1
2000-10-11,D,PNB Gilts Ord Shs,9.825,9.9,9.75,9.75,14933.333333,0
2000-10-12,D,PNB Gilts Ord Shs,9.825,10.35,9.4875,10.275,27160.0,0
2000-10-13,D,PNB Gilts Ord Shs,9.9375,10.65,9.75,10.3125,35866.666667,0
2000-10-16,D,PNB Gilts Ord Shs,10.35,10.425,10.125,10.1625,10866.666667,0
2000-10-17,D,PNB Gilts Ord Shs,10.275,10.3875,10.05,10.05,20266.666667,0
2000-10-18,D,PNB Gilts Ord Shs,9.9375,10.35,9.9375,10.0125,15666.666667,0
2000-10-19,D,PNB Gilts Ord Shs,9.8625,9.9,9.8625,9.8625,2266.666667,1
2000-10-20,D,PNB Gilts Ord Shs,10.125,10.6125,9.975,10.5,6266.666667,0
2000-10-23,D,PNB Gilts Ord Shs,10.0125,10.4625,9.975,10.2375,7866.666667,0
2000-10-24,D,PNB Gilts Ord Shs,10.125,10.425,10.125,10.425,1200.0,0
2000-10-25,D,PNB Gilts Ord Shs,10.425,10.5,10.1625,10.425,2666.666667,1
2000-10-26,D,PNB Gilts Ord Shs,10.3125,10.425,10.3125,10.425,266.666667,0
2000-10-27,D,PNB Gilts Ord Shs,10.5,10.5,10.5,10.5,2000.0,1
2000-10-30,D,PNB Gilts Ord Shs,10.2375,10.4625,10.2375,10.35,400.0,0
2000-10-31,D,PNB Gilts Ord Shs,10.0875,10.3875,10.0875,10.3125,5200.0,0
2000-11-01,D,PNB Gilts Ord Shs,10.1625,10.425,10.125,10.1625,4600.0,1
2000-11-02,D,PNB Gilts Ord Shs,10.2,11.25,10.2,10.9125,12564.0,0
2000-11-03,D,PNB Gilts Ord Shs,10.875,11.0625,10.6875,10.875,9200.0,1
2000-11-06,D,PNB Gilts Ord Shs,10.575,10.8375,10.3125,10.4625,13666.666667,0
2000-11-07,D,PNB Gilts Ord Shs,10.3125,10.425,10.125,10.275,10133.333333,0
2000-11-08,D,PNB Gilts Ord Shs,10.5,10.5,10.0875,10.0875,15066.666667,0
2000-11-09,D,PNB Gilts Ord Shs,10.3875,10.3875,10.125,10.2,6066.666667,0
2000-11-10,D,PNB Gilts Ord Shs,10.3125,10.3125,10.275,10.275,533.333333,0
2000-11-13,D,PNB Gilts Ord Shs,10.125,10.1625,10.05,10.05,1466.666667,0
2000-11-14,D,PNB Gilts Ord Shs,10.05,10.425,9.75,10.275,3733.333333,0
2000-11-15,D,PNB Gilts Ord Shs,10.35,10.35,10.2,10.2,2800.0,0
2000-11-16,D,PNB Gilts Ord Shs,10.0125,10.275,10.0125,10.275,1600.0,0
2000-11-17,D,PNB Gilts Ord Shs,10.125,10.2,10.125,10.125,2800.0,1
2000-11-20,D,PNB Gilts Ord Shs,10.275,10.35,10.125,10.125,4600.0,0
2000-11-21,D,PNB Gilts Ord Shs,10.05,10.2,9.9,9.9375,3866.666667,0
2000-11-22,D,PNB Gilts Ord Shs,10.05,10.05,10.05,10.05,133.333333,1
2000-11-23,D,PNB Gilts Ord Shs,9.825,9.825,9.825,9.825,266.666667,1
2000-11-24,D,PNB Gilts Ord Shs,9.9,10.2,9.8625,10.2,1733.333333,0
2000-11-27,D,PNB Gilts Ord Shs,9.6375,9.9375,9.6375,9.9,2533.333333,0
2000-11-28,D,PNB Gilts Ord Shs,9.7875,9.7875,9.4125,9.6,26400.0,0
2000-11-29,D,PNB Gilts Ord Shs,9.75,9.75,9.5625,9.6375,4933.333333,0
2000-11-30,D,PNB Gilts Ord Shs,9.75,9.75,9.525,9.525,9600.0,0
2000-12-01,D,PNB Gilts Ord Shs,9.6375,9.6375,9.525,9.6,3666.666667,0
2000-12-04,D,PNB Gilts Ord Shs,9.525,9.7125,9.225,9.4875,7800.0,0
2000-12-05,D,PNB Gilts Ord Shs,9.225,9.7125,9.225,9.45,3866.666667,0
2000-12-06,D,PNB Gilts Ord Shs,9.375,9.75,9.3375,9.7125,5666.666667,0
2000-12-07,D,PNB Gilts Ord Shs,9.225,9.7125,9.225,9.4875,2233.333333,0
2000-12-08,D,PNB Gilts Ord Shs,9.75,10.05,9.75,9.975,44400.0,0
2000-12-11,D,PNB Gilts Ord Shs,9.9375,10.875,9.9375,10.5375,49672.0,0
2000-12-12,D,PNB Gilts Ord Shs,10.8,10.8,10.3125,10.35,28065.333333,0
2000-12-13,D,PNB Gilts Ord Shs,10.6125,10.875,10.5,10.6875,44292.0,0
2000-12-14,D,PNB Gilts Ord Shs,10.95,10.95,10.5,10.575,17600.0,0
2000-12-15,D,PNB Gilts Ord Shs,10.6875,10.6875,10.35,10.5,17533.333333,0
2000-12-18,D,PNB Gilts Ord Shs,10.4625,10.6125,10.125,10.575,17733.333333,0
2000-12-19,D,PNB Gilts Ord Shs,10.5,10.65,10.2375,10.425,28466.666667,0
2000-12-20,D,PNB Gilts Ord Shs,11.175,11.175,10.3125,10.3125,31468.0,0
2000-12-21,D,PNB Gilts Ord Shs,11.1,11.1,10.3125,10.5375,18068.0,0
2000-12-22,D,PNB Gilts Ord Shs,10.875,10.875,10.2,10.425,8934.666667,0
2000-12-26,D,PNB Gilts Ord Shs,10.6875,10.6875,9.375,9.4875,8536.0,0
2000-12-27,D,PNB Gilts Ord Shs,10.125,10.1625,9.75,10.0125,3600.0,0
2000-12-28,D,PNB Gilts Ord Shs,9.675,10.0875,9.6,9.7875,19334.666667,0
2000-12-29,D,PNB Gilts Ord Shs,9.825,9.975,9.825,9.825,13333.333333,1
2001-01-01,D,PNB Gilts Ord Shs,11.7375,11.7375,9.75,9.75,137.333333,0
2001-01-02,D,PNB Gilts Ord Shs,9.825,10.5,9.75,9.9375,13472.0,0
2001-01-03,D,PNB Gilts Ord Shs,10.35,10.35,10.05,10.3125,5730.666667,0
2001-01-04,D,PNB Gilts Ord Shs,10.3125,10.7625,10.3125,10.725,26330.666667,0
2001-01-05,D,PNB Gilts Ord Shs,10.875,11.025,10.5375,10.6875,36666.666667,0
2001-01-08,D,PNB Gilts Ord Shs,10.65,11.175,10.65,11.025,35466.666667,0
2001-01-09,D,PNB Gilts Ord Shs,10.875,11.2125,10.875,11.025,33002.666667,0
2001-01-10,D,PNB Gilts Ord Shs,11.175,11.8125,11.175,11.5125,35790.666667,0
2001-01-11,D,PNB Gilts Ord Shs,11.6625,13.2,11.55,12.9375,37124.0,0
2001-01-12,D,PNB Gilts Ord Shs,13.3125,14.4375,13.125,13.5375,90073.333333,0
2001-01-15,D,PNB Gilts Ord Shs,13.1625,13.5,12.9375,12.975,23685.333333,0
2001-01-16,D,PNB Gilts Ord Shs,12.975,13.0875,12.1125,12.225,33600.0,0
2001-01-17,D,PNB Gilts Ord Shs,12.375,12.9,12.375,12.75,13718.666667,0
2001-01-18,D,PNB Gilts Ord Shs,14.1,14.1,12.4125,12.825,21602.666667,0
2001-01-19,D,PNB Gilts Ord Shs,12.9375,13.35,12.6,13.275,23937.333333,0
2001-01-22,D,PNB Gilts Ord Shs,13.5,14.925,13.5,13.8375,43265.333333,0
2001-01-23,D,PNB Gilts Ord Shs,13.875,13.875,12.5625,12.975,88322.666667,0
2001-01-24,D,PNB Gilts Ord Shs,14.25,14.25,13.125,13.2,59568.0,0
2001-01-25,D,PNB Gilts Ord Shs,13.5,13.575,12.8625,13.05,23346.666667,0
2001-01-29,D,PNB Gilts Ord Shs,12.45,13.125,12.3,12.975,15200.0,0
