Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-11-07,D,Pnb Housing Finance Ord Shs,712.286381,748.72894,712.286381,738.086056,39877633.177387,0
2016-11-08,D,Pnb Housing Finance Ord Shs,742.93126,818.218274,742.10302,809.977286,13494992.15871,0
2016-11-09,D,Pnb Housing Finance Ord Shs,705.660461,785.751267,672.69651,763.802907,4437005.095691,0
2016-11-10,D,Pnb Housing Finance Ord Shs,782.686779,807.037034,749.55718,772.830723,2471583.183567,0
2016-11-11,D,Pnb Housing Finance Ord Shs,755.106387,785.088675,752.207547,769.352115,1795043.756206,0
2016-11-15,D,Pnb Housing Finance Ord Shs,766.121979,766.121979,660.935502,669.880494,1842098.958883,0
2016-11-16,D,Pnb Housing Finance Ord Shs,704.915045,716.261932,655.759002,660.68703,2192638.667104,0
2016-11-17,D,Pnb Housing Finance Ord Shs,668.596722,675.264054,659.693142,670.128966,778509.873498,0
2016-11-18,D,Pnb Housing Finance Ord Shs,674.187342,684.126221,664.82823,674.104518,517718.308366,0
2016-11-21,D,Pnb Housing Finance Ord Shs,675.843822,676.547826,657.042774,662.260686,531668.371531,0
2016-11-22,D,Pnb Housing Finance Ord Shs,666.733182,674.104518,659.568906,669.424962,463799.153024,0
2016-11-23,D,Pnb Housing Finance Ord Shs,675.015582,689.095661,659.693142,682.801037,501087.86263,0
2016-11-24,D,Pnb Housing Finance Ord Shs,675.015582,681.103145,668.845194,671.951094,201288.279433,0
2016-11-25,D,Pnb Housing Finance Ord Shs,673.359102,734.64886,671.909682,720.113248,1378131.980104,0
2016-11-28,D,Pnb Housing Finance Ord Shs,712.203557,715.59934,697.129589,702.140441,385786.73903,0
2016-11-29,D,Pnb Housing Finance Ord Shs,708.020945,747.9007,704.832221,739.121356,1035685.336917,0
2016-11-30,D,Pnb Housing Finance Ord Shs,743.842324,763.637259,742.51714,751.089423,465625.918263,0
2016-12-01,D,Pnb Housing Finance Ord Shs,756.183099,761.980779,746.24422,750.385419,470655.861412,0
2016-12-02,D,Pnb Housing Finance Ord Shs,747.07246,757.756755,737.13358,750.758127,282397.621938,0
2016-12-05,D,Pnb Housing Finance Ord Shs,745.41598,750.178359,699.862781,707.855297,1589318.356977,0
2016-12-06,D,Pnb Housing Finance Ord Shs,712.286381,723.0535,712.244969,716.965936,600039.859926,0
2016-12-07,D,Pnb Housing Finance Ord Shs,721.438432,726.697756,705.660461,712.410617,967269.17548,0
2016-12-08,D,Pnb Housing Finance Ord Shs,716.01346,744.422092,713.901448,738.624412,528282.879311,0
2016-12-09,D,Pnb Housing Finance Ord Shs,738.79006,741.606076,719.367832,725.289748,463242.551058,0
2016-12-12,D,Pnb Housing Finance Ord Shs,714.97816,723.301972,704.832221,707.855297,166250.125282,0
2016-12-13,D,Pnb Housing Finance Ord Shs,708.103769,719.74054,705.122105,708.973421,244095.9209,0
2016-12-14,D,Pnb Housing Finance Ord Shs,710.174369,716.01346,704.459513,706.033169,355156.727568,0
2016-12-15,D,Pnb Housing Finance Ord Shs,705.660461,712.286381,704.003981,710.547077,282846.767125,0
2016-12-16,D,Pnb Housing Finance Ord Shs,714.14992,724.378684,706.737173,720.56878,692843.880622,0
2016-12-19,D,Pnb Housing Finance Ord Shs,715.102396,731.667196,709.263305,718.953712,142892.160769,0
2016-12-20,D,Pnb Housing Finance Ord Shs,723.0535,728.02294,700.815257,709.677425,297660.106659,0
2016-12-21,D,Pnb Housing Finance Ord Shs,708.145181,732.99238,692.035913,726.57352,329159.431387,0
2016-12-22,D,Pnb Housing Finance Ord Shs,727.1947,727.1947,693.692393,696.301349,152377.334408,0
2016-12-23,D,Pnb Housing Finance Ord Shs,699.862781,706.447289,688.433069,692.946977,121445.478061,0
2016-12-26,D,Pnb Housing Finance Ord Shs,689.095661,697.129589,668.431074,671.288502,248315.71238,0
2016-12-27,D,Pnb Housing Finance Ord Shs,675.015582,692.491445,675.015582,687.729065,145967.356448,0
2016-12-28,D,Pnb Housing Finance Ord Shs,689.923901,697.336649,683.297981,684.664577,100526.420211,0
2016-12-29,D,Pnb Housing Finance Ord Shs,684.126221,691.124849,680.813261,686.942237,40324.061761,0
2016-12-30,D,Pnb Housing Finance Ord Shs,686.942237,710.381429,686.942237,695.804405,174338.360798,0
2017-01-02,D,Pnb Housing Finance Ord Shs,701.519261,707.316941,683.919161,689.592605,150327.203955,0
2017-01-03,D,Pnb Housing Finance Ord Shs,691.538969,695.473109,685.782701,687.811889,435424.526536,0
2017-01-04,D,Pnb Housing Finance Ord Shs,693.236861,694.893341,675.305466,676.961945,89851.977729,0
2017-01-05,D,Pnb Housing Finance Ord Shs,679.239605,693.236861,679.032545,680.026433,175545.740334,0
2017-01-06,D,Pnb Housing Finance Ord Shs,683.919161,683.919161,670.874382,673.441926,89845.940831,0
2017-01-09,D,Pnb Housing Finance Ord Shs,678.287129,679.985021,672.530862,674.642874,62445.669629,0
2017-01-10,D,Pnb Housing Finance Ord Shs,673.441926,678.535601,670.874382,671.66121,66553.174813,0
2017-01-11,D,Pnb Housing Finance Ord Shs,672.530862,685.534229,671.205678,672.655098,319773.26287,0
2017-01-12,D,Pnb Housing Finance Ord Shs,673.441926,679.156781,670.874382,672.07533,127878.396232,0
2017-01-13,D,Pnb Housing Finance Ord Shs,673.359102,675.843822,667.561422,669.507786,264599.64019,0
2017-01-16,D,Pnb Housing Finance Ord Shs,672.406626,674.849934,663.420222,665.325174,148025.938558,0
2017-01-17,D,Pnb Housing Finance Ord Shs,671.536974,696.135701,662.75763,685.782701,384019.135389,0
2017-01-18,D,Pnb Housing Finance Ord Shs,689.923901,693.982277,683.380805,687.190709,316439.68797,0
2017-01-19,D,Pnb Housing Finance Ord Shs,687.687653,694.893341,680.978909,689.675429,111084.954258,0
2017-01-20,D,Pnb Housing Finance Ord Shs,690.338021,693.071213,685.409993,686.818001,167513.044278,0
2017-01-23,D,Pnb Housing Finance Ord Shs,685.617053,691.580381,683.505041,687.149297,185944.900282,0
