Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-10-19,D,Piramal Pharma Ord Shs,195.312202,195.312202,185.546592,185.546592,5524454.637649,0
2022-10-20,D,Piramal Pharma Ord Shs,176.269262,176.269262,176.269262,176.269262,1710866.994576,1
2022-10-21,D,Piramal Pharma Ord Shs,167.480213,167.480213,167.480213,167.480213,292732.350674,1
2022-10-24,D,Piramal Pharma Ord Shs,165.527091,175.341529,159.130617,161.034911,2016742.405305,0
2022-10-25,D,Piramal Pharma Ord Shs,153.02711,169.042711,153.02711,167.382557,10418477.593335,0
2022-10-27,D,Piramal Pharma Ord Shs,162.255612,165.917716,159.03296,159.03296,7691621.848484,0
2022-10-28,D,Piramal Pharma Ord Shs,152.880626,158.886476,151.122816,154.736092,11046352.343396,0
2022-10-31,D,Piramal Pharma Ord Shs,147.460712,162.450924,147.460712,161.034911,8406304.283002,0
2022-11-01,D,Piramal Pharma Ord Shs,159.521241,168.652086,153.857187,155.273201,51123329.20801,0
2022-11-02,D,Piramal Pharma Ord Shs,159.179445,163.036861,158.447024,163.036861,10428190.248156,0
2022-11-03,D,Piramal Pharma Ord Shs,162.988033,174.755593,156.591558,170.898177,24036332.356533,0
2022-11-04,D,Piramal Pharma Ord Shs,170.898177,173.437235,164.404046,165.624747,5857363.689628,0
2022-11-07,D,Piramal Pharma Ord Shs,167.284901,167.968494,157.323979,160.05835,6930938.191772,0
2022-11-09,D,Piramal Pharma Ord Shs,152.343518,157.226323,151.611097,152.929454,6532588.271939,0
2022-11-10,D,Piramal Pharma Ord Shs,151.366957,153.710703,132.812297,139.599396,15605990.660852,0
2022-11-11,D,Piramal Pharma Ord Shs,141.552518,143.163844,134.863075,137.402134,4242980.170274,0
2022-11-14,D,Piramal Pharma Ord Shs,138.671663,140.331817,135.00956,136.230261,2646677.446509,0
2022-11-15,D,Piramal Pharma Ord Shs,137.25565,138.378695,135.2537,135.986121,2242789.726226,0
2022-11-16,D,Piramal Pharma Ord Shs,136.083777,137.49979,130.126755,130.663863,4184277.2327,0
2022-11-17,D,Piramal Pharma Ord Shs,130.712691,131.835736,122.265438,123.681452,5379411.984331,0
2022-11-18,D,Piramal Pharma Ord Shs,124.853325,135.986121,123.046687,132.861125,7237113.634959,0
2022-11-21,D,Piramal Pharma Ord Shs,133.74003,137.109166,130.175583,130.810347,4529904.384086,0
2022-11-22,D,Piramal Pharma Ord Shs,131.542768,132.128705,125.24395,125.73223,3131343.530051,0
