Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-22,D,Praj Industries Ord Shs,9.926456,10.919102,9.926456,10.919102,3999.99994,0
1995-05-25,D,Praj Industries Ord Shs,11.415424,11.415424,11.415424,11.415424,1999.99997,1
1995-06-09,D,Praj Industries Ord Shs,11.167263,11.167263,11.167263,11.167263,1999.99997,1
1995-06-13,D,Praj Industries Ord Shs,11.663586,11.663586,11.663586,11.663586,1999.99997,1
1995-06-22,D,Praj Industries Ord Shs,11.167263,11.167263,11.167263,11.167263,1999.99997,1
1995-06-29,D,Praj Industries Ord Shs,9.57903,9.57903,9.57903,9.57903,99999.99851,1
1995-07-12,D,Praj Industries Ord Shs,9.479765,9.479765,9.479765,9.479765,1999.99997,1
1995-08-07,D,Praj Industries Ord Shs,10.67094,11.415424,10.67094,11.415424,3999.99994,0
1995-08-08,D,Praj Industries Ord Shs,11.167263,11.167263,11.167263,11.167263,1999.99997,1
1995-08-23,D,Praj Industries Ord Shs,10.273882,10.273882,10.273882,10.273882,1999.99997,1
1995-09-06,D,Praj Industries Ord Shs,9.628662,9.628662,9.628662,9.628662,1999.99997,1
1995-09-19,D,Praj Industries Ord Shs,9.678295,9.678295,9.678295,9.678295,1999.99997,1
1995-10-10,D,Praj Industries Ord Shs,9.678295,9.678295,9.678295,9.678295,1999.99997,1
1995-12-12,D,Praj Industries Ord Shs,8.685649,8.685649,8.685649,8.685649,1999.99997,1
1995-12-28,D,Praj Industries Ord Shs,6.204035,6.204035,6.204035,6.204035,1999.99997,1
1995-12-29,D,Praj Industries Ord Shs,6.402564,6.42738,6.402564,6.42738,3999.99994,0
1996-01-11,D,Praj Industries Ord Shs,6.452196,6.452196,6.452196,6.452196,1999.99997,1
1996-01-15,D,Praj Industries Ord Shs,6.452196,6.452196,6.452196,6.452196,5999.999911,1
1996-02-27,D,Praj Industries Ord Shs,6.454678,6.454678,6.454678,6.454678,1999.99997,1
1996-02-28,D,Praj Industries Ord Shs,6.948519,6.948519,6.948519,6.948519,1999.99997,1
1996-03-04,D,Praj Industries Ord Shs,6.849255,6.849255,6.849255,6.849255,5999.999911,1
1996-03-06,D,Praj Industries Ord Shs,6.948519,6.948519,6.948519,6.948519,1999.99997,1
1996-03-21,D,Praj Industries Ord Shs,6.253667,6.253667,6.253667,6.253667,1999.99997,1
1996-04-09,D,Praj Industries Ord Shs,5.955874,5.955874,5.955874,5.955874,5999.999911,1
1996-04-10,D,Praj Industries Ord Shs,6.055138,6.055138,5.955874,5.955874,3999.99994,0
1996-04-11,D,Praj Industries Ord Shs,5.955874,5.955874,5.955874,5.955874,1999.99997,1
1996-04-12,D,Praj Industries Ord Shs,5.955874,5.955874,5.955874,5.955874,1999.99997,1
1996-04-19,D,Praj Industries Ord Shs,5.955874,5.955874,5.955874,5.955874,1999.99997,1
1996-04-22,D,Praj Industries Ord Shs,5.955874,5.955874,5.955874,5.955874,1999.99997,1
1996-05-02,D,Praj Industries Ord Shs,5.955874,5.955874,5.955874,5.955874,7999.999881,1
1996-05-06,D,Praj Industries Ord Shs,5.360286,5.360286,5.360286,5.360286,1999.99997,1
1996-05-07,D,Praj Industries Ord Shs,5.360286,5.360286,5.360286,5.360286,1999.99997,1
1996-05-08,D,Praj Industries Ord Shs,5.360286,5.459551,5.360286,5.360286,7999.999881,1
1996-05-09,D,Praj Industries Ord Shs,4.814331,4.814331,4.814331,4.814331,1999.99997,1
1996-05-10,D,Praj Industries Ord Shs,4.56617,4.56617,4.56617,4.56617,3999.99994,1
1996-05-24,D,Praj Industries Ord Shs,5.01286,5.01286,5.01286,5.01286,1999.99997,1
1996-06-03,D,Praj Industries Ord Shs,5.01286,5.01286,5.01286,5.01286,3999.99994,1
1996-06-04,D,Praj Industries Ord Shs,5.01286,5.01286,5.01286,5.01286,1999.99997,1
1996-06-05,D,Praj Industries Ord Shs,5.161757,5.161757,5.161757,5.161757,9999.999851,1
1996-06-06,D,Praj Industries Ord Shs,5.509183,5.509183,5.409918,5.409918,11999.999821,0
1996-06-07,D,Praj Industries Ord Shs,5.72012,5.72012,5.72012,5.72012,5999.999911,1
1996-06-10,D,Praj Industries Ord Shs,5.65808,5.65808,5.65808,5.65808,1999.99997,1
1996-06-11,D,Praj Industries Ord Shs,5.211389,5.211389,5.112125,5.112125,15999.999762,0
1996-06-12,D,Praj Industries Ord Shs,5.261022,5.261022,5.161757,5.161757,3999.99994,0
1996-06-13,D,Praj Industries Ord Shs,5.261022,5.261022,5.211389,5.221316,11999.999821,0
1996-06-14,D,Praj Industries Ord Shs,5.161757,5.161757,5.161757,5.161757,7999.999881,1
1996-06-17,D,Praj Industries Ord Shs,5.062493,5.062493,5.062493,5.062493,9999.999851,1
1996-06-19,D,Praj Industries Ord Shs,4.665434,4.665434,4.665434,4.665434,3999.99994,1
1996-06-20,D,Praj Industries Ord Shs,4.218744,4.218744,4.218744,4.218744,5999.999911,1
1996-06-21,D,Praj Industries Ord Shs,4.469387,4.469387,4.469387,4.469387,7999.999881,1
1996-06-24,D,Praj Industries Ord Shs,4.516537,4.516537,4.516537,4.516537,1999.99997,1
1996-06-25,D,Praj Industries Ord Shs,4.466905,4.466905,4.466905,4.466905,21999.999672,1
1996-07-01,D,Praj Industries Ord Shs,4.417273,4.417273,4.367641,4.367641,5999.999911,0
1996-07-09,D,Praj Industries Ord Shs,4.169112,4.169112,4.169112,4.169112,3999.99994,1
1996-07-10,D,Praj Industries Ord Shs,4.094663,4.094663,4.094663,4.094663,3999.99994,1
1996-07-12,D,Praj Industries Ord Shs,3.970582,3.970582,3.970582,3.970582,1999.99997,1
1996-07-16,D,Praj Industries Ord Shs,3.970582,3.970582,3.970582,3.970582,1999.99997,1
1996-07-18,D,Praj Industries Ord Shs,3.92095,3.92095,3.92095,3.92095,3999.99994,1
1996-07-25,D,Praj Industries Ord Shs,3.970582,3.970582,3.970582,3.970582,3999.99994,1
1996-08-20,D,Praj Industries Ord Shs,2.977937,2.977937,2.977937,2.977937,1999.99997,1
1996-08-23,D,Praj Industries Ord Shs,2.977937,2.977937,2.977937,2.977937,1999.99997,1
1996-08-26,D,Praj Industries Ord Shs,2.680143,3.221135,2.680143,2.950639,3999.99994,0
1996-08-28,D,Praj Industries Ord Shs,3.231061,3.231061,3.231061,3.231061,1999.99997,1
1996-08-29,D,Praj Industries Ord Shs,2.928305,2.928305,2.928305,2.928305,1999.99997,1
1996-08-30,D,Praj Industries Ord Shs,2.642919,2.642919,2.642919,2.642919,1999.99997,1
1996-09-02,D,Praj Industries Ord Shs,2.382349,2.382349,2.382349,2.382349,1999.99997,1
1996-09-03,D,Praj Industries Ord Shs,2.632992,2.632992,2.632992,2.632992,1999.99997,1
1996-09-04,D,Praj Industries Ord Shs,2.910933,2.910933,2.910933,2.910933,3999.99994,1
1996-09-05,D,Praj Industries Ord Shs,3.201282,3.201282,3.201282,3.201282,1999.99997,1
1996-09-06,D,Praj Industries Ord Shs,3.280694,3.280694,3.280694,3.280694,1999.99997,1
1996-09-09,D,Praj Industries Ord Shs,3.293102,3.293102,3.293102,3.293102,1999.99997,1
1996-09-11,D,Praj Industries Ord Shs,3.499076,3.518929,3.226098,3.518929,9999.999851,0
1996-09-12,D,Praj Industries Ord Shs,3.47426,3.759645,3.47426,3.759645,3999.99994,0
1996-09-13,D,Praj Industries Ord Shs,4.020215,4.020215,4.020215,4.020215,1999.99997,1
1996-09-20,D,Praj Industries Ord Shs,3.747237,3.747237,3.747237,3.747237,1999.99997,1
1996-10-07,D,Praj Industries Ord Shs,3.573524,3.992917,3.573524,3.992917,5999.999911,0
1996-10-24,D,Praj Industries Ord Shs,4.069847,4.069847,4.069847,4.069847,1999.99997,1
1996-11-08,D,Praj Industries Ord Shs,4.318008,4.318008,4.318008,4.318008,1999.99997,1
1996-11-11,D,Praj Industries Ord Shs,4.615802,4.615802,4.615802,4.615802,1999.99997,1
1996-11-14,D,Praj Industries Ord Shs,4.93593,4.93593,4.93593,4.93593,1999.99997,1
1996-12-09,D,Praj Industries Ord Shs,5.211389,5.211389,5.211389,5.211389,1999.99997,1
1996-12-11,D,Praj Industries Ord Shs,5.558815,5.558815,5.558815,5.558815,1999.99997,1
1996-12-19,D,Praj Industries Ord Shs,5.171684,5.171684,5.171684,5.171684,1999.99997,1
1996-12-20,D,Praj Industries Ord Shs,4.81185,4.81185,4.81185,4.81185,1999.99997,1
1996-12-24,D,Praj Industries Ord Shs,4.476832,4.476832,4.476832,4.476832,3999.99994,1
1997-01-01,D,Praj Industries Ord Shs,3.876281,3.876281,3.876281,3.876281,3999.99994,1
1997-01-03,D,Praj Industries Ord Shs,3.605785,3.605785,3.605785,3.605785,1999.99997,1
1997-01-14,D,Praj Industries Ord Shs,3.47426,3.47426,3.47426,3.47426,1999.99997,1
1997-01-15,D,Praj Industries Ord Shs,3.573524,3.573524,3.231061,3.231061,3999.99994,0
1997-01-16,D,Praj Industries Ord Shs,3.325363,3.325363,3.325363,3.325363,1999.99997,1
1997-01-17,D,Praj Industries Ord Shs,3.327844,3.327844,3.327844,3.327844,1999.99997,1
1997-01-21,D,Praj Industries Ord Shs,3.226098,3.226098,3.226098,3.226098,5999.999911,1
1997-02-05,D,Praj Industries Ord Shs,3.226098,3.226098,3.226098,3.226098,3999.99994,1
1997-02-10,D,Praj Industries Ord Shs,3.226098,3.226098,3.226098,3.226098,1999.99997,1
1997-02-12,D,Praj Industries Ord Shs,3.027569,3.027569,3.027569,3.027569,1999.99997,1
1997-02-13,D,Praj Industries Ord Shs,3.027569,3.236025,3.027569,3.236025,5999.999911,0
1997-02-20,D,Praj Industries Ord Shs,3.126834,3.126834,3.015161,3.015161,5999.999911,0
1997-02-24,D,Praj Industries Ord Shs,2.82904,2.82904,2.82904,2.82904,1999.99997,1
1997-02-27,D,Praj Industries Ord Shs,2.642919,2.729775,2.642919,2.729775,3999.99994,0
1997-03-03,D,Praj Industries Ord Shs,2.543654,2.92086,2.543654,2.543654,7999.999881,1
1997-03-05,D,Praj Industries Ord Shs,2.382349,2.382349,2.382349,2.382349,1999.99997,1
1997-03-10,D,Praj Industries Ord Shs,2.551099,2.551099,2.551099,2.551099,1999.99997,1
1997-03-12,D,Praj Industries Ord Shs,2.729775,2.729775,2.729775,2.729775,3999.99994,1
1997-03-13,D,Praj Industries Ord Shs,2.92086,2.92086,2.92086,2.92086,1999.99997,1
