Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-08-10,D,Pritika Auto Industries Ord Shs,19.7,19.7,17.65,18.15,301252,0
2021-08-11,D,Pritika Auto Industries Ord Shs,18.5,19.0,16.85,17.9,138839,0
2021-08-12,D,Pritika Auto Industries Ord Shs,18.25,18.6,18.0,18.2,62493,0
2021-08-13,D,Pritika Auto Industries Ord Shs,18.45,18.5,17.15,17.75,85827,0
2021-08-16,D,Pritika Auto Industries Ord Shs,18.5,20.0,17.1,18.5,578216,1
2021-08-17,D,Pritika Auto Industries Ord Shs,19.3,19.3,18.4,18.65,88118,0
2021-08-18,D,Pritika Auto Industries Ord Shs,19.0,19.05,18.2,18.55,63030,0
2021-08-20,D,Pritika Auto Industries Ord Shs,18.15,18.85,17.3,17.95,122076,0
2021-08-23,D,Pritika Auto Industries Ord Shs,18.0,18.3,17.0,17.1,82962,0
2021-08-24,D,Pritika Auto Industries Ord Shs,17.6,17.8,16.15,16.6,258888,0
2021-08-25,D,Pritika Auto Industries Ord Shs,17.7,17.75,17.05,17.6,130811,0
2021-08-26,D,Pritika Auto Industries Ord Shs,17.1,17.7,17.05,17.25,43989,0
2021-08-27,D,Pritika Auto Industries Ord Shs,17.3,17.7,16.8,17.1,58989,0
2021-08-30,D,Pritika Auto Industries Ord Shs,17.3,20.5,13.75,20.05,3369693,0
2021-08-31,D,Pritika Auto Industries Ord Shs,20.3,22.8,18.5,19.05,2040202,0
2021-09-01,D,Pritika Auto Industries Ord Shs,19.35,20.8,19.1,19.3,578569,0
2021-09-02,D,Pritika Auto Industries Ord Shs,19.55,19.8,18.9,19.25,425004,0
2021-09-03,D,Pritika Auto Industries Ord Shs,19.65,19.65,18.3,18.75,350071,0
2021-09-06,D,Pritika Auto Industries Ord Shs,19.0,19.2,18.35,18.55,348114,0
2021-09-07,D,Pritika Auto Industries Ord Shs,18.6,18.9,18.0,18.5,167985,0
