Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2003-03-19,D,Radaan Mediaworks India Ord Shs,7.22,9.0,7.22,8.02,15739.999765,0
2003-03-20,D,Radaan Mediaworks India Ord Shs,8.0,8.0,7.3,7.76,9394.99986,0
2003-03-21,D,Radaan Mediaworks India Ord Shs,7.6,8.1,7.5,7.85,8639.999871,0
2003-03-22,D,Radaan Mediaworks India Ord Shs,7.51,8.28,7.4,7.84,10234.999847,0
2003-03-24,D,Radaan Mediaworks India Ord Shs,7.84,7.84,7.54,7.6,2799.999958,0
2003-03-25,D,Radaan Mediaworks India Ord Shs,6.7,7.58,6.7,7.22,88594.99868,0
2003-03-26,D,Radaan Mediaworks India Ord Shs,7.05,7.53,6.79,6.8,113644.998307,0
2003-03-27,D,Radaan Mediaworks India Ord Shs,6.8,7.18,6.62,7.06,85319.998729,0
2003-03-28,D,Radaan Mediaworks India Ord Shs,6.79,7.1,6.77,6.98,128569.998084,0
2003-03-31,D,Radaan Mediaworks India Ord Shs,6.7,6.82,6.37,6.6,134664.997993,0
2003-04-01,D,Radaan Mediaworks India Ord Shs,6.77,6.8,6.52,6.62,137794.997947,0
2003-04-02,D,Radaan Mediaworks India Ord Shs,6.96,7.39,6.62,7.1,107379.9984,0
2003-04-03,D,Radaan Mediaworks India Ord Shs,7.0,7.0,6.6,6.89,78224.998834,0
2003-04-04,D,Radaan Mediaworks India Ord Shs,6.78,8.26,6.78,7.55,109924.998362,0
2003-04-07,D,Radaan Mediaworks India Ord Shs,8.2,9.06,8.2,9.06,77504.998845,0
2003-04-08,D,Radaan Mediaworks India Ord Shs,8.7,9.6,8.7,9.3,426199.993649,0
2003-04-09,D,Radaan Mediaworks India Ord Shs,8.91,9.36,8.9,9.0,74884.998884,0
2003-04-10,D,Radaan Mediaworks India Ord Shs,8.44,8.6,8.0,8.33,5074.999924,0
2003-04-11,D,Radaan Mediaworks India Ord Shs,8.57,9.2,8.2,8.23,4409.999934,0
2003-04-15,D,Radaan Mediaworks India Ord Shs,8.4,9.88,8.38,9.83,39079.999418,0
2003-04-16,D,Radaan Mediaworks India Ord Shs,9.62,10.4,9.12,9.28,16929.999748,0
2003-04-17,D,Radaan Mediaworks India Ord Shs,9.2,9.9,8.43,8.57,20279.999698,0
2003-04-21,D,Radaan Mediaworks India Ord Shs,9.15,10.29,9.15,10.27,295379.995598,0
2003-04-22,D,Radaan Mediaworks India Ord Shs,10.2,12.33,10.05,11.95,87879.99869,0
2003-04-23,D,Radaan Mediaworks India Ord Shs,13.7,13.7,11.55,12.69,299579.995536,0
2003-04-24,D,Radaan Mediaworks India Ord Shs,12.6,13.21,11.82,12.38,48574.999276,0
2003-04-25,D,Radaan Mediaworks India Ord Shs,12.4,12.4,11.6,12.05,51909.999226,0
2003-04-28,D,Radaan Mediaworks India Ord Shs,12.34,12.6,11.95,12.6,1356839.979782,0
2003-04-29,D,Radaan Mediaworks India Ord Shs,12.48,12.5,12.02,12.28,204219.996957,0
2003-04-30,D,Radaan Mediaworks India Ord Shs,12.38,12.38,11.6,11.83,245704.996339,0
2003-05-02,D,Radaan Mediaworks India Ord Shs,12.15,12.15,11.62,11.84,150079.997764,0
2003-05-05,D,Radaan Mediaworks India Ord Shs,12.32,12.97,12.31,12.74,299624.995535,0
2003-05-06,D,Radaan Mediaworks India Ord Shs,12.97,13.0,12.6,12.61,228804.996591,0
2003-05-07,D,Radaan Mediaworks India Ord Shs,12.62,12.9,12.0,12.75,41874.999376,0
2003-05-08,D,Radaan Mediaworks India Ord Shs,12.15,12.4,11.8,12.13,21479.99968,0
2003-05-09,D,Radaan Mediaworks India Ord Shs,11.86,12.0,11.85,11.85,53224.999207,0
2003-05-12,D,Radaan Mediaworks India Ord Shs,11.66,12.0,10.2,11.32,18864.999719,0
2003-05-13,D,Radaan Mediaworks India Ord Shs,11.94,12.39,11.6,12.03,143019.997869,0
2003-05-14,D,Radaan Mediaworks India Ord Shs,12.0,12.75,11.4,12.6,2663104.960317,0
2003-05-15,D,Radaan Mediaworks India Ord Shs,12.7,14.6,12.7,14.11,494009.992639,0
2003-05-16,D,Radaan Mediaworks India Ord Shs,14.92,16.0,14.92,15.79,659229.990177,0
2003-05-19,D,Radaan Mediaworks India Ord Shs,16.0,16.54,14.46,15.31,471904.992968,0
2003-05-20,D,Radaan Mediaworks India Ord Shs,15.4,17.59,15.2,17.0,352249.994751,0
2003-05-21,D,Radaan Mediaworks India Ord Shs,17.1,17.97,16.6,17.42,338889.99495,0
2003-05-22,D,Radaan Mediaworks India Ord Shs,18.14,18.14,16.65,16.96,468944.993012,0
2003-05-23,D,Radaan Mediaworks India Ord Shs,17.45,17.56,16.6,16.63,1136094.983071,0
2003-05-26,D,Radaan Mediaworks India Ord Shs,17.13,17.16,16.61,16.85,337344.994973,0
2003-05-27,D,Radaan Mediaworks India Ord Shs,17.03,18.4,17.03,18.12,705229.989491,0
2003-05-28,D,Radaan Mediaworks India Ord Shs,17.63,18.3,17.4,17.67,545629.991869,0
2003-05-29,D,Radaan Mediaworks India Ord Shs,18.19,18.2,17.16,17.61,755764.988738,0
2003-05-30,D,Radaan Mediaworks India Ord Shs,18.0,18.34,17.22,17.26,320024.995231,0
2003-06-02,D,Radaan Mediaworks India Ord Shs,18.0,18.0,16.2,16.69,564074.991595,0
2003-06-03,D,Radaan Mediaworks India Ord Shs,16.59,17.07,16.01,16.14,579049.991371,0
2003-06-04,D,Radaan Mediaworks India Ord Shs,16.4,16.9,15.92,16.39,360214.994632,0
2003-06-05,D,Radaan Mediaworks India Ord Shs,16.2,16.25,15.3,15.33,307144.995423,0
2003-06-06,D,Radaan Mediaworks India Ord Shs,15.0,16.0,14.95,15.88,620304.990757,0
2003-06-09,D,Radaan Mediaworks India Ord Shs,16.33,18.19,15.65,17.27,506764.992449,0
2003-06-10,D,Radaan Mediaworks India Ord Shs,17.35,17.9,16.21,17.27,661724.99014,0
2003-06-11,D,Radaan Mediaworks India Ord Shs,17.0,17.1,16.43,16.71,697639.989604,0
2003-06-12,D,Radaan Mediaworks India Ord Shs,16.89,16.9,16.29,16.44,677949.989898,0
2003-06-13,D,Radaan Mediaworks India Ord Shs,16.58,16.62,14.61,15.96,669324.990026,0
2003-06-16,D,Radaan Mediaworks India Ord Shs,15.39,16.42,14.49,16.05,802054.988048,0
2003-06-17,D,Radaan Mediaworks India Ord Shs,15.95,16.19,15.8,15.93,670424.99001,0
2003-06-18,D,Radaan Mediaworks India Ord Shs,15.01,16.2,15.01,15.86,696374.989623,0
2003-06-19,D,Radaan Mediaworks India Ord Shs,15.96,16.2,15.56,16.03,549304.991815,0
2003-06-20,D,Radaan Mediaworks India Ord Shs,16.11,16.11,15.38,15.5,629574.990619,0
2003-06-23,D,Radaan Mediaworks India Ord Shs,14.78,16.0,14.72,15.5,656024.990224,0
2003-06-24,D,Radaan Mediaworks India Ord Shs,15.75,15.75,15.1,15.56,619669.990766,0
2003-06-25,D,Radaan Mediaworks India Ord Shs,15.6,15.98,14.8,14.97,524424.992185,0
2003-06-26,D,Radaan Mediaworks India Ord Shs,15.99,17.0,15.6,16.18,1277739.98096,0
2003-06-27,D,Radaan Mediaworks India Ord Shs,16.32,16.6,15.9,16.11,951404.985823,0
2003-06-30,D,Radaan Mediaworks India Ord Shs,16.0,16.0,15.22,15.66,660554.990157,0
2003-07-01,D,Radaan Mediaworks India Ord Shs,15.78,17.05,15.57,16.33,686679.989768,0
2003-07-02,D,Radaan Mediaworks India Ord Shs,15.3,17.32,15.3,16.8,1224984.981746,0
2003-07-03,D,Radaan Mediaworks India Ord Shs,18.4,20.16,17.24,20.1,802614.98804,0
2003-07-04,D,Radaan Mediaworks India Ord Shs,20.97,24.0,20.6,22.89,898619.98661,0
2003-07-07,D,Radaan Mediaworks India Ord Shs,24.2,25.4,23.01,23.97,718504.989293,0
2003-07-08,D,Radaan Mediaworks India Ord Shs,24.2,24.54,22.0,22.36,496749.992598,0
2003-07-09,D,Radaan Mediaworks India Ord Shs,21.48,21.98,20.0,20.33,424654.993672,0
2003-07-10,D,Radaan Mediaworks India Ord Shs,21.58,22.4,20.4,20.82,418939.993757,0
2003-07-11,D,Radaan Mediaworks India Ord Shs,21.0,21.0,19.06,20.51,360019.994635,0
2003-07-14,D,Radaan Mediaworks India Ord Shs,20.8,22.8,20.8,21.6,454754.993224,0
2003-07-15,D,Radaan Mediaworks India Ord Shs,21.95,21.95,20.2,20.63,167139.997509,0
2003-07-16,D,Radaan Mediaworks India Ord Shs,20.6,21.39,20.4,20.74,251849.996247,0
2003-07-17,D,Radaan Mediaworks India Ord Shs,20.7,20.79,20.0,20.49,225894.996634,0
2003-07-18,D,Radaan Mediaworks India Ord Shs,20.0,20.6,20.0,20.15,95924.998571,0
2003-07-21,D,Radaan Mediaworks India Ord Shs,21.1,21.1,17.9,18.27,108454.998384,0
2003-07-22,D,Radaan Mediaworks India Ord Shs,18.4,18.99,18.0,18.8,191194.997151,0
2003-07-23,D,Radaan Mediaworks India Ord Shs,20.09,20.7,18.2,18.51,155629.997681,0
2003-07-24,D,Radaan Mediaworks India Ord Shs,18.6,19.16,18.52,18.62,402084.994008,0
2003-07-25,D,Radaan Mediaworks India Ord Shs,19.6,19.7,18.3,18.83,545464.991872,0
2003-07-28,D,Radaan Mediaworks India Ord Shs,18.6,18.8,18.07,18.65,462499.993108,0
2003-07-29,D,Radaan Mediaworks India Ord Shs,18.4,18.75,17.8,17.97,385299.994259,0
2003-07-30,D,Radaan Mediaworks India Ord Shs,18.49,18.49,17.2,17.35,398694.994059,0
2003-07-31,D,Radaan Mediaworks India Ord Shs,15.6,20.82,15.6,20.6,954139.985782,0
2003-08-01,D,Radaan Mediaworks India Ord Shs,20.4,21.0,18.71,19.52,394819.994117,0
2003-08-04,D,Radaan Mediaworks India Ord Shs,19.1,19.65,18.0,18.13,1290039.980777,0
2003-08-05,D,Radaan Mediaworks India Ord Shs,18.42,18.54,17.01,17.72,382684.994298,0
2003-08-06,D,Radaan Mediaworks India Ord Shs,17.46,18.7,17.18,17.51,406604.993941,0
2003-08-07,D,Radaan Mediaworks India Ord Shs,18.58,18.58,17.6,17.81,283849.99577,0
2003-08-08,D,Radaan Mediaworks India Ord Shs,18.0,18.36,17.6,17.74,473249.992948,0
2003-08-11,D,Radaan Mediaworks India Ord Shs,19.5,19.5,17.61,17.78,362889.994593,0
2003-08-12,D,Radaan Mediaworks India Ord Shs,17.8,17.99,16.4,16.68,397924.99407,0
2003-08-13,D,Radaan Mediaworks India Ord Shs,17.21,17.56,16.86,17.09,389669.994193,0
2003-08-14,D,Radaan Mediaworks India Ord Shs,17.6,17.6,15.4,15.73,342334.994899,0
2003-08-18,D,Radaan Mediaworks India Ord Shs,15.6,16.3,13.87,14.9,379219.994349,0
