Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-07-18,D,Radhika Jeweltech Ord Shs,32.98,33.0,31.58,32.28,123974.998153,0
2022-07-19,D,Radhika Jeweltech Ord Shs,32.9,33.0,31.67,32.72,33744.999497,0
2022-07-20,D,Radhika Jeweltech Ord Shs,32.89,32.94,30.8,31.33,23824.999645,0
2022-07-21,D,Radhika Jeweltech Ord Shs,32.27,32.38,30.0,30.51,63064.99906,0
2022-07-22,D,Radhika Jeweltech Ord Shs,29.87,30.4,29.64,30.2,131579.998039,0
2022-07-25,D,Radhika Jeweltech Ord Shs,29.64,30.36,29.64,30.26,11639.999827,0
2022-07-26,D,Radhika Jeweltech Ord Shs,30.39,30.4,30.21,30.28,47369.999294,0
2022-07-27,D,Radhika Jeweltech Ord Shs,30.77,30.78,29.8,30.65,45154.999327,0
2022-07-28,D,Radhika Jeweltech Ord Shs,30.6,30.98,30.21,30.47,160844.997603,0
2022-07-29,D,Radhika Jeweltech Ord Shs,30.2,31.5,29.93,31.22,280589.995819,0
2022-08-01,D,Radhika Jeweltech Ord Shs,31.58,31.58,30.2,30.73,86654.998709,0
2022-08-02,D,Radhika Jeweltech Ord Shs,30.61,31.0,30.21,30.69,150214.997762,0
2022-08-03,D,Radhika Jeweltech Ord Shs,30.69,34.800001,30.33,32.42,85379.998728,0
2022-08-04,D,Radhika Jeweltech Ord Shs,33.02,33.08,30.82,31.89,57354.999145,0
2022-08-05,D,Radhika Jeweltech Ord Shs,31.86,32.88,31.34,32.47,1303984.980569,0
2022-08-08,D,Radhika Jeweltech Ord Shs,33.1,33.1,31.59,32.14,143244.997865,0
2022-08-10,D,Radhika Jeweltech Ord Shs,32.39,32.39,30.6,31.17,75974.998868,0
2022-08-11,D,Radhika Jeweltech Ord Shs,31.99,32.59,30.56,32.03,178909.997334,0
2022-08-12,D,Radhika Jeweltech Ord Shs,32.01,32.35,31.8,32.08,88034.998688,0
2022-08-16,D,Radhika Jeweltech Ord Shs,32.2,32.34,31.75,32.21,106979.998406,0
2022-08-17,D,Radhika Jeweltech Ord Shs,32.6,32.81,31.0,31.39,194339.997104,0
2022-08-18,D,Radhika Jeweltech Ord Shs,32.37,32.37,31.2,31.39,78644.998828,0
2022-08-19,D,Radhika Jeweltech Ord Shs,32.0,32.39,30.2,32.22,171214.997449,0
2022-08-22,D,Radhika Jeweltech Ord Shs,32.22,32.6,31.6,32.05,409804.993893,0
2022-08-23,D,Radhika Jeweltech Ord Shs,32.55,33.03,31.19,32.47,626269.990668,0
2022-08-24,D,Radhika Jeweltech Ord Shs,33.14,33.760001,32.42,33.09,434639.993523,0
