Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-12-06,D,Rallis India Ord Shs,23.880876,23.880876,23.880876,23.880876,749.999631,1
1994-12-19,D,Rallis India Ord Shs,22.885839,22.885839,22.554161,22.72,2249.998894,0
1994-12-21,D,Rallis India Ord Shs,20.564088,20.564088,20.564088,20.564088,1499.999262,1
1994-12-26,D,Rallis India Ord Shs,21.890803,21.890803,21.890803,21.890803,1499.999262,1
1995-01-06,D,Rallis India Ord Shs,19.90073,19.90073,19.90073,19.90073,1499.999262,1
1995-01-17,D,Rallis India Ord Shs,19.569051,19.90073,19.303708,19.303708,3749.998156,0
1995-01-18,D,Rallis India Ord Shs,17.910657,17.910657,17.910657,17.910657,15026992.610652,1
1995-01-19,D,Rallis India Ord Shs,19.90073,19.90073,19.90073,19.90073,749.999631,1
1995-01-23,D,Rallis India Ord Shs,19.569051,19.569051,19.569051,19.569051,1499.999262,1
1995-01-24,D,Rallis India Ord Shs,18.577331,19.562417,18.577331,19.562417,46499.977134,0
1995-01-31,D,Rallis India Ord Shs,19.90073,19.90073,19.90073,19.90073,4499.997787,1
1995-02-02,D,Rallis India Ord Shs,19.90073,19.90073,19.90073,19.90073,155999.923289,1
1995-02-07,D,Rallis India Ord Shs,20.895766,20.895766,20.895766,20.895766,1499.999262,1
1995-02-08,D,Rallis India Ord Shs,20.232409,20.564088,20.232409,20.564088,60749.970127,0
1995-02-09,D,Rallis India Ord Shs,21.227445,21.227445,21.227445,21.227445,29999.985248,1
1995-02-14,D,Rallis India Ord Shs,21.559124,22.156146,21.559124,22.156146,7499.996312,0
1995-02-20,D,Rallis India Ord Shs,20.570721,20.570721,20.564088,20.564088,3749.998156,0
1995-02-21,D,Rallis India Ord Shs,20.564088,20.564088,20.564088,20.564088,749.999631,1
1995-02-22,D,Rallis India Ord Shs,20.564088,20.564088,20.564088,20.564088,749.999631,1
1995-02-23,D,Rallis India Ord Shs,20.895766,21.061606,20.895766,21.061606,4499.997787,0
1995-02-24,D,Rallis India Ord Shs,20.895766,21.393285,20.895766,21.393285,35999.982297,0
1995-03-01,D,Rallis India Ord Shs,21.227445,21.227445,21.227445,21.227445,1499.999262,1
1995-03-02,D,Rallis India Ord Shs,21.724963,21.724963,21.724963,21.724963,37499.98156,1
1995-03-06,D,Rallis India Ord Shs,21.559124,21.559124,21.559124,21.559124,14999.992624,1
1995-03-07,D,Rallis India Ord Shs,21.061606,21.061606,21.061606,21.061606,1499.999262,1
