Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-09-11,D,Ratnaveer Precisi Engineer Ord Shs,123.2,129.35,123.0,129.35,4674065,0
2023-09-12,D,Ratnaveer Precisi Engineer Ord Shs,127.45,127.5,122.9,122.9,1356001,0
2023-09-13,D,Ratnaveer Precisi Engineer Ord Shs,116.75,124.0,116.75,121.3,2082591,0
2023-09-14,D,Ratnaveer Precisi Engineer Ord Shs,122.5,122.5,117.05,118.1,643753,0
2023-09-15,D,Ratnaveer Precisi Engineer Ord Shs,118.0,119.25,114.3,116.3,491089,0
2023-09-18,D,Ratnaveer Precisi Engineer Ord Shs,116.0,116.3,112.15,113.6,521873,0
2023-09-20,D,Ratnaveer Precisi Engineer Ord Shs,113.05,117.8,113.0,117.3,413413,0
2023-09-21,D,Ratnaveer Precisi Engineer Ord Shs,117.3,118.0,114.25,114.75,239551,0
2023-09-22,D,Ratnaveer Precisi Engineer Ord Shs,115.5,118.85,113.0,116.4,369098,0
2023-09-25,D,Ratnaveer Precisi Engineer Ord Shs,115.9,119.0,114.0,117.1,311151,0
2023-09-26,D,Ratnaveer Precisi Engineer Ord Shs,118.0,119.0,114.05,114.45,476097,0
2023-09-27,D,Ratnaveer Precisi Engineer Ord Shs,114.2,120.7,111.0,116.15,1256551,0
2023-09-28,D,Ratnaveer Precisi Engineer Ord Shs,116.6,117.45,112.75,113.25,384726,0
2023-09-29,D,Ratnaveer Precisi Engineer Ord Shs,113.95,115.85,113.45,114.5,262942,0
2023-10-03,D,Ratnaveer Precisi Engineer Ord Shs,114.9,115.4,111.0,112.05,335056,0
2023-10-04,D,Ratnaveer Precisi Engineer Ord Shs,112.45,113.55,109.8,111.35,748276,0
2023-10-05,D,Ratnaveer Precisi Engineer Ord Shs,112.0,113.5,111.1,112.35,257323,0
2023-10-06,D,Ratnaveer Precisi Engineer Ord Shs,112.7,118.7,112.25,117.15,967893,0
2023-10-09,D,Ratnaveer Precisi Engineer Ord Shs,115.0,117.3,113.8,114.1,405049,0
2023-10-10,D,Ratnaveer Precisi Engineer Ord Shs,115.05,117.5,113.45,113.95,1221742,0
2023-10-11,D,Ratnaveer Precisi Engineer Ord Shs,114.0,115.7,113.75,114.3,336028,0
2023-10-12,D,Ratnaveer Precisi Engineer Ord Shs,115.75,122.2,115.75,120.75,2597982,0
2023-10-13,D,Ratnaveer Precisi Engineer Ord Shs,122.45,134.7,121.95,133.1,9411420,0
2023-10-16,D,Ratnaveer Precisi Engineer Ord Shs,133.85,138.0,130.4,133.85,3459813,1
