Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2020-12-14,D,Restaurant Brands Asia Ord Shs,112.5,135.0,108.4,135.0,186792834,0
2020-12-15,D,Restaurant Brands Asia Ord Shs,147.0,162.0,145.0,162.0,60070880,0
2020-12-16,D,Restaurant Brands Asia Ord Shs,184.0,194.4,178.9,194.4,21103499,0
2020-12-17,D,Restaurant Brands Asia Ord Shs,213.8,213.8,175.0,175.0,20515521,0
2020-12-18,D,Restaurant Brands Asia Ord Shs,158.0,161.2,157.5,157.5,5185618,0
2020-12-21,D,Restaurant Brands Asia Ord Shs,151.1,173.25,145.35,158.3,65599552,0
2020-12-22,D,Restaurant Brands Asia Ord Shs,165.0,174.1,155.25,173.35,28942709,0
2020-12-23,D,Restaurant Brands Asia Ord Shs,177.95,190.65,176.85,189.45,27824176,0
2020-12-24,D,Restaurant Brands Asia Ord Shs,192.85,196.5,178.0,180.9,25703631,0
2020-12-28,D,Restaurant Brands Asia Ord Shs,184.45,186.0,176.0,178.4,7940387,0
2020-12-29,D,Restaurant Brands Asia Ord Shs,180.8,180.8,170.15,172.9,6886656,0
2020-12-30,D,Restaurant Brands Asia Ord Shs,173.85,181.5,168.8,175.6,9613637,0
2020-12-31,D,Restaurant Brands Asia Ord Shs,176.7,178.7,174.2,175.5,3011296,0
2021-01-01,D,Restaurant Brands Asia Ord Shs,174.9,176.9,173.1,173.35,2475468,0
2021-01-04,D,Restaurant Brands Asia Ord Shs,174.85,175.05,170.2,171.25,3961867,0
2021-01-05,D,Restaurant Brands Asia Ord Shs,170.0,174.45,166.0,170.2,5910562,0
2021-01-06,D,Restaurant Brands Asia Ord Shs,171.15,171.9,167.0,168.2,2756322,0
2021-01-07,D,Restaurant Brands Asia Ord Shs,169.5,169.85,165.0,165.25,2336566,0
2021-01-08,D,Restaurant Brands Asia Ord Shs,166.25,169.75,164.0,166.8,3554211,0
2021-01-11,D,Restaurant Brands Asia Ord Shs,164.9,165.0,150.15,150.15,14877440,0
2021-01-12,D,Restaurant Brands Asia Ord Shs,140.2,154.8,140.2,147.9,23039034,0
2021-01-13,D,Restaurant Brands Asia Ord Shs,151.0,152.85,143.7,144.95,7660500,0
2021-01-14,D,Restaurant Brands Asia Ord Shs,145.0,147.4,143.7,144.8,3868716,0
2021-01-15,D,Restaurant Brands Asia Ord Shs,146.4,148.8,142.05,143.9,4747121,0
2021-01-18,D,Restaurant Brands Asia Ord Shs,144.05,145.0,140.0,141.6,2702460,0
2021-01-19,D,Restaurant Brands Asia Ord Shs,142.15,146.5,142.15,144.75,2538971,0
