Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-12-27,D,Rbz Jewellers Ord Shs,100.0,105.0,96.0,105.0,2560937,0
2023-12-28,D,Rbz Jewellers Ord Shs,110.25,110.25,110.25,110.25,272121,1
2023-12-29,D,Rbz Jewellers Ord Shs,115.75,115.75,115.75,115.75,150622,1
2024-01-01,D,Rbz Jewellers Ord Shs,116.25,121.5,115.75,121.5,763361,0
2024-01-02,D,Rbz Jewellers Ord Shs,127.55,127.55,127.55,127.55,96488,1
2024-01-03,D,Rbz Jewellers Ord Shs,133.9,133.9,133.9,133.9,99504,1
2024-01-04,D,Rbz Jewellers Ord Shs,140.55,140.55,129.25,139.8,1044827,0
2024-01-05,D,Rbz Jewellers Ord Shs,132.85,146.75,132.85,146.75,1849714,0
2024-01-08,D,Rbz Jewellers Ord Shs,146.75,148.0,139.45,139.65,713601,0
2024-01-09,D,Rbz Jewellers Ord Shs,136.15,146.6,136.0,146.6,507782,0
2024-01-10,D,Rbz Jewellers Ord Shs,165.0,175.9,162.0,175.9,5185172,0
2024-01-11,D,Rbz Jewellers Ord Shs,190.35,211.05,188.0,211.05,2966009,0
2024-01-12,D,Rbz Jewellers Ord Shs,224.0,232.15,212.05,232.15,5145539,0
2024-01-15,D,Rbz Jewellers Ord Shs,238.7,255.35,225.0,249.25,5386864,0
2024-01-16,D,Rbz Jewellers Ord Shs,249.25,249.3,225.0,230.25,3475077,0
2024-01-17,D,Rbz Jewellers Ord Shs,225.0,230.0,214.7,219.5,1307603,0
2024-01-18,D,Rbz Jewellers Ord Shs,220.0,225.0,204.8,215.4,986454,0
2024-01-19,D,Rbz Jewellers Ord Shs,219.9,225.0,200.3,204.2,952993,0
2024-01-20,D,Rbz Jewellers Ord Shs,206.7,214.95,200.0,200.75,486524,0
2024-01-23,D,Rbz Jewellers Ord Shs,205.85,206.15,180.7,180.75,1320284,0
2024-01-24,D,Rbz Jewellers Ord Shs,180.7,189.75,175.4,189.75,354517,0
2024-01-25,D,Rbz Jewellers Ord Shs,199.2,199.2,199.2,199.2,201560,1
