Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-03,D,Reliance Infrastructure Ord Shs,205.0,220.0,205.0,215.0,500,0
1994-11-07,D,Reliance Infrastructure Ord Shs,215.0,215.0,212.75,215.0,400,1
1994-11-08,D,Reliance Infrastructure Ord Shs,217.0,217.0,215.0,215.0,200,0
1994-11-09,D,Reliance Infrastructure Ord Shs,216.0,216.0,208.0,208.0,150,0
1994-11-11,D,Reliance Infrastructure Ord Shs,205.5,210.0,205.0,208.75,600,0
1994-11-25,D,Reliance Infrastructure Ord Shs,212.5,212.5,210.5,212.0,550,0
1994-11-29,D,Reliance Infrastructure Ord Shs,213.0,215.0,213.0,215.0,350,0
1994-12-01,D,Reliance Infrastructure Ord Shs,210.0,212.0,210.0,212.0,800,0
1994-12-05,D,Reliance Infrastructure Ord Shs,212.0,214.0,209.0,213.5,1800,0
1994-12-06,D,Reliance Infrastructure Ord Shs,212.0,216.0,210.5,215.5,6200,0
1994-12-07,D,Reliance Infrastructure Ord Shs,212.0,214.0,209.0,213.0,2450,0
1994-12-08,D,Reliance Infrastructure Ord Shs,210.0,215.0,207.0,215.0,6800,0
1994-12-09,D,Reliance Infrastructure Ord Shs,210.0,215.0,210.0,213.0,600,0
1994-12-12,D,Reliance Infrastructure Ord Shs,205.0,213.0,201.0,211.0,3750,0
1994-12-13,D,Reliance Infrastructure Ord Shs,210.0,212.0,207.0,208.5,2450,0
1994-12-14,D,Reliance Infrastructure Ord Shs,210.0,212.5,209.25,210.0,900,1
1994-12-15,D,Reliance Infrastructure Ord Shs,209.5,213.5,209.5,213.25,1200,0
1994-12-16,D,Reliance Infrastructure Ord Shs,213.0,216.0,213.0,216.0,2500,0
1994-12-19,D,Reliance Infrastructure Ord Shs,207.5,212.0,207.5,211.25,1150,0
1994-12-20,D,Reliance Infrastructure Ord Shs,214.65,214.65,210.0,213.25,1200,0
1994-12-21,D,Reliance Infrastructure Ord Shs,212.0,212.5,212.0,212.25,550,0
1994-12-22,D,Reliance Infrastructure Ord Shs,212.0,212.0,210.0,212.0,1600,1
1994-12-23,D,Reliance Infrastructure Ord Shs,212.0,213.5,212.0,213.0,950,0
1994-12-26,D,Reliance Infrastructure Ord Shs,214.0,214.75,214.0,214.75,900,0
1994-12-28,D,Reliance Infrastructure Ord Shs,212.0,213.0,210.0,213.0,600,0
1995-01-02,D,Reliance Infrastructure Ord Shs,210.0,213.5,209.0,213.2,1850,0
1995-01-03,D,Reliance Infrastructure Ord Shs,207.5,216.0,207.5,216.0,1350,0
1995-01-06,D,Reliance Infrastructure Ord Shs,207.0,207.0,204.0,206.5,5300,0
1995-01-09,D,Reliance Infrastructure Ord Shs,200.0,202.0,200.0,202.0,1450,0
1995-01-11,D,Reliance Infrastructure Ord Shs,197.5,197.5,193.0,196.25,2000,0
1995-01-12,D,Reliance Infrastructure Ord Shs,196.0,196.0,190.0,190.0,250,0
1995-01-17,D,Reliance Infrastructure Ord Shs,190.0,195.0,190.0,193.1,2200,0
1995-01-18,D,Reliance Infrastructure Ord Shs,181.0,195.0,181.0,195.0,950,0
1995-01-19,D,Reliance Infrastructure Ord Shs,195.0,195.0,194.0,194.65,150,0
1995-01-23,D,Reliance Infrastructure Ord Shs,181.0,185.0,181.0,181.5,500,0
1995-01-24,D,Reliance Infrastructure Ord Shs,178.0,182.5,177.5,181.5,1950,0
1995-01-25,D,Reliance Infrastructure Ord Shs,182.0,185.0,182.0,183.0,1550,0
1995-01-27,D,Reliance Infrastructure Ord Shs,183.0,200.0,183.0,193.0,400,0
1995-01-30,D,Reliance Infrastructure Ord Shs,193.0,195.0,193.0,193.5,400,0
1995-01-31,D,Reliance Infrastructure Ord Shs,196.0,200.0,195.0,199.0,1950,0
1995-02-02,D,Reliance Infrastructure Ord Shs,192.5,197.0,192.5,196.9,1700,0
1995-02-03,D,Reliance Infrastructure Ord Shs,192.0,195.0,192.0,194.05,1050,0
1995-02-06,D,Reliance Infrastructure Ord Shs,195.0,197.5,185.0,185.0,2950,0
1995-02-07,D,Reliance Infrastructure Ord Shs,185.0,185.5,181.0,183.0,1150,0
1995-02-08,D,Reliance Infrastructure Ord Shs,182.0,185.0,180.0,180.35,650,0
1995-02-09,D,Reliance Infrastructure Ord Shs,182.0,185.0,180.05,182.5,450,0
1995-02-10,D,Reliance Infrastructure Ord Shs,182.0,185.0,182.0,182.0,400,1
1995-02-13,D,Reliance Infrastructure Ord Shs,182.0,182.0,176.0,177.35,400,0
1995-02-14,D,Reliance Infrastructure Ord Shs,177.0,177.0,175.0,175.0,1350,0
1995-02-15,D,Reliance Infrastructure Ord Shs,175.0,175.0,172.0,173.0,2100,0
1995-02-16,D,Reliance Infrastructure Ord Shs,170.0,170.0,151.0,160.0,7500,0
1995-02-17,D,Reliance Infrastructure Ord Shs,160.0,163.0,157.0,161.95,3350,0
1995-02-20,D,Reliance Infrastructure Ord Shs,163.0,168.0,161.0,161.0,5900,0
1995-02-21,D,Reliance Infrastructure Ord Shs,162.0,166.5,162.0,164.5,3250,0
