Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-09-22,D,Reliance Home Finance Ord Shs,102.1,107.2,102.1,107.2,1089826,0
2017-09-25,D,Reliance Home Finance Ord Shs,112.55,112.55,108.0,112.55,4202788,1
2017-09-26,D,Reliance Home Finance Ord Shs,113.0,113.0,106.95,108.45,1963765,0
2017-09-27,D,Reliance Home Finance Ord Shs,106.0,109.4,103.05,103.05,1021374,0
2017-09-28,D,Reliance Home Finance Ord Shs,98.15,102.0,97.9,97.9,426026,0
2017-09-29,D,Reliance Home Finance Ord Shs,95.0,101.9,93.05,99.35,1238325,0
2017-10-03,D,Reliance Home Finance Ord Shs,99.9,99.9,95.0,95.65,499444,0
2017-10-04,D,Reliance Home Finance Ord Shs,94.4,97.8,90.9,91.25,618475,0
2017-10-05,D,Reliance Home Finance Ord Shs,92.0,92.8,86.7,87.45,727660,0
2017-10-06,D,Reliance Home Finance Ord Shs,85.2,91.8,85.2,91.1,1178336,0
2017-10-09,D,Reliance Home Finance Ord Shs,90.5,94.75,87.0,91.25,1742731,0
2017-10-10,D,Reliance Home Finance Ord Shs,93.9,94.25,91.0,91.9,2264099,0
2017-10-11,D,Reliance Home Finance Ord Shs,92.7,92.7,85.85,86.3,996153,0
2017-10-12,D,Reliance Home Finance Ord Shs,87.25,88.9,85.65,86.1,663484,0
2017-10-13,D,Reliance Home Finance Ord Shs,87.0,87.25,79.65,82.45,3137483,0
2017-10-16,D,Reliance Home Finance Ord Shs,82.35,86.75,81.7,82.4,2933097,0
2017-10-17,D,Reliance Home Finance Ord Shs,81.4,85.6,81.2,84.8,1233684,0
2017-10-18,D,Reliance Home Finance Ord Shs,86.95,92.1,84.8,88.5,2456484,0
2017-10-19,D,Reliance Home Finance Ord Shs,89.3,89.9,88.0,88.85,452397,0
2017-10-23,D,Reliance Home Finance Ord Shs,87.55,89.6,85.4,86.0,1131885,0
2017-10-24,D,Reliance Home Finance Ord Shs,84.95,87.65,82.7,83.1,1425174,0
2017-10-25,D,Reliance Home Finance Ord Shs,83.6,84.45,81.0,82.1,1064069,0
2017-10-26,D,Reliance Home Finance Ord Shs,82.0,82.25,80.3,81.1,830890,0
2017-10-27,D,Reliance Home Finance Ord Shs,81.4,82.85,80.55,81.6,749001,0
2017-10-30,D,Reliance Home Finance Ord Shs,83.8,89.8,82.5,86.85,3161945,0
2017-10-31,D,Reliance Home Finance Ord Shs,88.0,89.5,86.0,86.75,1947046,0
2017-11-01,D,Reliance Home Finance Ord Shs,87.95,87.95,86.0,86.3,693947,0
2017-11-02,D,Reliance Home Finance Ord Shs,86.45,86.7,83.8,84.1,829778,0
2017-11-03,D,Reliance Home Finance Ord Shs,84.2,87.5,84.2,86.15,717172,0
2017-11-06,D,Reliance Home Finance Ord Shs,86.15,87.0,83.2,84.2,846379,0
2017-11-07,D,Reliance Home Finance Ord Shs,84.2,84.65,79.75,80.2,1044407,0
2017-11-08,D,Reliance Home Finance Ord Shs,80.8,81.4,77.2,77.8,688921,0
2017-11-09,D,Reliance Home Finance Ord Shs,79.5,79.8,75.15,75.65,1427787,0
2017-11-10,D,Reliance Home Finance Ord Shs,75.2,77.2,74.85,75.85,575365,0
2017-11-13,D,Reliance Home Finance Ord Shs,76.8,76.8,73.5,73.9,799846,0
2017-11-14,D,Reliance Home Finance Ord Shs,74.0,74.0,70.65,71.1,908316,0
2017-11-15,D,Reliance Home Finance Ord Shs,71.5,71.6,62.25,66.1,2916367,0
2017-11-16,D,Reliance Home Finance Ord Shs,66.35,74.0,63.55,72.2,3430117,0
2017-11-17,D,Reliance Home Finance Ord Shs,74.95,76.55,71.5,73.4,1425154,0
2017-11-20,D,Reliance Home Finance Ord Shs,73.5,75.35,70.95,75.05,1729429,0
2017-11-21,D,Reliance Home Finance Ord Shs,75.55,77.5,73.75,76.4,985032,0
2017-11-22,D,Reliance Home Finance Ord Shs,77.0,78.05,75.4,77.15,938408,0
2017-11-23,D,Reliance Home Finance Ord Shs,77.0,77.2,75.0,75.9,1074233,0
2017-11-24,D,Reliance Home Finance Ord Shs,76.0,77.9,75.1,77.15,606285,0
2017-11-27,D,Reliance Home Finance Ord Shs,77.0,80.1,76.15,79.0,551315,0
2017-11-28,D,Reliance Home Finance Ord Shs,79.7,79.8,76.5,76.95,413446,0
2017-11-29,D,Reliance Home Finance Ord Shs,76.8,82.0,75.1,80.1,1357019,0
2017-11-30,D,Reliance Home Finance Ord Shs,79.7,82.15,78.05,80.05,998844,0
2017-12-01,D,Reliance Home Finance Ord Shs,80.35,82.3,77.85,79.25,771574,0
2017-12-04,D,Reliance Home Finance Ord Shs,79.5,80.15,76.1,79.55,505877,0
2017-12-05,D,Reliance Home Finance Ord Shs,79.0,80.3,78.0,79.5,2391555,0
2017-12-06,D,Reliance Home Finance Ord Shs,80.0,80.2,78.0,78.45,365704,0
2017-12-07,D,Reliance Home Finance Ord Shs,78.45,79.2,77.3,78.25,576826,0
2017-12-08,D,Reliance Home Finance Ord Shs,78.9,78.9,76.0,77.3,536295,0
2017-12-11,D,Reliance Home Finance Ord Shs,77.5,83.0,75.6,82.0,834980,0
2017-12-12,D,Reliance Home Finance Ord Shs,82.8,93.2,81.05,86.8,5673628,0
2017-12-13,D,Reliance Home Finance Ord Shs,86.95,91.4,84.0,89.65,2296727,0
2017-12-14,D,Reliance Home Finance Ord Shs,90.0,91.0,87.45,90.0,1935803,1
2017-12-15,D,Reliance Home Finance Ord Shs,90.5,94.8,89.75,93.8,1579554,0
2017-12-18,D,Reliance Home Finance Ord Shs,92.85,94.5,75.05,93.45,1069230,0
2017-12-19,D,Reliance Home Finance Ord Shs,92.5,93.95,90.1,90.35,861315,0
2017-12-20,D,Reliance Home Finance Ord Shs,90.45,92.7,86.3,88.8,2231612,0
2017-12-21,D,Reliance Home Finance Ord Shs,89.0,90.3,87.55,88.4,901778,0
2017-12-22,D,Reliance Home Finance Ord Shs,89.0,90.7,88.6,89.4,1172603,0
2017-12-26,D,Reliance Home Finance Ord Shs,90.5,91.0,88.75,90.0,793440,0
2017-12-27,D,Reliance Home Finance Ord Shs,89.85,90.9,87.5,87.85,795326,0
2017-12-28,D,Reliance Home Finance Ord Shs,88.0,91.2,86.7,87.15,1903229,0
2017-12-29,D,Reliance Home Finance Ord Shs,90.0,92.45,88.75,90.6,2759762,0
