Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-10-09,D,Rkec Projects Ord Shs,54.0,54.0,54.0,54.0,177000,1
2017-10-10,D,Rkec Projects Ord Shs,64.8,64.8,64.8,64.8,243000,1
2017-10-11,D,Rkec Projects Ord Shs,75.8,77.75,72.4,77.75,3471000,0
2017-10-12,D,Rkec Projects Ord Shs,85.3,85.5,85.3,85.5,348000,0
2017-10-13,D,Rkec Projects Ord Shs,93.8,94.05,89.15,94.05,1923000,0
2017-10-16,D,Rkec Projects Ord Shs,103.45,103.45,99.3,103.45,243000,1
2017-10-17,D,Rkec Projects Ord Shs,108.6,108.6,100.5,108.6,783000,1
2017-10-18,D,Rkec Projects Ord Shs,114.0,114.0,110.15,114.0,588000,1
2017-10-19,D,Rkec Projects Ord Shs,118.75,118.8,108.3,110.35,237000,0
2017-10-23,D,Rkec Projects Ord Shs,111.4,113.95,104.85,104.95,330000,0
2017-10-24,D,Rkec Projects Ord Shs,106.0,107.5,99.75,102.35,378000,0
2017-10-25,D,Rkec Projects Ord Shs,105.0,107.45,105.0,105.95,246000,0
2017-10-26,D,Rkec Projects Ord Shs,107.5,111.2,107.1,111.2,153000,0
2017-10-27,D,Rkec Projects Ord Shs,116.75,116.75,115.5,116.75,66000,1
2017-10-30,D,Rkec Projects Ord Shs,122.55,122.55,122.55,122.55,54000,1
2017-10-31,D,Rkec Projects Ord Shs,128.65,128.65,128.65,128.65,21000,1
2017-11-01,D,Rkec Projects Ord Shs,135.05,135.05,135.05,135.05,36000,1
2017-11-02,D,Rkec Projects Ord Shs,141.8,141.8,141.8,141.8,27000,1
2017-11-03,D,Rkec Projects Ord Shs,148.0,148.85,136.0,148.85,690000,0
2017-11-06,D,Rkec Projects Ord Shs,149.0,149.0,141.45,141.45,108000,0
2017-11-07,D,Rkec Projects Ord Shs,136.0,139.5,134.4,134.4,144000,0
2017-11-08,D,Rkec Projects Ord Shs,134.0,141.0,130.0,136.0,186000,0
2017-11-09,D,Rkec Projects Ord Shs,136.1,136.1,129.2,132.7,54000,0
2017-11-10,D,Rkec Projects Ord Shs,132.2,134.05,129.0,131.0,45000,0
2017-11-13,D,Rkec Projects Ord Shs,125.05,133.45,125.05,129.6,33000,0
2017-11-14,D,Rkec Projects Ord Shs,136.05,136.05,136.05,136.05,18000,1
2017-11-15,D,Rkec Projects Ord Shs,141.9,142.85,135.65,139.7,417000,0
2017-11-16,D,Rkec Projects Ord Shs,139.45,142.3,134.1,140.3,93000,0
2017-11-17,D,Rkec Projects Ord Shs,140.8,142.0,136.25,136.25,60000,0
2017-11-20,D,Rkec Projects Ord Shs,136.5,142.85,136.5,141.35,81000,0
2017-11-21,D,Rkec Projects Ord Shs,142.5,142.85,137.6,140.15,48000,0
2017-11-22,D,Rkec Projects Ord Shs,143.9,144.2,140.3,142.4,123000,0
2017-11-23,D,Rkec Projects Ord Shs,140.0,140.0,136.0,137.8,60000,0
2017-11-24,D,Rkec Projects Ord Shs,135.3,135.3,131.15,132.9,45000,0
2017-11-27,D,Rkec Projects Ord Shs,139.4,139.4,136.05,137.0,45000,0
2017-11-28,D,Rkec Projects Ord Shs,133.0,136.9,130.15,130.85,63000,0
2017-11-29,D,Rkec Projects Ord Shs,129.0,135.0,128.0,132.0,24000,0
2017-11-30,D,Rkec Projects Ord Shs,133.0,134.0,133.0,133.45,15000,0
2017-12-01,D,Rkec Projects Ord Shs,130.55,130.55,126.8,126.95,108000,0
2017-12-04,D,Rkec Projects Ord Shs,122.0,127.5,122.0,123.95,135000,0
2017-12-05,D,Rkec Projects Ord Shs,127.0,130.1,127.0,128.95,51000,0
2017-12-06,D,Rkec Projects Ord Shs,130.0,135.25,127.4,127.4,72000,0
2017-12-07,D,Rkec Projects Ord Shs,127.0,135.0,127.0,133.5,45000,0
2017-12-08,D,Rkec Projects Ord Shs,136.0,137.95,133.0,133.0,33000,0
2017-12-11,D,Rkec Projects Ord Shs,142.5,142.5,130.0,130.1,27000,0
2017-12-12,D,Rkec Projects Ord Shs,134.75,134.75,128.0,128.0,21000,0
