Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2020-12-18,D,Ravinder Heights Ord Shs,31.1,31.1,29.55,29.55,35804,0
2020-12-21,D,Ravinder Heights Ord Shs,28.1,28.1,28.1,28.1,4377,1
2020-12-22,D,Ravinder Heights Ord Shs,26.7,26.7,26.7,26.7,1705,1
2020-12-23,D,Ravinder Heights Ord Shs,25.4,25.4,25.4,25.4,3213,1
2020-12-24,D,Ravinder Heights Ord Shs,24.15,24.15,24.15,24.15,3410,1
2020-12-28,D,Ravinder Heights Ord Shs,22.95,22.95,22.95,22.95,1828,1
2020-12-29,D,Ravinder Heights Ord Shs,21.85,24.05,21.85,23.4,182805,0
2020-12-30,D,Ravinder Heights Ord Shs,24.5,24.5,22.25,22.35,135085,0
2020-12-31,D,Ravinder Heights Ord Shs,21.45,23.25,21.35,22.4,85816,0
2021-01-01,D,Ravinder Heights Ord Shs,23.5,23.5,23.5,23.5,69953,1
2021-01-04,D,Ravinder Heights Ord Shs,26.5,28.2,22.5,26.45,632832,0
2021-01-05,D,Ravinder Heights Ord Shs,26.8,28.9,23.55,27.65,304472,0
2021-01-06,D,Ravinder Heights Ord Shs,27.65,29.05,26.25,27.95,188697,0
2021-01-07,D,Ravinder Heights Ord Shs,28.3,33.5,28.05,33.5,557346,0
2021-01-08,D,Ravinder Heights Ord Shs,35.95,35.95,30.15,30.6,431500,0
2021-01-11,D,Ravinder Heights Ord Shs,32.75,32.75,28.2,29.0,468995,0
2021-01-12,D,Ravinder Heights Ord Shs,29.0,30.25,26.8,28.6,229044,0
2021-01-13,D,Ravinder Heights Ord Shs,28.6,29.7,27.55,28.25,163306,0
2021-01-14,D,Ravinder Heights Ord Shs,28.2,29.1,27.75,28.0,86616,0
2021-01-15,D,Ravinder Heights Ord Shs,27.85,28.6,27.0,27.4,30786,0
2021-01-18,D,Ravinder Heights Ord Shs,27.9,27.9,25.2,25.7,69818,0
2021-01-19,D,Ravinder Heights Ord Shs,25.35,27.9,25.35,27.35,112655,0
2021-01-20,D,Ravinder Heights Ord Shs,27.45,29.05,25.1,26.45,189068,0
2021-01-21,D,Ravinder Heights Ord Shs,27.0,27.0,25.45,25.65,67848,0
2021-01-22,D,Ravinder Heights Ord Shs,25.45,26.0,24.6,24.95,58029,0
2021-01-25,D,Ravinder Heights Ord Shs,26.25,26.25,23.1,23.5,45946,0
2021-01-27,D,Ravinder Heights Ord Shs,23.9,23.9,23.0,23.1,22053,0
2021-01-28,D,Ravinder Heights Ord Shs,23.0,24.25,23.0,24.25,34358,0
2021-01-29,D,Ravinder Heights Ord Shs,25.45,25.45,23.4,23.7,38791,0
2021-02-01,D,Ravinder Heights Ord Shs,23.7,24.85,23.0,23.5,48625,0
2021-02-02,D,Ravinder Heights Ord Shs,23.1,24.55,23.1,23.35,31612,0
2021-02-03,D,Ravinder Heights Ord Shs,23.1,24.25,23.0,23.25,52896,0
2021-02-04,D,Ravinder Heights Ord Shs,23.3,24.1,23.0,23.15,38802,0
2021-02-05,D,Ravinder Heights Ord Shs,22.35,23.55,22.35,22.8,40141,0
2021-02-08,D,Ravinder Heights Ord Shs,22.25,23.0,21.75,22.35,66180,0
2021-02-09,D,Ravinder Heights Ord Shs,22.35,23.45,22.0,22.95,161806,0
2021-02-10,D,Ravinder Heights Ord Shs,23.45,23.45,22.2,22.4,42049,0
2021-02-11,D,Ravinder Heights Ord Shs,22.2,23.4,22.0,22.8,72842,0
2021-02-12,D,Ravinder Heights Ord Shs,23.45,23.5,22.4,22.85,150934,0
2021-02-15,D,Ravinder Heights Ord Shs,22.25,23.6,22.05,22.55,66108,0
2021-02-16,D,Ravinder Heights Ord Shs,23.15,23.15,21.85,22.0,24097,0
2021-02-17,D,Ravinder Heights Ord Shs,22.1,22.8,21.1,21.25,48255,0
2021-02-18,D,Ravinder Heights Ord Shs,21.2,21.85,20.7,21.0,47015,0
2021-02-19,D,Ravinder Heights Ord Shs,21.45,21.45,20.6,21.15,63879,0
2021-02-22,D,Ravinder Heights Ord Shs,20.25,21.6,20.25,20.65,44437,0
2021-02-23,D,Ravinder Heights Ord Shs,20.3,21.0,20.15,20.55,31501,0
2021-02-24,D,Ravinder Heights Ord Shs,21.0,21.55,19.9,21.35,64059,0
2021-02-25,D,Ravinder Heights Ord Shs,22.35,22.35,21.15,21.5,33502,0
