Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-09-12,D,Safari Industries India Ord Shs,294.4,294.4,274.0,280.775,2690,0
2019-09-13,D,Safari Industries India Ord Shs,284.0,284.0,238.85,280.55,4726,0
2019-09-16,D,Safari Industries India Ord Shs,272.625,281.0,272.625,279.25,1008,0
2019-09-17,D,Safari Industries India Ord Shs,287.5,287.5,272.625,281.0,2196,0
2019-09-18,D,Safari Industries India Ord Shs,285.0,285.0,274.025,283.25,610,0
2019-09-19,D,Safari Industries India Ord Shs,280.5,282.3,274.5,279.45,540,0
2019-09-20,D,Safari Industries India Ord Shs,275.0,287.5,275.0,283.075,7618,0
2019-09-23,D,Safari Industries India Ord Shs,289.975,289.975,273.4,283.625,7030,0
2019-09-24,D,Safari Industries India Ord Shs,290.0,299.975,282.75,294.7,6628,0
2019-09-25,D,Safari Industries India Ord Shs,294.7,295.5,282.025,289.825,1726,0
2019-09-26,D,Safari Industries India Ord Shs,294.95,309.5,286.9,297.075,22304,0
2019-09-27,D,Safari Industries India Ord Shs,294.75,312.075,286.5,305.75,7688,0
2019-09-30,D,Safari Industries India Ord Shs,316.975,316.975,292.5,295.5,5730,0
2019-10-01,D,Safari Industries India Ord Shs,295.0,300.975,285.075,289.525,2844,0
2019-10-03,D,Safari Industries India Ord Shs,286.0,309.5,286.0,292.35,7780,0
2019-10-04,D,Safari Industries India Ord Shs,292.5,298.325,282.5,285.25,4906,0
2019-10-07,D,Safari Industries India Ord Shs,285.025,295.0,285.025,291.725,1852,0
2019-10-09,D,Safari Industries India Ord Shs,297.0,300.0,286.175,295.075,1884,0
2019-10-10,D,Safari Industries India Ord Shs,290.025,296.5,284.075,285.65,17760,0
2019-10-11,D,Safari Industries India Ord Shs,285.0,292.25,283.975,287.325,4568,0
2019-10-14,D,Safari Industries India Ord Shs,295.95,301.5,285.05,293.7,4564,0
2019-10-15,D,Safari Industries India Ord Shs,280.5,294.0,280.025,289.625,3524,0
2019-10-16,D,Safari Industries India Ord Shs,290.0,297.5,287.55,291.175,2766,0
2019-10-17,D,Safari Industries India Ord Shs,287.575,296.775,287.5,289.025,2110,0
2019-10-18,D,Safari Industries India Ord Shs,290.0,295.85,286.0,287.85,1898,0
2019-10-22,D,Safari Industries India Ord Shs,295.525,297.075,286.05,292.05,9366,0
2019-10-23,D,Safari Industries India Ord Shs,285.55,295.0,285.55,291.85,1784,0
2019-10-24,D,Safari Industries India Ord Shs,294.65,296.0,282.625,285.65,5738,0
2019-10-25,D,Safari Industries India Ord Shs,287.5,291.325,267.65,277.8,2428,0
2019-10-27,D,Safari Industries India Ord Shs,298.925,298.925,278.0,289.85,3158,0
2019-10-29,D,Safari Industries India Ord Shs,280.775,293.975,277.5,280.725,2106,0
2019-10-30,D,Safari Industries India Ord Shs,285.0,288.35,278.5,281.05,5318,0
2019-10-31,D,Safari Industries India Ord Shs,281.0,290.525,277.475,287.075,5522,0
2019-11-01,D,Safari Industries India Ord Shs,281.025,288.85,277.225,281.7,2380,0
2019-11-04,D,Safari Industries India Ord Shs,287.0,287.0,280.125,280.525,1452,0
2019-11-05,D,Safari Industries India Ord Shs,289.5,289.5,280.6,287.025,3544,0
2019-11-06,D,Safari Industries India Ord Shs,287.025,287.425,281.65,282.35,2264,0
2019-11-07,D,Safari Industries India Ord Shs,282.125,287.475,275.5,277.65,2512,0
2019-11-08,D,Safari Industries India Ord Shs,284.45,286.5,275.5,276.2,8312,0
2019-11-11,D,Safari Industries India Ord Shs,280.0,290.5,265.025,279.325,11896,0
2019-11-13,D,Safari Industries India Ord Shs,279.325,284.95,273.0,276.6,5874,0
