Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-03-08,D,Sakuma Exports Ord Shs,1.195681,1.195681,0.83897,0.93861,268692713.889223,0
2006-03-09,D,Sakuma Exports Ord Shs,0.946581,0.981455,0.921671,0.931635,30764369.685504,0
2006-03-10,D,Sakuma Exports Ord Shs,0.948574,0.955549,0.857901,0.868862,18444280.196428,0
2006-03-13,D,Sakuma Exports Ord Shs,0.892775,0.893772,0.803099,0.809078,11711398.836764,0
2006-03-14,D,Sakuma Exports Ord Shs,0.805092,0.971491,0.777193,0.922667,115585437.175546,0
2006-03-16,D,Sakuma Exports Ord Shs,0.930639,0.930639,0.845944,0.852919,22295390.180906,0
2006-03-17,D,Sakuma Exports Ord Shs,0.848934,0.852919,0.817049,0.820038,9682095.458403,0
2006-03-20,D,Sakuma Exports Ord Shs,0.827013,0.870855,0.805092,0.827013,13744415.579368,1
2006-03-21,D,Sakuma Exports Ord Shs,0.845944,0.851923,0.798117,0.809078,5745728.638123,0
2006-03-22,D,Sakuma Exports Ord Shs,0.81107,0.815056,0.777193,0.782175,3507121.985995,0
2006-03-23,D,Sakuma Exports Ord Shs,0.782175,0.802103,0.759258,0.766232,6227111.113608,0
2006-03-24,D,Sakuma Exports Ord Shs,0.776196,0.783171,0.728369,0.73634,5455885.504755,0
2006-03-27,D,Sakuma Exports Ord Shs,0.758261,0.767229,0.713423,0.720398,4509730.331684,0
2006-03-28,D,Sakuma Exports Ord Shs,0.719402,0.731358,0.654635,0.664599,4947656.409403,0
2006-03-29,D,Sakuma Exports Ord Shs,0.68652,0.706448,0.667589,0.673567,4104471.823186,0
2006-03-30,D,Sakuma Exports Ord Shs,0.677553,0.705452,0.677553,0.683531,2429493.646472,0
2006-03-31,D,Sakuma Exports Ord Shs,0.677553,0.743315,0.66161,0.719402,6803736.363874,0
2006-04-03,D,Sakuma Exports Ord Shs,0.719402,0.731358,0.717409,0.721394,1791096.080213,0
2006-04-04,D,Sakuma Exports Ord Shs,0.727373,0.742319,0.722391,0.727373,2080889.032984,1
2006-04-05,D,Sakuma Exports Ord Shs,0.70047,0.747301,0.70047,0.728369,1263146.009894,0
2006-04-07,D,Sakuma Exports Ord Shs,0.679546,0.777193,0.679546,0.723387,1825319.247969,0
2006-04-10,D,Sakuma Exports Ord Shs,0.697481,0.733351,0.693495,0.706448,767512.24461,0
2006-04-12,D,Sakuma Exports Ord Shs,0.659617,0.779186,0.659617,0.710434,7468729.64701,0
2006-04-13,D,Sakuma Exports Ord Shs,0.72538,0.726376,0.687517,0.697481,1430548.484429,0
2006-04-17,D,Sakuma Exports Ord Shs,0.749294,0.75029,0.687517,0.692499,1101363.762321,0
2006-04-18,D,Sakuma Exports Ord Shs,0.679546,0.732355,0.679546,0.705452,3457493.374689,0
