Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-11-18,D,Sapphire Foods India Ord Shs,270.000004,276.010004,232.000003,242.310004,42980629.359539,0
2021-11-22,D,Sapphire Foods India Ord Shs,245.000004,251.600004,209.130003,234.410003,16867289.748658,0
2021-11-23,D,Sapphire Foods India Ord Shs,233.000003,238.800004,225.610003,229.790003,2893499.956883,0
2021-11-24,D,Sapphire Foods India Ord Shs,230.740003,243.540004,228.680003,231.990003,5120199.923703,0
2021-11-25,D,Sapphire Foods India Ord Shs,234.400003,245.400004,233.370003,238.760004,3010649.955138,0
2021-11-26,D,Sapphire Foods India Ord Shs,236.800004,236.800004,221.330003,222.710003,2180249.967512,0
2021-11-29,D,Sapphire Foods India Ord Shs,221.000003,221.300003,196.000003,198.490003,3552849.947058,0
2021-11-30,D,Sapphire Foods India Ord Shs,200.000003,207.540003,194.890003,204.070003,4163529.937959,0
2021-12-01,D,Sapphire Foods India Ord Shs,209.560003,209.800003,200.020003,206.810003,1206429.982023,0
2021-12-02,D,Sapphire Foods India Ord Shs,210.000003,215.800003,203.770003,213.160003,1308864.980496,0
2021-12-03,D,Sapphire Foods India Ord Shs,213.200003,218.700003,210.230003,214.320003,1024469.984734,0
2021-12-06,D,Sapphire Foods India Ord Shs,214.800003,219.850003,208.830003,212.070003,1052809.984312,0
2021-12-07,D,Sapphire Foods India Ord Shs,212.800003,230.800003,211.000003,224.880003,2632954.960766,0
2021-12-08,D,Sapphire Foods India Ord Shs,226.000003,234.600003,224.910003,231.190003,1961019.970779,0
2021-12-09,D,Sapphire Foods India Ord Shs,233.000003,244.390004,231.040003,236.290004,2191559.967343,0
2021-12-10,D,Sapphire Foods India Ord Shs,236.200004,242.930004,232.770003,241.530004,1138634.983033,0
2021-12-13,D,Sapphire Foods India Ord Shs,242.560004,243.800004,239.160004,241.860004,1080649.983897,0
2021-12-14,D,Sapphire Foods India Ord Shs,237.600004,247.780004,237.600004,245.820004,1654449.975347,0
2021-12-15,D,Sapphire Foods India Ord Shs,244.060004,246.820004,235.220004,237.600004,1448134.978421,0
2021-12-16,D,Sapphire Foods India Ord Shs,231.000003,243.700004,231.000003,241.630004,2205164.96714,0
2021-12-17,D,Sapphire Foods India Ord Shs,239.200004,252.990004,238.410004,244.720004,2852949.957488,0
2021-12-20,D,Sapphire Foods India Ord Shs,238.200004,242.630004,234.960004,239.310004,1021419.98478,0
2021-12-21,D,Sapphire Foods India Ord Shs,238.600004,242.330004,236.680004,238.850004,1342354.979997,0
2021-12-22,D,Sapphire Foods India Ord Shs,239.800004,245.240004,239.030004,244.330004,805899.987991,0
2021-12-23,D,Sapphire Foods India Ord Shs,244.800004,245.400004,236.100004,238.870004,244979.99635,0
2021-12-24,D,Sapphire Foods India Ord Shs,239.970004,242.400004,236.600004,238.680004,413779.993834,0
2021-12-27,D,Sapphire Foods India Ord Shs,237.590004,240.020004,225.560003,239.810004,392589.99415,0
2021-12-28,D,Sapphire Foods India Ord Shs,240.010004,243.800004,239.030004,240.710004,832019.987602,0
2021-12-29,D,Sapphire Foods India Ord Shs,240.200004,249.200004,239.200004,240.870004,584119.991296,0
2021-12-30,D,Sapphire Foods India Ord Shs,241.000004,241.910004,238.050004,239.980004,211864.996843,0
2021-12-31,D,Sapphire Foods India Ord Shs,240.200004,245.400004,240.200004,243.830004,311934.995352,0
2022-01-03,D,Sapphire Foods India Ord Shs,242.710004,244.570004,240.800004,241.050004,203244.996971,0
2022-01-04,D,Sapphire Foods India Ord Shs,241.600004,242.550004,239.110004,241.020004,206799.996918,0
2022-01-05,D,Sapphire Foods India Ord Shs,240.600004,263.560004,237.150004,253.680004,2073494.969103,0
2022-01-06,D,Sapphire Foods India Ord Shs,253.800004,255.000004,248.000004,249.110004,400524.994032,0
2022-01-07,D,Sapphire Foods India Ord Shs,249.000004,269.000004,249.000004,267.370004,2884529.957017,0
2022-01-10,D,Sapphire Foods India Ord Shs,268.040004,291.880004,268.040004,277.870004,2830389.957824,0
2022-01-11,D,Sapphire Foods India Ord Shs,277.600004,281.530004,270.490004,277.140004,928569.986163,0
2022-01-12,D,Sapphire Foods India Ord Shs,277.000004,283.160004,270.480004,273.090004,831064.987616,0
