Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-08-24,D,Saregama India Ord Shs,6.433567,6.433567,6.433567,6.433567,2721.858684,1
1995-08-25,D,Saregama India Ord Shs,6.7088,6.7088,6.536779,6.553981,4627.159763,0
1995-08-28,D,Saregama India Ord Shs,6.96683,6.96683,6.579784,6.579784,4354.973895,0
1995-08-31,D,Saregama India Ord Shs,6.88082,6.88082,6.88082,6.88082,9798.691263,1
1995-09-01,D,Saregama India Ord Shs,6.863618,6.88082,6.79481,6.79481,8165.576053,0
1995-09-04,D,Saregama India Ord Shs,7.224861,7.224861,7.224861,7.224861,5443.717368,1
1995-09-05,D,Saregama India Ord Shs,6.88082,6.88082,6.88082,6.88082,4354.973895,1
1995-09-07,D,Saregama India Ord Shs,6.88082,6.898022,6.88082,6.88082,2994.044553,1
1995-09-08,D,Saregama India Ord Shs,6.88082,6.96683,6.88082,6.96683,3810.602158,0
1995-09-12,D,Saregama India Ord Shs,6.923825,6.923825,6.923825,6.923825,816.557605,1
1995-09-13,D,Saregama India Ord Shs,6.96683,7.138851,6.96683,6.96683,960271.743781,1
1995-09-14,D,Saregama India Ord Shs,7.052841,7.052841,6.96683,6.984032,13609.293421,0
1995-09-19,D,Saregama India Ord Shs,6.88082,7.267866,6.88082,7.224861,2995677.667816,0
1995-09-20,D,Saregama India Ord Shs,7.310871,7.396882,7.173255,7.173255,87099.477894,0
1995-09-21,D,Saregama India Ord Shs,7.21626,7.224861,7.052841,7.224861,2449.672816,0
1995-09-22,D,Saregama India Ord Shs,6.88082,7.396882,6.88082,7.224861,283617.674892,0
1995-09-25,D,Saregama India Ord Shs,7.396882,7.912943,7.224861,7.310871,188080.435077,0
1995-09-26,D,Saregama India Ord Shs,7.396882,7.740923,6.7088,6.88082,8437.761921,0
1995-09-29,D,Saregama India Ord Shs,6.553981,6.553981,6.553981,6.553981,272.185868,1
1995-11-22,D,Saregama India Ord Shs,6.020718,6.020718,6.020718,6.020718,272.185868,1
