Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-01-19,D,Sarla Performance Fibers Ord Shs,13.2,13.3,12.105,12.255,756559.988726,0
2007-01-22,D,Sarla Performance Fibers Ord Shs,12.55,12.79,11.625,11.99,233509.99652,0
2007-01-23,D,Sarla Performance Fibers Ord Shs,11.62,12.17,11.5,12.025,40559.999396,0
2007-01-24,D,Sarla Performance Fibers Ord Shs,11.61,12.17,11.6,11.95,363989.994576,0
2007-01-25,D,Sarla Performance Fibers Ord Shs,12.3,12.5,12.11,12.5,26369.999607,0
2007-01-29,D,Sarla Performance Fibers Ord Shs,11.55,12.38,11.55,12.275,18139.99973,0
2007-01-31,D,Sarla Performance Fibers Ord Shs,12.25,12.45,12.0,12.415,41299.999385,0
2007-02-01,D,Sarla Performance Fibers Ord Shs,13.2,13.2,12.0,12.04,24339.999637,0
2007-02-02,D,Sarla Performance Fibers Ord Shs,12.495,12.495,12.0,12.0,18899.999718,0
2007-02-05,D,Sarla Performance Fibers Ord Shs,11.69,12.0,11.525,12.0,3289.999951,0
2007-02-06,D,Sarla Performance Fibers Ord Shs,11.55,13.0,11.5,12.04,102129.998478,0
2007-02-07,D,Sarla Performance Fibers Ord Shs,12.1,12.4,12.0,12.07,22209.999669,0
2007-02-08,D,Sarla Performance Fibers Ord Shs,11.75,12.19,11.5,11.5,39899.999405,0
2007-02-09,D,Sarla Performance Fibers Ord Shs,11.5,11.69,11.5,11.635,23569.999649,0
2007-02-12,D,Sarla Performance Fibers Ord Shs,11.5,12.45,11.03,12.145,34199.99949,0
2007-02-13,D,Sarla Performance Fibers Ord Shs,11.55,12.34,11.12,11.305,13789.999795,0
2007-02-14,D,Sarla Performance Fibers Ord Shs,11.25,12.0,10.1,11.95,30699.999543,0
2007-02-15,D,Sarla Performance Fibers Ord Shs,11.925,12.72,11.42,12.34,155449.997684,0
2007-02-19,D,Sarla Performance Fibers Ord Shs,11.8,12.0,11.8,12.0,3339.99995,0
2007-02-20,D,Sarla Performance Fibers Ord Shs,12.475,13.0,11.9,12.3,22249.999668,0
