Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-09-09,D,Sasken Technologies Ord Shs,326.682088,443.151354,318.621562,329.948908,17000416,0
2005-09-12,D,Sasken Technologies Ord Shs,333.073694,333.073694,299.446744,312.123429,6299905,0
2005-09-13,D,Sasken Technologies Ord Shs,313.366242,336.411532,301.825842,330.410524,7495786,0
2005-09-14,D,Sasken Technologies Ord Shs,328.812623,335.239738,317.449768,321.426767,2717404,0
2005-09-15,D,Sasken Technologies Ord Shs,319.154196,327.889391,316.06492,320.965151,1490425,0
2005-09-16,D,Sasken Technologies Ord Shs,321.710838,325.048677,318.515035,319.935392,480013,0
2005-09-19,D,Sasken Technologies Ord Shs,320.290481,323.486285,309.815349,312.833608,434186,0
2005-09-20,D,Sasken Technologies Ord Shs,313.188697,325.900891,307.649305,318.301982,923856,0
2005-09-21,D,Sasken Technologies Ord Shs,316.739589,318.834616,301.825842,313.543786,433106,0
2005-09-22,D,Sasken Technologies Ord Shs,316.206955,316.206955,282.864077,286.557005,297057,0
2005-09-23,D,Sasken Technologies Ord Shs,286.557005,298.274949,271.004097,285.527246,209874,0
2005-09-26,D,Sasken Technologies Ord Shs,291.102147,308.927626,287.977362,300.512012,265436,0
2005-09-27,D,Sasken Technologies Ord Shs,301.825842,308.217448,290.534004,292.593522,207003,0
2005-09-28,D,Sasken Technologies Ord Shs,300.405485,300.405485,289.752808,290.67604,164833,0
2005-09-29,D,Sasken Technologies Ord Shs,291.883343,295.221182,280.591506,283.219166,185578,0
2005-09-30,D,Sasken Technologies Ord Shs,284.781559,291.918852,267.737276,288.261433,612267,0
2005-10-03,D,Sasken Technologies Ord Shs,290.391969,290.391969,280.520488,283.787309,219044,0
2005-10-04,D,Sasken Technologies Ord Shs,284.42647,296.854593,284.07138,293.019629,219078,0
2005-10-05,D,Sasken Technologies Ord Shs,294.013879,303.175181,284.852577,299.766324,223746,0
2005-10-06,D,Sasken Technologies Ord Shs,298.203932,298.203932,287.622273,289.575263,106233,0
2005-10-07,D,Sasken Technologies Ord Shs,292.593522,295.789325,280.555997,282.75755,105341,0
2005-10-10,D,Sasken Technologies Ord Shs,284.07138,289.646281,284.07138,284.675032,61881,0
2005-10-11,D,Sasken Technologies Ord Shs,287.622273,287.622273,274.128882,276.1884,63308,0
2005-10-13,D,Sasken Technologies Ord Shs,277.679774,280.520488,269.938829,272.282418,51164,0
2005-10-14,D,Sasken Technologies Ord Shs,273.418704,276.898578,262.766027,264.115366,54598,0
2005-10-17,D,Sasken Technologies Ord Shs,269.157633,269.157633,261.34567,263.369679,43693,0
2005-10-18,D,Sasken Technologies Ord Shs,261.34567,273.063614,259.428188,262.268902,46235,0
2005-10-19,D,Sasken Technologies Ord Shs,256.019332,262.552973,246.112342,249.521199,50042,0
2005-10-20,D,Sasken Technologies Ord Shs,252.823529,257.688251,237.909781,244.017316,49387,0
2005-10-21,D,Sasken Technologies Ord Shs,245.721744,245.721744,224.416391,234.607451,102656,0
2005-10-24,D,Sasken Technologies Ord Shs,238.61996,240.679477,227.257104,231.234104,37242,0
2005-10-25,D,Sasken Technologies Ord Shs,230.985541,250.550958,228.677461,247.923297,133974,0
2005-10-26,D,Sasken Technologies Ord Shs,247.852279,247.852279,239.330138,245.473182,36136,0
2005-10-27,D,Sasken Technologies Ord Shs,241.531691,249.272636,232.938532,235.601701,34769,0
2005-10-28,D,Sasken Technologies Ord Shs,232.938532,241.425164,224.416391,232.228354,133723,0
2005-10-31,D,Sasken Technologies Ord Shs,275.549239,275.549239,229.38764,253.42718,108015,0
2005-11-01,D,Sasken Technologies Ord Shs,261.34567,262.766027,252.397422,254.385921,17123,0
2005-11-02,D,Sasken Technologies Ord Shs,249.272636,255.593225,241.460673,253.072091,31615,0
2005-11-07,D,Sasken Technologies Ord Shs,254.954064,262.6595,245.011566,254.563466,24717,0
2005-11-08,D,Sasken Technologies Ord Shs,255.664242,257.794778,245.011566,246.147851,32460,0
2005-11-09,D,Sasken Technologies Ord Shs,247.852279,255.664242,236.489424,239.010558,47528,0
2005-11-10,D,Sasken Technologies Ord Shs,240.750495,244.86953,235.140085,238.051817,40980,0
