Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2014-04-01,D,Som Distilleries And Breweries Ord Shs,46.283523,47.859132,46.283523,47.859132,254890.601009,0
2014-04-02,D,Som Distilleries And Breweries Ord Shs,41.359744,49.040839,41.359744,45.298767,1101.795989,0
2014-04-03,D,Som Distilleries And Breweries Ord Shs,48.843888,48.843888,48.056083,48.056083,101598.791382,0
2014-04-04,D,Som Distilleries And Breweries Ord Shs,48.646937,48.646937,48.646937,48.646937,101548.017374,1
2014-04-07,D,Som Distilleries And Breweries Ord Shs,49.040839,49.040839,45.879773,47.859132,206523.280334,0
2014-04-09,D,Som Distilleries And Breweries Ord Shs,46.480474,47.662181,40.621177,47.662181,128478.551581,0
2014-04-10,D,Som Distilleries And Breweries Ord Shs,56.721935,56.721935,45.298767,47.632638,103985.169791,0
2014-04-11,D,Som Distilleries And Breweries Ord Shs,48.253035,48.253035,46.086572,46.677425,181319.062421,0
2014-04-15,D,Som Distilleries And Breweries Ord Shs,46.677425,49.23779,45.791145,47.179651,193987.177589,0
2014-04-16,D,Som Distilleries And Breweries Ord Shs,45.899468,47.071328,45.889621,46.884224,183233.242549,0
2014-04-17,D,Som Distilleries And Breweries Ord Shs,47.071328,47.268279,45.988096,47.130413,152367.722668,0
2014-04-21,D,Som Distilleries And Breweries Ord Shs,46.283523,51.798156,45.594194,46.923614,211422.972172,0
2014-04-22,D,Som Distilleries And Breweries Ord Shs,45.889621,47.268279,45.594194,47.10087,219430.033342,0
2014-04-23,D,Som Distilleries And Breweries Ord Shs,47.06148,47.06148,44.904865,46.677425,211057.399309,0
2014-04-25,D,Som Distilleries And Breweries Ord Shs,45.495718,47.071328,44.510963,47.06148,219094.924884,0
2014-04-28,D,Som Distilleries And Breweries Ord Shs,45.495718,46.480474,41.359744,46.273675,226573.936364,0
2014-04-29,D,Som Distilleries And Breweries Ord Shs,44.707914,49.188553,43.71331,45.564651,230051.955959,0
2014-04-30,D,Som Distilleries And Breweries Ord Shs,44.195841,45.712365,42.442975,42.531603,157719.303184,0
2014-05-02,D,Som Distilleries And Breweries Ord Shs,44.314011,46.283523,40.374988,43.329256,52657.724409,0
2014-05-05,D,Som Distilleries And Breweries Ord Shs,44.314011,44.314011,40.906756,42.147549,152438.80628,0
2014-05-06,D,Som Distilleries And Breweries Ord Shs,40.965842,42.541451,40.965842,42.3445,101619.100986,0
2014-05-07,D,Som Distilleries And Breweries Ord Shs,41.359744,42.738402,40.61133,42.147549,244045.272753,0
2014-05-08,D,Som Distilleries And Breweries Ord Shs,42.127854,42.147549,42.108158,42.147549,162629.149824,0
2014-05-09,D,Som Distilleries And Breweries Ord Shs,41.162793,42.541451,41.084012,42.403585,152408.341875,0
2014-05-12,D,Som Distilleries And Breweries Ord Shs,43.329256,43.329256,41.950597,42.147549,101593.713981,0
2014-05-13,D,Som Distilleries And Breweries Ord Shs,42.147549,42.541451,39.784135,42.275567,188244.637206,0
2014-05-14,D,Som Distilleries And Breweries Ord Shs,40.965842,41.950597,33.826362,41.024927,75287.700081,0
2014-05-15,D,Som Distilleries And Breweries Ord Shs,39.193281,41.162793,39.193281,40.365141,55724.474534,0
2014-05-16,D,Som Distilleries And Breweries Ord Shs,40.571939,43.526207,35.697398,42.639927,79060.208926,0
2014-05-19,D,Som Distilleries And Breweries Ord Shs,42.3445,42.935353,41.359744,41.793037,108458.359956,0
2014-05-20,D,Som Distilleries And Breweries Ord Shs,41.793037,43.526207,40.384836,42.324805,1081.486385,0
2014-05-21,D,Som Distilleries And Breweries Ord Shs,41.359744,41.359744,40.76889,41.064317,10.154802,0
2014-05-22,D,Som Distilleries And Breweries Ord Shs,49.23779,49.23779,41.773341,43.329256,3310.465366,0
2014-05-23,D,Som Distilleries And Breweries Ord Shs,43.427731,48.843888,43.427731,46.372151,1477.523653,0
2014-05-26,D,Som Distilleries And Breweries Ord Shs,49.23779,54.161569,47.268279,50.557363,7646.565708,0
