Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-11-13,D,Secur Credentials Ord Shs,24.76188,26.166641,23.214263,23.642834,11914571.895244,0
2017-11-14,D,Secur Credentials Ord Shs,24.339261,25.178546,23.70831,24.041643,1819441.81649,0
2017-11-15,D,Secur Credentials Ord Shs,24.28569,24.28569,22.261883,22.928549,1088641.086875,0
2017-11-16,D,Secur Credentials Ord Shs,22.999977,22.999977,22.023788,22.589263,604800.603819,0
2017-11-17,D,Secur Credentials Ord Shs,22.499978,24.166643,22.499978,23.047596,463680.462928,0
2017-11-20,D,Secur Credentials Ord Shs,22.38093,24.28569,22.38093,23.654738,277200.276751,0
2017-11-21,D,Secur Credentials Ord Shs,24.154738,25.595213,23.58331,25.333308,1018081.016429,0
2017-11-22,D,Secur Credentials Ord Shs,26.047593,30.398779,25.952355,30.35116,3951363.944954,0
2017-11-23,D,Secur Credentials Ord Shs,31.416635,32.357111,29.642828,30.630922,1632961.630313,0
2017-11-24,D,Secur Credentials Ord Shs,30.357113,30.47616,28.845209,29.827351,609840.608851,0
2017-11-27,D,Secur Credentials Ord Shs,30.267827,30.267827,28.392829,28.565448,292320.291846,0
2017-11-28,D,Secur Credentials Ord Shs,28.34521,28.34521,26.19045,26.815449,408240.407578,0
2017-11-29,D,Secur Credentials Ord Shs,27.726163,30.238065,27.380925,29.39878,509040.508215,0
2017-11-30,D,Secur Credentials Ord Shs,29.52378,31.90473,29.285685,30.261875,655200.654138,0
2017-12-01,D,Secur Credentials Ord Shs,30.833303,31.547588,29.410685,29.583304,317520.317005,0
2017-12-04,D,Secur Credentials Ord Shs,30.82735,31.30354,29.166638,29.440447,342720.342164,0
2017-12-05,D,Secur Credentials Ord Shs,29.166638,30.833303,29.04759,29.803542,257040.256623,0
2017-12-06,D,Secur Credentials Ord Shs,29.988065,30.238065,28.333305,28.738067,226800.226432,0
2017-12-07,D,Secur Credentials Ord Shs,28.928543,29.285685,28.22021,28.690448,166320.16605,0
2017-12-08,D,Secur Credentials Ord Shs,28.589257,28.8214,28.333305,28.458305,136080.135859,0
2017-12-11,D,Secur Credentials Ord Shs,31.90473,31.90473,27.857115,28.071401,246960.24656,0
2017-12-12,D,Secur Credentials Ord Shs,28.333305,28.333305,27.14283,27.273782,186480.186178,0
2017-12-13,D,Secur Credentials Ord Shs,27.916639,28.5714,25.595213,26.351164,372960.372355,0
2017-12-14,D,Secur Credentials Ord Shs,26.428545,27.261878,26.19045,26.321402,65520.065414,0
2017-12-15,D,Secur Credentials Ord Shs,27.857115,27.857115,26.785688,27.130925,95760.095605,0
2017-12-18,D,Secur Credentials Ord Shs,27.499973,27.976163,27.380925,27.541639,146160.145923,0
2017-12-19,D,Secur Credentials Ord Shs,28.333305,28.333305,26.66664,26.922592,176400.176114,0
2017-12-20,D,Secur Credentials Ord Shs,27.130925,27.130925,26.553545,26.749973,45360.045286,0
2017-12-21,D,Secur Credentials Ord Shs,26.011879,27.249973,26.011879,26.547593,211680.211337,0
2017-12-22,D,Secur Credentials Ord Shs,23.214263,26.904735,23.214263,26.696402,126000.125796,0
2017-12-26,D,Secur Credentials Ord Shs,27.011878,29.095209,26.488069,28.208305,226800.226432,0
2017-12-27,D,Secur Credentials Ord Shs,29.095209,29.095209,26.785688,27.059497,216720.216369,0
2017-12-28,D,Secur Credentials Ord Shs,27.476163,27.607115,27.14283,27.607115,35280.035223,0
2017-12-29,D,Secur Credentials Ord Shs,27.738068,27.916639,27.380925,27.428544,65520.065414,0
2018-01-01,D,Secur Credentials Ord Shs,28.916638,28.916638,27.380925,27.499973,75600.075477,0
