Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-08-11,D,Semac Consultants Ord Shs,501.957261,544.42795,481.87897,487.936489,48276,0
2005-08-12,D,Semac Consultants Ord Shs,493.41548,500.255711,480.51773,485.996721,5172,0
2005-08-16,D,Semac Consultants Ord Shs,503.62478,503.62478,479.905172,481.368505,1466,0
2005-08-17,D,Semac Consultants Ord Shs,485.28207,503.658811,483.24021,491.237496,4855,0
2005-08-18,D,Semac Consultants Ord Shs,493.449511,495.423309,483.92083,486.949589,4618,0
2005-08-19,D,Semac Consultants Ord Shs,487.323931,505.020051,486.64331,500.630052,5268,0
2005-08-22,D,Semac Consultants Ord Shs,503.658811,513.868111,502.297571,510.328887,3316,0
2005-08-23,D,Semac Consultants Ord Shs,510.465011,512.506871,445.80611,499.438967,3616,0
2005-08-24,D,Semac Consultants Ord Shs,496.852611,498.009665,486.64331,493.381449,845,0
2005-08-25,D,Semac Consultants Ord Shs,493.449511,495.967805,483.274241,485.894628,1141,0
2005-08-26,D,Semac Consultants Ord Shs,499.915401,500.051525,486.64331,490.658969,1469,0
2005-08-29,D,Semac Consultants Ord Shs,486.64331,491.71393,476.43401,478.952304,1176,0
2005-08-30,D,Semac Consultants Ord Shs,495.355247,495.491371,478.543932,482.627652,1242,0
2005-08-31,D,Semac Consultants Ord Shs,484.669512,484.669512,481.232381,482.967962,813,0
2005-09-01,D,Semac Consultants Ord Shs,490.046411,490.046411,479.83711,484.567419,1596,0
2005-09-02,D,Semac Consultants Ord Shs,486.64331,486.64331,473.03091,477.216723,1490,0
2005-09-05,D,Semac Consultants Ord Shs,480.551761,483.172148,478.13556,478.81618,1537,0
2005-09-06,D,Semac Consultants Ord Shs,494.130131,494.130131,480.51773,483.988892,950,0
2005-09-08,D,Semac Consultants Ord Shs,494.130131,494.130131,483.24021,485.792535,389,0
2005-09-09,D,Semac Consultants Ord Shs,486.64331,486.64331,479.4968,483.206179,745,0
2005-09-12,D,Semac Consultants Ord Shs,478.850211,485.28207,478.850211,481.062226,691,0
2005-09-13,D,Semac Consultants Ord Shs,478.543932,488.685171,478.543932,487.085713,4699,0
2005-09-14,D,Semac Consultants Ord Shs,493.449511,515.229351,493.449511,502.637881,3007,0
2005-09-15,D,Semac Consultants Ord Shs,506.959818,517.611521,498.894471,515.739816,3474,0
2005-09-16,D,Semac Consultants Ord Shs,517.271211,521.286869,514.616793,519.721443,4082,0
2005-09-19,D,Semac Consultants Ord Shs,543.815392,543.815392,511.281755,522.375861,3031,0
2005-09-20,D,Semac Consultants Ord Shs,517.271211,517.271211,503.658811,507.164004,721,0
2005-09-21,D,Semac Consultants Ord Shs,507.061911,507.061911,483.24021,499.370905,591,0
2005-09-22,D,Semac Consultants Ord Shs,490.046411,490.046411,475.75339,477.012537,3464,0
2005-09-23,D,Semac Consultants Ord Shs,476.43401,490.046411,476.365948,477.11463,1983,0
2005-09-26,D,Semac Consultants Ord Shs,490.046411,493.449511,487.323931,487.323931,628,0
2005-09-27,D,Semac Consultants Ord Shs,507.061911,507.061911,489.365791,500.255711,2962,0
2005-09-28,D,Semac Consultants Ord Shs,500.255711,500.255711,496.171991,500.255711,1856,1
2005-09-29,D,Semac Consultants Ord Shs,510.465011,513.868111,496.852611,498.826409,2537,0
2005-09-30,D,Semac Consultants Ord Shs,496.852611,501.548889,483.24021,491.986178,450,0
2005-10-03,D,Semac Consultants Ord Shs,483.784706,501.276641,483.784706,492.802922,678,0
2005-10-04,D,Semac Consultants Ord Shs,483.24021,501.616951,483.24021,498.418037,577,0
2005-10-05,D,Semac Consultants Ord Shs,503.658811,505.020051,498.213851,503.522687,422,0
2005-10-06,D,Semac Consultants Ord Shs,493.483542,494.130131,492.088271,492.598736,239,0
2005-10-07,D,Semac Consultants Ord Shs,444.580994,491.850054,442.471072,483.376334,1462,0
2005-10-10,D,Semac Consultants Ord Shs,479.83711,496.852611,478.47587,491.03331,3340,0
2005-10-11,D,Semac Consultants Ord Shs,491.407651,513.868111,487.664241,507.061911,2148,0
2005-10-13,D,Semac Consultants Ord Shs,503.692842,527.480511,503.692842,514.378576,3004,0
2005-10-14,D,Semac Consultants Ord Shs,510.465011,513.936173,503.658811,503.931059,1264,0
2005-10-17,D,Semac Consultants Ord Shs,496.852611,503.62478,492.326488,493.721759,590,0
2005-10-18,D,Semac Consultants Ord Shs,491.441682,495.491371,460.09913,484.363233,1652,0
2005-10-19,D,Semac Consultants Ord Shs,489.501915,522.716171,489.501915,500.255711,3113,0
2005-10-20,D,Semac Consultants Ord Shs,510.465011,510.465011,476.43401,482.049125,1829,0
2005-10-21,D,Semac Consultants Ord Shs,483.342303,493.449511,483.24021,490.046411,599,0
2005-10-24,D,Semac Consultants Ord Shs,475.889514,503.658811,475.889514,490.590907,157,0
2005-10-25,D,Semac Consultants Ord Shs,507.061911,507.061911,493.449511,493.449511,425,0
2005-10-26,D,Semac Consultants Ord Shs,500.255711,500.936331,490.080442,493.449511,143,0
2005-10-27,D,Semac Consultants Ord Shs,490.046411,490.046411,485.96269,488.174706,277,0
2005-10-28,D,Semac Consultants Ord Shs,490.046411,490.046411,468.436725,469.62781,1356,0
2005-10-31,D,Semac Consultants Ord Shs,483.24021,483.24021,469.62781,476.468041,1927,0
2005-11-01,D,Semac Consultants Ord Shs,490.046411,490.046411,484.26114,488.821295,1148,0
2005-11-02,D,Semac Consultants Ord Shs,486.64331,490.046411,479.83711,480.789978,306,0
2005-11-07,D,Semac Consultants Ord Shs,490.046411,500.255711,479.190521,483.308272,1571,0
2005-11-08,D,Semac Consultants Ord Shs,483.24021,489.025481,476.468041,482.865869,1199,0
2005-11-09,D,Semac Consultants Ord Shs,476.43401,501.616951,475.07277,494.538503,2723,0
2005-11-10,D,Semac Consultants Ord Shs,520.674311,520.674311,494.130131,516.046095,2979,0
2005-11-11,D,Semac Consultants Ord Shs,524.077411,528.841751,519.313071,527.378418,3553,0
2005-11-14,D,Semac Consultants Ord Shs,544.496012,551.23415,537.689812,544.291826,7089,0
2005-11-16,D,Semac Consultants Ord Shs,548.579732,555.99849,541.092912,553.514227,9404,0
2005-11-17,D,Semac Consultants Ord Shs,543.951516,550.383375,543.815392,545.619035,1491,0
2005-11-18,D,Semac Consultants Ord Shs,545.176632,561.511512,545.176632,548.307484,3055,0
2005-11-21,D,Semac Consultants Ord Shs,544.496012,544.496012,537.689812,537.689812,2143,0
2005-11-22,D,Semac Consultants Ord Shs,544.496012,554.705312,528.331286,546.46981,1084,0
2005-11-23,D,Semac Consultants Ord Shs,551.302212,560.830892,548.069267,558.176474,915,0
2005-11-24,D,Semac Consultants Ord Shs,571.720812,571.720812,558.108412,567.807247,7055,0
2005-11-25,D,Semac Consultants Ord Shs,570.189417,573.082052,562.192132,569.032363,1025,0
2005-11-26,D,Semac Consultants Ord Shs,568.317712,575.123912,568.317712,574.545385,648,0
2005-11-28,D,Semac Consultants Ord Shs,576.144842,590.778173,576.144842,585.605461,4276,0
2005-11-29,D,Semac Consultants Ord Shs,575.123912,588.736313,571.720812,587.409104,808,0
2005-11-30,D,Semac Consultants Ord Shs,582.780888,597.584373,582.678795,588.97453,3852,0
2005-12-01,D,Semac Consultants Ord Shs,595.542513,602.348713,590.097553,596.325226,2139,0
2005-12-02,D,Semac Consultants Ord Shs,603.709953,629.573514,598.945613,625.932196,15819,0
2005-12-05,D,Semac Consultants Ord Shs,629.573514,639.782814,624.128553,638.149326,4354,0
2005-12-06,D,Semac Consultants Ord Shs,629.573514,635.699094,612.558013,622.937468,2636,0
2005-12-07,D,Semac Consultants Ord Shs,636.379714,636.379714,613.987315,614.940183,1300,0
2005-12-08,D,Semac Consultants Ord Shs,619.364213,632.976614,618.002973,630.79863,5404,0
2005-12-09,D,Semac Consultants Ord Shs,628.892894,633.010645,624.809173,626.919096,2064,0
2005-12-12,D,Semac Consultants Ord Shs,629.573514,632.976614,626.170413,629.403359,1048,0
2005-12-13,D,Semac Consultants Ord Shs,629.573514,640.463434,626.851034,630.526382,1182,0
2005-12-14,D,Semac Consultants Ord Shs,639.068163,639.068163,603.709953,616.743826,1763,0
2005-12-15,D,Semac Consultants Ord Shs,609.495223,615.961113,607.283208,608.610417,630,0
2005-12-16,D,Semac Consultants Ord Shs,612.592044,618.683593,612.558013,616.948012,181,0
2005-12-19,D,Semac Consultants Ord Shs,612.558013,622.427003,612.558013,619.670492,706,0
2005-12-20,D,Semac Consultants Ord Shs,618.002973,624.128553,598.945613,622.767313,2316,0
2005-12-21,D,Semac Consultants Ord Shs,609.835533,615.961113,609.835533,613.13654,213,0
2005-12-22,D,Semac Consultants Ord Shs,613.578943,626.170413,612.558013,613.81716,919,0
2005-12-23,D,Semac Consultants Ord Shs,619.364213,619.364213,609.154913,611.877393,247,0
2005-12-26,D,Semac Consultants Ord Shs,600.511039,611.877393,600.511039,610.41406,578,0
2005-12-27,D,Semac Consultants Ord Shs,612.558013,619.364213,605.751813,616.709795,1488,0
2005-12-28,D,Semac Consultants Ord Shs,615.961113,629.573514,615.961113,629.063049,1771,0
2005-12-29,D,Semac Consultants Ord Shs,627.871964,660.541724,622.835375,647.235603,5255,0
2005-12-30,D,Semac Consultants Ord Shs,666.667304,667.007614,650.842889,655.743353,2905,0
2006-01-02,D,Semac Consultants Ord Shs,667.007614,669.730094,660.882034,665.612343,672,0
2006-01-03,D,Semac Consultants Ord Shs,647.984285,677.216915,647.984285,674.698621,1741,0
2006-01-04,D,Semac Consultants Ord Shs,680.620015,680.620015,650.672734,662.209243,922,0
2006-01-05,D,Semac Consultants Ord Shs,666.326994,695.321407,662.923894,693.994198,3113,0
2006-01-06,D,Semac Consultants Ord Shs,694.232415,701.038615,687.426215,692.224586,1036,0
2006-01-09,D,Semac Consultants Ord Shs,688.106835,714.651015,687.426215,697.567453,923,0
2006-01-10,D,Semac Consultants Ord Shs,688.787455,694.232415,680.620015,693.653888,1038,0
2006-01-12,D,Semac Consultants Ord Shs,680.620015,704.782025,680.620015,700.800398,2025,0
2006-01-13,D,Semac Consultants Ord Shs,707.164195,735.852329,707.164195,735.852329,1955,0
2006-01-16,D,Semac Consultants Ord Shs,762.294416,765.697517,723.669231,762.09023,2218,0
2006-01-17,D,Semac Consultants Ord Shs,762.260385,764.336276,724.009541,734.320934,2106,0
2006-01-18,D,Semac Consultants Ord Shs,731.598454,731.666516,697.635515,715.093418,1645,0
2006-01-19,D,Semac Consultants Ord Shs,724.860316,748.682016,714.651015,718.054115,1675,0
2006-01-20,D,Semac Consultants Ord Shs,741.875816,753.956821,735.001554,753.956821,2695,0
2006-01-23,D,Semac Consultants Ord Shs,775.906817,791.66317,762.294416,791.66317,1156,0
2006-01-24,D,Semac Consultants Ord Shs,816.744018,823.550218,782.713017,797.44844,2394,0
2006-01-25,D,Semac Consultants Ord Shs,816.744018,816.744018,758.891316,765.527361,1532,0
2006-01-27,D,Semac Consultants Ord Shs,802.450997,802.450997,735.954422,745.483102,1202,0
2006-01-30,D,Semac Consultants Ord Shs,741.875816,742.556436,708.525435,711.690318,1186,0
2006-01-31,D,Semac Consultants Ord Shs,714.651015,745.278916,714.651015,730.509462,1165,0
2006-02-01,D,Semac Consultants Ord Shs,708.525435,708.525435,693.994198,693.994198,1944,0
2006-02-02,D,Semac Consultants Ord Shs,697.635515,697.635515,660.201414,672.146295,1342,0
2006-02-03,D,Semac Consultants Ord Shs,694.232415,703.761095,639.782814,644.342968,1336,0
2006-02-06,D,Semac Consultants Ord Shs,646.589014,653.395214,639.782814,646.248704,1814,0
2006-02-07,D,Semac Consultants Ord Shs,658.499864,660.201414,643.185914,646.759169,325,0
2006-02-08,D,Semac Consultants Ord Shs,632.976614,667.007614,625.523824,656.253818,1148,0
2006-02-10,D,Semac Consultants Ord Shs,653.395214,653.395214,632.976614,637.570799,567,0
2006-02-13,D,Semac Consultants Ord Shs,626.170413,663.604514,626.170413,657.921337,630,0
2006-02-14,D,Semac Consultants Ord Shs,656.798314,657.921337,632.976614,643.662348,465,0
2006-02-15,D,Semac Consultants Ord Shs,643.185914,643.185914,626.170413,635.869249,485,0
2006-02-16,D,Semac Consultants Ord Shs,653.395214,653.395214,626.170413,626.272506,994,0
2006-02-17,D,Semac Consultants Ord Shs,646.589014,646.589014,619.364213,620.895608,1044,0
2006-02-20,D,Semac Consultants Ord Shs,622.767313,622.767313,615.961113,616.19933,1759,0
2006-02-21,D,Semac Consultants Ord Shs,625.489793,625.489793,615.961113,621.780414,943,0
2006-02-22,D,Semac Consultants Ord Shs,622.086693,645.874363,622.086693,633.691265,1729,0
2006-02-23,D,Semac Consultants Ord Shs,645.908394,649.992114,623.515995,632.261963,1320,0
2006-02-24,D,Semac Consultants Ord Shs,613.408788,632.976614,609.154913,618.547469,1810,0
2006-02-27,D,Semac Consultants Ord Shs,622.903437,632.193901,621.099794,622.767313,311,0
2006-02-28,D,Semac Consultants Ord Shs,629.573514,653.735524,629.573514,635.494908,2638,0
2006-03-01,D,Semac Consultants Ord Shs,645.227774,667.279862,640.463434,667.279862,1658,0
2006-03-02,D,Semac Consultants Ord Shs,700.52815,700.52815,670.410714,690.693191,1708,0
2006-03-03,D,Semac Consultants Ord Shs,681.334666,684.023115,673.813815,676.298078,2132,0
2006-03-06,D,Semac Consultants Ord Shs,707.062102,707.062102,671.091334,674.494435,343,0
2006-03-07,D,Semac Consultants Ord Shs,684.023115,684.023115,674.494435,679.326837,713,0
2006-03-08,D,Semac Consultants Ord Shs,677.216915,713.289775,677.216915,681.334666,4042,0
2006-03-09,D,Semac Consultants Ord Shs,680.620015,681.300635,662.277305,673.779784,1071,0
2006-03-10,D,Semac Consultants Ord Shs,677.216915,694.232415,677.216915,682.219472,694,0
2006-03-13,D,Semac Consultants Ord Shs,682.661875,696.920864,677.216915,677.284977,298,0
2006-03-14,D,Semac Consultants Ord Shs,677.216915,680.620015,667.007614,667.041645,4096,0
2006-03-16,D,Semac Consultants Ord Shs,684.703735,684.703735,663.604514,664.353196,1578,0
2006-03-17,D,Semac Consultants Ord Shs,671.023272,675.175055,666.326994,668.709164,1704,0
2006-03-20,D,Semac Consultants Ord Shs,673.575598,673.64366,653.463276,655.130795,734,0
2006-03-21,D,Semac Consultants Ord Shs,660.201414,667.007614,656.117694,656.423973,325,0
2006-03-22,D,Semac Consultants Ord Shs,653.395214,660.201414,637.060334,641.416302,1919,0
2006-03-23,D,Semac Consultants Ord Shs,646.589014,652.306222,643.185914,644.581185,2445,0
2006-03-24,D,Semac Consultants Ord Shs,656.117694,659.861104,632.976614,635.358784,1099,0
2006-03-27,D,Semac Consultants Ord Shs,636.379714,636.379714,622.767313,625.659948,3188,0
2006-03-28,D,Semac Consultants Ord Shs,623.618088,626.170413,612.558013,615.961113,940,0
2006-03-29,D,Semac Consultants Ord Shs,600.000574,639.782814,600.000574,614.055377,1537,0
2006-03-30,D,Semac Consultants Ord Shs,639.748783,639.748783,616.948012,625.72801,394,0
2006-03-31,D,Semac Consultants Ord Shs,629.573514,656.798314,629.573514,651.693664,1377,0
2006-04-03,D,Semac Consultants Ord Shs,679.939395,684.295363,679.190713,684.295363,1899,0
2006-04-04,D,Semac Consultants Ord Shs,701.719235,718.530549,701.719235,718.530549,696,0
2006-04-05,D,Semac Consultants Ord Shs,754.467286,754.467286,701.174739,722.682332,2379,0
2006-04-07,D,Semac Consultants Ord Shs,733.708376,735.069616,688.481176,696.954895,713,0
2006-04-10,D,Semac Consultants Ord Shs,697.635515,731.80264,697.635515,718.054115,2506,0
2006-04-12,D,Semac Consultants Ord Shs,731.666516,731.666516,682.661875,685.928851,1265,0
2006-04-13,D,Semac Consultants Ord Shs,680.620015,711.247915,658.159554,690.863346,1684,0
2006-04-17,D,Semac Consultants Ord Shs,690.863346,690.863346,657.615058,679.360868,1599,0
2006-04-18,D,Semac Consultants Ord Shs,660.201414,660.201414,645.397929,645.500022,1690,0
2006-04-19,D,Semac Consultants Ord Shs,646.589014,650.672734,613.238633,613.238633,2885,0
2006-04-20,D,Semac Consultants Ord Shs,598.945613,612.558013,598.945613,606.398402,1879,0
2006-04-21,D,Semac Consultants Ord Shs,588.736313,605.751813,588.464065,600.817318,1150,0
2006-04-24,D,Semac Consultants Ord Shs,612.558013,629.573514,598.945613,627.701809,516,0
2006-04-25,D,Semac Consultants Ord Shs,638.421574,656.798314,620.044833,624.945297,1166,0
2006-04-26,D,Semac Consultants Ord Shs,612.626075,631.615374,612.626075,626.170413,1038,0
2006-04-27,D,Semac Consultants Ord Shs,633.657234,657.478934,632.976614,657.478934,5116,0
2006-04-28,D,Semac Consultants Ord Shs,625.489793,653.395214,625.489793,626.817003,2026,0
2006-04-29,D,Semac Consultants Ord Shs,616.131268,656.117694,616.131268,623.584057,374,0
2006-05-02,D,Semac Consultants Ord Shs,615.961113,646.520952,615.961113,621.440104,434,0
2006-05-03,D,Semac Consultants Ord Shs,615.620803,628.212274,612.558013,616.233361,564,0
2006-05-04,D,Semac Consultants Ord Shs,612.558013,622.563127,603.029333,605.547627,2016,0
2006-05-05,D,Semac Consultants Ord Shs,605.751813,620.044833,599.626233,603.063364,715,0
2006-05-08,D,Semac Consultants Ord Shs,612.558013,617.594601,598.945613,613.783129,1165,0
2006-05-09,D,Semac Consultants Ord Shs,613.919253,618.683593,606.092123,609.597316,2070,0
2006-05-10,D,Semac Consultants Ord Shs,632.976614,635.665063,612.523982,617.798787,651,0
2006-05-11,D,Semac Consultants Ord Shs,621.065763,629.573514,620.725453,620.725453,221,0
2006-05-12,D,Semac Consultants Ord Shs,612.558013,615.961113,598.945613,598.945613,772,0
2006-05-15,D,Semac Consultants Ord Shs,598.945613,607.759642,575.123912,579.071508,776,0
2006-05-16,D,Semac Consultants Ord Shs,576.485152,576.485152,550.621592,558.176474,1602,0
2006-05-17,D,Semac Consultants Ord Shs,578.527012,605.071193,571.720812,577.676237,574,0
2006-05-18,D,Semac Consultants Ord Shs,578.45895,586.694453,521.354931,526.221364,1580,0
2006-05-19,D,Semac Consultants Ord Shs,527.548573,537.009192,488.004551,501.957261,895,0
2006-05-22,D,Semac Consultants Ord Shs,507.061911,507.061911,451.93169,452.340062,2712,0
2006-05-23,D,Semac Consultants Ord Shs,469.62781,474.39215,432.874329,472.996879,4790,0
2006-05-24,D,Semac Consultants Ord Shs,476.297886,487.187806,456.01541,458.601766,1749,0
2006-05-25,D,Semac Consultants Ord Shs,464.18285,469.62781,444.887273,454.211767,407,0
2006-05-26,D,Semac Consultants Ord Shs,476.43401,476.944475,470.30843,476.399979,767,0
2006-05-29,D,Semac Consultants Ord Shs,480.85804,490.727031,476.43401,478.850211,471,0
2006-05-30,D,Semac Consultants Ord Shs,485.894628,485.96269,478.47587,480.381606,294,0
2006-05-31,D,Semac Consultants Ord Shs,462.82161,479.83711,462.82161,479.83711,859,0
2006-06-01,D,Semac Consultants Ord Shs,479.83711,479.83711,472.35029,472.758662,269,0
2006-06-02,D,Semac Consultants Ord Shs,456.01541,456.049441,449.141148,449.175179,511,0
2006-06-05,D,Semac Consultants Ord Shs,456.01541,471.635639,456.01541,461.290215,509,0
2006-06-06,D,Semac Consultants Ord Shs,439.680529,449.88983,439.03394,439.170064,1178,0
2006-06-07,D,Semac Consultants Ord Shs,438.999909,438.999909,417.900689,418.887588,15782,0
2006-06-08,D,Semac Consultants Ord Shs,410.413869,415.178209,408.372009,409.222784,1237,0
2006-06-09,D,Semac Consultants Ord Shs,409.733249,428.790609,394.79364,421.984409,1040,0
2006-06-12,D,Semac Consultants Ord Shs,401.565809,428.790609,401.565809,417.900689,303,0
2006-06-13,D,Semac Consultants Ord Shs,379.785968,397.482089,377.778139,386.524106,444,0
2006-06-14,D,Semac Consultants Ord Shs,394.759609,394.759609,374.341008,374.341008,428,0
2006-06-15,D,Semac Consultants Ord Shs,391.356508,401.565809,383.93775,383.93775,48,0
2006-06-16,D,Semac Consultants Ord Shs,418.581309,421.984409,399.523949,408.610226,389,0
2006-06-19,D,Semac Consultants Ord Shs,409.052629,409.052629,375.021628,394.79364,979,0
