Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-08-24,D,Shanthi Gears Ord Shs,7.223145,7.223145,7.223145,7.223145,1999.99997,1
1995-09-05,D,Shanthi Gears Ord Shs,7.223145,7.223145,7.223145,7.223145,1999.99997,1
1995-09-07,D,Shanthi Gears Ord Shs,7.223145,7.223145,7.223145,7.223145,1999.99997,1
1995-09-08,D,Shanthi Gears Ord Shs,7.60838,7.656534,7.60838,7.656534,3999.99994,0
1995-09-12,D,Shanthi Gears Ord Shs,7.800997,7.800997,7.800997,7.800997,1999.99997,1
1995-09-19,D,Shanthi Gears Ord Shs,7.849151,7.849151,7.849151,7.849151,1999.99997,1
1995-09-20,D,Shanthi Gears Ord Shs,7.849151,7.873228,7.849151,7.873228,3999.99994,0
1995-09-26,D,Shanthi Gears Ord Shs,8.427003,10.353175,8.427003,10.353175,27999.999583,0
1995-09-27,D,Shanthi Gears Ord Shs,10.353175,10.353175,10.353175,10.353175,1999.99997,1
1995-09-28,D,Shanthi Gears Ord Shs,9.63086,9.63086,9.63086,9.63086,1999.99997,1
1995-09-29,D,Shanthi Gears Ord Shs,9.582706,9.96794,9.582706,9.96794,11999.999821,0
1995-10-09,D,Shanthi Gears Ord Shs,9.871632,9.871632,9.871632,9.871632,1999.99997,1
1995-10-10,D,Shanthi Gears Ord Shs,9.390089,9.628453,9.390089,9.628453,9999.999851,0
1995-10-11,D,Shanthi Gears Ord Shs,9.63086,9.763285,9.63086,9.763285,3999.99994,0
1995-10-16,D,Shanthi Gears Ord Shs,9.390089,9.390089,9.390089,9.390089,3999.99994,1
1995-10-17,D,Shanthi Gears Ord Shs,9.053009,9.149317,9.053009,9.149317,5999.999911,0
1995-10-18,D,Shanthi Gears Ord Shs,9.149317,9.149317,9.149317,9.149317,3999.99994,1
1995-10-19,D,Shanthi Gears Ord Shs,9.101163,9.101163,9.101163,9.101163,1999.99997,1
1995-10-20,D,Shanthi Gears Ord Shs,8.908546,8.908546,8.908546,8.908546,5999.999911,1
1995-10-26,D,Shanthi Gears Ord Shs,9.053009,9.053009,9.053009,9.053009,1999.99997,1
1995-10-27,D,Shanthi Gears Ord Shs,9.053009,9.053009,9.053009,9.053009,1999.99997,1
1995-10-30,D,Shanthi Gears Ord Shs,9.04097,9.053009,8.860391,8.860391,5999.999911,0
1995-10-31,D,Shanthi Gears Ord Shs,8.860391,8.860391,8.860391,8.860391,1999.99997,1
1995-11-03,D,Shanthi Gears Ord Shs,8.61962,8.61962,8.571466,8.571466,3999.99994,0
1995-11-08,D,Shanthi Gears Ord Shs,8.427003,8.475157,8.427003,8.475157,3999.99994,0
1995-11-09,D,Shanthi Gears Ord Shs,8.186231,8.186231,8.186231,8.186231,1999.99997,1
1995-11-13,D,Shanthi Gears Ord Shs,8.089923,8.089923,8.089923,8.089923,7999.999881,1
1995-11-14,D,Shanthi Gears Ord Shs,7.897305,8.138077,7.897305,8.138077,147999.997795,0
1995-11-15,D,Shanthi Gears Ord Shs,8.138077,8.138077,8.089923,8.09233,105999.99842,0
1995-11-16,D,Shanthi Gears Ord Shs,8.089923,8.186231,8.089923,8.138077,5999.999911,0
1995-11-17,D,Shanthi Gears Ord Shs,8.089923,8.089923,8.065845,8.065845,11999.999821,0
1995-11-20,D,Shanthi Gears Ord Shs,7.849151,7.849151,7.849151,7.849151,11999.999821,1
1995-11-21,D,Shanthi Gears Ord Shs,7.800997,7.800997,7.800997,7.800997,1999.99997,1
1995-11-22,D,Shanthi Gears Ord Shs,7.704688,7.704688,7.704688,7.704688,1999.99997,1
1995-11-29,D,Shanthi Gears Ord Shs,7.367608,7.367608,7.367608,7.367608,1999.99997,1
1995-11-30,D,Shanthi Gears Ord Shs,7.463917,7.512071,7.463917,7.466324,503999.99249,0
1995-12-01,D,Shanthi Gears Ord Shs,7.512071,7.512071,7.463917,7.512071,17999.999732,1
1995-12-05,D,Shanthi Gears Ord Shs,7.704688,7.704688,7.704688,7.704688,3999.99994,1
1995-12-06,D,Shanthi Gears Ord Shs,7.704688,7.704688,7.704688,7.704688,1999.99997,1
1995-12-07,D,Shanthi Gears Ord Shs,8.186231,8.186231,8.186231,8.186231,1999.99997,1
1995-12-08,D,Shanthi Gears Ord Shs,8.234385,8.330694,8.234385,8.330694,13999.999791,0
1995-12-11,D,Shanthi Gears Ord Shs,8.186231,8.186231,8.186231,8.186231,3999.99994,1
1995-12-12,D,Shanthi Gears Ord Shs,8.186231,8.188639,8.186231,8.188639,7999.999881,0
1995-12-13,D,Shanthi Gears Ord Shs,8.378848,8.427003,8.378848,8.427003,3999.99994,0
1995-12-14,D,Shanthi Gears Ord Shs,8.427003,8.523311,8.378848,8.523311,3999.99994,0
1995-12-15,D,Shanthi Gears Ord Shs,8.569058,8.571466,8.569058,8.571466,5999.999911,0
