Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-07-18,D,Shrenik Ord Shs,1.396665,1.599998,1.396665,1.599998,88560091.055727,0
2017-07-19,D,Shrenik Ord Shs,1.701665,1.911665,1.701665,1.894998,29880030.722054,0
2017-07-20,D,Shrenik Ord Shs,2.056665,2.064998,1.896665,1.988331,15750016.193854,0
2017-07-21,D,Shrenik Ord Shs,1.904998,2.083331,1.904998,2.053331,11520011.844647,0
2017-07-24,D,Shrenik Ord Shs,2.059998,2.416664,2.041665,2.371664,12420012.77001,0
2017-07-25,D,Shrenik Ord Shs,2.429998,2.594997,2.283331,2.504997,10710011.011821,0
2017-07-26,D,Shrenik Ord Shs,2.499997,2.633331,2.496664,2.613331,10170010.456603,0
2017-07-27,D,Shrenik Ord Shs,2.599997,2.698331,2.516664,2.658331,4050004.164134,0
2017-07-28,D,Shrenik Ord Shs,2.683331,2.749997,2.599997,2.638331,7290007.495441,0
2017-07-31,D,Shrenik Ord Shs,2.683331,2.869997,2.683331,2.839997,16830017.30429,0
2017-08-01,D,Shrenik Ord Shs,2.93333,3.12333,2.93333,3.12333,3600003.701452,0
2017-08-02,D,Shrenik Ord Shs,3.33333,3.434996,3.266663,3.434996,4590004.719352,0
2017-08-03,D,Shrenik Ord Shs,3.59833,3.606663,3.26333,3.32833,9900010.178994,0
2017-08-04,D,Shrenik Ord Shs,3.266663,3.274997,3.16333,3.16333,2430002.49848,0
2017-08-07,D,Shrenik Ord Shs,3.006664,3.09333,3.006664,3.04333,7020007.217832,0
2017-08-08,D,Shrenik Ord Shs,3.059997,3.07333,2.899997,3.024997,7110007.310368,0
2017-08-09,D,Shrenik Ord Shs,3.03333,3.041664,2.949997,2.949997,1800001.850726,0
2017-08-10,D,Shrenik Ord Shs,3.024997,3.024997,2.899997,2.926664,1080001.110436,0
2017-08-11,D,Shrenik Ord Shs,2.899997,2.916664,2.781664,2.781664,3420003.51638,0
2017-08-14,D,Shrenik Ord Shs,2.673331,2.78333,2.643331,2.706664,1800001.850726,0
