Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2024-04-10,D,Sinclairs Hotels Ord Shs,137.0,137.95,133.0,134.35,178807,0
2024-04-12,D,Sinclairs Hotels Ord Shs,135.0,137.0,122.0,125.2,346343,0
2024-04-15,D,Sinclairs Hotels Ord Shs,124.0,129.0,120.1,126.6,157398,0
2024-04-16,D,Sinclairs Hotels Ord Shs,122.15,128.0,122.15,127.55,55629,0
2024-04-18,D,Sinclairs Hotels Ord Shs,128.9,132.0,124.4,125.85,141037,0
2024-04-19,D,Sinclairs Hotels Ord Shs,126.0,127.45,124.7,125.75,84891,0
2024-04-22,D,Sinclairs Hotels Ord Shs,126.55,131.0,125.1,127.2,94693,0
2024-04-23,D,Sinclairs Hotels Ord Shs,128.2,129.0,127.45,128.3,44355,0
2024-04-24,D,Sinclairs Hotels Ord Shs,130.5,131.2,126.8,127.25,110686,0
2024-04-25,D,Sinclairs Hotels Ord Shs,127.25,128.6,125.75,126.65,72350,0
2024-04-26,D,Sinclairs Hotels Ord Shs,126.65,127.85,124.95,125.85,73588,0
2024-04-29,D,Sinclairs Hotels Ord Shs,125.75,127.0,123.45,124.7,98093,0
2024-04-30,D,Sinclairs Hotels Ord Shs,124.7,125.5,121.95,123.9,116231,0
2024-05-02,D,Sinclairs Hotels Ord Shs,124.9,129.0,123.75,127.2,109808,0
2024-05-03,D,Sinclairs Hotels Ord Shs,128.05,128.05,124.5,125.7,106959,0
2024-05-06,D,Sinclairs Hotels Ord Shs,126.0,127.05,121.0,123.55,112902,0
2024-05-07,D,Sinclairs Hotels Ord Shs,123.55,125.85,122.0,125.0,120828,0
2024-05-08,D,Sinclairs Hotels Ord Shs,124.85,124.9,122.65,123.3,25160,0
2024-05-09,D,Sinclairs Hotels Ord Shs,123.3,124.05,121.2,121.95,19989,0
2024-05-10,D,Sinclairs Hotels Ord Shs,122.0,122.05,119.0,120.15,32393,0
2024-05-13,D,Sinclairs Hotels Ord Shs,122.9,122.9,118.3,120.3,29118,0
2024-05-14,D,Sinclairs Hotels Ord Shs,117.5,127.0,117.5,124.45,51247,0
2024-05-15,D,Sinclairs Hotels Ord Shs,126.9,126.9,120.5,121.8,52728,0
2024-05-16,D,Sinclairs Hotels Ord Shs,122.1,123.9,122.05,123.55,10865,0
2024-05-17,D,Sinclairs Hotels Ord Shs,123.55,123.55,117.65,121.5,76407,0
2024-05-18,D,Sinclairs Hotels Ord Shs,121.5,124.4,121.2,123.05,10252,0
2024-05-21,D,Sinclairs Hotels Ord Shs,123.95,123.95,116.2,118.05,120596,0
2024-05-22,D,Sinclairs Hotels Ord Shs,119.8,119.8,114.25,118.7,114348,0
2024-05-23,D,Sinclairs Hotels Ord Shs,119.5,119.75,115.0,115.6,48263,0
2024-05-24,D,Sinclairs Hotels Ord Shs,115.05,118.5,114.9,115.9,101599,0
2024-05-27,D,Sinclairs Hotels Ord Shs,117.9,117.9,111.95,113.6,68844,0
2024-05-28,D,Sinclairs Hotels Ord Shs,115.0,115.0,111.0,111.85,58850,0
2024-05-29,D,Sinclairs Hotels Ord Shs,110.0,114.95,109.95,114.45,30845,0
2024-05-30,D,Sinclairs Hotels Ord Shs,113.8,115.0,111.8,112.65,24730,0
2024-05-31,D,Sinclairs Hotels Ord Shs,114.85,117.0,111.55,114.95,31831,0
2024-06-03,D,Sinclairs Hotels Ord Shs,120.0,120.0,112.75,114.75,69146,0
2024-06-04,D,Sinclairs Hotels Ord Shs,115.9,116.9,100.55,106.15,121366,0
2024-06-05,D,Sinclairs Hotels Ord Shs,106.15,114.0,102.95,112.95,82580,0
2024-06-06,D,Sinclairs Hotels Ord Shs,115.9,118.3,112.95,117.05,102863,0
2024-06-07,D,Sinclairs Hotels Ord Shs,117.85,119.9,116.0,117.45,78280,0
2024-06-10,D,Sinclairs Hotels Ord Shs,119.0,124.0,117.45,119.43,152193,0
2024-06-11,D,Sinclairs Hotels Ord Shs,122.8,122.8,120.14,121.09,53853,0
2024-06-12,D,Sinclairs Hotels Ord Shs,121.99,122.56,115.55,117.58,143643,0
2024-06-13,D,Sinclairs Hotels Ord Shs,118.0,120.41,116.61,117.34,82474,0
2024-06-14,D,Sinclairs Hotels Ord Shs,117.34,119.5,116.36,117.16,53509,0
2024-06-18,D,Sinclairs Hotels Ord Shs,117.9,117.9,113.05,114.26,71437,0
2024-06-19,D,Sinclairs Hotels Ord Shs,116.0,116.0,112.64,114.15,72779,0
2024-06-20,D,Sinclairs Hotels Ord Shs,115.94,116.4,114.08,115.75,37367,0
2024-06-21,D,Sinclairs Hotels Ord Shs,116.95,117.79,115.75,116.44,35920,0
2024-06-24,D,Sinclairs Hotels Ord Shs,118.0,118.09,113.97,115.93,51459,0
2024-06-25,D,Sinclairs Hotels Ord Shs,116.58,117.55,114.06,115.24,36958,0
2024-06-26,D,Sinclairs Hotels Ord Shs,116.0,117.0,114.03,115.38,26940,0
2024-06-27,D,Sinclairs Hotels Ord Shs,116.89,118.26,115.42,115.84,46394,0
2024-06-28,D,Sinclairs Hotels Ord Shs,116.45,117.89,115.5,116.13,35639,0
2024-07-01,D,Sinclairs Hotels Ord Shs,116.63,119.0,115.59,117.08,72991,0
2024-07-02,D,Sinclairs Hotels Ord Shs,118.0,118.0,115.29,115.79,52932,0
2024-07-03,D,Sinclairs Hotels Ord Shs,118.5,118.5,115.55,116.06,24435,0
2024-07-04,D,Sinclairs Hotels Ord Shs,115.05,117.73,115.05,116.0,62786,0
