Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-05-27,D,Skipper Ord Shs,170.968345,173.899231,166.230079,168.184003,3580.487374,0
2015-05-28,D,Skipper Ord Shs,167.939763,170.968345,165.985839,170.137927,6792.485482,0
2015-05-29,D,Skipper Ord Shs,169.502902,170.479864,163.201497,164.618092,2787.21187,0
2015-06-01,D,Skipper Ord Shs,164.129611,169.014421,161.198725,166.71856,8460.922995,0
2015-06-02,D,Skipper Ord Shs,170.186775,170.186775,163.64113,165.936991,5692.135589,0
2015-06-03,D,Skipper Ord Shs,169.991383,169.991383,160.319459,162.322231,2505.727013,0
2015-06-04,D,Skipper Ord Shs,162.175687,168.916725,161.198725,165.008877,4734.063495,0
2015-06-05,D,Skipper Ord Shs,167.939763,168.037459,166.572016,167.548978,1324.514197,0
2015-06-08,D,Skipper Ord Shs,163.152649,166.034687,161.198725,161.638358,1919.214931,0
2015-06-09,D,Skipper Ord Shs,171.945307,171.945307,156.313915,161.198725,2084.011519,0
2015-06-10,D,Skipper Ord Shs,163.152649,165.888143,146.544296,155.825434,20740.827806,0
2015-06-11,D,Skipper Ord Shs,159.244801,161.003333,149.572878,153.187637,6381.005801,0
2015-06-12,D,Skipper Ord Shs,149.963662,158.170143,146.641992,150.647536,2323.529543,0
2015-06-15,D,Skipper Ord Shs,154.359991,156.265067,151.477953,155.043865,956.024931,0
2015-06-16,D,Skipper Ord Shs,153.383029,156.313915,148.693612,155.581194,6126.134058,0
2015-06-17,D,Skipper Ord Shs,155.336953,156.265067,152.650308,154.848472,1668.437513,0
2015-06-18,D,Skipper Ord Shs,152.406067,156.313915,152.406067,154.848472,2077.870031,0
2015-06-19,D,Skipper Ord Shs,151.429105,156.313915,149.133245,155.141561,3065.625982,0
2015-06-22,D,Skipper Ord Shs,153.383029,156.313915,153.383029,155.336953,3456.634038,0
2015-06-23,D,Skipper Ord Shs,153.383029,158.072447,153.383029,155.385801,4473.050265,0
2015-06-24,D,Skipper Ord Shs,158.218991,158.267839,153.383029,155.727738,2973.503666,0
2015-06-25,D,Skipper Ord Shs,151.57565,158.267839,151.429105,155.971979,1216.01458,0
2015-06-26,D,Skipper Ord Shs,163.64113,166.865105,152.406067,161.58951,5909.134823,0
2015-06-29,D,Skipper Ord Shs,165.888143,165.888143,154.359991,158.023599,1468.83916,0
2015-06-30,D,Skipper Ord Shs,165.936991,165.936991,157.290877,164.960029,15835.826235,0
2015-07-01,D,Skipper Ord Shs,169.991383,169.991383,160.5637,163.006105,16463.281569,0
2015-07-02,D,Skipper Ord Shs,169.014421,169.014421,158.365535,162.908409,15518.516033,0
2015-07-03,D,Skipper Ord Shs,165.106573,166.572016,161.394117,163.103801,17622.999178,0
2015-07-06,D,Skipper Ord Shs,167.060497,167.939763,162.273383,165.204269,3108.616397,0
2015-07-07,D,Skipper Ord Shs,165.204269,174.876193,165.204269,170.821801,15514.421708,0
2015-07-08,D,Skipper Ord Shs,170.479864,172.873421,166.083535,169.893687,6454.703654,0
2015-07-09,D,Skipper Ord Shs,174.876193,174.876193,163.152649,165.497358,8515.172804,0
2015-07-10,D,Skipper Ord Shs,166.132383,170.968345,162.713016,164.373852,5342.070785,0
2015-07-13,D,Skipper Ord Shs,166.083535,166.083535,164.618092,165.350813,2038.973942,0
2015-07-14,D,Skipper Ord Shs,167.060497,172.922269,164.129611,167.109345,10244.001613,0
2015-07-15,D,Skipper Ord Shs,174.387712,174.387712,166.376624,166.376624,961.142837,0
2015-07-16,D,Skipper Ord Shs,167.060497,169.844839,161.491814,163.250345,2479.1139,0
2015-07-17,D,Skipper Ord Shs,166.034687,169.502902,161.198725,166.71856,622.337428,0
2015-07-20,D,Skipper Ord Shs,167.060497,169.502902,163.152649,165.790446,7894.882538,0
2015-07-21,D,Skipper Ord Shs,166.913953,195.392394,165.595054,169.405206,10136.525577,0
2015-07-22,D,Skipper Ord Shs,169.942535,172.38494,169.405206,171.261433,11575.68088,0
2015-07-23,D,Skipper Ord Shs,172.922269,173.899231,169.112117,172.433788,5838.507714,0
2015-07-24,D,Skipper Ord Shs,174.534256,174.534256,167.207041,169.79599,5698.277076,0
2015-07-27,D,Skipper Ord Shs,172.287243,173.41075,167.158193,168.379396,5388.131944,0
2015-07-28,D,Skipper Ord Shs,174.876193,175.853155,167.158193,169.112117,47582.200139,0
2015-07-29,D,Skipper Ord Shs,172.824573,172.922269,166.181231,167.988611,91603.360947,0
2015-07-30,D,Skipper Ord Shs,168.623636,169.893687,166.278927,168.184003,11468.204843,0
2015-07-31,D,Skipper Ord Shs,167.353586,169.356358,163.64113,164.325003,11785.515045,0
2015-08-03,D,Skipper Ord Shs,169.79599,169.79599,163.152649,165.301965,5310.339765,0
2015-08-04,D,Skipper Ord Shs,168.52594,168.52594,160.856788,162.61532,9778.272123,0
2015-08-05,D,Skipper Ord Shs,162.61532,165.790446,160.710244,161.491814,8306.362219,0
2015-08-06,D,Skipper Ord Shs,162.224535,165.106573,153.383029,157.974751,116946.210262,0
2015-08-07,D,Skipper Ord Shs,161.003333,161.101029,155.336953,155.874282,3339.94577,0
2015-08-10,D,Skipper Ord Shs,155.874282,161.198725,155.874282,158.316687,54999.070211,0
2015-08-11,D,Skipper Ord Shs,156.265067,158.854016,150.452143,151.722194,7567.336523,0
2015-08-12,D,Skipper Ord Shs,156.216219,156.216219,149.475181,151.380257,4872.24697,0
2015-08-13,D,Skipper Ord Shs,153.383029,153.383029,148.498219,151.57565,3051.295844,0
2015-08-14,D,Skipper Ord Shs,148.156283,155.336953,146.544296,153.773814,4163.928713,0
2015-08-17,D,Skipper Ord Shs,151.624498,156.118523,147.570106,152.406067,1536.395526,0
2015-08-18,D,Skipper Ord Shs,155.239257,155.239257,148.595916,150.012511,2703.278203,0
2015-08-19,D,Skipper Ord Shs,148.498219,155.336953,142.636448,149.426333,11858.189317,0
2015-08-20,D,Skipper Ord Shs,150.500992,154.066903,146.544296,146.544296,4163.928713,0
2015-08-21,D,Skipper Ord Shs,141.757182,150.305599,127.346993,146.544296,23277.262259,0
2015-08-24,D,Skipper Ord Shs,141.659486,141.659486,129.252069,132.573739,15492.9265,0
2015-08-25,D,Skipper Ord Shs,129.252069,143.564562,125.051132,132.182955,111942.944886,0
2015-08-26,D,Skipper Ord Shs,117.333133,136.774676,117.333133,132.378347,1804.573825,0
2015-08-27,D,Skipper Ord Shs,141.56179,141.659486,136.725828,139.168233,5787.328649,0
2015-08-28,D,Skipper Ord Shs,137.751638,146.348903,137.751638,139.461321,6006.375047,0
2015-08-31,D,Skipper Ord Shs,135.797714,141.610638,133.990334,135.993106,3122.946535,0
2015-09-01,D,Skipper Ord Shs,136.774676,138.533207,131.889866,132.134106,2533.363708,0
2015-09-02,D,Skipper Ord Shs,131.987562,136.774676,130.424423,132.378347,4172.117364,0
2015-09-03,D,Skipper Ord Shs,132.866828,135.504625,130.912904,131.987562,3604.029744,0
2015-09-04,D,Skipper Ord Shs,132.378347,135.65117,127.005056,132.622587,5443.405334,0
2015-09-07,D,Skipper Ord Shs,125.09998,141.659486,125.051132,127.493537,4255.027449,0
2015-09-08,D,Skipper Ord Shs,127.737778,130.912904,114.304551,115.769993,89078.18589,0
2015-09-09,D,Skipper Ord Shs,123.976474,136.774676,123.439145,132.769132,10296.204259,0
2015-09-10,D,Skipper Ord Shs,133.355309,135.797714,126.076942,129.203221,4729.96917,0
2015-09-11,D,Skipper Ord Shs,129.203221,140.535979,127.493537,131.352537,1817.880382,0
2015-09-14,D,Skipper Ord Shs,135.748866,140.682524,127.005056,136.774676,8833.506587,0
2015-09-15,D,Skipper Ord Shs,136.774676,141.659486,136.774676,138.875144,8920.510997,0
2015-09-16,D,Skipper Ord Shs,136.774676,144.590372,130.912904,138.7286,4119.914718,0
2015-09-18,D,Skipper Ord Shs,141.659486,142.636448,139.314777,140.047498,8657.450604,0
2015-09-21,D,Skipper Ord Shs,140.047498,143.027232,132.964524,141.80603,3760.637683,0
2015-09-22,D,Skipper Ord Shs,144.590372,149.475181,139.705562,148.400523,16055.896213,0
2015-09-23,D,Skipper Ord Shs,145.078853,146.153511,138.240119,145.176549,1628.517842,0
2015-09-24,D,Skipper Ord Shs,133.06222,146.397751,133.06222,143.711106,5935.747937,0
2015-09-28,D,Skipper Ord Shs,143.662258,148.889004,140.682524,141.268701,14131.563376,0
2015-09-29,D,Skipper Ord Shs,145.567334,145.567334,138.288967,141.171005,3354.275908,0
2015-09-30,D,Skipper Ord Shs,142.636448,144.981156,139.705562,141.073309,4513.993517,0
2015-10-01,D,Skipper Ord Shs,145.518485,145.518485,137.018916,141.903726,1050.19441,0
2015-10-05,D,Skipper Ord Shs,143.711106,153.676118,142.147967,152.161827,15721.185129,0
2015-10-06,D,Skipper Ord Shs,147.912042,164.129611,147.912042,162.029143,29245.764797,0
2015-10-07,D,Skipper Ord Shs,158.267839,165.790446,155.336953,158.75632,3524.190403,0
2015-10-08,D,Skipper Ord Shs,159.244801,161.149877,154.408839,159.293649,19265.847158,0
2015-10-09,D,Skipper Ord Shs,162.126839,162.126839,151.771042,159.733282,11643.237245,0
2015-10-12,D,Skipper Ord Shs,159.733282,159.733282,152.454915,155.67889,2222.194994,0
2015-10-13,D,Skipper Ord Shs,157.290877,158.267839,152.406067,155.239257,1070.666036,0
2015-10-14,D,Skipper Ord Shs,154.848472,160.221763,154.848472,157.974751,828.077269,0
2015-10-15,D,Skipper Ord Shs,151.526802,157.290877,151.429105,156.118523,1929.450743,0
2015-10-16,D,Skipper Ord Shs,155.336953,157.583966,151.331409,155.776586,1101.373475,0
2015-10-19,D,Skipper Ord Shs,154.848472,157.437422,149.572878,154.213447,18724.372653,0
2015-10-20,D,Skipper Ord Shs,151.429105,156.020827,149.475181,150.647536,5131.213038,0
2015-10-21,D,Skipper Ord Shs,151.429105,155.239257,148.693612,153.529574,4225.343591,0
2015-10-23,D,Skipper Ord Shs,157.242029,157.242029,149.572878,149.963662,1087.043337,0
2015-10-26,D,Skipper Ord Shs,157.290877,157.290877,148.595916,153.041093,2299.987173,0
2015-10-27,D,Skipper Ord Shs,150.452143,153.822662,148.498219,153.236485,308.09797,0
2015-10-28,D,Skipper Ord Shs,153.236485,154.359991,144.785764,149.133245,2001.101434,0
2015-10-29,D,Skipper Ord Shs,147.521258,150.452143,140.682524,145.66503,22480.91601,0
2015-10-30,D,Skipper Ord Shs,144.590372,154.65308,141.708334,153.089941,547255.69289,0
2015-11-02,D,Skipper Ord Shs,150.500992,157.095485,148.205131,154.262295,11227.663239,0
2015-11-03,D,Skipper Ord Shs,157.242029,157.290877,148.009739,150.012511,28603.979324,0
2015-11-04,D,Skipper Ord Shs,151.429105,153.773814,149.572878,152.406067,9726.069477,0
2015-11-05,D,Skipper Ord Shs,154.359991,156.216219,145.811574,150.012511,17141.915969,0
2015-11-06,D,Skipper Ord Shs,152.308371,152.406067,148.547068,151.038321,7102.630615,0
2015-11-09,D,Skipper Ord Shs,149.52403,154.311143,148.498219,149.621726,12517.375672,0
2015-11-10,D,Skipper Ord Shs,155.239257,155.239257,148.498219,152.357219,14250.298807,0
2015-11-11,D,Skipper Ord Shs,150.452143,157.290877,150.452143,154.750776,21909.757647,0
2015-11-13,D,Skipper Ord Shs,154.750776,156.216219,148.74246,150.842928,162022.683387,0
2015-11-16,D,Skipper Ord Shs,150.696384,156.020827,150.696384,154.408839,2512.892082,0
2015-11-17,D,Skipper Ord Shs,152.406067,155.825434,149.76827,153.383029,12956.492048,0
2015-11-18,D,Skipper Ord Shs,154.359991,170.968345,152.699156,161.247573,86703.477282,0
2015-11-19,D,Skipper Ord Shs,160.221763,166.083535,157.290877,164.129611,40649.484019,0
2015-11-20,D,Skipper Ord Shs,171.163737,171.163737,164.129611,165.44851,19826.769709,0
2015-11-23,D,Skipper Ord Shs,166.083535,172.922269,161.149877,162.224535,27647.954394,0
2015-11-24,D,Skipper Ord Shs,162.371079,169.014421,160.221763,161.296421,15996.528498,0
2015-11-26,D,Skipper Ord Shs,162.664168,169.014421,162.664168,167.060497,15758.034056,0
2015-11-27,D,Skipper Ord Shs,169.942535,170.479864,162.175687,165.008877,27200.649367,0
2015-11-30,D,Skipper Ord Shs,163.299193,167.060497,162.371079,163.592282,53243.628288,0
2015-12-01,D,Skipper Ord Shs,164.373852,165.106573,158.51208,162.566472,15846.062048,0
2015-12-02,D,Skipper Ord Shs,164.618092,166.47432,160.710244,162.126839,15884.958137,0
2015-12-03,D,Skipper Ord Shs,162.273383,165.106573,156.020827,158.51208,46642.552509,0
2015-12-04,D,Skipper Ord Shs,156.313915,162.077991,155.239257,156.069675,10305.416491,0
2015-12-07,D,Skipper Ord Shs,160.172915,164.031915,156.313915,159.000561,44656.804794,0
2015-12-08,D,Skipper Ord Shs,165.301965,165.301965,151.526802,154.848472,10549.028839,0
2015-12-09,D,Skipper Ord Shs,151.722194,156.216219,146.641992,147.130473,35375.993181,0
2015-12-10,D,Skipper Ord Shs,148.547068,167.842067,147.521258,164.129611,36149.820641,0
2015-12-11,D,Skipper Ord Shs,167.060497,167.060497,155.385801,156.362763,22516.741355,0
2015-12-14,D,Skipper Ord Shs,154.604232,162.175687,154.604232,157.388573,14573.750496,0
2015-12-15,D,Skipper Ord Shs,154.604232,161.198725,152.406067,154.555384,10348.406905,0
2015-12-16,D,Skipper Ord Shs,152.650308,157.290877,152.650308,154.066903,19849.288497,0
2015-12-17,D,Skipper Ord Shs,155.336953,180.151787,153.383029,156.948941,27639.765743,0
2015-12-18,D,Skipper Ord Shs,160.221763,165.106573,158.658624,160.661396,11000.428191,0
2015-12-21,D,Skipper Ord Shs,159.244801,166.083535,159.244801,162.224535,43157.258195,0
2015-12-22,D,Skipper Ord Shs,162.175687,164.129611,161.198725,163.103801,53762.584005,0
2015-12-23,D,Skipper Ord Shs,161.198725,163.152649,159.342497,161.736054,11253.252771,0
2015-12-24,D,Skipper Ord Shs,158.902864,162.468776,152.894548,157.632814,57555.976289,0
2015-12-28,D,Skipper Ord Shs,156.313915,163.152649,156.313915,158.463232,195054.675399,0
2015-12-29,D,Skipper Ord Shs,158.267839,163.152649,158.267839,159.391345,44141.943402,0
2015-12-30,D,Skipper Ord Shs,158.854016,166.865105,158.854016,165.301965,83610.214605,0
