Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-04-03,D,Solar Industries India Ord Shs,45.000001,58.000001,44.050001,52.920001,51392294.234195,0
2006-04-04,D,Solar Industries India Ord Shs,53.730001,54.280001,50.040001,50.450001,10678199.840882,0
2006-04-05,D,Solar Industries India Ord Shs,50.300001,51.280001,48.420001,48.970001,6313244.905925,0
2006-04-07,D,Solar Industries India Ord Shs,49.200001,50.680001,47.620001,48.140001,3612659.946167,0
2006-04-10,D,Solar Industries India Ord Shs,48.400001,52.460001,47.130001,51.050001,5649249.91582,0
2006-04-12,D,Solar Industries India Ord Shs,51.050001,51.050001,47.250001,47.790001,1213674.981915,0
2006-04-13,D,Solar Industries India Ord Shs,48.740001,49.000001,46.230001,47.220001,1674459.975049,0
2006-04-17,D,Solar Industries India Ord Shs,47.400001,49.160001,47.200001,47.840001,899069.986603,0
2006-04-18,D,Solar Industries India Ord Shs,48.200001,48.700001,47.510001,47.640001,795664.988144,0
2006-04-19,D,Solar Industries India Ord Shs,47.580001,50.100001,47.580001,48.190001,817629.987816,0
2006-04-20,D,Solar Industries India Ord Shs,49.000001,49.000001,47.610001,48.010001,323154.995185,0
2006-04-21,D,Solar Industries India Ord Shs,52.000001,52.190001,47.650001,51.520001,1744409.974006,0
2006-04-24,D,Solar Industries India Ord Shs,49.400001,54.400001,49.400001,53.780001,2747344.959061,0
2006-04-25,D,Solar Industries India Ord Shs,53.780001,55.400001,51.300001,52.190001,1819684.972885,0
2006-04-26,D,Solar Industries India Ord Shs,51.030001,60.800001,51.030001,56.830001,4072524.939315,0
2006-04-27,D,Solar Industries India Ord Shs,57.280001,58.340001,55.000001,55.350001,1280064.980926,0
2006-04-28,D,Solar Industries India Ord Shs,53.100001,54.600001,48.800001,53.380001,385649.994253,0
2006-04-29,D,Solar Industries India Ord Shs,53.980001,56.600001,53.980001,54.810001,257124.996169,0
2006-05-02,D,Solar Industries India Ord Shs,54.800001,56.990001,54.200001,55.310001,304444.995463,0
2006-05-03,D,Solar Industries India Ord Shs,55.600001,58.000001,54.100001,55.030001,549054.991818,0
2006-05-04,D,Solar Industries India Ord Shs,55.200001,55.740001,52.310001,52.760001,283769.995771,0
2006-05-05,D,Solar Industries India Ord Shs,52.760001,54.200001,51.030001,51.740001,269054.995991,0
2006-05-08,D,Solar Industries India Ord Shs,51.800001,52.000001,48.420001,48.900001,681074.989851,0
2006-05-09,D,Solar Industries India Ord Shs,51.000001,51.000001,49.240001,50.030001,288374.995703,0
2006-05-10,D,Solar Industries India Ord Shs,50.780001,50.780001,48.630001,49.510001,193939.99711,0
2006-05-11,D,Solar Industries India Ord Shs,49.600001,49.900001,48.700001,48.980001,68824.998974,0
2006-05-12,D,Solar Industries India Ord Shs,48.560001,49.940001,48.540001,48.710001,70144.998955,0
2006-05-15,D,Solar Industries India Ord Shs,48.800001,49.800001,46.800001,47.640001,204814.996948,0
2006-05-16,D,Solar Industries India Ord Shs,48.050001,48.800001,44.800001,45.680001,639274.990474,0
2006-05-17,D,Solar Industries India Ord Shs,47.000001,48.400001,46.100001,47.070001,127339.998102,0
2006-05-18,D,Solar Industries India Ord Shs,47.180001,47.300001,45.210001,46.380001,329029.995097,0
2006-05-19,D,Solar Industries India Ord Shs,46.420001,47.990001,41.000001,42.230001,251854.996247,0
2006-05-22,D,Solar Industries India Ord Shs,41.400001,42.000001,34.000001,37.240001,129334.998073,0
2006-05-23,D,Solar Industries India Ord Shs,35.020001,42.000001,35.020001,41.000001,138909.99793,0
2006-05-24,D,Solar Industries India Ord Shs,42.000001,44.360001,39.500001,42.250001,184799.997246,0
2006-05-25,D,Solar Industries India Ord Shs,41.200001,42.000001,41.200001,41.210001,62734.999065,0
2006-05-26,D,Solar Industries India Ord Shs,41.430001,44.000001,41.400001,42.860001,82489.998771,0
2006-05-29,D,Solar Industries India Ord Shs,43.790001,43.980001,41.030001,42.330001,80429.998801,0
2006-05-30,D,Solar Industries India Ord Shs,43.800001,44.400001,40.810001,41.080001,145914.997826,0
2006-05-31,D,Solar Industries India Ord Shs,40.400001,40.400001,38.000001,39.300001,95759.998573,0
2006-06-01,D,Solar Industries India Ord Shs,40.800001,41.400001,36.220001,37.410001,80989.998793,0
2006-06-02,D,Solar Industries India Ord Shs,36.800001,37.570001,34.800001,36.700001,71424.998936,0
2006-06-05,D,Solar Industries India Ord Shs,37.100001,37.200001,35.600001,36.140001,52339.99922,0
2006-06-06,D,Solar Industries India Ord Shs,34.800001,35.000001,33.0,33.32,64904.999033,0
2006-06-07,D,Solar Industries India Ord Shs,33.35,33.600001,29.6,30.34,66154.999014,0
2006-06-08,D,Solar Industries India Ord Shs,30.2,30.2,24.28,24.42,77499.998845,0
2006-06-09,D,Solar Industries India Ord Shs,24.0,27.9,24.0,27.14,82279.998774,0
2006-06-12,D,Solar Industries India Ord Shs,28.6,28.99,27.0,27.96,46659.999305,0
2006-06-13,D,Solar Industries India Ord Shs,27.4,27.6,25.6,26.53,79729.998812,0
2006-06-14,D,Solar Industries India Ord Shs,26.99,27.2,23.88,25.43,111634.998337,0
2006-06-15,D,Solar Industries India Ord Shs,23.0,26.2,23.0,25.68,27389.999592,0
2006-06-16,D,Solar Industries India Ord Shs,27.1,28.25,26.0,28.07,98554.998531,0
2006-06-19,D,Solar Industries India Ord Shs,29.99,30.88,26.0,30.87,83074.998762,0
