Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2013-11-13,D,Spacenet Enterprises India Ord Shs,2.55,2.65,2.55,2.65,1892,0
2013-11-14,D,Spacenet Enterprises India Ord Shs,2.75,2.75,2.55,2.55,521664,0
2013-11-18,D,Spacenet Enterprises India Ord Shs,2.45,2.6,2.45,2.45,422070,1
2013-11-19,D,Spacenet Enterprises India Ord Shs,2.35,2.45,2.35,2.4,431462,0
2013-11-20,D,Spacenet Enterprises India Ord Shs,2.3,2.5,2.3,2.3,69127,1
2013-11-21,D,Spacenet Enterprises India Ord Shs,2.4,2.4,2.4,2.4,4000,1
2013-11-22,D,Spacenet Enterprises India Ord Shs,2.4,2.5,2.4,2.5,8138,0
2013-11-25,D,Spacenet Enterprises India Ord Shs,2.6,2.6,2.6,2.6,103,1
2013-11-26,D,Spacenet Enterprises India Ord Shs,2.7,2.7,2.7,2.7,15123,1
2013-11-27,D,Spacenet Enterprises India Ord Shs,2.8,2.8,2.8,2.8,17170,1
2013-11-28,D,Spacenet Enterprises India Ord Shs,3.25,3.35,2.4,2.9,59416,0
2013-11-29,D,Spacenet Enterprises India Ord Shs,2.85,3.4,2.85,3.4,80085,0
2013-12-02,D,Spacenet Enterprises India Ord Shs,3.95,4.05,3.05,4.05,69053,0
2013-12-03,D,Spacenet Enterprises India Ord Shs,4.4,4.45,4.1,4.45,129681,0
2013-12-04,D,Spacenet Enterprises India Ord Shs,4.85,4.85,4.5,4.85,132993,1
2013-12-05,D,Spacenet Enterprises India Ord Shs,5.25,5.3,5.25,5.3,89118,0
2013-12-06,D,Spacenet Enterprises India Ord Shs,5.55,5.55,5.55,5.55,21100,1
2013-12-09,D,Spacenet Enterprises India Ord Shs,5.8,5.8,5.3,5.55,55620,0
2013-12-10,D,Spacenet Enterprises India Ord Shs,5.8,5.8,5.3,5.3,18339,0
2013-12-11,D,Spacenet Enterprises India Ord Shs,5.05,5.05,5.05,5.05,1061,1
2013-12-12,D,Spacenet Enterprises India Ord Shs,4.8,4.8,4.8,4.8,6380,1
2013-12-13,D,Spacenet Enterprises India Ord Shs,4.6,4.6,4.6,4.6,1767,1
2013-12-16,D,Spacenet Enterprises India Ord Shs,4.4,4.4,4.4,4.4,1862,1
2013-12-17,D,Spacenet Enterprises India Ord Shs,4.2,4.2,4.2,4.2,894,1
2013-12-18,D,Spacenet Enterprises India Ord Shs,4.0,4.0,4.0,4.0,2234,1
2013-12-19,D,Spacenet Enterprises India Ord Shs,3.8,3.8,3.8,3.8,11331,1
2013-12-20,D,Spacenet Enterprises India Ord Shs,3.65,3.95,3.65,3.65,40660,1
2013-12-23,D,Spacenet Enterprises India Ord Shs,3.5,3.8,3.5,3.5,20314,1
2013-12-24,D,Spacenet Enterprises India Ord Shs,3.35,3.35,3.35,3.35,5669,1
2013-12-26,D,Spacenet Enterprises India Ord Shs,3.2,3.5,3.2,3.2,10743,1
2013-12-27,D,Spacenet Enterprises India Ord Shs,3.35,3.35,3.05,3.1,12771,0
2013-12-30,D,Spacenet Enterprises India Ord Shs,2.95,3.0,2.95,2.95,16071,1
2013-12-31,D,Spacenet Enterprises India Ord Shs,2.85,3.05,2.85,3.0,3097,0
2014-01-01,D,Spacenet Enterprises India Ord Shs,3.0,3.15,2.85,3.05,7840,0
2014-01-02,D,Spacenet Enterprises India Ord Shs,2.95,3.1,2.9,3.0,16756,0
2014-01-03,D,Spacenet Enterprises India Ord Shs,3.0,3.15,2.95,3.15,8094,0
2014-01-06,D,Spacenet Enterprises India Ord Shs,3.15,3.15,3.0,3.1,17153,0
2014-01-07,D,Spacenet Enterprises India Ord Shs,3.0,3.15,3.0,3.05,7549,0
2014-01-08,D,Spacenet Enterprises India Ord Shs,2.9,3.2,2.9,3.15,12568,0
2014-01-09,D,Spacenet Enterprises India Ord Shs,3.0,3.3,3.0,3.1,6501,0
2014-01-10,D,Spacenet Enterprises India Ord Shs,3.0,3.15,3.0,3.0,9707,1
2014-01-13,D,Spacenet Enterprises India Ord Shs,3.0,3.0,2.85,2.85,8124,0
2014-01-14,D,Spacenet Enterprises India Ord Shs,2.85,2.95,2.75,2.9,12344,0
2014-01-15,D,Spacenet Enterprises India Ord Shs,2.9,3.0,2.9,3.0,5146,0
2014-01-16,D,Spacenet Enterprises India Ord Shs,3.0,3.1,2.9,2.9,10361,0
2014-01-17,D,Spacenet Enterprises India Ord Shs,2.8,3.0,2.8,2.8,9635,1
2014-01-20,D,Spacenet Enterprises India Ord Shs,2.8,2.9,2.7,2.7,3801,0
2014-01-21,D,Spacenet Enterprises India Ord Shs,2.6,2.8,2.6,2.6,18105,1
2014-01-22,D,Spacenet Enterprises India Ord Shs,2.5,2.7,2.5,2.6,12926,0
2014-01-23,D,Spacenet Enterprises India Ord Shs,2.6,2.65,2.55,2.65,7186,0
2014-01-24,D,Spacenet Enterprises India Ord Shs,2.6,2.6,2.55,2.6,8555,1
2014-01-27,D,Spacenet Enterprises India Ord Shs,2.5,2.5,2.5,2.5,4636,1
2014-01-28,D,Spacenet Enterprises India Ord Shs,2.5,2.6,2.5,2.6,1100,0
2014-01-29,D,Spacenet Enterprises India Ord Shs,2.55,2.6,2.5,2.5,20572,0
