Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-01-25,D,Spencer's Retail Ord Shs,222.47753,222.47753,211.353653,211.353653,219848.719161,0
2019-01-28,D,Spencer's Retail Ord Shs,200.82305,200.82305,200.82305,200.82305,2154.15013,1
2019-01-29,D,Spencer's Retail Ord Shs,190.786842,190.786842,190.786842,190.786842,59865.146846,1
2019-01-30,D,Spencer's Retail Ord Shs,181.294467,181.294467,181.294467,181.294467,2203.705696,1
2019-01-31,D,Spencer's Retail Ord Shs,172.247048,172.247048,172.247048,172.247048,5172.994326,1
2019-02-01,D,Spencer's Retail Ord Shs,163.644583,163.644583,163.644583,163.644583,9038.328502,1
2019-02-04,D,Spencer's Retail Ord Shs,155.487074,155.487074,155.487074,155.487074,3238.304561,1
2019-02-05,D,Spencer's Retail Ord Shs,147.72508,147.72508,147.72508,147.72508,6326.931085,1
2019-02-06,D,Spencer's Retail Ord Shs,140.358602,140.358602,140.358602,140.358602,3265.61069,1
2019-02-07,D,Spencer's Retail Ord Shs,133.387639,133.387639,133.387639,133.387639,59438.362173,1
2019-02-08,D,Spencer's Retail Ord Shs,120.088427,146.686851,120.088427,146.093578,12957512.386706,0
2019-02-11,D,Spencer's Retail Ord Shs,150.295931,152.669025,134.771944,147.379004,1784764.960766,0
2019-02-12,D,Spencer's Retail Ord Shs,142.435059,145.846381,132.646047,132.794366,888702.221077,0
2019-02-13,D,Spencer's Retail Ord Shs,129.827999,134.326989,123.697507,127.89986,625186.957243,0
2019-02-14,D,Spencer's Retail Ord Shs,128.245936,138.183266,125.576206,131.50894,486206.854363,0
2019-02-15,D,Spencer's Retail Ord Shs,128.641452,132.794366,120.137866,126.12004,409414.941919,0
2019-02-18,D,Spencer's Retail Ord Shs,126.12004,128.542573,121.719929,126.762753,452576.828886,0
2019-02-19,D,Spencer's Retail Ord Shs,125.329009,139.419252,124.142462,135.909051,1496141.206194,0
2019-02-20,D,Spencer's Retail Ord Shs,139.419252,142.385619,136.452885,138.628221,867333.658592,0
2019-02-21,D,Spencer's Retail Ord Shs,140.457481,141.39683,136.452885,137.392235,411899.799604,0
2019-02-22,D,Spencer's Retail Ord Shs,136.551764,147.230685,135.958491,143.275529,435516.566661,0
2019-02-25,D,Spencer's Retail Ord Shs,142.484498,151.086963,142.484498,146.390215,384493.548728,0
2019-02-26,D,Spencer's Retail Ord Shs,144.857592,145.450865,137.441674,141.050754,298639.035668,0
2019-02-27,D,Spencer's Retail Ord Shs,141.891225,145.747502,137.145037,138.479903,434568.942872,0
2019-02-28,D,Spencer's Retail Ord Shs,141.199072,144.758713,138.381024,140.902436,231135.252235,0
2019-03-01,D,Spencer's Retail Ord Shs,141.297951,148.318353,140.50692,146.983488,2118070.643452,0
2019-03-05,D,Spencer's Retail Ord Shs,147.329564,152.075752,144.610394,146.489094,1541893.130007,0
2019-03-06,D,Spencer's Retail Ord Shs,146.390215,161.123171,146.340775,161.024292,1151589.443957,0
2019-03-07,D,Spencer's Retail Ord Shs,161.172611,161.172611,153.311738,154.251087,324943.939366,0
2019-03-08,D,Spencer's Retail Ord Shs,155.338755,156.228665,150.295931,152.17463,155372.881966,0
2019-03-11,D,Spencer's Retail Ord Shs,155.239876,156.673621,151.33416,152.669025,210097.397306,0
2019-03-12,D,Spencer's Retail Ord Shs,154.152209,157.61297,153.262298,154.300527,186927.641684,0
2019-03-13,D,Spencer's Retail Ord Shs,155.932029,155.932029,150.39481,153.11398,325753.009837,0
2019-03-14,D,Spencer's Retail Ord Shs,155.239876,168.39077,152.322949,167.5503,2622472.481376,0
2019-03-15,D,Spencer's Retail Ord Shs,169.082923,171.752653,158.799517,161.370368,1629154.414349,0
2019-03-18,D,Spencer's Retail Ord Shs,163.00187,165.918798,157.711849,158.305122,276604.001383,0
2019-03-19,D,Spencer's Retail Ord Shs,159.986064,166.413192,158.453441,160.925413,657700.465469,0
2019-03-20,D,Spencer's Retail Ord Shs,163.00187,163.00187,157.711849,159.541109,192897.570424,0
2019-03-22,D,Spencer's Retail Ord Shs,160.579337,160.875974,154.844361,155.83315,349316.175975,0
2019-03-25,D,Spencer's Retail Ord Shs,153.262298,157.711849,152.767904,153.806132,127974.721795,0
2019-03-26,D,Spencer's Retail Ord Shs,155.239876,163.842341,153.361177,159.689427,364817.966204,0
2019-03-27,D,Spencer's Retail Ord Shs,158.700638,163.595144,155.042119,158.305122,256084.962893,0
2019-03-28,D,Spencer's Retail Ord Shs,158.305122,163.05131,155.338755,157.514091,176231.730054,0
2019-03-29,D,Spencer's Retail Ord Shs,159.195033,161.469247,157.316333,158.206244,130024.704101,0
2019-04-01,D,Spencer's Retail Ord Shs,159.44223,166.858147,159.44223,161.22205,404646.482829,0
2019-04-02,D,Spencer's Retail Ord Shs,162.556915,162.556915,158.305122,158.848956,101979.287552,0
2019-04-03,D,Spencer's Retail Ord Shs,159.689427,166.363753,158.997275,161.320929,388723.975955,0
2019-04-04,D,Spencer's Retail Ord Shs,161.815323,163.545704,156.426423,158.700638,213218.386649,0
