Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-12-10,D,Star Health and Allied Insurance Company Ord Shs,845.0,940.0,828.0,906.85,13464811,0
2021-12-13,D,Star Health and Allied Insurance Company Ord Shs,901.0,924.6,887.35,897.05,2037074,0
2021-12-14,D,Star Health and Allied Insurance Company Ord Shs,890.1,903.95,852.35,861.5,925078,0
2021-12-15,D,Star Health and Allied Insurance Company Ord Shs,862.95,866.55,801.05,807.85,860199,0
2021-12-16,D,Star Health and Allied Insurance Company Ord Shs,805.0,848.6,795.0,833.95,1029500,0
2021-12-17,D,Star Health and Allied Insurance Company Ord Shs,829.5,847.0,801.65,819.35,451968,0
2021-12-20,D,Star Health and Allied Insurance Company Ord Shs,803.5,819.35,786.35,796.7,349122,0
2021-12-21,D,Star Health and Allied Insurance Company Ord Shs,797.0,809.7,795.35,798.25,284499,0
2021-12-22,D,Star Health and Allied Insurance Company Ord Shs,798.25,810.2,794.2,799.9,220739,0
2021-12-23,D,Star Health and Allied Insurance Company Ord Shs,803.0,805.0,797.55,799.1,188042,0
2021-12-24,D,Star Health and Allied Insurance Company Ord Shs,799.15,802.55,784.65,787.55,190376,0
2021-12-27,D,Star Health and Allied Insurance Company Ord Shs,784.0,801.9,784.0,796.2,420859,0
2021-12-28,D,Star Health and Allied Insurance Company Ord Shs,800.0,800.0,792.0,793.85,507997,0
2021-12-29,D,Star Health and Allied Insurance Company Ord Shs,791.2,811.2,784.55,788.4,237093,0
2021-12-30,D,Star Health and Allied Insurance Company Ord Shs,788.9,796.45,787.85,790.7,117938,0
2021-12-31,D,Star Health and Allied Insurance Company Ord Shs,792.0,792.0,784.25,787.65,113435,0
2022-01-03,D,Star Health and Allied Insurance Company Ord Shs,789.0,797.6,774.0,779.5,231314,0
2022-01-04,D,Star Health and Allied Insurance Company Ord Shs,783.0,792.0,770.35,773.6,232422,0
2022-01-05,D,Star Health and Allied Insurance Company Ord Shs,774.0,779.5,753.85,761.7,427959,0
2022-01-06,D,Star Health and Allied Insurance Company Ord Shs,755.0,787.0,755.0,780.4,695515,0
2022-01-07,D,Star Health and Allied Insurance Company Ord Shs,765.0,771.15,762.55,766.95,1692011,0
2022-01-10,D,Star Health and Allied Insurance Company Ord Shs,767.0,804.0,767.0,794.8,377827,0
2022-01-11,D,Star Health and Allied Insurance Company Ord Shs,800.0,800.0,781.05,787.65,464034,0
2022-01-12,D,Star Health and Allied Insurance Company Ord Shs,790.0,833.0,784.15,820.05,629256,0
2022-01-13,D,Star Health and Allied Insurance Company Ord Shs,823.0,833.7,811.05,822.35,170775,0
2022-01-14,D,Star Health and Allied Insurance Company Ord Shs,823.7,831.5,816.6,829.25,259710,0
2022-01-17,D,Star Health and Allied Insurance Company Ord Shs,834.0,861.0,821.15,858.6,423845,0
2022-01-18,D,Star Health and Allied Insurance Company Ord Shs,861.0,865.65,835.7,843.65,289772,0
2022-01-19,D,Star Health and Allied Insurance Company Ord Shs,840.0,840.0,818.0,819.1,123509,0
2022-01-20,D,Star Health and Allied Insurance Company Ord Shs,818.75,825.75,811.05,815.45,104577,0
2022-01-21,D,Star Health and Allied Insurance Company Ord Shs,811.05,828.75,802.3,817.3,232980,0
2022-01-24,D,Star Health and Allied Insurance Company Ord Shs,819.85,819.85,775.0,779.35,218959,0
2022-01-25,D,Star Health and Allied Insurance Company Ord Shs,770.0,791.95,762.4,776.5,148007,0
2022-01-27,D,Star Health and Allied Insurance Company Ord Shs,775.0,804.75,774.05,788.55,211217,0
2022-01-28,D,Star Health and Allied Insurance Company Ord Shs,797.0,809.7,793.1,797.85,116479,0
2022-01-31,D,Star Health and Allied Insurance Company Ord Shs,809.0,810.0,761.0,768.0,160188,0
2022-02-01,D,Star Health and Allied Insurance Company Ord Shs,784.0,799.0,776.75,788.1,145061,0
2022-02-02,D,Star Health and Allied Insurance Company Ord Shs,788.1,799.8,775.15,779.1,105867,0
2022-02-03,D,Star Health and Allied Insurance Company Ord Shs,788.9,788.9,772.0,776.35,83573,0
2022-02-04,D,Star Health and Allied Insurance Company Ord Shs,777.0,782.1,768.0,772.2,154012,0
2022-02-07,D,Star Health and Allied Insurance Company Ord Shs,772.0,780.9,771.55,772.6,109545,0
2022-02-08,D,Star Health and Allied Insurance Company Ord Shs,775.05,783.95,770.0,773.35,170347,0
2022-02-09,D,Star Health and Allied Insurance Company Ord Shs,776.0,788.95,771.25,774.85,803081,0
2022-02-10,D,Star Health and Allied Insurance Company Ord Shs,780.9,794.95,773.0,788.55,84144,0
2022-02-11,D,Star Health and Allied Insurance Company Ord Shs,781.1,810.0,768.05,772.35,86601,0
2022-02-14,D,Star Health and Allied Insurance Company Ord Shs,755.0,759.95,728.15,735.35,1158504,0
2022-02-15,D,Star Health and Allied Insurance Company Ord Shs,743.0,744.0,712.15,729.35,109225,0
2022-02-16,D,Star Health and Allied Insurance Company Ord Shs,743.7,745.15,728.0,735.15,124234,0
2022-02-17,D,Star Health and Allied Insurance Company Ord Shs,748.85,748.85,730.0,733.85,102268,0
2022-02-18,D,Star Health and Allied Insurance Company Ord Shs,727.1,737.15,725.0,727.4,52797,0
2022-02-21,D,Star Health and Allied Insurance Company Ord Shs,727.0,732.0,708.0,726.0,211196,0
2022-02-22,D,Star Health and Allied Insurance Company Ord Shs,707.85,718.0,700.0,702.95,103346,0
2022-02-23,D,Star Health and Allied Insurance Company Ord Shs,706.95,714.0,675.0,679.25,167272,0
2022-02-24,D,Star Health and Allied Insurance Company Ord Shs,657.65,668.45,633.0,637.3,272531,0
2022-02-25,D,Star Health and Allied Insurance Company Ord Shs,635.55,669.0,635.55,661.5,1476539,0
2022-02-28,D,Star Health and Allied Insurance Company Ord Shs,661.7,703.5,645.75,699.3,116281,0
2022-03-02,D,Star Health and Allied Insurance Company Ord Shs,699.0,701.95,686.0,693.9,99662,0
2022-03-03,D,Star Health and Allied Insurance Company Ord Shs,703.9,703.9,678.1,686.6,75147,0
2022-03-04,D,Star Health and Allied Insurance Company Ord Shs,686.6,698.95,583.6,652.05,183244,0
2022-03-07,D,Star Health and Allied Insurance Company Ord Shs,647.0,648.4,610.5,620.8,296551,0
2022-03-08,D,Star Health and Allied Insurance Company Ord Shs,620.0,634.85,604.65,610.45,405943,0
2022-03-09,D,Star Health and Allied Insurance Company Ord Shs,612.0,638.0,610.5,631.9,443379,0
2022-03-10,D,Star Health and Allied Insurance Company Ord Shs,645.0,647.95,625.9,635.9,199923,0
2022-03-11,D,Star Health and Allied Insurance Company Ord Shs,644.0,644.0,630.0,636.55,94736,0
2022-03-14,D,Star Health and Allied Insurance Company Ord Shs,637.5,641.95,620.2,631.45,184707,0
2022-03-15,D,Star Health and Allied Insurance Company Ord Shs,637.8,638.5,615.0,618.9,163014,0
2022-03-16,D,Star Health and Allied Insurance Company Ord Shs,630.0,630.85,602.5,608.8,324517,0
2022-03-17,D,Star Health and Allied Insurance Company Ord Shs,612.5,644.0,612.1,638.05,626413,0
2022-03-21,D,Star Health and Allied Insurance Company Ord Shs,655.9,664.0,644.15,655.8,268917,0
2022-03-22,D,Star Health and Allied Insurance Company Ord Shs,664.0,664.0,643.0,655.0,237440,0
2022-03-23,D,Star Health and Allied Insurance Company Ord Shs,662.6,666.8,648.05,660.15,180465,0
