Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-08-25,D,Star Paper Mills Ord Shs,49.668151,49.668151,49.668151,49.668151,100,1
1995-11-08,D,Star Paper Mills Ord Shs,44.701336,44.701336,44.701336,44.701336,500,1
1995-11-29,D,Star Paper Mills Ord Shs,44.701336,44.701336,42.71461,42.71461,800,0
1995-11-30,D,Star Paper Mills Ord Shs,45.694699,45.694699,45.198018,45.694699,400,1
1995-12-01,D,Star Paper Mills Ord Shs,49.668151,50.164833,46.688062,47.681425,2700,0
1995-12-04,D,Star Paper Mills Ord Shs,47.681425,49.668151,47.681425,49.668151,1200,0
1995-12-05,D,Star Paper Mills Ord Shs,47.681425,48.227775,47.681425,48.128438,1200,0
1995-12-06,D,Star Paper Mills Ord Shs,47.681425,47.681425,47.681425,47.681425,300,1
1995-12-07,D,Star Paper Mills Ord Shs,46.688062,47.681425,46.688062,46.688062,300,1
1995-12-08,D,Star Paper Mills Ord Shs,46.688062,46.688062,46.688062,46.688062,200,1
1995-12-11,D,Star Paper Mills Ord Shs,49.668151,49.668151,49.668151,49.668151,200,1
1995-12-12,D,Star Paper Mills Ord Shs,50.661514,50.661514,47.681425,47.681425,400,0
1995-12-14,D,Star Paper Mills Ord Shs,49.668151,49.668151,49.668151,49.668151,100,1
1995-12-22,D,Star Paper Mills Ord Shs,45.198018,45.198018,45.198018,45.198018,100,1
1995-12-26,D,Star Paper Mills Ord Shs,44.701336,44.701336,44.701336,44.701336,100,1
1995-12-27,D,Star Paper Mills Ord Shs,45.198018,45.694699,45.198018,45.694699,200,0
1995-12-28,D,Star Paper Mills Ord Shs,45.694699,46.688062,45.694699,46.688062,300,0
1996-01-02,D,Star Paper Mills Ord Shs,45.694699,46.191381,45.694699,46.191381,500,0
1996-01-08,D,Star Paper Mills Ord Shs,43.757641,43.757641,43.757641,43.757641,200,1
1996-01-09,D,Star Paper Mills Ord Shs,44.05565,44.05565,44.05565,44.05565,100,1
1996-01-10,D,Star Paper Mills Ord Shs,43.707973,43.707973,43.707973,43.707973,100,1
1996-01-12,D,Star Paper Mills Ord Shs,44.204655,44.204655,44.204655,44.204655,100,1
1996-01-15,D,Star Paper Mills Ord Shs,44.949677,44.949677,44.701336,44.701336,200,0
1996-01-16,D,Star Paper Mills Ord Shs,44.204655,44.204655,42.217928,42.217928,200,0
1996-01-29,D,Star Paper Mills Ord Shs,40.727884,40.727884,40.727884,40.727884,100,1
1996-01-30,D,Star Paper Mills Ord Shs,39.833857,39.833857,39.833857,39.833857,100,1
1996-02-02,D,Star Paper Mills Ord Shs,40.231202,41.721247,40.231202,41.721247,500,0
1996-02-05,D,Star Paper Mills Ord Shs,41.721247,41.721247,40.231202,40.727884,7500,0
1996-02-06,D,Star Paper Mills Ord Shs,40.727884,40.727884,39.883525,39.883525,1600,0
1996-02-07,D,Star Paper Mills Ord Shs,40.280871,40.280871,39.734521,39.734521,1700,0
1996-02-13,D,Star Paper Mills Ord Shs,43.608637,43.608637,43.608637,43.608637,200,1
1996-02-14,D,Star Paper Mills Ord Shs,43.707973,43.707973,43.707973,43.707973,500,1
1996-02-15,D,Star Paper Mills Ord Shs,44.254323,44.254323,44.254323,44.254323,200,1
1996-02-16,D,Star Paper Mills Ord Shs,44.254323,44.701336,44.254323,44.701336,1200,0
1996-02-19,D,Star Paper Mills Ord Shs,41.721247,44.701336,41.721247,44.701336,400,0
1996-02-20,D,Star Paper Mills Ord Shs,43.211291,43.211291,43.211291,43.211291,300,1
1996-02-22,D,Star Paper Mills Ord Shs,44.701336,47.184744,43.459632,47.184744,500,0
1996-02-23,D,Star Paper Mills Ord Shs,45.744367,45.794035,45.694699,45.794035,300,0
1996-02-26,D,Star Paper Mills Ord Shs,45.198018,45.694699,45.198018,45.694699,400,0
1996-02-27,D,Star Paper Mills Ord Shs,46.688062,47.433084,46.688062,46.986071,500,0
1996-02-28,D,Star Paper Mills Ord Shs,45.694699,46.191381,44.701336,44.701336,800,0
1996-02-29,D,Star Paper Mills Ord Shs,45.694699,45.694699,44.701336,44.701336,400,0
1996-03-06,D,Star Paper Mills Ord Shs,41.721247,41.721247,41.721247,41.721247,100,1
1996-03-07,D,Star Paper Mills Ord Shs,39.734521,40.231202,38.244476,40.231202,1200,0
1996-03-11,D,Star Paper Mills Ord Shs,39.734521,39.734521,39.734521,39.734521,300,1
1996-03-12,D,Star Paper Mills Ord Shs,39.237839,39.237839,39.237839,39.237839,300,1
1996-03-15,D,Star Paper Mills Ord Shs,35.761069,36.00941,35.761069,35.860405,400,0
1996-03-22,D,Star Paper Mills Ord Shs,33.774343,33.774343,33.774343,33.774343,800,1
1996-03-25,D,Star Paper Mills Ord Shs,35.761069,35.761069,35.761069,35.761069,100,1
1996-03-26,D,Star Paper Mills Ord Shs,35.016047,35.016047,34.767706,34.767706,300,0
1996-03-27,D,Star Paper Mills Ord Shs,35.761069,35.761069,35.761069,35.761069,100,1
1996-03-28,D,Star Paper Mills Ord Shs,35.761069,36.25775,35.761069,36.25775,200,0
1996-04-02,D,Star Paper Mills Ord Shs,36.754432,36.754432,35.761069,35.761069,600,0
1996-04-03,D,Star Paper Mills Ord Shs,37.251113,37.251113,35.761069,35.761069,600,0
1996-04-08,D,Star Paper Mills Ord Shs,33.774343,33.774343,33.277661,33.774343,300,1
1996-04-09,D,Star Paper Mills Ord Shs,35.761069,35.761069,33.277661,33.277661,500,0
1996-04-10,D,Star Paper Mills Ord Shs,33.774343,33.873679,30.794254,30.794254,2100,0
1996-04-11,D,Star Paper Mills Ord Shs,31.787617,32.731312,31.787617,32.731312,1500,0
1996-04-12,D,Star Paper Mills Ord Shs,32.284298,32.284298,31.539276,31.787617,1300,0
1996-04-15,D,Star Paper Mills Ord Shs,32.284298,32.284298,31.837285,32.284298,700,1
1996-04-16,D,Star Paper Mills Ord Shs,31.787617,31.787617,31.787617,31.787617,800,1
1996-04-17,D,Star Paper Mills Ord Shs,32.78098,32.78098,32.78098,32.78098,2100,1
1996-04-18,D,Star Paper Mills Ord Shs,33.774343,33.774343,33.774343,33.774343,200,1
1996-04-19,D,Star Paper Mills Ord Shs,35.264387,36.25775,35.264387,36.158414,500,0
1996-04-22,D,Star Paper Mills Ord Shs,34.767706,35.761069,33.774343,34.767706,1000,1
