Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-11-23,D,Steelcast Ord Shs,310.43157,310.481247,297.962643,298.360059,1396,0
2021-11-24,D,Steelcast Ord Shs,307.997397,307.997397,298.01232,298.061997,3417,0
2021-11-25,D,Steelcast Ord Shs,307.003857,307.003857,293.094297,297.565227,3112,0
2021-11-26,D,Steelcast Ord Shs,288.374982,298.906506,276.253794,286.437579,1605,0
2021-11-29,D,Steelcast Ord Shs,278.240874,296.422656,268.20612,276.700887,1730,0
2021-11-30,D,Steelcast Ord Shs,276.65121,296.074917,258.221043,291.802695,2996,0
2021-12-01,D,Steelcast Ord Shs,298.061997,314.803146,294.236868,310.580601,43167,0
2021-12-02,D,Steelcast Ord Shs,327.768842,327.768842,303.029697,304.718715,5926,0
2021-12-03,D,Steelcast Ord Shs,312.91542,312.91542,290.163354,292.796235,2418,0
2021-12-06,D,Steelcast Ord Shs,304.669038,306.010317,293.243328,294.882669,9355,0
2021-12-07,D,Steelcast Ord Shs,295.280085,303.029697,290.610447,293.392359,4041,0
2021-12-08,D,Steelcast Ord Shs,303.029697,315.200562,293.143974,306.606441,26308,0
2021-12-09,D,Steelcast Ord Shs,307.003857,312.021234,298.061997,299.055537,2998,0
2021-12-10,D,Steelcast Ord Shs,303.029697,312.965097,298.310382,308.841906,6748,0
2021-12-13,D,Steelcast Ord Shs,317.932796,317.932796,299.204568,310.92834,4745,0
2021-12-14,D,Steelcast Ord Shs,310.481247,312.965097,301.340679,312.816066,651,0
2021-12-15,D,Steelcast Ord Shs,289.169814,317.883119,289.169814,307.599981,4280,0
2021-12-16,D,Steelcast Ord Shs,303.178728,312.468327,298.061997,300.744555,1467,0
2021-12-17,D,Steelcast Ord Shs,316.293455,316.293455,287.033703,300.198108,3952,0
2021-12-20,D,Steelcast Ord Shs,326.874656,326.874656,290.262708,291.504633,2964,0
2021-12-21,D,Steelcast Ord Shs,307.997397,314.256699,294.683961,296.52201,4028,0
2021-12-22,D,Steelcast Ord Shs,307.003857,307.003857,295.081377,298.459413,2518,0
2021-12-23,D,Steelcast Ord Shs,306.507087,306.507087,281.171817,288.374982,1877,0
2021-12-24,D,Steelcast Ord Shs,291.007863,297.912966,288.424659,291.504633,1420,0
2021-12-27,D,Steelcast Ord Shs,292.05108,299.254245,288.275628,292.349142,2303,0
2021-12-28,D,Steelcast Ord Shs,294.932346,302.036157,291.902049,297.813612,1060,0
2021-12-29,D,Steelcast Ord Shs,301.291002,302.334219,291.107217,297.118134,1625,0
2021-12-30,D,Steelcast Ord Shs,297.51555,303.774852,288.126597,290.511093,2143,0
2021-12-31,D,Steelcast Ord Shs,295.280085,296.820072,291.107217,293.04462,1304,0
2022-01-03,D,Steelcast Ord Shs,292.597527,298.01232,290.908509,294.385899,4344,0
2022-01-04,D,Steelcast Ord Shs,299.055537,299.055537,283.655667,288.871752,4987,0
2022-01-05,D,Steelcast Ord Shs,291.107217,295.0317,279.63183,282.860835,2105,0
2022-01-06,D,Steelcast Ord Shs,285.195654,288.07692,278.191197,283.506636,8242,0
2022-01-07,D,Steelcast Ord Shs,284.10276,287.977566,280.675047,282.711804,1132,0
2022-01-10,D,Steelcast Ord Shs,281.370525,290.064,280.327308,288.822075,4289,0
2022-01-11,D,Steelcast Ord Shs,283.407282,301.042617,283.357605,296.720718,5488,0
2022-01-12,D,Steelcast Ord Shs,303.029697,303.029697,291.107217,292.994943,1554,0
2022-01-13,D,Steelcast Ord Shs,283.158897,297.316842,281.767941,289.517553,2835,0
2022-01-14,D,Steelcast Ord Shs,298.061997,328.911413,286.040163,320.317292,59312,0
2022-01-17,D,Steelcast Ord Shs,327.868196,333.829436,320.416646,325.732085,37260,0
2022-01-18,D,Steelcast Ord Shs,327.868196,328.066904,314.057991,314.455407,12094,0
2022-01-19,D,Steelcast Ord Shs,311.574141,326.228855,307.997397,313.958637,741,0
2022-01-20,D,Steelcast Ord Shs,308.990937,320.317292,307.997397,309.537384,2151,0
2022-01-21,D,Steelcast Ord Shs,297.813612,306.407733,293.094297,302.433573,3587,0
2022-01-24,D,Steelcast Ord Shs,297.118134,300.396816,278.290551,287.927889,2228,0
2022-01-25,D,Steelcast Ord Shs,287.08338,309.984477,275.607993,281.569233,1911,0
2022-01-27,D,Steelcast Ord Shs,277.197657,322.701788,273.273174,298.658121,2452,0
2022-01-28,D,Steelcast Ord Shs,307.053534,338.846813,296.074917,312.468327,63161,0
2022-01-31,D,Steelcast Ord Shs,310.779309,311.971557,301.390356,308.245782,11670,0
2022-02-01,D,Steelcast Ord Shs,303.97356,311.623818,298.409736,307.351596,5601,0
2022-02-02,D,Steelcast Ord Shs,313.41219,313.41219,303.079374,308.394813,1256,0
2022-02-03,D,Steelcast Ord Shs,306.010317,312.965097,301.042617,302.234865,2656,0
2022-02-04,D,Steelcast Ord Shs,305.910963,309.785769,298.061997,299.055537,6395,0
2022-02-07,D,Steelcast Ord Shs,301.48971,305.165808,291.107217,297.068457,4715,0
2022-02-08,D,Steelcast Ord Shs,287.431119,305.066454,287.431119,301.191648,2066,0
2022-02-09,D,Steelcast Ord Shs,300.446493,312.965097,288.325305,296.124594,2009,0
2022-02-10,D,Steelcast Ord Shs,292.498173,312.865743,289.120137,294.236868,6893,0
2022-02-11,D,Steelcast Ord Shs,294.982023,302.036157,290.064,293.491713,912,0
2022-02-14,D,Steelcast Ord Shs,289.616907,302.085834,267.113226,275.558316,2110,0
2022-02-15,D,Steelcast Ord Shs,274.415745,288.027243,274.366068,278.340228,3045,0
2022-02-16,D,Steelcast Ord Shs,284.202114,301.887126,281.072463,283.904052,999,0
2022-02-17,D,Steelcast Ord Shs,283.158897,292.001403,279.13506,287.282088,1367,0
2022-02-18,D,Steelcast Ord Shs,301.042617,301.042617,278.290551,283.158897,1022,0
2022-02-21,D,Steelcast Ord Shs,281.867295,292.994943,278.191197,278.340228,1941,0
2022-02-22,D,Steelcast Ord Shs,236.462517,292.100757,236.462517,289.418199,3733,0
2022-02-23,D,Steelcast Ord Shs,289.120137,289.120137,276.253794,285.195654,1536,0
2022-02-24,D,Steelcast Ord Shs,288.126597,288.126597,268.255797,273.074466,2785,0
2022-02-25,D,Steelcast Ord Shs,279.184737,287.133057,268.255797,273.124143,565,0
2022-02-28,D,Steelcast Ord Shs,239.045721,283.357605,239.045721,278.439582,3449,0
2022-03-02,D,Steelcast Ord Shs,275.1609,301.042617,273.273174,286.487256,1433,0
2022-03-03,D,Steelcast Ord Shs,285.344685,292.001403,274.415745,284.152437,1735,0
2022-03-04,D,Steelcast Ord Shs,284.698884,284.847915,277.247334,283.009866,806,0
2022-03-07,D,Steelcast Ord Shs,283.059543,284.003406,268.255797,270.1932,1109,0
2022-03-08,D,Steelcast Ord Shs,294.485253,294.485253,276.005409,278.538936,1624,0
2022-03-09,D,Steelcast Ord Shs,282.165357,286.785318,278.191197,278.588613,1272,0
2022-03-10,D,Steelcast Ord Shs,293.889129,303.97356,274.614453,281.022786,9551,0
2022-03-11,D,Steelcast Ord Shs,277.64475,286.189194,277.64475,278.936352,1557,0
2022-03-14,D,Steelcast Ord Shs,282.11568,285.394362,279.63183,283.208574,1395,0
2022-03-15,D,Steelcast Ord Shs,278.489259,303.526467,278.489259,283.456959,17397,0
2022-03-16,D,Steelcast Ord Shs,285.145977,290.958186,281.171817,283.904052,1606,0
2022-03-17,D,Steelcast Ord Shs,289.716261,290.163354,284.152437,287.58015,3297,0
2022-03-21,D,Steelcast Ord Shs,297.01878,297.01878,278.191197,295.0317,4588,0
2022-03-22,D,Steelcast Ord Shs,289.517553,303.029697,283.705344,299.900046,3847,0
2022-03-23,D,Steelcast Ord Shs,298.757475,302.781312,297.962643,301.936803,3325,0
2022-03-24,D,Steelcast Ord Shs,298.061997,303.029697,288.027243,298.459413,7426,0
2022-03-25,D,Steelcast Ord Shs,299.055537,304.023237,293.143974,298.856829,5667,0
2022-03-28,D,Steelcast Ord Shs,318.081827,327.818519,300.049077,303.029697,3502,0
2022-03-29,D,Steelcast Ord Shs,309.9348,320.665031,304.072914,306.755472,4910,0
2022-03-30,D,Steelcast Ord Shs,327.818519,331.842356,299.00586,319.721168,11533,0
2022-03-31,D,Steelcast Ord Shs,321.906956,352.060895,321.410186,346.149332,22146,0
2022-04-01,D,Steelcast Ord Shs,357.624719,366.566579,343.069358,350.918324,6931,0
2022-04-04,D,Steelcast Ord Shs,351.216386,370.193,337.704242,342.721619,7568,0
2022-04-05,D,Steelcast Ord Shs,357.624719,357.624719,339.840353,342.920327,7762,0
2022-04-06,D,Steelcast Ord Shs,345.652562,347.788673,339.840353,347.34158,5876,0
2022-04-07,D,Steelcast Ord Shs,350.272523,350.3222,337.853273,347.34158,37192,0
2022-04-08,D,Steelcast Ord Shs,340.784216,349.726076,340.784216,347.738996,5677,0
2022-04-11,D,Steelcast Ord Shs,347.738996,375.558116,347.738996,357.028595,9849,0
2022-04-12,D,Steelcast Ord Shs,364.082729,372.080726,348.980921,361.201463,3532,0
2022-04-13,D,Steelcast Ord Shs,358.618259,365.771747,348.782213,350.669939,5892,0
