Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-06-02,D,Sundaram Multi Pap Ord Shs,16.933316,17.483315,15.999983,16.833316,605511.631598,0
2010-06-03,D,Sundaram Multi Pap Ord Shs,16.749983,17.416648,16.666649,17.266649,197610.206124,0
2010-06-04,D,Sundaram Multi Pap Ord Shs,17.499982,17.499982,16.883316,17.166649,290736.303262,0
2010-06-07,D,Sundaram Multi Pap Ord Shs,16.499983,17.166649,16.499983,16.733316,92355.096334,0
2010-06-08,D,Sundaram Multi Pap Ord Shs,17.249982,17.249982,16.249983,16.433316,56775.059221,0
2010-06-09,D,Sundaram Multi Pap Ord Shs,16.666649,16.666649,15.91665,16.01665,883257.92131,0
2010-06-10,D,Sundaram Multi Pap Ord Shs,14.316652,16.833316,12.999986,16.599983,46200.04819,0
2010-06-11,D,Sundaram Multi Pap Ord Shs,17.066649,17.166649,16.699983,16.933316,49641.05178,0
2010-06-14,D,Sundaram Multi Pap Ord Shs,16.833316,16.999982,15.91665,16.333316,28629.029862,0
2010-06-15,D,Sundaram Multi Pap Ord Shs,16.699983,16.899982,16.099983,16.549983,26619.027766,0
2010-06-16,D,Sundaram Multi Pap Ord Shs,16.833316,16.833316,16.299983,16.36665,14358.014977,0
2010-06-17,D,Sundaram Multi Pap Ord Shs,16.249983,16.533316,16.099983,16.383316,11436.011929,0
2010-06-18,D,Sundaram Multi Pap Ord Shs,16.233316,16.433316,15.91665,16.049983,25419.026514,0
2010-06-21,D,Sundaram Multi Pap Ord Shs,16.599983,16.599983,15.999983,16.06665,90750.09466,0
2010-06-22,D,Sundaram Multi Pap Ord Shs,16.333316,16.433316,16.16665,16.233316,75855.079123,0
2010-06-23,D,Sundaram Multi Pap Ord Shs,16.666649,17.299982,15.849983,16.083317,140475.146527,0
2010-06-24,D,Sundaram Multi Pap Ord Shs,16.16665,16.566649,16.11665,16.383316,257505.268599,0
2010-06-25,D,Sundaram Multi Pap Ord Shs,16.666649,16.666649,16.249983,16.333316,127128.132605,0
2010-06-28,D,Sundaram Multi Pap Ord Shs,16.649983,16.666649,16.16665,16.433316,62553.065248,0
2010-06-29,D,Sundaram Multi Pap Ord Shs,16.599983,16.766649,16.333316,16.333316,183948.191873,0
2010-06-30,D,Sundaram Multi Pap Ord Shs,16.333316,16.633316,16.333316,16.349983,20409.021288,0
2010-07-01,D,Sundaram Multi Pap Ord Shs,16.333316,16.433316,16.299983,16.31665,8205.008558,0
2010-07-02,D,Sundaram Multi Pap Ord Shs,16.333316,16.499983,16.299983,16.333316,6858.007153,1
2010-07-05,D,Sundaram Multi Pap Ord Shs,16.099983,16.433316,16.06665,16.333316,12918.013475,0
2010-07-06,D,Sundaram Multi Pap Ord Shs,16.449983,16.449983,16.233316,16.283316,17133.017871,0
2010-07-07,D,Sundaram Multi Pap Ord Shs,16.249983,16.399983,16.083317,16.199983,195807.204243,0
2010-07-08,D,Sundaram Multi Pap Ord Shs,15.116651,17.983315,15.116651,16.049983,99609.1039,0
2010-07-09,D,Sundaram Multi Pap Ord Shs,16.999982,16.999982,16.099983,16.299983,130326.135941,0
2010-07-12,D,Sundaram Multi Pap Ord Shs,16.499983,16.666649,16.049983,16.299983,37284.03889,0
2010-07-13,D,Sundaram Multi Pap Ord Shs,16.649983,16.649983,16.16665,16.299983,23034.024026,0
2010-07-14,D,Sundaram Multi Pap Ord Shs,16.133317,16.449983,16.133317,16.233316,52797.055072,0
2010-07-15,D,Sundaram Multi Pap Ord Shs,16.16665,16.333316,16.033317,16.16665,20175.021044,1
2010-07-16,D,Sundaram Multi Pap Ord Shs,16.06665,16.399983,16.033317,16.149983,63567.066306,0
2010-07-19,D,Sundaram Multi Pap Ord Shs,16.41665,16.41665,16.099983,16.199983,20844.021742,0
2010-07-20,D,Sundaram Multi Pap Ord Shs,16.033317,16.483316,16.033317,16.149983,85980.089684,0
2010-07-21,D,Sundaram Multi Pap Ord Shs,16.299983,16.583316,16.133317,16.21665,88251.092053,0
2010-07-22,D,Sundaram Multi Pap Ord Shs,16.183316,16.41665,16.099983,16.31665,199122.207701,0
2010-07-23,D,Sundaram Multi Pap Ord Shs,16.466649,16.666649,15.883317,16.11665,530103.552941,0
