Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-23,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,39999.998808,1
1995-01-24,D,Sundram Fasteners Ord Shs,1.184904,1.184904,1.184904,1.184904,39999.998808,1
1995-02-17,D,Sundram Fasteners Ord Shs,1.110068,1.110068,1.110068,1.110068,39999.998808,1
1995-02-21,D,Sundram Fasteners Ord Shs,1.14125,1.147486,1.14125,1.14125,199999.99404,1
1995-02-23,D,Sundram Fasteners Ord Shs,1.153722,1.153722,1.153722,1.153722,39999.998808,1
1995-02-24,D,Sundram Fasteners Ord Shs,1.20985,1.20985,1.159959,1.159959,239999.992847,0
1995-02-28,D,Sundram Fasteners Ord Shs,1.197377,1.197377,1.173679,1.173679,79999.997616,0
1995-03-02,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,799999.976158,1
1995-03-03,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,79999.997616,1
1995-03-06,D,Sundram Fasteners Ord Shs,1.247268,1.247268,1.247268,1.247268,319999.990463,1
1995-03-07,D,Sundram Fasteners Ord Shs,1.234795,1.247268,1.234795,1.247268,199999.99404,0
1995-03-08,D,Sundram Fasteners Ord Shs,1.234795,1.234795,1.234795,1.234795,79999.997616,1
1995-03-09,D,Sundram Fasteners Ord Shs,1.274707,1.274707,1.272213,1.272213,559999.983311,0
1995-03-10,D,Sundram Fasteners Ord Shs,1.334576,1.334576,1.279696,1.279696,239999.992847,0
1995-03-13,D,Sundram Fasteners Ord Shs,1.272213,1.272213,1.272213,1.272213,79999.997616,1
1995-03-15,D,Sundram Fasteners Ord Shs,1.303395,1.303395,1.303395,1.303395,39999.998808,1
1995-03-24,D,Sundram Fasteners Ord Shs,1.222322,1.222322,1.222322,1.222322,79999.997616,1
1995-03-27,D,Sundram Fasteners Ord Shs,1.184904,1.234795,1.184904,1.234795,79999.997616,0
1995-03-28,D,Sundram Fasteners Ord Shs,1.247268,1.247268,1.247268,1.247268,79999.997616,1
1995-03-29,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,39999.998808,1
1995-04-03,D,Sundram Fasteners Ord Shs,1.197377,1.247268,1.197377,1.247268,159999.995232,0
1995-04-06,D,Sundram Fasteners Ord Shs,1.247268,1.297158,1.247268,1.297158,279999.991655,0
1995-04-07,D,Sundram Fasteners Ord Shs,1.371994,1.371994,1.371994,1.371994,119999.996424,1
1995-04-10,D,Sundram Fasteners Ord Shs,1.371994,1.371994,1.334576,1.334576,199999.99404,0
1995-04-12,D,Sundram Fasteners Ord Shs,1.378231,1.390703,1.378231,1.384467,399999.988079,0
1995-04-17,D,Sundram Fasteners Ord Shs,1.371994,1.371994,1.347049,1.347049,119999.996424,0
1995-04-18,D,Sundram Fasteners Ord Shs,1.343307,1.343307,1.340813,1.340813,159999.995232,0
1995-04-19,D,Sundram Fasteners Ord Shs,1.334576,1.334576,1.334576,1.334576,79999.997616,1
1995-04-20,D,Sundram Fasteners Ord Shs,1.334576,1.334576,1.334576,1.334576,39999.998808,1
1995-04-21,D,Sundram Fasteners Ord Shs,1.322104,1.322104,1.310878,1.310878,119999.996424,0
1995-04-24,D,Sundram Fasteners Ord Shs,1.303395,1.315867,1.303395,1.303395,199999.99404,1
1995-04-25,D,Sundram Fasteners Ord Shs,1.297158,1.297158,1.284686,1.297158,199999.99404,1
1995-04-27,D,Sundram Fasteners Ord Shs,1.297158,1.297158,1.265977,1.265977,199999.99404,0
1995-04-28,D,Sundram Fasteners Ord Shs,1.228559,1.247268,1.228559,1.247268,199999.99404,0
1995-05-02,D,Sundram Fasteners Ord Shs,1.197377,1.197377,1.197377,1.197377,119999.996424,1
1995-05-03,D,Sundram Fasteners Ord Shs,1.228559,1.234795,1.228559,1.234795,279999.991655,0
1995-05-04,D,Sundram Fasteners Ord Shs,1.25974,1.25974,1.234795,1.234795,79999.997616,0
1995-05-05,D,Sundram Fasteners Ord Shs,1.297158,1.297158,1.297158,1.297158,39999.998808,1
1995-05-08,D,Sundram Fasteners Ord Shs,1.248515,1.248515,1.248515,1.248515,79999.997616,1
1995-05-09,D,Sundram Fasteners Ord Shs,1.272213,1.272213,1.272213,1.272213,79999.997616,1
1995-05-10,D,Sundram Fasteners Ord Shs,1.278449,1.290922,1.278449,1.284686,119999.996424,0
1995-05-12,D,Sundram Fasteners Ord Shs,1.272213,1.278449,1.272213,1.278449,119999.996424,0
1995-05-15,D,Sundram Fasteners Ord Shs,1.340813,1.340813,1.315867,1.315867,119999.996424,0
1995-05-17,D,Sundram Fasteners Ord Shs,1.284686,1.340813,1.284686,1.340813,119999.996424,0
1995-05-18,D,Sundram Fasteners Ord Shs,1.340813,1.340813,1.322104,1.322104,79999.997616,0
1995-05-19,D,Sundram Fasteners Ord Shs,1.39694,1.39694,1.390703,1.390703,119999.996424,0
1995-05-22,D,Sundram Fasteners Ord Shs,1.309631,1.340813,1.309631,1.340813,79999.997616,0
1995-05-23,D,Sundram Fasteners Ord Shs,1.347049,1.347049,1.347049,1.347049,79999.997616,1
1995-05-24,D,Sundram Fasteners Ord Shs,1.340813,1.340813,1.272213,1.272213,119999.996424,0
1995-05-25,D,Sundram Fasteners Ord Shs,1.147486,1.309631,1.147486,1.309631,719999.978542,0
1995-05-26,D,Sundram Fasteners Ord Shs,1.370747,1.370747,1.25974,1.25974,159999.995232,0
1995-05-29,D,Sundram Fasteners Ord Shs,1.278449,1.279696,1.265977,1.278449,559999.983311,1
1995-05-30,D,Sundram Fasteners Ord Shs,1.247268,1.247268,1.20985,1.20985,119999.996424,0
1995-05-31,D,Sundram Fasteners Ord Shs,1.20985,1.20985,1.20985,1.20985,79999.997616,1
1995-06-01,D,Sundram Fasteners Ord Shs,1.234795,1.247268,1.234795,1.234795,159999.995232,1
1995-06-02,D,Sundram Fasteners Ord Shs,1.278449,1.309631,1.234795,1.234795,159999.995232,0
1995-06-05,D,Sundram Fasteners Ord Shs,1.222322,1.222322,1.222322,1.222322,39999.998808,1
1995-06-06,D,Sundram Fasteners Ord Shs,1.272213,1.272213,1.247268,1.247268,79999.997616,0
1995-06-07,D,Sundram Fasteners Ord Shs,1.247268,1.309631,1.247268,1.247268,159999.995232,1
1995-06-08,D,Sundram Fasteners Ord Shs,1.216086,1.24602,1.216086,1.219204,159999.995232,0
1995-06-09,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,79999.997616,1
1995-06-12,D,Sundram Fasteners Ord Shs,1.219828,1.219828,1.219828,1.219828,39999.998808,1
1995-06-14,D,Sundram Fasteners Ord Shs,1.172431,1.203613,1.172431,1.197439,319999.990463,0
1995-06-15,D,Sundram Fasteners Ord Shs,1.184904,1.216086,1.176173,1.184904,799999.976158,1
1995-06-19,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,39999.998808,1
1995-06-20,D,Sundram Fasteners Ord Shs,1.216086,1.278449,1.216086,1.269095,359999.989271,0
1995-06-21,D,Sundram Fasteners Ord Shs,1.272213,1.340813,1.272213,1.279696,239999.992847,0
1995-06-22,D,Sundram Fasteners Ord Shs,1.272213,1.278449,1.25974,1.25974,119999.996424,0
1995-06-26,D,Sundram Fasteners Ord Shs,1.24733,1.24733,1.24733,1.24733,39999.998808,1
1995-06-27,D,Sundram Fasteners Ord Shs,1.253504,1.278449,1.253504,1.253504,399999.988079,1
1995-06-29,D,Sundram Fasteners Ord Shs,1.234795,1.234795,1.234795,1.234795,39999.998808,1
1995-06-30,D,Sundram Fasteners Ord Shs,1.277202,1.277202,1.277202,1.277202,39999.998808,1
1995-07-03,D,Sundram Fasteners Ord Shs,1.234795,1.234795,1.234795,1.234795,39999.998808,1
1995-07-04,D,Sundram Fasteners Ord Shs,1.234795,1.241031,1.233548,1.235606,359999.989271,0
1995-07-06,D,Sundram Fasteners Ord Shs,1.247268,1.247268,1.222322,1.237289,639999.980927,0
1995-07-07,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,79999.997616,1
1995-07-10,D,Sundram Fasteners Ord Shs,1.216086,1.216086,1.216086,1.216086,159999.995232,1
1995-07-11,D,Sundram Fasteners Ord Shs,1.20985,1.20985,1.20985,1.20985,39999.998808,1
1995-07-12,D,Sundram Fasteners Ord Shs,1.222322,1.222322,1.216086,1.216086,119999.996424,0
1995-07-13,D,Sundram Fasteners Ord Shs,1.222322,1.222322,1.222322,1.222322,39999.998808,1
1995-07-14,D,Sundram Fasteners Ord Shs,1.247268,1.309631,1.247268,1.309631,11319999.662638,0
1995-07-17,D,Sundram Fasteners Ord Shs,1.228559,1.228559,1.228559,1.228559,39999.998808,1
1995-07-18,D,Sundram Fasteners Ord Shs,1.278449,1.278449,1.253504,1.253504,159999.995232,0
1995-07-20,D,Sundram Fasteners Ord Shs,1.309631,1.309631,1.309631,1.309631,39999.998808,1
1995-07-21,D,Sundram Fasteners Ord Shs,1.228559,1.228559,1.228559,1.228559,39999.998808,1
1995-07-25,D,Sundram Fasteners Ord Shs,1.184904,1.184904,1.184904,1.184904,39999.998808,1
1995-07-26,D,Sundram Fasteners Ord Shs,1.253504,1.253504,1.253504,1.253504,39999.998808,1
1995-07-27,D,Sundram Fasteners Ord Shs,1.244773,1.244773,1.212344,1.222322,119999.996424,0
1995-07-31,D,Sundram Fasteners Ord Shs,1.222322,1.222322,1.222322,1.222322,79999.997616,1
1995-08-01,D,Sundram Fasteners Ord Shs,1.222322,1.241031,1.222322,1.2323,119999.996424,0
1995-08-02,D,Sundram Fasteners Ord Shs,1.247268,1.247268,1.247268,1.247268,79999.997616,1
1995-08-04,D,Sundram Fasteners Ord Shs,1.228559,1.241031,1.228559,1.241031,159999.995232,0
1995-08-07,D,Sundram Fasteners Ord Shs,1.234795,1.234795,1.234795,1.234795,39999.998808,1
