Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-15,D,Sunflag Iron and Steel Co Ord Shs,9.0,9.0,8.5,9.0,600,1
1995-05-16,D,Sunflag Iron and Steel Co Ord Shs,9.0,9.7,9.0,9.7,1200,0
1995-05-17,D,Sunflag Iron and Steel Co Ord Shs,9.25,9.8,9.25,9.8,400,0
1995-05-18,D,Sunflag Iron and Steel Co Ord Shs,10.0,10.0,9.5,9.8,1000,0
1995-05-19,D,Sunflag Iron and Steel Co Ord Shs,9.75,9.9,9.75,9.85,3000,0
1995-05-22,D,Sunflag Iron and Steel Co Ord Shs,9.5,9.7,9.5,9.7,2000,0
1995-05-23,D,Sunflag Iron and Steel Co Ord Shs,9.8,9.9,9.8,9.9,1000,0
1995-05-24,D,Sunflag Iron and Steel Co Ord Shs,9.5,9.5,9.0,9.0,1000,0
1995-05-25,D,Sunflag Iron and Steel Co Ord Shs,9.1,9.75,9.1,9.5,1900,0
1995-05-26,D,Sunflag Iron and Steel Co Ord Shs,9.6,9.6,9.25,9.25,1400,0
1995-05-29,D,Sunflag Iron and Steel Co Ord Shs,9.5,9.75,9.3,9.75,2000,0
1995-05-30,D,Sunflag Iron and Steel Co Ord Shs,10.0,10.15,9.55,10.0,2600,1
1995-05-31,D,Sunflag Iron and Steel Co Ord Shs,9.45,10.05,9.45,10.05,2300,0
1995-06-01,D,Sunflag Iron and Steel Co Ord Shs,10.0,10.0,10.0,10.0,500,1
1995-06-02,D,Sunflag Iron and Steel Co Ord Shs,9.75,10.5,9.75,10.5,1800,0
1995-06-05,D,Sunflag Iron and Steel Co Ord Shs,10.15,10.3,10.0,10.3,1300,0
1995-06-06,D,Sunflag Iron and Steel Co Ord Shs,10.3,10.3,9.5,9.5,1900,0
1995-06-07,D,Sunflag Iron and Steel Co Ord Shs,9.5,9.7,9.0,9.0,2400,0
1995-06-08,D,Sunflag Iron and Steel Co Ord Shs,9.0,9.25,9.0,9.25,500,0
1995-06-09,D,Sunflag Iron and Steel Co Ord Shs,9.0,9.25,9.0,9.25,12700,0
1995-06-12,D,Sunflag Iron and Steel Co Ord Shs,9.2,9.2,9.0,9.1,5500,0
1995-06-13,D,Sunflag Iron and Steel Co Ord Shs,8.25,9.3,8.25,9.25,900,0
1995-06-14,D,Sunflag Iron and Steel Co Ord Shs,9.0,9.1,9.0,9.1,1400,0
1995-06-15,D,Sunflag Iron and Steel Co Ord Shs,9.0,9.3,9.0,9.25,1200,0
