Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2009-11-13,D,Sunteck Realty Ord Shs,261.45,267.4,256.35,258.175,308080,0
2009-11-16,D,Sunteck Realty Ord Shs,258.5,270.475,258.5,264.925,391138,0
2009-11-17,D,Sunteck Realty Ord Shs,269.75,274.475,260.0,260.6,341594,0
2009-11-18,D,Sunteck Realty Ord Shs,271.35,274.25,258.5,262.2,315010,0
2009-11-19,D,Sunteck Realty Ord Shs,265.0,269.5,257.625,259.775,264678,0
2009-11-20,D,Sunteck Realty Ord Shs,262.5,269.75,260.475,264.15,261730,0
2009-11-23,D,Sunteck Realty Ord Shs,264.5,276.0,264.5,273.425,324582,0
2009-11-24,D,Sunteck Realty Ord Shs,276.35,286.5,276.35,285.2,320950,0
2009-11-25,D,Sunteck Realty Ord Shs,287.5,294.5,285.0,287.65,248458,0
2009-11-26,D,Sunteck Realty Ord Shs,285.0,285.9,280.2,283.625,198406,0
2009-11-27,D,Sunteck Realty Ord Shs,284.8,284.8,270.05,279.125,195916,0
2009-11-30,D,Sunteck Realty Ord Shs,279.0,280.0,272.625,279.625,183668,0
2009-12-01,D,Sunteck Realty Ord Shs,279.75,291.0,279.2,285.35,210514,0
2009-12-02,D,Sunteck Realty Ord Shs,287.5,289.5,282.5,284.3,159606,0
2009-12-03,D,Sunteck Realty Ord Shs,284.5,288.5,283.25,285.275,164748,0
2009-12-04,D,Sunteck Realty Ord Shs,285.525,285.525,255.0,266.875,494062,0
2009-12-07,D,Sunteck Realty Ord Shs,267.0,271.45,264.5,264.95,379628,0
2009-12-08,D,Sunteck Realty Ord Shs,269.0,271.5,264.5,265.075,152738,0
2009-12-09,D,Sunteck Realty Ord Shs,266.5,267.5,263.0,264.9,181834,0
2009-12-10,D,Sunteck Realty Ord Shs,265.75,266.0,261.75,263.5,186020,0
2009-12-11,D,Sunteck Realty Ord Shs,265.175,269.425,262.45,263.25,124704,0
2009-12-14,D,Sunteck Realty Ord Shs,264.6,265.0,252.5,254.325,134084,0
2009-12-15,D,Sunteck Realty Ord Shs,254.5,256.675,251.5,253.475,132316,0
2009-12-16,D,Sunteck Realty Ord Shs,258.5,258.5,244.05,245.475,130850,0
2009-12-17,D,Sunteck Realty Ord Shs,249.875,249.875,244.325,245.35,109072,0
2009-12-18,D,Sunteck Realty Ord Shs,246.5,248.5,245.0,245.625,132422,0
2009-12-21,D,Sunteck Realty Ord Shs,245.75,246.3,244.375,245.0,178572,0
2009-12-22,D,Sunteck Realty Ord Shs,244.0,247.9,240.3,241.675,96368,0
2009-12-23,D,Sunteck Realty Ord Shs,245.0,254.75,242.25,250.975,106720,0
2009-12-24,D,Sunteck Realty Ord Shs,252.275,267.175,251.025,259.875,108960,0
2009-12-29,D,Sunteck Realty Ord Shs,257.625,276.0,253.025,270.45,143266,0
2009-12-30,D,Sunteck Realty Ord Shs,272.5,275.5,264.25,270.35,180228,0
2009-12-31,D,Sunteck Realty Ord Shs,273.75,322.0,265.0,291.825,239170,0
2010-01-04,D,Sunteck Realty Ord Shs,292.0,306.925,267.65,274.5,100466,0
2010-01-05,D,Sunteck Realty Ord Shs,275.5,280.0,257.5,258.675,107802,0
2010-01-06,D,Sunteck Realty Ord Shs,261.975,268.0,254.5,260.225,107798,0
2010-01-07,D,Sunteck Realty Ord Shs,261.0,267.0,259.275,261.6,97878,0
2010-01-08,D,Sunteck Realty Ord Shs,264.95,271.375,259.175,263.9,97760,0
2010-01-11,D,Sunteck Realty Ord Shs,265.775,279.0,260.775,264.05,110128,0
2010-01-12,D,Sunteck Realty Ord Shs,265.0,267.4,258.2,259.975,91650,0
2010-01-13,D,Sunteck Realty Ord Shs,264.0,264.0,250.05,258.8,109770,0
2010-01-14,D,Sunteck Realty Ord Shs,264.9,264.9,255.0,255.6,119358,0
2010-01-15,D,Sunteck Realty Ord Shs,257.5,262.5,255.025,256.225,95496,0
2010-01-18,D,Sunteck Realty Ord Shs,257.0,271.7,256.0,267.5,123630,0
2010-01-19,D,Sunteck Realty Ord Shs,271.0,278.0,262.35,262.95,165508,0
2010-01-20,D,Sunteck Realty Ord Shs,269.5,273.4,262.5,264.85,110648,0
2010-01-21,D,Sunteck Realty Ord Shs,264.0,266.45,254.0,255.15,120042,0
2010-01-22,D,Sunteck Realty Ord Shs,255.0,259.0,250.225,255.525,114640,0
2010-01-25,D,Sunteck Realty Ord Shs,255.5,271.5,254.5,265.25,105390,0
2010-01-27,D,Sunteck Realty Ord Shs,269.5,269.5,245.15,254.7,106794,0
2010-01-28,D,Sunteck Realty Ord Shs,260.0,260.975,245.025,247.375,100578,0
2010-01-29,D,Sunteck Realty Ord Shs,246.5,256.225,245.35,252.975,102372,0
2010-02-01,D,Sunteck Realty Ord Shs,255.225,259.4,247.475,249.05,89452,0
