Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-12-14,D,Sutlej Textiles And Industries Ord Shs,13.33334,20.333343,13.33334,17.036675,14080313.07617,0
2006-12-15,D,Sutlej Textiles And Industries Ord Shs,17.133342,17.466675,16.200008,16.376675,5413827.337814,0
2006-12-18,D,Sutlej Textiles And Industries Ord Shs,16.200008,16.400008,15.066674,15.306674,1030859.493087,0
2006-12-19,D,Sutlej Textiles And Industries Ord Shs,15.000007,15.600008,14.800007,15.040007,803924.604679,0
2006-12-20,D,Sutlej Textiles And Industries Ord Shs,15.186674,15.400008,14.000007,14.510007,200804.901257,0
2006-12-21,D,Sutlej Textiles And Industries Ord Shs,14.000007,15.050007,14.000007,14.490007,122114.939951,0
2006-12-22,D,Sutlej Textiles And Industries Ord Shs,14.466674,14.600007,14.066674,14.210007,101489.950094,0
2006-12-26,D,Sutlej Textiles And Industries Ord Shs,13.670007,14.786674,13.666673,14.580007,165719.918509,0
2006-12-27,D,Sutlej Textiles And Industries Ord Shs,14.603341,15.600008,14.550007,15.396674,358454.823734,0
2006-12-28,D,Sutlej Textiles And Industries Ord Shs,15.400008,15.933341,14.836674,15.336674,278294.863152,0
2006-12-29,D,Sutlej Textiles And Industries Ord Shs,15.466674,15.866674,15.333341,15.460008,91004.955249,0
2007-01-02,D,Sutlej Textiles And Industries Ord Shs,15.333341,18.553342,15.333341,17.930009,3169918.44123,0
2007-01-03,D,Sutlej Textiles And Industries Ord Shs,18.000009,18.333342,15.616674,16.823342,1160984.429099,0
2007-01-04,D,Sutlej Textiles And Industries Ord Shs,17.246675,17.246675,16.266675,16.493341,360779.822591,0
2007-01-05,D,Sutlej Textiles And Industries Ord Shs,16.533341,16.693342,16.176675,16.226675,160649.921002,0
2007-01-08,D,Sutlej Textiles And Industries Ord Shs,16.000008,16.133341,15.766674,15.886674,103469.94912,0
2007-01-09,D,Sutlej Textiles And Industries Ord Shs,15.673341,16.066675,15.600008,15.613341,108419.946686,0
2007-01-10,D,Sutlej Textiles And Industries Ord Shs,15.666674,15.866674,15.270008,15.323341,56204.972362,0
2007-01-11,D,Sutlej Textiles And Industries Ord Shs,15.606674,15.666674,15.333341,15.606674,43694.978514,1
2007-01-12,D,Sutlej Textiles And Industries Ord Shs,15.600008,15.733341,15.466674,15.526674,43394.978661,0
2007-01-15,D,Sutlej Textiles And Industries Ord Shs,15.333341,15.666674,15.333341,15.466674,30149.985174,0
2007-01-16,D,Sutlej Textiles And Industries Ord Shs,15.800008,15.866674,15.506674,15.693341,59609.970687,0
2007-01-17,D,Sutlej Textiles And Industries Ord Shs,15.800008,16.473341,15.800008,15.896674,125054.938506,0
2007-01-18,D,Sutlej Textiles And Industries Ord Shs,16.333341,16.333341,15.560008,15.610008,198734.902274,0
2007-01-19,D,Sutlej Textiles And Industries Ord Shs,15.746674,15.866674,15.146674,15.526674,85994.957713,0
2007-01-22,D,Sutlej Textiles And Industries Ord Shs,15.996675,15.996675,15.470008,15.473341,31184.984665,0
2007-01-23,D,Sutlej Textiles And Industries Ord Shs,15.616674,15.616674,15.133341,15.146674,32444.984046,0
