Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-06-04,D,Suumaya Industries Ord Shs,9.0,9.0,8.8,8.925,2592000,0
2018-06-05,D,Suumaya Industries Ord Shs,9.0,9.0,8.95,8.975,3088000,0
2018-06-06,D,Suumaya Industries Ord Shs,8.95,8.95,8.85,8.9,2960000,0
2018-06-07,D,Suumaya Industries Ord Shs,8.925,9.125,8.875,8.9,1792000,0
2018-06-08,D,Suumaya Industries Ord Shs,9.025,9.025,8.85,8.85,416000,0
2018-06-11,D,Suumaya Industries Ord Shs,8.925,8.925,8.8,8.85,1008000,0
2018-06-12,D,Suumaya Industries Ord Shs,8.95,8.95,8.85,8.9,560000,0
2018-06-13,D,Suumaya Industries Ord Shs,8.8,8.85,8.75,8.75,96000,0
2018-06-14,D,Suumaya Industries Ord Shs,9.1,9.175,9.1,9.175,320000,0
2018-06-15,D,Suumaya Industries Ord Shs,9.3,9.3,9.25,9.25,128000,0
2018-06-18,D,Suumaya Industries Ord Shs,9.15,9.225,9.1,9.2,1632000,0
2018-06-19,D,Suumaya Industries Ord Shs,9.1,9.25,9.1,9.25,320000,0
2018-06-20,D,Suumaya Industries Ord Shs,9.225,9.225,9.0,9.0,1056000,0
2018-06-21,D,Suumaya Industries Ord Shs,9.25,9.25,9.25,9.25,16000,1
2018-06-22,D,Suumaya Industries Ord Shs,9.375,9.375,9.35,9.35,48000,0
2018-06-26,D,Suumaya Industries Ord Shs,9.25,9.3,9.25,9.3,384000,0
2018-06-27,D,Suumaya Industries Ord Shs,9.1,9.1,9.1,9.1,16000,1
2018-06-28,D,Suumaya Industries Ord Shs,9.0,9.2,9.0,9.0,128000,1
2018-06-29,D,Suumaya Industries Ord Shs,9.2,9.2,9.2,9.2,32000,1
2018-07-02,D,Suumaya Industries Ord Shs,9.15,9.175,9.0,9.0,288000,0
2018-07-03,D,Suumaya Industries Ord Shs,9.15,9.175,9.15,9.15,608000,1
2018-07-04,D,Suumaya Industries Ord Shs,9.15,9.15,9.15,9.15,448000,1
2018-07-05,D,Suumaya Industries Ord Shs,9.175,9.175,9.175,9.175,16000,1
2018-07-09,D,Suumaya Industries Ord Shs,9.175,9.175,9.175,9.175,16000,1
2018-07-10,D,Suumaya Industries Ord Shs,9.15,9.175,9.05,9.05,416000,0
2018-07-11,D,Suumaya Industries Ord Shs,9.05,9.175,9.0,9.15,800000,0
2018-07-12,D,Suumaya Industries Ord Shs,9.0,10.35,9.0,9.75,1088000,0
2018-07-13,D,Suumaya Industries Ord Shs,10.175,11.7,9.5,11.075,224000,0
2018-07-16,D,Suumaya Industries Ord Shs,10.5,13.075,10.5,12.525,128000,0
2018-07-17,D,Suumaya Industries Ord Shs,14.625,14.675,14.625,14.65,80000,0
2018-07-18,D,Suumaya Industries Ord Shs,14.0,14.875,14.0,14.875,224000,0
2018-07-19,D,Suumaya Industries Ord Shs,14.25,15.0,14.25,15.0,32000,0
2018-07-20,D,Suumaya Industries Ord Shs,14.5,14.5,14.375,14.375,480000,0
2018-07-23,D,Suumaya Industries Ord Shs,14.5,14.875,14.5,14.625,752000,0
2018-07-24,D,Suumaya Industries Ord Shs,15.0,15.0,15.0,15.0,16000,1
2018-07-25,D,Suumaya Industries Ord Shs,14.45,15.5,14.375,14.725,704000,0
2018-07-26,D,Suumaya Industries Ord Shs,14.65,15.5,14.65,15.125,336000,0
2018-07-27,D,Suumaya Industries Ord Shs,15.25,15.5,14.7,15.5,336000,0
2018-07-30,D,Suumaya Industries Ord Shs,15.25,15.375,15.225,15.325,368000,0
2018-08-01,D,Suumaya Industries Ord Shs,15.375,15.425,15.375,15.4,256000,0
2018-08-03,D,Suumaya Industries Ord Shs,15.375,15.4,15.35,15.4,336000,0
2018-08-06,D,Suumaya Industries Ord Shs,15.375,15.45,15.375,15.45,336000,0
2018-08-07,D,Suumaya Industries Ord Shs,14.525,16.5,14.525,16.4,224000,0
2018-08-17,D,Suumaya Industries Ord Shs,16.375,16.5,16.375,16.425,128000,0
2018-08-21,D,Suumaya Industries Ord Shs,15.05,15.05,15.05,15.05,16000,1
2018-08-24,D,Suumaya Industries Ord Shs,14.125,16.0,14.0,16.0,128000,0
2018-08-29,D,Suumaya Industries Ord Shs,15.45,15.45,15.4,15.45,320000,1
2018-08-30,D,Suumaya Industries Ord Shs,15.25,15.25,15.25,15.25,160000,1
2018-09-03,D,Suumaya Industries Ord Shs,14.25,15.5,14.0,15.5,96000,0
2018-09-04,D,Suumaya Industries Ord Shs,15.3,15.3,15.3,15.3,240000,1
2018-09-05,D,Suumaya Industries Ord Shs,16.0,16.0,16.0,16.0,208000,1
2018-09-07,D,Suumaya Industries Ord Shs,15.25,15.925,15.025,15.8,384000,0
2018-09-10,D,Suumaya Industries Ord Shs,15.2,15.75,15.2,15.75,352000,0
2018-09-11,D,Suumaya Industries Ord Shs,15.0,15.0,14.75,14.75,64000,0
2018-09-12,D,Suumaya Industries Ord Shs,15.5,15.5,15.0,15.25,48000,0
2018-09-14,D,Suumaya Industries Ord Shs,15.0,15.45,14.95,14.95,48000,0
2018-09-17,D,Suumaya Industries Ord Shs,14.75,15.25,14.625,14.825,800000,0
2018-09-19,D,Suumaya Industries Ord Shs,14.5,14.5,14.5,14.5,16000,1
2018-09-21,D,Suumaya Industries Ord Shs,14.25,14.25,14.25,14.25,16000,1
2018-09-24,D,Suumaya Industries Ord Shs,14.05,14.05,14.05,14.05,16000,1
2018-09-26,D,Suumaya Industries Ord Shs,14.0,14.5,14.0,14.5,32000,0
2018-09-27,D,Suumaya Industries Ord Shs,15.5,16.5,15.5,16.0,48000,0
2018-09-28,D,Suumaya Industries Ord Shs,15.0,16.45,15.0,16.45,176000,0
2018-10-01,D,Suumaya Industries Ord Shs,15.0,15.0,15.0,15.0,16000,1
2018-10-03,D,Suumaya Industries Ord Shs,14.0,15.0,12.625,15.0,288000,0
2018-10-05,D,Suumaya Industries Ord Shs,12.0,14.75,12.0,13.8,176000,0
2018-10-08,D,Suumaya Industries Ord Shs,12.875,15.0,12.875,14.75,48000,0
2018-10-09,D,Suumaya Industries Ord Shs,11.85,15.5,11.8,14.2,80000,0
2018-10-10,D,Suumaya Industries Ord Shs,11.5,13.45,11.375,12.075,96000,0
2018-10-11,D,Suumaya Industries Ord Shs,13.5,14.0,11.0,13.5,64000,1
2018-10-12,D,Suumaya Industries Ord Shs,11.6,13.0,11.0,12.75,320000,0
2018-10-16,D,Suumaya Industries Ord Shs,12.75,13.5,11.0,11.55,992000,0
2018-10-17,D,Suumaya Industries Ord Shs,10.0,12.0,10.0,11.925,336000,0
2018-10-22,D,Suumaya Industries Ord Shs,12.75,12.75,12.75,12.75,16000,1
2018-10-23,D,Suumaya Industries Ord Shs,10.2,10.2,10.2,10.2,80000,1
2018-10-24,D,Suumaya Industries Ord Shs,10.5,11.25,10.5,11.15,112000,0
2018-10-25,D,Suumaya Industries Ord Shs,11.85,11.85,11.85,11.85,16000,1
2018-10-26,D,Suumaya Industries Ord Shs,10.5,11.75,10.5,11.75,48000,0
2018-10-29,D,Suumaya Industries Ord Shs,13.0,13.0,13.0,13.0,32000,1
2018-10-30,D,Suumaya Industries Ord Shs,10.5,13.1,10.5,12.775,64000,0
2018-10-31,D,Suumaya Industries Ord Shs,11.0,12.125,11.0,12.125,32000,0
2018-11-01,D,Suumaya Industries Ord Shs,12.45,12.45,11.0,11.725,64000,0
2018-11-02,D,Suumaya Industries Ord Shs,10.525,13.5,10.0,12.35,144000,0
2018-11-05,D,Suumaya Industries Ord Shs,11.5,12.25,11.5,12.25,48000,0
2018-11-06,D,Suumaya Industries Ord Shs,12.475,13.95,12.475,13.95,32000,0
2018-11-07,D,Suumaya Industries Ord Shs,13.0,13.0,13.0,13.0,32000,1
2018-11-12,D,Suumaya Industries Ord Shs,14.25,14.35,14.25,14.3,96000,0
2018-11-13,D,Suumaya Industries Ord Shs,13.5,13.5,13.5,13.5,16000,1
2018-11-16,D,Suumaya Industries Ord Shs,13.5,13.5,13.5,13.5,16000,1
2018-11-21,D,Suumaya Industries Ord Shs,13.55,13.55,13.55,13.55,144000,1
2018-11-27,D,Suumaya Industries Ord Shs,13.0,13.5,13.0,13.5,32000,0
2018-11-29,D,Suumaya Industries Ord Shs,13.25,13.3,13.2,13.225,1152000,0
2018-11-30,D,Suumaya Industries Ord Shs,13.25,13.35,13.2,13.25,704000,1
2018-12-12,D,Suumaya Industries Ord Shs,12.5,12.5,12.5,12.5,16000,1
2018-12-18,D,Suumaya Industries Ord Shs,12.625,12.625,12.625,12.625,48000,1
2018-12-26,D,Suumaya Industries Ord Shs,12.95,13.0,12.0,12.0,320000,0
2018-12-27,D,Suumaya Industries Ord Shs,12.5,12.5,12.5,12.5,16000,1
2018-12-28,D,Suumaya Industries Ord Shs,12.75,12.75,12.75,12.75,16000,1
2018-12-31,D,Suumaya Industries Ord Shs,13.0,13.0,13.0,13.0,16000,1
2019-01-01,D,Suumaya Industries Ord Shs,13.0,15.25,13.0,13.325,704000,0
2019-01-02,D,Suumaya Industries Ord Shs,14.25,14.25,14.25,14.25,112000,1
2019-01-03,D,Suumaya Industries Ord Shs,12.5,12.5,12.5,12.5,16000,1
2019-01-07,D,Suumaya Industries Ord Shs,12.5,14.0,12.5,14.0,64000,0
2019-01-08,D,Suumaya Industries Ord Shs,14.125,14.125,13.0,13.5,48000,0
2019-01-09,D,Suumaya Industries Ord Shs,13.475,13.5,13.475,13.5,32000,0
2019-01-10,D,Suumaya Industries Ord Shs,13.0,13.875,13.0,13.875,32000,0
2019-01-14,D,Suumaya Industries Ord Shs,13.0,13.375,12.625,13.375,128000,0
2019-01-16,D,Suumaya Industries Ord Shs,13.5,13.75,13.5,13.675,64000,0
2019-01-18,D,Suumaya Industries Ord Shs,12.5,12.5,12.5,12.5,16000,1
2019-01-22,D,Suumaya Industries Ord Shs,13.0,13.0,13.0,13.0,16000,1
2019-01-24,D,Suumaya Industries Ord Shs,13.0,13.0,13.0,13.0,400000,1
2019-01-25,D,Suumaya Industries Ord Shs,11.05,11.25,11.05,11.15,288000,0
