Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2020-12-18,D,Tarc Ord Shs,21.0,22.05,20.05,22.05,1382377,0
2020-12-21,D,Tarc Ord Shs,23.15,23.15,20.95,22.55,1051432,0
2020-12-22,D,Tarc Ord Shs,21.45,23.0,21.45,22.2,309977,0
2020-12-23,D,Tarc Ord Shs,22.6,22.7,21.1,21.1,475518,0
2020-12-24,D,Tarc Ord Shs,21.0,21.95,20.05,20.05,310078,0
2020-12-28,D,Tarc Ord Shs,19.5,21.05,19.05,20.8,786619,0
2020-12-29,D,Tarc Ord Shs,21.5,21.8,21.05,21.55,646536,0
2020-12-30,D,Tarc Ord Shs,21.15,22.0,20.65,21.6,221310,0
2020-12-31,D,Tarc Ord Shs,22.15,22.65,21.75,22.65,411092,0
2021-01-01,D,Tarc Ord Shs,23.75,23.75,23.75,23.75,138373,1
2021-01-04,D,Tarc Ord Shs,24.75,27.9,22.05,24.55,1006290,0
2021-01-05,D,Tarc Ord Shs,24.05,25.9,22.95,24.75,441530,0
2021-01-06,D,Tarc Ord Shs,24.75,25.8,23.5,24.05,331567,0
2021-01-07,D,Tarc Ord Shs,23.7,26.75,22.7,24.3,1223560,0
2021-01-08,D,Tarc Ord Shs,24.5,25.0,24.0,24.05,269593,0
2021-01-11,D,Tarc Ord Shs,23.9,25.4,23.5,24.2,668081,0
2021-01-12,D,Tarc Ord Shs,24.25,27.25,24.05,25.95,921865,0
2021-01-13,D,Tarc Ord Shs,26.55,27.25,24.5,25.05,702893,0
2021-01-14,D,Tarc Ord Shs,25.0,27.5,24.5,26.65,704592,0
2021-01-15,D,Tarc Ord Shs,26.65,27.5,25.75,26.6,499591,0
2021-01-18,D,Tarc Ord Shs,27.8,28.7,26.05,26.85,592549,0
2021-01-19,D,Tarc Ord Shs,26.95,27.85,24.85,26.5,1166959,0
2021-01-20,D,Tarc Ord Shs,26.5,27.25,26.15,27.0,696359,0
2021-01-21,D,Tarc Ord Shs,26.9,27.3,25.5,25.65,718634,0
2021-01-22,D,Tarc Ord Shs,25.65,25.9,24.5,25.0,506000,0
2021-01-25,D,Tarc Ord Shs,25.75,25.8,23.75,24.1,563012,0
2021-01-27,D,Tarc Ord Shs,24.15,25.4,23.1,23.75,346699,0
2021-01-28,D,Tarc Ord Shs,23.95,23.95,20.7,22.75,1301371,0
2021-01-29,D,Tarc Ord Shs,23.1,23.95,22.1,22.8,687349,0
2021-02-01,D,Tarc Ord Shs,23.0,23.0,21.3,22.45,577651,0
2021-02-02,D,Tarc Ord Shs,22.2,22.75,21.25,21.9,529390,0
2021-02-03,D,Tarc Ord Shs,22.0,22.0,21.05,21.25,453896,0
2021-02-04,D,Tarc Ord Shs,21.5,21.95,21.3,21.7,491620,0
2021-02-05,D,Tarc Ord Shs,21.85,23.0,21.7,22.85,909016,0
2021-02-08,D,Tarc Ord Shs,23.65,27.0,23.3,25.8,2722000,0
2021-02-09,D,Tarc Ord Shs,26.1,27.5,25.45,25.8,1345767,0
2021-02-10,D,Tarc Ord Shs,26.1,26.5,25.05,25.6,424032,0
2021-02-11,D,Tarc Ord Shs,25.2,26.35,25.1,25.85,410967,0
2021-02-12,D,Tarc Ord Shs,26.1,29.9,25.9,29.3,2075053,0
2021-02-15,D,Tarc Ord Shs,29.85,34.95,29.3,32.15,3348965,0
2021-02-16,D,Tarc Ord Shs,32.9,34.3,29.9,30.15,916911,0
2021-02-17,D,Tarc Ord Shs,30.55,31.5,29.1,30.15,504180,0
2021-02-18,D,Tarc Ord Shs,30.8,32.0,30.0,31.6,499524,0
2021-02-19,D,Tarc Ord Shs,32.25,34.4,31.4,33.05,1757536,0
2021-02-22,D,Tarc Ord Shs,34.0,35.8,33.75,34.25,1623091,0
2021-02-23,D,Tarc Ord Shs,36.45,36.45,33.95,34.5,1092410,0
2021-02-24,D,Tarc Ord Shs,35.25,35.25,33.2,33.65,545242,0
2021-02-25,D,Tarc Ord Shs,34.0,34.4,33.25,33.85,656120,0
2021-02-26,D,Tarc Ord Shs,33.5,33.75,31.05,33.3,643967,0
2021-03-01,D,Tarc Ord Shs,33.5,34.9,33.4,33.85,735619,0
2021-03-02,D,Tarc Ord Shs,34.1,34.4,31.5,32.7,800295,0
2021-03-03,D,Tarc Ord Shs,32.95,34.0,31.6,32.95,1019681,1
2021-03-04,D,Tarc Ord Shs,32.8,34.0,32.45,32.8,495563,1
2021-03-05,D,Tarc Ord Shs,33.7,33.7,31.65,32.65,842689,0
2021-03-08,D,Tarc Ord Shs,33.45,36.7,32.85,35.35,1728601,0
2021-03-09,D,Tarc Ord Shs,36.0,37.5,34.9,35.65,1035093,0
2021-03-10,D,Tarc Ord Shs,36.45,36.5,34.2,34.9,297840,0
2021-03-12,D,Tarc Ord Shs,35.1,35.85,33.3,33.65,273132,0
2021-03-15,D,Tarc Ord Shs,33.15,33.8,31.9,32.2,309359,0
2021-03-16,D,Tarc Ord Shs,32.95,33.75,32.2,32.3,246751,0
2021-03-17,D,Tarc Ord Shs,32.75,32.85,30.0,30.2,294767,0
2021-03-18,D,Tarc Ord Shs,30.95,31.4,28.0,28.35,452568,0
2021-03-19,D,Tarc Ord Shs,28.25,28.25,26.35,27.65,713562,0
2021-03-22,D,Tarc Ord Shs,28.0,29.0,28.0,28.7,345148,0
2021-03-23,D,Tarc Ord Shs,28.55,33.5,28.55,32.0,1436017,0
2021-03-24,D,Tarc Ord Shs,32.0,33.15,30.6,30.85,690103,0
2021-03-25,D,Tarc Ord Shs,31.1,31.25,29.3,30.2,556234,0
2021-03-26,D,Tarc Ord Shs,31.0,31.5,28.05,29.3,428651,0
2021-03-30,D,Tarc Ord Shs,30.3,30.75,28.4,28.95,292448,0
2021-03-31,D,Tarc Ord Shs,29.8,29.8,28.75,29.05,167929,0
2021-04-01,D,Tarc Ord Shs,29.15,31.5,29.15,30.45,432993,0
2021-04-05,D,Tarc Ord Shs,30.2,30.8,28.9,29.4,285432,0
2021-04-06,D,Tarc Ord Shs,29.1,30.45,29.1,29.25,183499,0
2021-04-07,D,Tarc Ord Shs,29.65,29.95,28.9,29.15,299461,0
2021-04-08,D,Tarc Ord Shs,29.45,30.9,29.3,29.6,417533,0
2021-04-09,D,Tarc Ord Shs,29.55,30.9,29.55,29.9,371544,0
2021-04-12,D,Tarc Ord Shs,29.2,29.3,26.8,27.05,604498,0
2021-04-13,D,Tarc Ord Shs,27.85,28.2,26.85,27.55,283807,0
2021-04-15,D,Tarc Ord Shs,27.05,27.55,26.25,26.9,319503,0
2021-04-16,D,Tarc Ord Shs,27.5,28.15,26.9,28.0,329016,0
2021-04-19,D,Tarc Ord Shs,27.0,30.0,25.2,29.1,1213840,0
2021-04-20,D,Tarc Ord Shs,30.0,30.9,27.3,29.75,728459,0
2021-04-22,D,Tarc Ord Shs,29.25,30.6,29.0,29.1,244989,0
2021-04-23,D,Tarc Ord Shs,29.0,30.0,28.4,28.55,203317,0
2021-04-26,D,Tarc Ord Shs,28.15,29.25,28.1,28.35,147895,0
2021-04-27,D,Tarc Ord Shs,28.15,29.0,28.15,28.75,149330,0
2021-04-28,D,Tarc Ord Shs,29.25,29.25,28.4,28.45,188995,0
2021-04-29,D,Tarc Ord Shs,28.9,28.95,26.9,27.45,308253,0
2021-04-30,D,Tarc Ord Shs,27.65,28.25,27.3,27.95,108713,0
2021-05-03,D,Tarc Ord Shs,28.2,28.2,25.5,27.25,301584,0
2021-05-04,D,Tarc Ord Shs,27.8,29.0,27.2,27.9,303996,0
2021-05-05,D,Tarc Ord Shs,28.25,28.75,27.35,27.75,189345,0
2021-05-06,D,Tarc Ord Shs,27.9,28.5,26.85,27.1,313895,0
2021-05-07,D,Tarc Ord Shs,27.1,27.85,26.8,26.9,237055,0
2021-05-10,D,Tarc Ord Shs,27.25,27.5,26.75,26.85,278091,0
2021-05-11,D,Tarc Ord Shs,26.9,27.85,26.8,27.4,285864,0
2021-05-12,D,Tarc Ord Shs,27.5,28.5,27.25,27.5,489846,1
2021-05-14,D,Tarc Ord Shs,27.55,27.65,26.2,26.5,299283,0
2021-05-17,D,Tarc Ord Shs,26.25,27.6,26.25,26.95,271776,0
2021-05-18,D,Tarc Ord Shs,27.4,27.45,26.25,26.6,207797,0
2021-05-19,D,Tarc Ord Shs,26.65,28.8,26.6,27.65,637081,0
2021-05-20,D,Tarc Ord Shs,28.2,30.2,27.5,29.0,1052896,0
2021-05-21,D,Tarc Ord Shs,29.45,31.3,28.6,28.75,1421935,0
2021-05-24,D,Tarc Ord Shs,28.5,29.9,28.4,29.6,456013,0
2021-05-25,D,Tarc Ord Shs,30.0,30.6,29.0,29.2,615293,0
2021-05-26,D,Tarc Ord Shs,29.85,29.85,28.35,28.65,525021,0
2021-05-27,D,Tarc Ord Shs,28.65,30.55,28.5,30.0,587885,0
2021-05-28,D,Tarc Ord Shs,30.4,30.7,28.4,28.75,432241,0
2021-05-31,D,Tarc Ord Shs,29.0,29.55,28.75,28.85,356054,0
2021-06-01,D,Tarc Ord Shs,29.0,29.8,27.65,28.2,394590,0
2021-06-02,D,Tarc Ord Shs,28.75,28.75,27.7,28.3,460761,0
2021-06-03,D,Tarc Ord Shs,28.5,29.7,28.3,29.05,559218,0
2021-06-04,D,Tarc Ord Shs,29.35,29.8,28.8,28.95,510308,0
2021-06-07,D,Tarc Ord Shs,29.5,29.6,28.5,29.2,554681,0
2021-06-08,D,Tarc Ord Shs,29.45,32.25,29.35,31.7,2475779,0
2021-06-09,D,Tarc Ord Shs,32.5,32.7,29.7,30.35,1308531,0
2021-06-10,D,Tarc Ord Shs,30.75,31.5,30.25,30.95,554136,0
2021-06-11,D,Tarc Ord Shs,31.75,31.95,30.35,30.55,506489,0
2021-06-14,D,Tarc Ord Shs,31.25,31.25,29.4,30.4,376284,0
2021-06-15,D,Tarc Ord Shs,30.8,30.8,29.8,30.3,350451,0
2021-06-16,D,Tarc Ord Shs,30.3,30.6,29.25,29.4,326012,0
2021-06-17,D,Tarc Ord Shs,29.45,30.55,29.4,29.85,328984,0
2021-06-18,D,Tarc Ord Shs,30.45,30.45,28.6,29.1,344573,0
2021-06-21,D,Tarc Ord Shs,28.6,29.9,28.6,29.65,218535,0
2021-06-22,D,Tarc Ord Shs,30.0,30.8,29.6,30.05,482754,0
2021-06-23,D,Tarc Ord Shs,30.75,30.75,29.55,29.8,311777,0
2021-06-24,D,Tarc Ord Shs,29.95,32.5,29.75,30.6,1481113,0
2021-06-25,D,Tarc Ord Shs,31.55,31.65,30.6,30.8,318111,0
2021-06-28,D,Tarc Ord Shs,30.9,32.75,30.4,32.2,1012046,0
2021-06-29,D,Tarc Ord Shs,32.5,38.15,31.0,36.3,8451072,0
2021-06-30,D,Tarc Ord Shs,38.0,38.95,35.45,36.3,5457185,0
2021-07-01,D,Tarc Ord Shs,35.3,36.35,34.05,34.95,2465008,0
2021-07-02,D,Tarc Ord Shs,35.4,36.25,34.2,34.55,1083229,0
2021-07-05,D,Tarc Ord Shs,34.1,38.9,34.1,38.2,4319119,0
2021-07-06,D,Tarc Ord Shs,38.65,41.8,38.1,38.8,5974760,0
2021-07-07,D,Tarc Ord Shs,39.05,40.7,38.25,38.55,1747822,0
2021-07-08,D,Tarc Ord Shs,38.85,39.9,37.75,38.25,1211919,0
2021-07-09,D,Tarc Ord Shs,38.45,45.5,38.1,43.45,15275103,0
2021-07-12,D,Tarc Ord Shs,44.0,46.95,43.55,45.1,7249375,0
2021-07-13,D,Tarc Ord Shs,45.55,47.8,45.55,46.3,4409522,0
2021-07-14,D,Tarc Ord Shs,46.2,47.35,45.1,45.3,2370676,0
2021-07-15,D,Tarc Ord Shs,45.3,50.7,43.3,49.35,10454139,0
2021-07-16,D,Tarc Ord Shs,49.65,50.6,46.05,46.9,4974896,0
2021-07-19,D,Tarc Ord Shs,46.25,47.5,45.2,45.65,1561767,0
2021-07-20,D,Tarc Ord Shs,44.45,45.6,43.4,44.45,717316,1
2021-07-22,D,Tarc Ord Shs,45.0,46.3,44.0,44.95,417562,0
2021-07-23,D,Tarc Ord Shs,45.8,47.1,43.0,45.55,502274,0
2021-07-26,D,Tarc Ord Shs,45.8,46.0,44.0,44.15,251803,0
2021-07-27,D,Tarc Ord Shs,44.15,44.9,41.95,42.9,381520,0
2021-07-28,D,Tarc Ord Shs,42.85,43.7,41.05,42.4,329390,0
2021-07-29,D,Tarc Ord Shs,43.0,43.2,41.35,41.5,419798,0
2021-07-30,D,Tarc Ord Shs,40.55,42.25,40.55,41.25,236090,0
2021-08-02,D,Tarc Ord Shs,42.1,42.55,41.2,42.15,291152,0
2021-08-03,D,Tarc Ord Shs,42.45,42.45,40.3,40.85,442982,0
2021-08-04,D,Tarc Ord Shs,40.25,41.75,39.25,39.5,213977,0
2021-08-05,D,Tarc Ord Shs,41.45,41.45,39.9,41.45,335624,1
2021-08-06,D,Tarc Ord Shs,41.4,43.5,41.0,43.0,1170398,0
2021-08-09,D,Tarc Ord Shs,44.8,44.8,41.05,42.2,425053,0
2021-08-10,D,Tarc Ord Shs,40.35,42.2,40.1,40.2,300715,0
2021-08-11,D,Tarc Ord Shs,40.1,40.1,38.2,39.25,361253,0
2021-08-12,D,Tarc Ord Shs,38.5,40.0,38.5,39.5,156740,0
2021-08-13,D,Tarc Ord Shs,39.6,41.45,39.0,40.9,403374,0
2021-08-16,D,Tarc Ord Shs,40.2,41.95,39.2,40.35,319367,0
2021-08-17,D,Tarc Ord Shs,41.0,41.0,39.1,39.4,231052,0
2021-08-18,D,Tarc Ord Shs,39.9,40.0,37.45,37.9,292104,0
2021-08-20,D,Tarc Ord Shs,36.9,37.45,36.05,36.2,303835,0
2021-08-23,D,Tarc Ord Shs,37.55,37.55,34.4,34.4,514538,0
2021-08-24,D,Tarc Ord Shs,34.4,36.1,34.1,36.1,799842,0
2021-08-25,D,Tarc Ord Shs,37.3,37.55,36.35,36.8,266724,0
2021-08-26,D,Tarc Ord Shs,38.55,38.6,37.4,38.3,726889,0
2021-08-27,D,Tarc Ord Shs,38.6,39.55,37.55,38.65,155468,0
2021-08-30,D,Tarc Ord Shs,38.6,38.75,37.15,37.45,186966,0
2021-08-31,D,Tarc Ord Shs,37.05,37.85,36.5,36.7,152418,0
2021-09-01,D,Tarc Ord Shs,36.1,37.8,36.0,37.3,365420,0
2021-09-02,D,Tarc Ord Shs,37.8,39.15,37.75,39.15,426006,0
2021-09-03,D,Tarc Ord Shs,39.85,40.75,38.55,39.05,305781,0
2021-09-06,D,Tarc Ord Shs,39.85,41.0,38.0,40.9,760611,0
2021-09-07,D,Tarc Ord Shs,40.2,40.5,39.2,39.5,234456,0
2021-09-08,D,Tarc Ord Shs,39.55,39.95,38.6,39.45,189621,0
2021-09-09,D,Tarc Ord Shs,39.45,40.55,39.05,39.95,434821,0
2021-09-13,D,Tarc Ord Shs,39.95,40.05,38.7,39.2,381667,0
2021-09-14,D,Tarc Ord Shs,39.3,39.95,38.7,38.95,546351,0
2021-09-15,D,Tarc Ord Shs,39.0,40.85,38.55,40.85,606205,0
2021-09-16,D,Tarc Ord Shs,42.2,42.85,41.7,42.85,893274,0
2021-09-17,D,Tarc Ord Shs,43.3,44.95,41.1,42.7,694417,0
2021-09-20,D,Tarc Ord Shs,41.8,44.8,41.8,44.45,4301836,0
2021-09-21,D,Tarc Ord Shs,44.1,45.25,42.25,43.7,748072,0
2021-09-22,D,Tarc Ord Shs,44.0,45.85,44.0,45.85,1253050,0
2021-09-23,D,Tarc Ord Shs,47.4,48.1,46.15,47.65,1158947,0
2021-09-24,D,Tarc Ord Shs,47.95,49.0,45.8,46.25,760648,0
2021-09-27,D,Tarc Ord Shs,47.25,48.45,46.0,47.2,759120,0
2021-09-28,D,Tarc Ord Shs,47.0,47.8,45.7,46.3,806419,0
2021-09-29,D,Tarc Ord Shs,45.5,46.9,45.2,45.9,221323,0
2021-09-30,D,Tarc Ord Shs,45.9,46.35,44.8,45.35,228294,0
2021-10-01,D,Tarc Ord Shs,45.35,46.25,43.1,43.45,546251,0
2021-10-04,D,Tarc Ord Shs,43.5,45.6,43.2,45.6,993958,0
2021-10-05,D,Tarc Ord Shs,46.45,47.6,45.0,45.7,1322421,0
2021-10-06,D,Tarc Ord Shs,46.3,46.45,44.2,44.7,470774,0
2021-10-07,D,Tarc Ord Shs,45.7,46.9,45.1,46.9,502667,0
2021-10-08,D,Tarc Ord Shs,47.75,48.6,47.1,47.95,636903,0
2021-10-11,D,Tarc Ord Shs,48.5,48.5,45.7,46.1,411870,0
2021-10-12,D,Tarc Ord Shs,46.4,46.8,44.75,45.05,462760,0
2021-10-13,D,Tarc Ord Shs,45.6,46.5,44.5,44.7,436522,0
2021-10-14,D,Tarc Ord Shs,45.5,45.5,43.25,43.95,360681,0
2021-10-18,D,Tarc Ord Shs,45.75,46.1,44.0,44.45,981426,0
2021-10-19,D,Tarc Ord Shs,45.45,45.45,42.25,42.3,1173961,0
2021-10-20,D,Tarc Ord Shs,42.6,43.1,40.2,40.8,616182,0
2021-10-21,D,Tarc Ord Shs,38.8,42.8,38.8,41.9,1234050,0
2021-10-22,D,Tarc Ord Shs,42.9,43.95,41.0,42.05,588484,0
2021-10-25,D,Tarc Ord Shs,42.9,42.9,39.95,41.55,580944,0
2021-10-26,D,Tarc Ord Shs,41.0,43.15,41.0,42.9,351579,0
2021-10-27,D,Tarc Ord Shs,43.7,45.0,42.5,44.0,846024,0
2021-10-28,D,Tarc Ord Shs,44.0,45.8,43.5,44.05,951216,0
2021-10-29,D,Tarc Ord Shs,44.55,44.9,42.25,43.7,401277,0
2021-11-01,D,Tarc Ord Shs,44.15,45.4,43.85,44.85,587561,0
2021-11-02,D,Tarc Ord Shs,44.9,46.4,43.8,45.05,1670420,0
2021-11-03,D,Tarc Ord Shs,44.95,46.2,44.75,45.15,1000564,0
2021-11-04,D,Tarc Ord Shs,45.85,46.8,45.8,46.45,464929,0
2021-11-08,D,Tarc Ord Shs,47.0,48.75,46.55,48.75,2613282,0
2021-11-09,D,Tarc Ord Shs,49.2,51.15,49.0,51.15,1900004,0
2021-11-10,D,Tarc Ord Shs,53.0,53.7,52.0,53.65,3383187,0
2021-11-11,D,Tarc Ord Shs,54.5,54.9,51.0,51.6,2694526,0
2021-11-12,D,Tarc Ord Shs,51.8,52.5,49.6,49.85,776243,0
2021-11-15,D,Tarc Ord Shs,51.2,51.55,47.5,48.05,1153673,0
2021-11-16,D,Tarc Ord Shs,47.6,50.45,47.15,49.1,2490855,0
2021-11-17,D,Tarc Ord Shs,48.7,50.7,48.35,49.65,1717127,0
2021-11-18,D,Tarc Ord Shs,49.8,50.25,47.2,48.2,1259992,0
2021-11-22,D,Tarc Ord Shs,48.5,48.55,45.8,45.85,791282,0
2021-11-23,D,Tarc Ord Shs,45.8,47.0,44.7,46.2,705623,0
2021-11-24,D,Tarc Ord Shs,46.7,48.5,46.5,47.8,1066625,0
2021-11-25,D,Tarc Ord Shs,48.25,49.5,46.25,48.05,1208113,0
2021-11-26,D,Tarc Ord Shs,47.6,47.85,46.05,46.15,942716,0
2021-11-29,D,Tarc Ord Shs,46.0,46.9,44.0,44.3,993593,0
2021-11-30,D,Tarc Ord Shs,44.8,46.4,44.25,44.95,1053970,0
2021-12-01,D,Tarc Ord Shs,45.5,46.0,44.45,45.05,269868,0
2021-12-02,D,Tarc Ord Shs,44.7,46.0,44.7,45.05,1374811,0
2021-12-03,D,Tarc Ord Shs,44.9,46.7,43.6,44.15,1153523,0
2021-12-06,D,Tarc Ord Shs,44.15,45.6,43.15,43.85,1277029,0
2021-12-07,D,Tarc Ord Shs,44.7,45.2,44.0,44.75,882942,0
2021-12-08,D,Tarc Ord Shs,45.2,47.7,45.0,46.85,2217847,0
2021-12-09,D,Tarc Ord Shs,47.25,47.5,45.5,46.65,901819,0
2021-12-10,D,Tarc Ord Shs,46.85,50.4,46.15,48.8,2423476,0
2021-12-13,D,Tarc Ord Shs,49.65,53.2,49.6,52.2,3803239,0
2021-12-14,D,Tarc Ord Shs,52.9,53.5,51.0,51.6,2366776,0
2021-12-15,D,Tarc Ord Shs,51.8,52.85,50.6,51.05,916051,0
2021-12-16,D,Tarc Ord Shs,51.45,52.0,50.65,51.15,1282802,0
2021-12-17,D,Tarc Ord Shs,51.55,51.65,46.5,47.25,1372780,0
2021-12-20,D,Tarc Ord Shs,47.0,47.0,43.55,44.1,1192543,0
2021-12-21,D,Tarc Ord Shs,44.95,46.6,44.8,45.5,857118,0
2021-12-22,D,Tarc Ord Shs,46.0,47.7,45.5,46.8,1286759,0
2021-12-23,D,Tarc Ord Shs,47.15,48.5,47.15,47.8,1153581,0
2021-12-24,D,Tarc Ord Shs,48.1,51.0,47.5,48.7,876001,0
2021-12-27,D,Tarc Ord Shs,48.7,48.7,47.4,47.8,966461,0
2021-12-28,D,Tarc Ord Shs,48.2,49.8,48.0,48.95,887878,0
2021-12-29,D,Tarc Ord Shs,50.0,51.05,49.55,49.85,1477525,0
2021-12-30,D,Tarc Ord Shs,50.3,50.85,49.55,49.8,1730115,0
2021-12-31,D,Tarc Ord Shs,50.2,50.8,49.5,49.85,1250826,0
2022-01-03,D,Tarc Ord Shs,50.35,53.0,49.9,52.45,3068560,0
2022-01-04,D,Tarc Ord Shs,52.85,53.0,50.0,50.9,2632313,0
2022-01-05,D,Tarc Ord Shs,51.0,51.0,49.45,50.05,1715405,0
2022-01-06,D,Tarc Ord Shs,49.7,49.7,48.7,49.0,903462,0
2022-01-07,D,Tarc Ord Shs,49.45,52.5,49.2,50.9,2696009,0
2022-01-10,D,Tarc Ord Shs,52.75,55.5,51.65,54.5,4680811,0
