Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-07-09,D,Tarmat Ord Shs,306.25,387.0,306.25,319.2,10467430,0
2007-07-10,D,Tarmat Ord Shs,320.0,321.15,299.4,302.7,4373435,0
2007-07-11,D,Tarmat Ord Shs,295.1,331.95,293.25,317.15,6289069,0
2007-07-12,D,Tarmat Ord Shs,321.0,328.0,313.3,317.25,1419452,0
2007-07-13,D,Tarmat Ord Shs,325.0,325.0,304.0,306.6,877541,0
2007-07-16,D,Tarmat Ord Shs,307.2,318.5,302.15,312.95,920412,0
2007-07-17,D,Tarmat Ord Shs,301.55,326.35,301.55,307.5,1329153,0
2007-07-18,D,Tarmat Ord Shs,296.15,313.65,296.15,305.95,525495,0
2007-07-19,D,Tarmat Ord Shs,309.0,313.45,298.05,303.35,375319,0
2007-07-20,D,Tarmat Ord Shs,305.1,307.6,289.05,290.45,375216,0
2007-07-23,D,Tarmat Ord Shs,270.0,292.8,270.0,282.0,324219,0
2007-07-24,D,Tarmat Ord Shs,282.15,302.45,282.1,283.95,636087,0
2007-07-25,D,Tarmat Ord Shs,284.0,285.0,271.0,273.2,230903,0
2007-07-26,D,Tarmat Ord Shs,279.9,288.5,275.15,279.7,231420,0
2007-07-27,D,Tarmat Ord Shs,272.65,277.75,250.55,253.4,250369,0
2007-07-30,D,Tarmat Ord Shs,258.0,258.0,232.0,243.45,217905,0
2007-07-31,D,Tarmat Ord Shs,247.45,259.0,245.0,253.5,401608,0
2007-08-01,D,Tarmat Ord Shs,278.0,278.0,216.6,220.3,249035,0
2007-08-02,D,Tarmat Ord Shs,228.8,234.0,215.25,219.55,219468,0
2007-08-03,D,Tarmat Ord Shs,220.0,229.95,218.0,221.4,167491,0
2007-08-06,D,Tarmat Ord Shs,205.0,214.5,205.0,211.1,139732,0
2007-08-07,D,Tarmat Ord Shs,217.0,243.9,217.0,230.1,987629,0
2007-08-08,D,Tarmat Ord Shs,232.7,239.6,227.1,229.15,355747,0
2007-08-09,D,Tarmat Ord Shs,233.1,235.9,214.25,216.45,175549,0
2007-08-10,D,Tarmat Ord Shs,206.2,214.3,200.0,211.35,183623,0
2007-08-13,D,Tarmat Ord Shs,215.0,234.9,214.3,230.2,867552,0
2007-08-14,D,Tarmat Ord Shs,233.25,247.8,228.0,238.85,1559687,0
