Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-23,D,Tata Investment Corporation Ord Shs,166.277081,166.277081,152.974914,152.974914,1649.999213,0
1995-01-25,D,Tata Investment Corporation Ord Shs,133.021664,133.021664,133.021664,133.021664,74.999964,1
1995-01-27,D,Tata Investment Corporation Ord Shs,133.354219,133.354219,133.354219,133.354219,1499.999285,1
1995-02-02,D,Tata Investment Corporation Ord Shs,146.323831,146.323831,146.323831,146.323831,149.999928,1
1995-02-03,D,Tata Investment Corporation Ord Shs,147.986602,147.986602,147.986602,147.986602,449.999785,1
1995-02-06,D,Tata Investment Corporation Ord Shs,147.654048,147.654048,147.654048,147.654048,74.999964,1
1995-02-07,D,Tata Investment Corporation Ord Shs,142.998289,142.998289,142.998289,142.998289,749.999642,1
1995-02-17,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,74.999964,1
1995-03-08,D,Tata Investment Corporation Ord Shs,149.649373,149.649373,149.649373,149.649373,374.999821,1
1995-03-09,D,Tata Investment Corporation Ord Shs,152.974914,152.974914,152.974914,152.974914,74.999964,1
1995-06-02,D,Tata Investment Corporation Ord Shs,146.323831,146.323831,146.323831,146.323831,524.99975,1
1995-06-28,D,Tata Investment Corporation Ord Shs,123.04504,123.04504,123.04504,123.04504,149.999928,1
1995-07-03,D,Tata Investment Corporation Ord Shs,114.398631,114.398631,114.398631,114.398631,599.999714,1
1995-07-06,D,Tata Investment Corporation Ord Shs,103.09179,103.09179,103.09179,103.09179,149.999928,1
1995-07-07,D,Tata Investment Corporation Ord Shs,101.761573,101.761573,101.761573,101.761573,524.99975,1
1995-07-13,D,Tata Investment Corporation Ord Shs,136.347206,136.347206,136.347206,136.347206,149.999928,1
1995-07-14,D,Tata Investment Corporation Ord Shs,136.347206,144.993614,136.347206,144.993614,749.999642,0
1995-07-20,D,Tata Investment Corporation Ord Shs,166.277081,166.277081,166.277081,166.277081,224.999893,1
1995-07-24,D,Tata Investment Corporation Ord Shs,159.625997,172.928164,159.625997,172.928164,1874.999106,0
1995-07-27,D,Tata Investment Corporation Ord Shs,162.951539,169.602622,162.951539,167.939851,824.999607,0
1995-07-28,D,Tata Investment Corporation Ord Shs,166.277081,172.928164,166.277081,172.928164,599.999714,0
1995-07-31,D,Tata Investment Corporation Ord Shs,166.277081,166.277081,166.277081,166.277081,224.999893,1
1995-08-02,D,Tata Investment Corporation Ord Shs,156.333711,158.295781,156.300456,158.295781,1424.999321,0
1995-08-03,D,Tata Investment Corporation Ord Shs,156.300456,156.300456,156.300456,156.300456,74.999964,1
1995-08-07,D,Tata Investment Corporation Ord Shs,162.951539,162.951539,159.625997,159.625997,524.99975,0
1995-08-17,D,Tata Investment Corporation Ord Shs,149.649373,151.644697,149.649373,151.644697,449.999785,0
1995-08-21,D,Tata Investment Corporation Ord Shs,146.323831,146.323831,146.323831,146.323831,749.999642,1
1995-08-25,D,Tata Investment Corporation Ord Shs,134.351881,134.351881,134.351881,134.351881,149.999928,1
1995-08-31,D,Tata Investment Corporation Ord Shs,136.347206,136.347206,136.347206,136.347206,74.999964,1
1995-09-01,D,Tata Investment Corporation Ord Shs,135.016989,135.016989,135.016989,135.016989,74.999964,1
1995-09-22,D,Tata Investment Corporation Ord Shs,157.131841,158.295781,157.131841,158.295781,149.999928,0
1995-09-25,D,Tata Investment Corporation Ord Shs,156.300456,166.277081,156.300456,162.951539,299.999857,0
1995-09-26,D,Tata Investment Corporation Ord Shs,166.277081,166.277081,166.277081,166.277081,74.999964,1
1995-09-29,D,Tata Investment Corporation Ord Shs,179.579247,179.579247,179.579247,179.579247,299.999857,1
1995-10-05,D,Tata Investment Corporation Ord Shs,169.602622,169.602622,169.602622,169.602622,74.999964,1
1995-10-06,D,Tata Investment Corporation Ord Shs,179.579247,179.579247,179.579247,179.579247,299.999857,1
1995-10-09,D,Tata Investment Corporation Ord Shs,169.602622,169.602622,169.602622,169.602622,74.999964,1
1995-10-19,D,Tata Investment Corporation Ord Shs,162.951539,162.951539,162.951539,162.951539,299.999857,1
1995-11-01,D,Tata Investment Corporation Ord Shs,159.625997,159.625997,159.625997,159.625997,74.999964,1
1995-11-09,D,Tata Investment Corporation Ord Shs,154.305131,154.305131,154.305131,154.305131,74.999964,1
1995-11-29,D,Tata Investment Corporation Ord Shs,119.719498,119.719498,119.719498,119.719498,74.999964,1
1995-11-30,D,Tata Investment Corporation Ord Shs,119.719498,119.719498,119.719498,119.719498,74.999964,1
1995-12-11,D,Tata Investment Corporation Ord Shs,119.719498,119.719498,119.719498,119.719498,74.999964,1
1995-12-12,D,Tata Investment Corporation Ord Shs,119.719498,119.719498,119.719498,119.719498,749.999642,1
1995-12-14,D,Tata Investment Corporation Ord Shs,119.719498,119.719498,119.719498,119.719498,449.999785,1
1995-12-19,D,Tata Investment Corporation Ord Shs,117.059065,117.059065,117.059065,117.059065,149.999928,1
1995-12-29,D,Tata Investment Corporation Ord Shs,116.061402,117.025809,116.061402,117.025809,449.999785,0
1996-01-01,D,Tata Investment Corporation Ord Shs,115.762104,115.762104,115.762104,115.762104,74.999964,1
1996-01-02,D,Tata Investment Corporation Ord Shs,114.398631,114.398631,114.398631,114.398631,224.999893,1
1996-01-04,D,Tata Investment Corporation Ord Shs,114.398631,114.398631,111.738198,111.738198,599.999714,0
1996-01-05,D,Tata Investment Corporation Ord Shs,113.733523,114.365376,113.733523,114.365376,224.999893,0
1996-01-08,D,Tata Investment Corporation Ord Shs,114.398631,114.398631,114.398631,114.398631,74.999964,1
1996-01-11,D,Tata Investment Corporation Ord Shs,107.115695,107.115695,107.08244,107.115695,149.999928,1
1996-01-12,D,Tata Investment Corporation Ord Shs,112.403306,112.403306,112.403306,112.403306,74.999964,1
1996-01-15,D,Tata Investment Corporation Ord Shs,114.398631,114.398631,114.398631,114.398631,3299.998426,1
1996-01-16,D,Tata Investment Corporation Ord Shs,109.742873,109.742873,109.742873,109.742873,74.999964,1
1996-01-24,D,Tata Investment Corporation Ord Shs,109.742873,109.742873,109.742873,109.742873,7649.996352,1
1996-01-29,D,Tata Investment Corporation Ord Shs,108.080102,108.080102,103.09179,103.09179,7799.996281,0
1996-01-31,D,Tata Investment Corporation Ord Shs,93.115165,93.115165,93.115165,93.115165,149.999928,1
1996-02-01,D,Tata Investment Corporation Ord Shs,93.747018,94.412126,93.747018,94.412126,299.999857,0
1996-02-02,D,Tata Investment Corporation Ord Shs,98.402776,98.436032,97.737668,98.436032,374.999821,0
1996-02-12,D,Tata Investment Corporation Ord Shs,99.766248,107.747548,99.766248,107.747548,224.999893,0
1996-02-14,D,Tata Investment Corporation Ord Shs,116.427212,116.427212,116.427212,116.427212,149.999928,1
1996-02-20,D,Tata Investment Corporation Ord Shs,123.04504,123.04504,123.04504,123.04504,74.999964,1
1996-03-01,D,Tata Investment Corporation Ord Shs,133.021664,133.021664,133.021664,133.021664,74.999964,1
1996-03-04,D,Tata Investment Corporation Ord Shs,133.021664,136.347206,133.021664,136.347206,1799.999142,0
1996-03-11,D,Tata Investment Corporation Ord Shs,137.677423,137.677423,137.677423,137.677423,74.999964,1
1996-03-19,D,Tata Investment Corporation Ord Shs,129.696123,139.672748,129.696123,139.672748,449.999785,0
1996-03-21,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,74.999964,1
1996-03-25,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,224.999893,1
1996-04-09,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,74.999964,1
1996-04-10,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,149.999928,1
1996-04-16,D,Tata Investment Corporation Ord Shs,139.672748,149.649373,128.365906,128.365906,374.999821,0
1996-04-17,D,Tata Investment Corporation Ord Shs,135.682098,141.002964,135.682098,141.002964,299.999857,0
1996-04-18,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,599.999714,1
1996-04-19,D,Tata Investment Corporation Ord Shs,142.998289,142.998289,142.998289,142.998289,299.999857,1
1996-04-22,D,Tata Investment Corporation Ord Shs,129.696123,129.696123,129.696123,129.696123,149.999928,1
1996-04-23,D,Tata Investment Corporation Ord Shs,133.021664,139.672748,133.021664,139.672748,299.999857,0
1996-04-25,D,Tata Investment Corporation Ord Shs,146.323831,149.649373,146.323831,146.988939,374.999821,0
1996-05-02,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,133.021664,133.254452,4499.997854,0
1996-05-06,D,Tata Investment Corporation Ord Shs,133.021664,136.347206,133.021664,136.347206,224.999893,0
1996-05-07,D,Tata Investment Corporation Ord Shs,133.021664,133.021664,133.021664,133.021664,224.999893,1
1996-05-10,D,Tata Investment Corporation Ord Shs,133.021664,133.021664,133.021664,133.021664,374.999821,1
1996-05-20,D,Tata Investment Corporation Ord Shs,129.696123,129.696123,129.696123,129.696123,74.999964,1
1996-05-21,D,Tata Investment Corporation Ord Shs,126.370581,126.370581,126.370581,126.370581,524.99975,1
1996-05-22,D,Tata Investment Corporation Ord Shs,129.696123,129.696123,129.696123,129.696123,374.999821,1
1996-05-27,D,Tata Investment Corporation Ord Shs,127.700798,127.700798,127.03569,127.03569,224.999893,0
1996-06-06,D,Tata Investment Corporation Ord Shs,129.696123,129.696123,129.696123,129.696123,299.999857,1
1996-06-07,D,Tata Investment Corporation Ord Shs,133.021664,133.021664,133.021664,133.021664,224.999893,1
1996-06-10,D,Tata Investment Corporation Ord Shs,129.696123,129.696123,129.696123,129.696123,74.999964,1
1996-06-12,D,Tata Investment Corporation Ord Shs,126.370581,126.370581,126.370581,126.370581,449.999785,1
1996-06-17,D,Tata Investment Corporation Ord Shs,138.009977,139.007639,138.009977,139.007639,299.999857,0
1996-06-20,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,149.999928,1
1996-06-21,D,Tata Investment Corporation Ord Shs,140.337856,140.337856,140.337856,140.337856,524.99975,1
1996-06-26,D,Tata Investment Corporation Ord Shs,149.649373,149.649373,147.687303,149.316818,974.999535,0
1996-06-27,D,Tata Investment Corporation Ord Shs,152.974914,152.974914,152.974914,152.974914,149.999928,1
1996-07-01,D,Tata Investment Corporation Ord Shs,149.682628,149.682628,149.682628,149.682628,74.999964,1
1996-07-02,D,Tata Investment Corporation Ord Shs,149.649373,149.649373,146.323831,146.323831,449.999785,0
1996-07-03,D,Tata Investment Corporation Ord Shs,146.323831,146.323831,146.323831,146.323831,74.999964,1
1996-07-04,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,139.672748,139.672748,1349.999356,1
1996-07-09,D,Tata Investment Corporation Ord Shs,139.672748,139.672748,136.347206,136.347206,299.999857,0
1996-07-15,D,Tata Investment Corporation Ord Shs,133.021664,133.021664,133.021664,133.021664,74.999964,1
1996-07-16,D,Tata Investment Corporation Ord Shs,133.021664,136.380461,133.021664,136.380461,149.999928,0
1996-07-18,D,Tata Investment Corporation Ord Shs,136.413717,136.413717,136.413717,136.413717,74.999964,1
1996-07-19,D,Tata Investment Corporation Ord Shs,146.323831,146.323831,146.323831,146.323831,74.999964,1
1996-07-23,D,Tata Investment Corporation Ord Shs,136.347206,136.347206,136.347206,136.347206,299.999857,1
1996-07-30,D,Tata Investment Corporation Ord Shs,133.720028,133.720028,133.720028,133.720028,74.999964,1
1996-08-02,D,Tata Investment Corporation Ord Shs,129.829145,139.672748,129.696123,130.061932,7274.996531,0
1996-08-07,D,Tata Investment Corporation Ord Shs,129.729378,129.729378,129.729378,129.729378,299.999857,1
1996-08-08,D,Tata Investment Corporation Ord Shs,129.8624,129.8624,129.8624,129.8624,74.999964,1
1996-08-12,D,Tata Investment Corporation Ord Shs,123.04504,123.04504,119.719498,119.719498,299.999857,0
1996-08-19,D,Tata Investment Corporation Ord Shs,119.719498,119.719498,119.719498,119.719498,149.999928,1
