Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-07-29,D,Tatva Chintan Pharma Chem Ord Shs,2111.85,2534.2,2111.85,2312.2,7860870,0
2021-07-30,D,Tatva Chintan Pharma Chem Ord Shs,2323.0,2380.0,2250.0,2267.85,1432655,0
2021-08-02,D,Tatva Chintan Pharma Chem Ord Shs,2279.0,2287.7,2248.0,2263.25,493438,0
2021-08-03,D,Tatva Chintan Pharma Chem Ord Shs,2264.95,2280.15,2250.0,2268.2,329279,0
2021-08-04,D,Tatva Chintan Pharma Chem Ord Shs,2268.2,2274.0,2208.75,2213.1,349040,0
2021-08-05,D,Tatva Chintan Pharma Chem Ord Shs,2212.25,2215.0,2120.1,2131.65,303604,0
2021-08-06,D,Tatva Chintan Pharma Chem Ord Shs,2131.65,2189.0,2110.0,2134.4,236079,0
2021-08-09,D,Tatva Chintan Pharma Chem Ord Shs,2144.25,2156.7,2060.85,2079.2,211519,0
2021-08-10,D,Tatva Chintan Pharma Chem Ord Shs,2070.0,2078.0,2017.85,2043.85,193101,0
2021-08-11,D,Tatva Chintan Pharma Chem Ord Shs,2044.0,2058.0,2001.0,2011.15,132078,0
2021-08-12,D,Tatva Chintan Pharma Chem Ord Shs,2034.0,2164.85,2017.05,2124.35,382918,0
2021-08-13,D,Tatva Chintan Pharma Chem Ord Shs,2134.0,2196.3,2131.05,2158.45,182102,0
2021-08-16,D,Tatva Chintan Pharma Chem Ord Shs,2130.0,2168.0,2061.0,2128.65,99656,0
2021-08-17,D,Tatva Chintan Pharma Chem Ord Shs,2162.65,2185.0,2128.0,2170.55,153911,0
2021-08-18,D,Tatva Chintan Pharma Chem Ord Shs,2174.0,2230.0,2148.4,2202.5,170423,0
2021-08-20,D,Tatva Chintan Pharma Chem Ord Shs,2180.0,2258.0,2157.35,2200.0,188841,0
2021-08-23,D,Tatva Chintan Pharma Chem Ord Shs,2244.4,2244.4,2129.3,2183.35,87957,0
2021-08-24,D,Tatva Chintan Pharma Chem Ord Shs,2183.7,2185.0,2120.0,2144.25,60029,0
2021-08-25,D,Tatva Chintan Pharma Chem Ord Shs,2090.0,2222.0,2053.25,2191.55,290102,0
2021-08-26,D,Tatva Chintan Pharma Chem Ord Shs,2181.0,2181.0,2111.0,2138.55,209220,0
2021-08-27,D,Tatva Chintan Pharma Chem Ord Shs,2120.0,2148.55,2080.0,2085.25,221377,0
2021-08-30,D,Tatva Chintan Pharma Chem Ord Shs,2088.0,2128.0,2071.0,2077.25,109506,0
2021-08-31,D,Tatva Chintan Pharma Chem Ord Shs,2088.0,2100.0,2051.0,2060.8,71756,0
2021-09-01,D,Tatva Chintan Pharma Chem Ord Shs,2074.0,2078.9,2044.0,2050.45,62935,0
2021-09-02,D,Tatva Chintan Pharma Chem Ord Shs,2054.0,2080.65,2026.0,2038.9,78604,0
2021-09-03,D,Tatva Chintan Pharma Chem Ord Shs,2048.0,2079.7,2041.0,2048.9,140229,0
2021-09-06,D,Tatva Chintan Pharma Chem Ord Shs,2062.0,2083.0,2035.0,2039.25,103904,0
2021-09-07,D,Tatva Chintan Pharma Chem Ord Shs,2047.0,2099.05,2031.1,2065.95,124097,0
2021-09-08,D,Tatva Chintan Pharma Chem Ord Shs,2073.0,2073.0,2042.5,2056.4,32946,0
2021-09-09,D,Tatva Chintan Pharma Chem Ord Shs,2041.0,2066.2,2041.0,2047.1,28814,0
2021-09-13,D,Tatva Chintan Pharma Chem Ord Shs,2045.9,2068.45,2043.1,2053.5,32321,0
2021-09-14,D,Tatva Chintan Pharma Chem Ord Shs,2059.0,2065.0,2041.55,2059.0,44506,1
2021-09-15,D,Tatva Chintan Pharma Chem Ord Shs,2064.0,2195.0,2060.0,2181.05,220711,0
2021-09-16,D,Tatva Chintan Pharma Chem Ord Shs,2216.4,2256.9,2170.55,2182.95,170249,0
2021-09-17,D,Tatva Chintan Pharma Chem Ord Shs,2188.0,2188.0,2085.0,2105.15,70261,0
2021-09-20,D,Tatva Chintan Pharma Chem Ord Shs,2080.0,2150.0,2079.65,2092.65,49877,0
2021-09-21,D,Tatva Chintan Pharma Chem Ord Shs,2083.0,2146.5,2062.55,2135.6,54112,0
2021-09-22,D,Tatva Chintan Pharma Chem Ord Shs,2181.6,2316.6,2152.15,2265.35,444739,0
2021-09-23,D,Tatva Chintan Pharma Chem Ord Shs,2280.0,2355.0,2231.95,2248.55,215411,0
2021-09-24,D,Tatva Chintan Pharma Chem Ord Shs,2256.8,2273.95,2197.15,2207.95,55394,0
2021-09-27,D,Tatva Chintan Pharma Chem Ord Shs,2218.0,2235.0,2160.1,2185.25,70392,0
2021-09-28,D,Tatva Chintan Pharma Chem Ord Shs,2188.0,2225.8,2165.0,2210.3,51609,0
2021-09-29,D,Tatva Chintan Pharma Chem Ord Shs,2209.7,2295.0,2193.35,2244.45,95251,0
2021-09-30,D,Tatva Chintan Pharma Chem Ord Shs,2246.7,2281.3,2181.1,2191.7,82988,0
2021-10-01,D,Tatva Chintan Pharma Chem Ord Shs,2178.8,2197.0,2142.1,2154.65,52643,0
2021-10-04,D,Tatva Chintan Pharma Chem Ord Shs,2168.8,2235.0,2166.0,2200.3,72425,0
2021-10-05,D,Tatva Chintan Pharma Chem Ord Shs,2199.0,2310.0,2156.85,2250.6,208603,0
2021-10-06,D,Tatva Chintan Pharma Chem Ord Shs,2255.0,2322.0,2225.0,2277.25,157160,0
2021-10-07,D,Tatva Chintan Pharma Chem Ord Shs,2293.7,2345.0,2276.0,2292.7,125513,0
2021-10-08,D,Tatva Chintan Pharma Chem Ord Shs,2308.0,2398.0,2285.0,2360.65,235645,0
2021-10-11,D,Tatva Chintan Pharma Chem Ord Shs,2370.0,2447.9,2370.0,2400.2,210962,0
2021-10-12,D,Tatva Chintan Pharma Chem Ord Shs,2389.0,2421.4,2332.0,2347.7,81469,0
2021-10-13,D,Tatva Chintan Pharma Chem Ord Shs,2359.6,2363.7,2292.0,2322.7,86321,0
2021-10-14,D,Tatva Chintan Pharma Chem Ord Shs,2338.6,2359.0,2305.9,2326.1,61622,0
2021-10-18,D,Tatva Chintan Pharma Chem Ord Shs,2328.0,2360.0,2260.0,2270.15,50797,0
2021-10-19,D,Tatva Chintan Pharma Chem Ord Shs,2270.15,2288.3,2165.0,2184.85,60814,0
2021-10-20,D,Tatva Chintan Pharma Chem Ord Shs,2189.9,2200.45,2079.0,2104.7,73985,0
2021-10-21,D,Tatva Chintan Pharma Chem Ord Shs,2110.0,2172.0,2101.85,2144.7,39244,0
2021-10-22,D,Tatva Chintan Pharma Chem Ord Shs,2154.7,2200.0,2125.0,2135.1,39784,0
2021-10-25,D,Tatva Chintan Pharma Chem Ord Shs,2450.0,2480.0,2280.0,2312.25,540769,0
2021-10-26,D,Tatva Chintan Pharma Chem Ord Shs,2319.0,2662.6,2273.5,2559.9,529655,0
2021-10-27,D,Tatva Chintan Pharma Chem Ord Shs,2725.0,2807.0,2607.0,2649.45,1015192,0
2021-10-28,D,Tatva Chintan Pharma Chem Ord Shs,2630.0,2647.0,2580.0,2596.25,193161,0
2021-10-29,D,Tatva Chintan Pharma Chem Ord Shs,2560.0,2664.25,2461.0,2505.0,148875,0
2021-11-01,D,Tatva Chintan Pharma Chem Ord Shs,2534.0,2700.0,2500.05,2665.8,100413,0
2021-11-02,D,Tatva Chintan Pharma Chem Ord Shs,2684.5,2906.0,2665.8,2877.95,312765,0
2021-11-03,D,Tatva Chintan Pharma Chem Ord Shs,2930.0,2977.8,2752.1,2779.0,157688,0
2021-11-04,D,Tatva Chintan Pharma Chem Ord Shs,2814.0,2860.0,2786.15,2843.3,35962,0
2021-11-08,D,Tatva Chintan Pharma Chem Ord Shs,2865.0,2865.0,2700.0,2755.5,49197,0
2021-11-09,D,Tatva Chintan Pharma Chem Ord Shs,2755.5,2827.0,2682.15,2730.4,70669,0
2021-11-10,D,Tatva Chintan Pharma Chem Ord Shs,2715.0,2770.95,2650.0,2663.35,60943,0
2021-11-11,D,Tatva Chintan Pharma Chem Ord Shs,2663.35,2688.0,2563.35,2573.9,66723,0
2021-11-12,D,Tatva Chintan Pharma Chem Ord Shs,2585.0,2756.0,2525.0,2725.2,176939,0
2021-11-15,D,Tatva Chintan Pharma Chem Ord Shs,2765.0,2773.0,2655.6,2678.6,60232,0
2021-11-16,D,Tatva Chintan Pharma Chem Ord Shs,2677.7,2707.95,2622.25,2634.5,49200,0
