Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2012-01-30,D,Thomas Scott India Ord Shs,34.8,34.8,25.5,30.85,2367,0
2012-01-31,D,Thomas Scott India Ord Shs,29.35,31.85,29.35,29.5,1019,0
2012-02-01,D,Thomas Scott India Ord Shs,29.5,29.5,28.05,29.35,680,0
2012-02-02,D,Thomas Scott India Ord Shs,29.85,29.85,27.9,27.9,189,0
2012-02-03,D,Thomas Scott India Ord Shs,27.5,29.0,26.55,28.5,971,0
2012-02-06,D,Thomas Scott India Ord Shs,27.1,29.8,27.1,27.1,890,1
2012-02-07,D,Thomas Scott India Ord Shs,27.0,27.0,25.75,25.75,75,0
2012-02-08,D,Thomas Scott India Ord Shs,24.5,27.0,24.5,26.9,3324,0
2012-02-09,D,Thomas Scott India Ord Shs,26.0,28.2,26.0,27.3,1005,0
2012-02-10,D,Thomas Scott India Ord Shs,28.65,28.65,28.65,28.65,784,1
2012-02-13,D,Thomas Scott India Ord Shs,34.25,34.25,23.15,29.0,4519,0
2012-02-14,D,Thomas Scott India Ord Shs,25.4,33.8,25.4,28.55,1566,0
2012-02-15,D,Thomas Scott India Ord Shs,27.0,29.75,26.3,29.0,177,0
2012-02-16,D,Thomas Scott India Ord Shs,25.85,29.15,25.8,28.6,538,0
2012-02-17,D,Thomas Scott India Ord Shs,26.05,28.95,26.05,26.8,2292,0
2012-02-21,D,Thomas Scott India Ord Shs,26.8,27.8,24.1,27.45,420,0
2012-02-22,D,Thomas Scott India Ord Shs,29.3,29.6,24.5,25.6,1371,0
2012-02-23,D,Thomas Scott India Ord Shs,24.0,28.25,24.0,26.95,432,0
2012-02-24,D,Thomas Scott India Ord Shs,28.0,28.7,25.3,27.9,216,0
2012-02-27,D,Thomas Scott India Ord Shs,26.0,26.05,23.4,24.3,864,0
2012-02-28,D,Thomas Scott India Ord Shs,26.0,27.0,24.2,26.05,227,0
2012-02-29,D,Thomas Scott India Ord Shs,28.0,28.0,24.8,24.95,443,0
2012-03-01,D,Thomas Scott India Ord Shs,24.0,27.45,23.1,25.45,489,0
2012-03-02,D,Thomas Scott India Ord Shs,25.0,27.1,25.0,25.2,372,0
2012-03-05,D,Thomas Scott India Ord Shs,24.0,26.3,22.0,24.0,1633,1
2012-03-06,D,Thomas Scott India Ord Shs,25.75,25.85,21.35,22.2,558,0
2012-03-07,D,Thomas Scott India Ord Shs,25.2,25.2,23.5,24.0,1140,0
2012-03-09,D,Thomas Scott India Ord Shs,24.0,28.0,22.65,25.25,4013,0
2012-03-12,D,Thomas Scott India Ord Shs,24.0,24.95,23.35,23.45,1420,0
2012-03-13,D,Thomas Scott India Ord Shs,23.35,28.0,23.35,24.15,6927,0
2012-03-14,D,Thomas Scott India Ord Shs,24.5,26.4,24.15,24.15,197,0
2012-03-15,D,Thomas Scott India Ord Shs,24.2,26.4,24.2,24.25,927,0
2012-03-16,D,Thomas Scott India Ord Shs,22.8,26.4,22.8,23.55,1363,0
2012-03-19,D,Thomas Scott India Ord Shs,23.5,24.9,23.5,23.5,251,1
2012-03-20,D,Thomas Scott India Ord Shs,25.5,25.95,22.55,25.95,672,0
2012-03-21,D,Thomas Scott India Ord Shs,26.4,27.05,24.0,26.0,1343,0
2012-03-22,D,Thomas Scott India Ord Shs,24.55,25.7,24.2,24.2,741,0
2012-03-23,D,Thomas Scott India Ord Shs,24.0,26.4,23.15,23.6,446,0
2012-03-26,D,Thomas Scott India Ord Shs,24.5,24.5,23.65,23.65,424,0
2012-03-27,D,Thomas Scott India Ord Shs,22.8,24.5,19.1,20.55,3543,0
2012-03-28,D,Thomas Scott India Ord Shs,21.45,22.0,20.25,20.6,1022,0
2012-03-29,D,Thomas Scott India Ord Shs,19.65,21.5,19.65,21.0,460,0
2012-03-30,D,Thomas Scott India Ord Shs,22.0,25.0,21.25,24.0,3762,0
2012-04-02,D,Thomas Scott India Ord Shs,23.1,23.1,23.1,23.1,282,1
2012-04-03,D,Thomas Scott India Ord Shs,24.45,24.45,20.6,22.15,920,0
2012-04-04,D,Thomas Scott India Ord Shs,24.0,24.0,21.85,22.8,549,0
2012-04-09,D,Thomas Scott India Ord Shs,22.8,24.2,22.05,22.05,271,0
2012-04-10,D,Thomas Scott India Ord Shs,21.0,23.5,20.3,20.9,297,0
2012-04-11,D,Thomas Scott India Ord Shs,20.9,25.0,19.05,21.95,9789,0
2012-04-12,D,Thomas Scott India Ord Shs,21.3,23.55,21.3,21.55,430,0
2012-04-13,D,Thomas Scott India Ord Shs,21.7,23.0,21.55,21.55,310,0
2012-04-16,D,Thomas Scott India Ord Shs,23.75,23.75,21.05,22.7,2069,0
2012-04-17,D,Thomas Scott India Ord Shs,23.45,23.45,22.15,22.15,300,0
